Date,Open,High,Low,Close,Volume
2020-01-10,44.37,44.46,43.80,43.95,2311398
2020-01-13,44.04,44.48,43.98,44.42,3167771
2020-01-14,44.51,44.6399,44.08,44.50,4798491
2020-01-15,44.35,44.84,44.01,44.39,2586664
2020-01-16,44.65,45.46,44.585,45.34,2584955
2020-01-17,45.40,45.55,45.11,45.25,2741675
2020-01-21,45.10,45.385,44.87,45.12,2663411
2020-01-22,45.24,45.31,44.89,44.93,2101386
2020-01-23,44.74,45.04,44.51,44.97,1459888
2020-01-24,45.05,45.06,43.98,44.30,2169271
2020-01-27,43.76,43.90,43.365,43.53,2718508
2020-01-28,43.70,44.105,43.525,43.92,2219424
2020-01-29,44.06,44.10,43.66,43.68,2803504
2020-01-30,45.62,46.00,44.7825,45.80,5958841
2020-01-31,45.48,45.62,44.55,44.76,8398285
2020-02-03,44.97,45.27,44.64,44.96,3939435
2020-02-04,45.50,45.685,45.27,45.37,2567381
2020-02-05,45.78,46.135,45.69,46.07,3038555
2020-02-06,46.19,46.33,45.94,45.98,2387330
2020-02-07,45.73,46.00,45.55,45.71,2289391
2020-02-10,45.60,45.87,45.36,45.68,1695346
2020-02-11,45.90,46.51,45.73,46.12,2200143
2020-02-12,45.95,46.165,45.59,45.61,2280971
2020-02-13,45.42,45.63,45.02,45.27,2317471
2020-02-14,45.08,45.16,44.62,44.77,2513189
2020-02-18,44.48,44.65,44.16,44.45,2512078
2020-02-19,44.50,44.53,43.88,43.97,2257222
2020-02-20,43.75,44.33,43.6756,44.23,1951031
2020-02-21,44.09,44.15,43.58,43.90,2645815
2020-02-24,42.76,43.01,42.50,42.82,3010970
2020-02-25,42.89,42.9399,40.39,40.43,3364837
2020-02-26,40.66,41.12,39.86,39.87,5252015
2020-02-27,39.25,39.31,37.59,37.62,4476174
2020-02-28,36.63,37.65,35.78,37.65,8056958
2020-03-02,38.19,38.84,37.57,38.84,4829282
2020-03-03,38.57,39.5989,37.84,38.06,4886647
2020-03-04,38.77,39.39,38.33,39.37,2971270
2020-03-05,38.38,38.855,38.01,38.33,2848466
2020-03-06,36.95,38.11,36.90,37.64,4051157
2020-03-09,35.49,37.54,34.98,35.30,6746975
2020-03-10,36.46,37.15,34.66,37.12,7447284
2020-03-11,35.71,36.33,34.57,35.07,4993461
2020-03-12,32.97,33.76,31.46,31.54,7272714
2020-03-13,33.01,34.69,31.33,34.64,6236577
2020-03-16,31.10,34.59,31.01,32.68,5684975
2020-03-17,33.53,35.28,33.10,35.26,4465180
2020-03-18,33.13,33.33,31.06,33.02,4471637
2020-03-19,32.92,35.00,31.60,33.46,3483901
2020-03-20,33.89,33.89,30.43,30.61,5009887
2020-03-23,30.22,31.00,28.92,29.31,4870422
2020-03-24,30.85,32.49,30.50,32.32,5301801
2020-03-25,32.38,34.035,31.88,32.70,3921497
2020-03-26,33.12,34.79,32.83,34.46,3557034
2020-03-27,33.50,34.43,33.15,33.50,3277729
2020-03-30,33.78,36.00,33.28,35.83,3215323
2020-03-31,35.86,36.48,34.73,35.18,3882352
2020-04-01,33.70,34.97,33.515,33.87,3496899
2020-04-02,33.72,35.20,33.54,34.33,3022752
2020-04-03,34.05,34.785,33.85,34.65,2581951
2020-04-06,35.84,36.015,35.26,35.78,5224630
2020-04-07,36.81,37.58,35.86,35.98,3180875
2020-04-08,36.23,36.84,35.7734,36.48,2560764
