Date,Open,High,Low,Close,Volume
2020-01-10,76.80,77.30,76.70,77.01,1073951
2020-01-13,77.02,77.76,77.02,77.63,1280756
2020-01-14,77.59,77.87,77.105,77.61,1439745
2020-01-15,77.80,78.325,77.58,78.20,1732371
2020-01-16,78.70,79.30,78.70,79.21,2065904
2020-01-17,79.24,79.895,79.16,79.75,1552813
2020-01-21,79.75,80.06,79.36,80.03,1732705
2020-01-22,80.14,80.44,79.88,79.91,2366319
2020-01-23,79.94,80.365,79.69,80.30,1269782
2020-01-24,80.25,80.83,80.025,80.39,1185829
2020-01-27,80.33,80.84,79.75,80.11,1774848
2020-01-28,80.20,80.67,79.97,80.32,1350689
2020-01-29,80.73,81.07,80.44,81.02,1493356
2020-01-30,80.97,81.94,80.77,81.90,1086120
2020-01-31,81.81,82.41,81.61,82.05,2038434
2020-02-03,82.23,82.705,82.08,82.63,1105701
2020-02-04,82.65,83.02,82.105,82.27,1595503
2020-02-05,82.11,82.74,81.94,82.68,1071230
2020-02-06,82.72,83.35,82.57,83.17,1388321
2020-02-07,83.45,83.76,83.27,83.60,1597912
2020-02-10,83.75,84.03,83.25,83.98,1220500
2020-02-11,84.16,84.48,83.87,84.27,1498106
2020-02-12,83.96,84.74,83.80,84.57,1155439
2020-02-13,84.57,85.85,84.37,85.75,1069670
2020-02-14,86.00,86.87,85.80,86.79,1754321
2020-02-18,87.16,87.325,86.50,86.75,2305848
2020-02-19,86.64,86.71,85.77,85.88,1598577
2020-02-20,85.55,85.92,85.10,85.66,1999047
2020-02-21,85.66,86.42,85.23,85.34,2212936
2020-02-24,85.00,85.62,84.54,84.82,1700536
2020-02-25,84.90,85.32,83.32,83.56,2613111
2020-02-26,84.73,86.47,84.035,85.21,2840838
2020-02-27,85.15,85.805,81.57,81.57,2564011
2020-02-28,80.08,80.28,77.19,79.00,4614961
2020-03-02,79.29,84.46,79.15,84.42,2835748
2020-03-03,84.17,86.00,82.96,83.16,2231890
2020-03-04,83.74,87.655,83.74,87.07,1952673
2020-03-05,85.60,87.12,85.11,86.05,2061771
2020-03-06,83.81,85.69,81.30,85.35,3040899
2020-03-09,82.00,83.37,80.02,81.60,4268426
2020-03-10,81.99,83.59,79.16,82.59,2920841
2020-03-11,80.96,81.86,79.59,80.87,2737945
2020-03-12,75.50,76.815,71.04,72.40,2950579
2020-03-13,75.66,76.51,71.20,76.15,2490850
2020-03-16,70.02,72.33,64.93,65.95,3280471
2020-03-17,67.71,79.18,66.86,77.69,3872136
2020-03-18,71.94,77.38,70.18,76.15,2533260
