Date,Open,High,Low,Close,Volume
2020-01-10,20.23,20.33,20.14,20.18,2554994
2020-01-13,20.14,20.42,20.14,20.31,3143707
2020-01-14,20.30,20.41,20.20,20.40,3893404
2020-01-15,20.35,20.58,20.26,20.46,3099173
2020-01-16,20.45,20.58,20.35,20.57,2819620
2020-01-17,20.51,20.5965,20.24,20.50,5006079
2020-01-21,20.37,20.56,20.25,20.47,6399877
2020-01-22,20.45,20.71,20.375,20.40,3833080
2020-01-23,20.38,20.58,20.31,20.56,3144919
2020-01-24,20.55,20.56,20.315,20.38,2052446
2020-01-27,20.31,20.375,20.02,20.08,3593886
2020-01-28,20.16,20.33,20.08,20.18,3129451
2020-01-29,20.16,20.39,20.05,20.32,3345321
2020-01-30,20.08,20.20,19.94,20.18,2355519
2020-01-31,20.06,20.18,19.79,19.86,3644232
2020-02-03,19.97,20.38,19.90,20.31,3843290
2020-02-04,20.39,20.685,20.345,20.61,4225313
2020-02-05,20.68,20.905,20.62,20.76,3629103
2020-02-06,20.83,20.87,20.555,20.58,3115998
2020-02-07,20.55,20.61,20.42,20.50,2206297
2020-02-10,20.50,20.56,20.38,20.52,2505704
2020-02-11,20.61,20.89,20.60,20.79,3166021
2020-02-12,20.75,21.01,20.69,20.96,3134645
2020-02-13,20.91,20.955,20.74,20.83,3407659
2020-02-14,20.85,20.97,20.815,20.93,3469330
2020-02-18,20.94,21.23,20.84,21.03,2535773
2020-02-19,21.14,21.15,20.905,20.91,2224411
2020-02-20,20.87,20.94,20.6581,20.80,2818950
2020-02-21,20.80,20.90,20.695,20.75,3948989
2020-02-24,20.33,20.49,20.13,20.25,3921957
2020-02-25,20.31,20.32,19.36,19.38,5870984
2020-02-26,19.49,19.53,18.68,18.69,4952992
2020-02-27,18.56,19.06,18.25,18.29,8442891
2020-02-28,16.00,17.39,15.75,16.73,12558230
2020-03-02,16.77,18.24,16.475,18.22,8987994
2020-03-03,18.01,18.43,17.41,17.43,11037920
2020-03-04,17.68,17.91,17.30,17.83,5851345
2020-03-05,17.53,17.535,16.58,16.73,6056817
2020-03-06,16.13,16.93,15.89,16.82,9374075
2020-03-09,15.65,15.80,14.49,14.58,6968044
2020-03-10,15.10,15.28,14.29,15.21,7209431
2020-03-11,14.76,14.955,14.04,14.16,7945713
2020-03-12,13.06,13.14,11.70,12.18,7506574
2020-03-13,12.99,13.23,11.98,13.00,7406358
2020-03-16,11.55,12.70,10.99,10.99,6959314
2020-03-17,11.30,11.72,9.835,11.56,7799060
2020-03-18,11.15,11.15,8.11,9.56,9184289
2020-03-19,9.50,11.27,9.00,10.99,8728874
2020-03-20,11.21,12.13,10.84,11.87,12070670
2020-03-23,11.98,12.99,11.53,11.87,10708600
2020-03-24,12.65,13.42,12.15,12.66,7597198
2020-03-25,12.75,13.585,11.81,12.82,7160874
2020-03-26,12.93,13.68,12.70,13.50,7775886
2020-03-27,12.85,13.83,12.68,13.45,5612390
2020-03-30,13.75,13.96,13.28,13.66,7614514
2020-03-31,13.50,13.925,13.18,13.60,6796388
2020-04-01,13.00,13.27,12.34,12.80,7036166
2020-04-02,12.66,13.57,12.48,13.04,6683706
2020-04-03,12.75,13.08,12.125,12.24,6542576
2020-04-06,12.90,13.775,12.80,13.62,5158046
2020-04-07,14.33,14.61,13.20,13.23,6269821
2020-04-08,13.21,14.27,13.16,14.13,4545621
