Date,Open,High,Low,Close,Volume
2020-01-10,52.30,52.64,51.88,52.03,5483011
2020-01-13,52.09,52.62,51.82,52.62,6039482
2020-01-14,52.57,53.10,52.18,52.34,5277001
2020-01-15,52.01,52.33,51.40,51.78,4094959
2020-01-16,52.12,52.58,52.12,52.36,3822233
2020-01-17,52.53,53.08,52.53,52.90,5818562
2020-01-21,52.55,52.70,51.58,51.67,4215138
2020-01-22,51.86,52.44,51.64,52.26,4341548
2020-01-23,51.72,51.95,51.25,51.61,3307098
2020-01-24,51.67,51.67,50.50,51.06,3227062
2020-01-27,50.10,50.34,49.89,50.13,3634699
2020-01-28,50.40,50.93,50.29,50.41,4131916
2020-01-29,50.59,50.85,50.33,50.35,2964368
2020-01-30,50.00,51.35,49.91,51.30,2979288
2020-01-31,50.75,51.15,49.94,50.26,5736268
2020-02-03,50.52,51.38,50.43,51.16,2916645
2020-02-04,51.79,52.08,50.58,50.65,3441118
2020-02-05,51.38,52.65,51.27,52.48,4408399
2020-02-06,52.87,53.60,52.64,53.41,5286399
2020-02-07,52.98,53.76,52.93,53.46,3766298
2020-02-10,53.46,54.15,53.36,54.14,2756754
2020-02-11,54.34,54.8399,54.18,54.47,4656789
2020-02-12,54.90,55.095,54.28,54.28,3984127
2020-02-13,55.77,56.42,50.90,50.93,13179800
2020-02-14,49.86,50.66,48.29,48.48,11891210
2020-02-18,48.11,49.01,47.835,49.01,9404053
2020-02-19,49.40,49.78,49.10,49.41,5756034
2020-02-20,49.41,49.94,49.20,49.80,5507092
2020-02-21,49.55,49.78,48.59,48.60,4913794
2020-02-24,47.50,47.685,45.59,45.70,9774169
2020-02-25,45.85,46.34,45.19,45.24,8705976
2020-02-26,45.49,46.1294,44.73,45.00,7270000
2020-02-27,44.34,45.19,43.39,43.41,7159503
2020-02-28,42.28,42.95,41.31,42.16,10908320
2020-03-02,42.11,42.89,41.43,42.85,10262200
2020-03-03,42.68,43.88,41.17,41.49,11832160
2020-03-04,41.91,42.65,41.37,42.54,8324248
2020-03-05,41.00,41.71,40.18,40.65,9251376
2020-03-06,39.16,39.55,37.42,37.84,14681430
2020-03-09,34.61,35.00,30.41,32.81,19741440
2020-03-10,34.58,37.18,33.17,35.07,10322100
2020-03-11,33.68,34.30,31.90,32.43,10814890
2020-03-12,29.66,29.78,25.50,25.67,13594510
2020-03-13,27.55,28.58,25.09,28.50,11920610
2020-03-16,23.88,25.32,22.40,23.25,15835890
2020-03-17,23.98,24.03,20.52,22.25,15057890
2020-03-18,20.62,21.29,16.07,18.78,13531030
2020-03-19,18.49,21.38,17.52,20.60,11718960
2020-03-20,20.81,21.25,19.14,19.23,12948460
2020-03-23,18.96,20.08,18.08,19.30,9604905
2020-03-24,21.03,23.30,20.74,22.93,11436770
2020-03-25,23.20,27.75,22.03,25.72,14365080
2020-03-26,25.81,27.70,25.50,27.51,11286660
2020-03-27,26.00,26.76,25.01,25.51,9473490
2020-03-30,25.00,25.99,24.07,25.71,8377553
2020-03-31,25.48,25.79,23.8801,24.25,9555177
2020-04-01,22.70,22.87,21.01,21.61,10498730
2020-04-02,21.11,22.83,21.08,21.25,9317762
2020-04-03,21.25,21.69,19.90,20.46,9573017
2020-04-06,21.95,22.19,20.82,21.52,15414350
2020-04-07,23.46,24.96,22.90,23.26,12731570
2020-04-08,23.76,24.58,23.25,24.13,8539518
2020-04-09,24.95,27.65,24.89,26.54,11974670
2020-04-13,26.64,27.00,24.43,25.63,7367803
2020-04-14,26.30,27.10,25.23,25.78,8139687
2020-04-15,24.20,24.45,23.27,24.08,9225184
2020-04-16,23.85,24.12,22.94,23.18,8829444
2020-04-17,24.23,24.805,23.83,24.50,11039880
2020-04-20,24.01,24.28,23.035,23.75,6503122
2020-04-21,22.50,23.31,22.14,22.25,7213082
2020-04-22,23.08,23.54,22.14,22.26,8232266
2020-04-23,22.63,23.42,22.385,22.66,7604059
2020-04-24,23.14,23.70,22.47,23.35,9295707
2020-04-27,23.47,24.54,23.47,24.18,7602747
2020-04-28,25.09,25.69,24.41,25.28,9513938
2020-04-29,26.29,27.41,26.00,27.23,9621737
2020-04-30,26.71,26.81,25.39,25.43,6637605
2020-05-01,24.52,24.67,23.55,23.90,6409980
2020-05-04,23.84,24.43,23.12,24.07,9321921
2020-05-05,24.71,26.31,24.61,25.06,8944270
2020-05-06,25.21,25.36,23.23,23.31,7824658
2020-05-07,23.80,25.55,23.77,25.52,8239918
2020-05-08,26.28,27.70,25.81,27.65,9831415
2020-05-11,27.31,27.94,26.7093,27.55,8112052
2020-05-12,27.75,28.33,26.55,26.55,5604523
2020-05-13,26.09,26.1884,24.76,24.96,6238282
2020-05-14,24.45,25.88,23.48,25.76,6954751
2020-05-15,25.67,26.53,25.10,26.47,8185469
2020-05-18,28.00,28.97,27.87,28.45,8789458
2020-05-19,28.18,28.6094,27.43,27.63,5550344
2020-05-20,28.20,28.64,27.89,28.04,5175488
2020-05-21,27.99,29.23,27.935,28.81,5473920
2020-05-22,28.86,28.965,28.205,28.89,3727929
2020-05-26,30.28,31.74,30.28,31.01,8361382
2020-05-27,32.60,32.96,31.21,31.51,8387549
2020-05-28,31.97,32.19,30.82,31.12,5810402
2020-05-29,30.46,31.04,29.965,30.06,8765093
2020-06-01,30.11,30.97,29.76,30.55,4302645
2020-06-02,30.81,31.76,30.50,31.49,6668740
2020-06-03,32.53,33.465,32.26,33.25,6238185
2020-06-04,32.89,35.22,32.58,35.21,8438653
2020-06-05,38.69,38.9695,36.18,36.36,10453060
2020-06-08,37.31,39.51,37.31,39.44,10596730
2020-06-09,38.00,38.35,36.83,37.74,7047596
2020-06-10,37.25,37.30,35.15,35.16,8569309
2020-06-11,32.50,33.87,31.30,31.61,9228587
2020-06-12,33.50,33.58,31.24,33.04,7490065
2020-06-15,31.30,33.57,31.12,33.19,6949160
2020-06-16,35.49,35.50,32.74,33.29,7393988
2020-06-17,33.06,33.33,32.14,32.28,5963775
2020-06-18,31.87,33.00,31.54,32.47,4065249
2020-06-19,33.36,33.36,31.6673,31.81,7776402
2020-06-22,31.54,32.05,31.07,31.79,3955703
2020-06-23,32.48,32.73,31.92,32.05,3322926
2020-06-24,31.40,31.64,30.11,30.30,5960524
2020-06-25,30.00,31.34,29.81,31.26,5780984
2020-06-26,30.72,30.88,29.49,29.71,8006482
2020-06-29,30.25,30.89,29.88,30.68,5485145
2020-06-30,30.45,31.395,30.29,31.18,4660845
2020-07-01,31.01,31.57,29.495,29.58,6984514
2020-07-02,30.55,31.21,29.835,29.92,7866908
2020-07-06,30.95,31.61,30.47,30.74,6132543
2020-07-07,30.32,30.44,29.11,29.17,7413111
2020-07-08,28.85,29.94,28.82,29.85,7727704
2020-07-09,29.71,29.78,27.98,28.00,7357036
2020-07-10,28.22,30.13,28.06,30.10,7443529
2020-07-13,30.30,30.67,29.60,29.72,6132206
2020-07-14,29.87,30.82,29.38,30.79,5494573
2020-07-15,31.72,32.02,31.09,31.77,6813399
2020-07-16,31.35,33.04,31.18,32.56,6855099
2020-07-17,32.71,32.86,31.77,32.12,4336775
2020-07-20,31.99,32.02,31.40,31.41,4364450
2020-07-21,31.72,32.3299,31.46,31.96,4619147
2020-07-22,31.58,32.30,31.42,32.19,5729599
2020-07-23,31.95,32.38,31.66,31.87,4965011
2020-07-24,31.89,32.05,31.20,31.31,3960874
2020-07-27,31.10,31.15,30.40,30.85,5143729
2020-07-28,30.60,31.275,30.39,30.95,5220661
2020-07-29,30.88,32.93,30.88,32.67,10100380
2020-07-30,31.74,31.95,31.07,31.78,7075836
2020-07-31,31.71,32.15,31.40,32.14,6245205
2020-08-03,32.21,32.69,32.03,32.14,5834943
2020-08-04,31.06,31.31,29.46,29.72,17448390
2020-08-05,30.00,30.56,29.81,30.18,7385397
2020-08-06,30.40,30.90,29.28,29.32,9162819
2020-08-07,29.17,30.665,28.97,30.66,6015195
2020-08-10,31.00,31.67,30.98,31.46,4596443
2020-08-11,32.64,32.90,31.75,31.98,6370771
2020-08-12,32.52,32.65,30.59,30.94,6706205
2020-08-13,30.51,30.93,30.12,30.71,6252170
2020-08-14,30.38,31.42,30.23,30.99,4862862
2020-08-17,30.89,30.90,29.85,29.96,5643390
2020-08-18,30.06,30.20,29.49,29.58,7880805
2020-08-19,29.50,30.05,29.31,29.86,4870435
2020-08-20,29.37,29.63,29.085,29.13,4702191
2020-08-21,29.11,29.27,28.23,28.27,7366527
2020-08-24,28.52,29.57,28.28,29.55,5511071
2020-08-25,29.99,30.20,29.26,29.52,4134587
2020-08-26,29.46,29.51,28.74,29.06,3738832
2020-08-27,29.10,30.05,29.09,29.68,4973676
2020-08-28,30.12,30.12,29.23,29.37,6036638
2020-08-31,29.25,29.33,28.71,29.14,7539768
2020-09-01,28.87,29.36,28.67,29.15,4930493
2020-09-02,29.27,29.86,28.73,29.83,6534012
2020-09-03,30.00,30.96,29.23,29.40,7003866
2020-09-04,30.00,30.22,29.25,29.80,5783255
2020-09-08,29.38,29.55,28.57,28.89,7124724
2020-09-09,29.16,29.25,28.43,29.15,7432367
2020-09-10,29.27,29.58,28.03,28.16,7754922
2020-09-11,28.22,28.79,28.075,28.40,8491923
2020-09-14,28.77,29.60,28.60,29.40,6255218
2020-09-15,29.36,29.81,28.92,28.93,6438636
2020-09-16,28.76,30.06,28.59,29.77,10803410
2020-09-17,29.21,29.45,28.61,28.70,11420780
2020-09-18,28.50,28.987,27.92,27.99,13427430
2020-09-21,27.14,27.41,26.51,26.98,11872540
2020-09-22,26.95,27.72,26.85,27.34,10055240
2020-09-23,27.47,28.12,26.40,26.43,6986734
2020-09-24,26.40,27.09,25.57,26.48,5686893
2020-09-25,26.13,27.15,26.12,27.07,4886954
2020-09-28,27.66,28.035,27.42,27.63,7610414
2020-09-29,27.54,27.645,26.9601,27.29,4282412
2020-09-30,27.42,27.94,27.25,27.53,5338698
2020-10-01,27.56,28.01,27.305,27.72,5155535
2020-10-02,27.19,28.48,27.07,28.22,4558290
2020-10-05,28.77,29.42,28.58,29.05,5326077
2020-10-06,29.40,29.98,28.925,28.98,8161497
2020-10-07,29.28,29.68,28.955,29.56,4976689
2020-10-08,29.81,30.48,29.35,30.26,5610883
2020-10-09,30.43,30.57,29.75,29.95,8058396
2020-10-12,29.87,30.63,29.76,30.46,7711575
2020-10-13,30.17,30.28,29.49,29.82,7574044
2020-10-14,29.79,30.36,29.53,29.65,6996235
2020-10-15,29.16,29.98,29.12,29.96,3554599
