Date,Open,High,Low,Close,Volume
2020-01-10,51.90,52.775,51.70,52.25,705371
2020-01-13,52.35,53.55,52.325,53.45,841129
2020-01-14,53.20,53.35,52.80,53.10,1104326
2020-01-15,54.10,54.20,53.20,53.35,795445
2020-01-16,53.55,54.15,53.35,54.10,702437
2020-01-17,54.10,54.525,53.95,54.50,1205796
2020-01-21,53.75,53.85,52.85,53.50,1380666
2020-01-22,53.50,53.80,53.475,53.65,811558
2020-01-23,53.10,53.80,52.95,53.65,952097
2020-01-24,53.45,53.45,52.25,52.45,747907
2020-01-27,51.75,54.65,51.75,53.85,3042004
2020-01-28,54.10,55.125,53.95,54.45,1644393
2020-01-29,54.45,54.85,54.00,54.25,1252114
2020-01-30,53.70,54.175,53.25,54.15,1130372
2020-01-31,53.25,53.40,52.15,52.95,9995722
2020-02-03,52.95,53.825,52.05,53.40,2576262
2020-02-04,54.00,54.675,53.80,54.35,1628863
2020-02-05,54.70,55.495,54.45,55.10,2356082
2020-02-06,55.25,55.25,54.75,55.05,1716280
2020-02-07,54.55,54.75,54.00,54.10,1008193
2020-02-10,53.90,54.70,53.30,54.05,1180662
2020-02-11,54.25,55.175,54.15,54.85,1112003
2020-02-12,53.80,54.15,51.70,52.35,1675866
2020-02-13,51.65,51.75,50.675,50.80,1135585
2020-02-14,50.45,51.75,50.35,51.05,1135749
2020-02-18,51.20,51.30,50.625,51.05,884866
2020-02-19,51.15,51.90,50.85,50.90,1282481
2020-02-20,51.05,51.80,50.975,51.35,1048051
2020-02-21,51.05,51.30,50.30,51.20,906870
2020-02-24,50.55,50.65,49.50,49.65,1411260
2020-02-25,49.80,49.85,48.20,48.35,2239146
2020-02-26,48.70,49.425,48.50,48.80,2715800
2020-02-27,48.60,48.625,46.80,47.30,3066580
2020-02-28,46.35,47.15,45.65,46.60,3293438
2020-03-02,48.40,49.00,46.90,48.95,2039312
2020-03-03,47.95,49.15,47.175,47.95,2312424
2020-03-04,48.55,48.95,47.10,48.85,1718144
2020-03-05,47.55,48.375,46.70,46.95,1645018
2020-03-06,46.55,46.95,45.50,46.60,2161732
2020-03-09,44.50,45.95,43.05,44.40,3914104
2020-03-10,44.95,45.20,42.45,44.85,3755122
2020-03-11,41.15,41.95,39.70,39.95,3533784
2020-03-12,34.60,35.50,32.75,33.50,6012060
2020-03-13,35.20,36.50,31.60,34.10,6267530
2020-03-16,30.55,32.15,29.00,29.75,4413132
2020-03-17,30.75,31.15,29.25,31.15,3232538
2020-03-18,29.50,32.50,29.10,31.95,2435820
2020-03-19,32.15,37.625,31.90,37.15,3833790
2020-03-20,36.85,39.725,35.50,36.50,4982292
2020-03-23,35.60,36.00,32.90,33.10,2686310
2020-03-24,35.50,37.85,34.90,37.60,2649482
2020-03-25,37.05,39.55,36.625,38.55,2743378
2020-03-26,38.55,41.025,38.20,40.65,2564092
2020-03-27,38.40,40.175,36.90,39.00,2666922
2020-03-30,39.45,41.70,39.40,41.40,1246436
2020-03-31,40.75,41.625,40.20,40.60,1643395
2020-04-01,39.80,40.90,39.00,39.30,2343972
2020-04-02,40.35,42.00,40.125,40.90,2150756
2020-04-03,40.10,41.15,38.80,39.20,1662232
2020-04-06,40.85,41.65,40.30,41.10,1518514
2020-04-07,42.35,42.95,40.60,40.65,1347942
2020-04-08,41.10,43.35,40.40,42.55,1630556
2020-04-09,43.25,46.30,43.05,45.80,1869460
2020-04-13,45.45,45.90,44.175,44.50,1060162
2020-04-14,44.80,45.55,44.20,45.20,967174
2020-04-15,43.30,43.85,43.00,43.25,1272022
2020-04-16,42.75,43.00,41.55,42.30,1058220
2020-04-17,43.00,44.50,43.00,43.90,1051287
2020-04-20,43.70,43.95,42.8005,43.20,812498
2020-04-21,41.60,42.30,40.90,41.30,915297
2020-04-22,41.85,42.10,41.15,41.80,707878
2020-04-23,42.00,42.55,41.00,41.05,820380
2020-04-24,41.90,42.35,41.45,42.10,776224
2020-04-27,42.40,43.90,42.25,43.40,867266
2020-04-28,44.40,45.55,44.35,45.10,1862638
2020-04-29,45.95,46.70,45.75,46.20,941125
2020-04-30,45.40,45.75,44.50,44.85,1922580
2020-05-01,44.40,44.40,42.90,43.40,819520
2020-05-04,43.15,43.65,42.825,43.45,1311366
2020-05-05,43.25,44.00,42.825,42.90,826065
2020-05-06,42.20,43.375,42.15,42.40,776395
2020-05-07,42.65,43.625,42.55,43.05,1061467
2020-05-08,43.90,45.00,43.72,44.85,763133
2020-05-11,43.75,44.65,42.80,44.15,1053943
2020-05-12,45.00,47.725,45.00,45.55,1930509
2020-05-13,46.25,47.0095,44.85,45.55,1542949
2020-05-14,45.20,45.50,43.55,45.45,1005757
2020-05-15,45.30,45.80,44.90,45.50,747895
2020-05-18,47.30,48.60,47.25,48.20,932564
2020-05-19,47.70,48.05,46.90,47.00,916912
2020-05-20,46.95,47.70,46.65,47.25,1111117
2020-05-21,47.05,47.80,46.95,47.40,838203
2020-05-22,47.45,48.00,47.175,48.00,892600
2020-05-26,49.05,50.15,49.00,50.00,1045634
2020-05-27,49.70,49.70,48.60,49.30,1185041
2020-05-28,50.15,50.975,49.35,50.00,933672
2020-05-29,49.65,51.15,49.10,51.05,5478716
2020-06-01,50.75,51.70,50.15,50.90,1342464
2020-06-02,51.45,52.25,51.325,51.65,1755510
2020-06-03,52.20,53.875,52.00,52.50,1509296
2020-06-04,52.25,53.15,52.00,52.65,1008971
2020-06-05,53.85,55.075,53.55,54.40,1534804
2020-06-08,54.30,54.425,51.45,52.50,2276526
2020-06-09,51.75,52.00,50.70,51.00,1784135
2020-06-10,49.90,50.10,48.60,49.10,1575504
2020-06-11,47.85,48.30,45.70,45.95,2650744
2020-06-12,50.00,51.05,47.90,49.05,3468582
2020-06-15,47.85,51.736,47.70,51.00,3460830
2020-06-16,52.00,52.75,50.55,51.30,2171380
2020-06-17,51.65,52.10,51.10,51.35,1626662
2020-06-18,51.05,52.175,51.05,51.40,1523527
2020-06-19,51.40,51.70,50.15,51.55,8622330
2020-06-22,51.35,52.20,50.70,51.35,1998736
2020-06-23,51.65,52.20,51.10,51.20,1979738
2020-06-24,50.60,50.85,49.60,49.80,2240006
2020-06-25,50.20,50.70,49.60,50.05,2327726
2020-06-26,50.05,50.15,48.075,48.35,17272628
2020-06-29,48.90,49.95,48.40,49.75,2138548
2020-06-30,49.60,51.10,49.40,51.05,1808532
2020-07-01,50.95,51.95,50.35,51.65,1655687
2020-07-02,52.30,53.10,51.95,53.00,2850602
2020-07-06,53.65,53.90,52.60,53.75,2166752
2020-07-07,53.10,53.60,52.70,53.10,2030606
2020-07-08,52.70,52.85,51.55,52.25,1781008
2020-07-09,52.30,52.35,51.175,51.85,1830297
2020-07-10,52.15,52.75,51.95,52.55,1525361
2020-07-13,52.90,53.15,51.90,52.05,1676382
2020-07-14,52.00,53.20,51.95,53.05,1133619
2020-07-15,53.80,54.025,53.1535,53.50,1022524
2020-07-16,53.45,54.35,53.357,53.75,924426
2020-07-17,54.20,54.20,53.40,53.85,973294
2020-07-20,53.80,54.10,53.50,53.65,958398
2020-07-21,54.05,54.575,53.95,54.25,976119
2020-07-22,54.25,54.725,54.025,54.50,1475857
2020-07-23,54.40,54.65,53.175,53.70,1144569
2020-07-24,53.85,53.90,53.00,53.35,1122031
2020-07-27,53.90,54.125,53.15,54.10,1716622
2020-07-28,53.85,54.55,53.40,53.55,1458509
2020-07-29,53.50,53.75,52.675,53.10,1052944
2020-07-30,52.40,52.60,51.163,51.80,1483001
2020-07-31,51.60,51.70,50.25,51.50,4599580
2020-08-03,52.00,52.90,51.60,52.20,1799269
2020-08-04,52.25,53.75,52.25,53.50,1373386
2020-08-05,54.00,54.35,53.35,53.45,1468197
2020-08-06,53.65,54.20,53.25,54.00,1375024
2020-08-07,53.55,54.25,53.425,54.05,1004589
2020-08-10,54.55,55.70,54.15,55.50,1103763
2020-08-11,56.00,56.45,55.15,55.40,1270970
2020-08-12,55.95,56.15,55.575,55.95,653582
2020-08-13,55.45,56.30,55.35,56.00,1459712
2020-08-14,55.90,56.45,55.575,56.00,619895
2020-08-17,56.40,56.90,56.20,56.55,750948
2020-08-18,57.00,57.50,54.925,55.40,1516127
2020-08-19,56.75,57.925,56.10,56.45,2177826
2020-08-20,55.85,56.50,55.75,56.40,1137515
2020-08-21,56.15,56.30,55.425,55.55,1091154
2020-08-24,55.85,55.875,54.30,54.35,1488114
2020-08-25,54.50,54.525,53.40,54.35,1149244
2020-08-26,54.25,54.85,53.95,54.75,1105506
2020-08-27,55.30,55.625,55.10,55.35,991235
2020-08-28,55.40,56.30,55.15,56.25,738332
2020-08-31,55.95,56.00,55.15,55.30,1518685
2020-09-01,54.90,56.20,54.75,56.20,1519063
2020-09-02,55.40,57.15,55.10,57.15,2517424
2020-09-03,56.35,56.525,54.775,55.40,1654945
2020-09-04,55.75,56.00,54.325,55.10,1739322
2020-09-08,54.45,54.85,53.65,53.85,1809841
2020-09-09,54.40,55.475,54.25,55.05,1405399
2020-09-10,55.40,56.75,55.275,55.55,2335500
2020-09-11,55.80,55.8625,54.85,55.30,1180265
2020-09-14,55.55,56.325,55.25,55.75,2253752
2020-09-15,56.15,56.75,55.90,56.05,1124990
2020-09-16,56.35,56.675,55.85,55.95,1729036
2020-09-17,55.40,56.75,54.625,56.60,2380782
2020-09-18,56.65,56.90,56.05,56.25,2981648
2020-09-21,55.05,55.70,54.35,55.05,1771741
2020-09-22,54.85,55.675,54.75,55.20,874016
2020-09-23,54.95,54.95,52.825,52.90,1295005
2020-09-24,52.75,53.65,52.175,52.90,935694
2020-09-25,52.45,54.30,52.25,54.10,1379777
2020-09-28,54.80,54.90,54.40,54.55,1283075
2020-09-29,54.10,54.90,53.875,54.25,1021646
2020-09-30,54.85,55.55,54.60,55.25,1435575
2020-10-01,56.10,56.10,54.675,55.05,1463504
2020-10-02,54.45,55.90,54.275,55.05,1589850
2020-10-05,55.70,56.30,55.325,55.65,1656877
2020-10-06,55.60,56.35,54.95,55.05,1632893
2020-10-07,55.50,56.90,55.375,56.15,1443366
2020-10-08,56.05,56.75,55.90,56.70,1137864
2020-10-09,57.45,57.80,56.80,57.10,651547
2020-10-12,57.35,57.50,56.80,57.15,1212847
2020-10-13,57.05,57.35,56.40,57.05,715250
2020-10-14,57.25,57.475,56.775,57.00,623022
2020-10-15,56.25,57.375,56.20,57.35,654716
2020-10-16,57.60,57.95,57.325,57.50,852622
2020-10-19,57.60,57.80,56.35,56.40,763304
2020-10-20,56.40,56.85,55.875,55.95,1044776
2020-10-21,55.95,56.35,55.35,55.40,820577
2020-10-22,54.95,55.25,54.325,55.20,724242
2020-10-23,55.30,55.30,54.425,54.85,605075
2020-10-26,54.10,54.15,52.70,53.15,835744
2020-10-27,53.20,53.30,52.375,52.85,1072116
2020-10-28,51.70,52.325,51.30,51.60,1368524
2020-10-29,51.80,52.775,51.60,52.50,1027086
2020-10-30,52.40,52.725,51.55,52.15,1500403
2020-11-02,53.00,54.45,52.95,54.25,1206061
2020-11-03,54.90,55.95,54.60,55.70,664417
2020-11-04,55.55,56.00,54.65,55.45,1058223
2020-11-05,56.00,58.10,55.70,57.55,1027787
2020-11-06,58.60,59.65,56.925,57.60,1351390
2020-11-09,60.80,62.00,59.65,60.20,1929863
2020-11-10,59.05,59.375,58.30,59.30,1909246
2020-11-11,59.65,60.29,58.95,59.65,1441764
2020-11-12,58.65,59.25,56.85,57.75,2193328
2020-11-13,57.85,59.1875,57.60,58.95,875461
2020-11-16,60.00,61.15,59.05,60.75,1142878
2020-11-17,60.05,60.225,59.20,59.65,1173834
2020-11-18,59.70,60.00,59.15,59.20,854615
2020-11-19,58.95,59.725,58.50,59.60,766146
2020-11-20,59.80,60.10,59.375,59.65,789970
2020-11-23,59.00,59.00,57.60,57.85,1300343
2020-11-24,57.65,59.10,57.45,59.00,2017858
2020-11-25,58.10,58.35,57.65,57.95,1205502
2020-11-27,57.50,57.90,56.95,57.40,525811
2020-11-30,56.90,57.225,56.175,56.65,1264215
2020-12-01,57.35,58.025,57.15,57.65,920232
2020-12-02,57.40,58.025,57.20,57.35,949052
2020-12-03,57.50,57.925,57.00,57.20,814277
2020-12-04,57.40,58.125,57.35,57.70,921834
2020-12-07,57.40,57.425,56.275,56.75,1161552
2020-12-08,56.50,57.95,56.50,57.70,1093679
2020-12-09,57.65,58.25,57.55,58.05,1428788
2020-12-10,57.95,58.25,57.40,57.65,1234263
2020-12-11,56.95,57.45,56.55,57.20,1261411
2020-12-14,57.85,58.00,56.35,56.35,889392
2020-12-15,57.25,58.15,57.10,57.70,831738
2020-12-16,57.55,57.95,56.95,57.00,649215
2020-12-17,57.65,57.80,57.00,57.80,778223
2020-12-18,57.70,58.50,57.35,58.30,2804294
2020-12-21,57.05,57.50,55.80,57.35,939398
2020-12-22,57.55,58.075,57.45,57.50,999864
2020-12-23,57.70,58.30,57.65,57.80,406764
2020-12-24,58.20,58.30,57.675,58.20,191588
2020-12-28,58.55,58.80,57.90,57.95,365806
2020-12-29,58.50,58.50,57.65,58.00,502613
2020-12-30,58.40,58.875,58.30,58.70,525199
2020-12-31,59.05,59.19,58.20,58.85,564500
2021-01-04,58.50,58.85,56.75,56.90,1490467
2021-01-05,56.75,57.75,56.75,57.30,1531474
2021-01-06,57.40,59.375,57.40,58.90,1491515
2021-01-07,58.60,58.85,57.90,58.40,1157576
2021-01-08,58.20,58.55,56.75,57.50,743532
2021-01-11,56.80,57.925,56.80,57.70,755093
2021-01-12,57.50,58.45,57.10,58.15,827242
2021-01-13,57.85,57.90,56.775,57.15,1154859
2021-01-14,57.20,57.55,56.70,56.95,875068
2021-01-15,56.65,56.65,55.25,55.25,1323893
2021-01-19,55.70,55.80,54.65,54.75,1096378
2021-01-20,54.95,56.40,54.60,56.15,1126838
2021-01-21,55.50,56.60,55.35,56.25,1089665
2021-01-22,55.90,56.15,54.70,55.45,1460412
2021-01-25,55.50,56.125,54.275,54.85,1814633
2021-01-26,55.15,56.30,54.80,56.05,1127604
2021-01-27,55.15,56.40,54.90,55.30,1723937
2021-01-28,55.90,56.40,55.45,55.90,1620124
2021-01-29,55.55,55.60,54.40,54.70,2997888
2021-02-01,55.10,55.3955,53.40,54.45,1461062
2021-02-02,54.85,55.40,54.125,54.65,1070658
2021-02-03,56.15,56.50,53.30,55.05,2220296
2021-02-04,55.65,56.25,54.675,55.90,1123591
2021-02-05,56.50,57.65,56.475,57.35,1230911
2021-02-08,57.25,57.65,56.575,57.35,1276810
2021-02-09,56.95,57.75,56.10,56.20,1143688
2021-02-10,56.85,57.70,56.60,57.15,2314818
2021-02-11,57.20,57.25,55.95,56.50,1052164
2021-02-12,56.00,57.55,56.00,57.50,966128
2021-02-16,57.50,57.55,56.175,56.25,1079477
2021-02-17,56.25,56.90,55.70,56.50,1040832
2021-02-18,56.55,57.75,56.25,57.10,1487250
2021-02-19,57.10,57.90,56.60,57.10,1182651
2021-02-22,56.90,57.325,56.375,57.10,1315129
2021-02-23,56.90,57.30,55.90,56.85,1151879
2021-02-24,56.45,57.225,56.0265,57.05,895618
2021-02-25,57.00,57.45,56.30,56.70,816645
2021-02-26,56.40,56.70,54.60,54.70,1511863
2021-03-01,55.45,56.975,55.35,56.45,939069
2021-03-02,56.25,57.5325,55.95,57.15,1218986
2021-03-03,57.10,57.70,56.55,57.35,1062631
2021-03-04,57.50,57.95,55.70,56.35,1481062
2021-03-05,56.55,58.15,56.05,58.05,1078975
2021-03-08,58.30,59.90,57.95,58.80,1352269
2021-03-09,58.80,59.15,58.25,58.75,1752744
2021-03-10,58.75,60.10,58.20,59.65,1196920
2021-03-11,59.45,59.55,58.40,58.65,1201419
2021-03-12,59.05,59.20,58.50,58.85,824954
2021-03-15,58.25,58.85,57.95,58.80,1432137
2021-03-16,58.75,58.85,57.40,57.50,1434247
2021-03-17,57.65,58.40,57.125,58.20,1102540
2021-03-18,58.00,58.05,56.70,56.80,1488433
2021-03-19,56.40,57.55,51.65,56.50,7318706
2021-03-22,56.25,57.45,55.625,57.05,1531517
2021-03-23,56.80,57.90,56.40,56.85,1585446
2021-03-24,56.80,57.35,56.50,56.55,1211936
2021-03-25,56.75,58.25,56.20,57.90,1090140
2021-03-26,58.05,58.95,57.70,58.90,1034600
2021-03-29,58.40,59.40,58.225,59.00,1241629
2021-03-30,58.65,58.95,58.25,58.70,955014
2021-03-31,58.75,58.825,57.40,58.40,1471821
2021-04-01,58.40,58.40,56.80,58.30,1263234
2021-04-05,58.70,59.525,58.35,59.45,852600
2021-04-06,59.05,59.90,58.875,59.90,857243
2021-04-07,59.55,59.55,57.925,58.15,1166400
2021-04-08,57.75,58.35,57.6505,57.85,728238
2021-04-09,58.45,58.75,57.90,58.65,664781
2021-04-12,58.80,59.15,58.355,58.60,744638
2021-04-13,58.35,59.15,58.05,58.90,1303529
2021-04-14,58.80,59.10,58.30,58.70,703573
2021-04-15,59.20,59.70,58.65,59.45,644015
2021-04-16,59.95,60.3525,59.375,59.75,1329184
2021-04-19,59.85,59.875,58.775,59.30,743506
2021-04-20,59.40,59.60,58.925,59.30,816947
2021-04-21,59.25,60.025,59.15,59.70,845533
2021-04-22,59.40,59.60,58.20,58.25,1115019
2021-04-23,58.35,58.95,58.20,58.65,1096060
2021-04-26,58.95,59.25,58.55,58.70,797868
2021-04-27,58.40,58.50,57.95,58.35,897228
2021-04-28,58.60,59.225,58.40,58.45,759507
2021-04-29,59.05,59.55,58.65,59.45,974383
2021-04-30,59.40,59.40,58.30,58.75,2621730
2021-05-03,58.75,59.55,58.60,58.95,1543057
2021-05-04,59.30,62.50,59.30,62.15,2362160
2021-05-05,60.50,61.55,60.175,61.40,1144023
2021-05-06,61.65,62.55,61.35,62.45,1233286
2021-05-07,62.45,62.60,61.55,62.25,1039203
2021-05-10,62.85,63.80,62.25,62.25,1348598
2021-05-11,62.25,62.6875,61.55,62.00,950053
2021-05-12,61.85,62.25,60.65,60.75,1095630
2021-05-13,60.60,62.30,60.35,61.90,1417614
2021-05-14,61.90,62.35,61.70,61.85,852868
2021-05-17,61.90,62.05,61.20,61.45,1105232
2021-05-18,61.20,61.70,60.85,60.95,867237
2021-05-19,60.65,60.75,59.65,60.05,977203
2021-05-20,59.75,60.425,59.725,59.95,1006704
2021-05-21,59.95,60.575,59.70,59.90,838636
2021-05-24,60.30,60.55,59.50,59.70,747156
2021-05-25,58.85,59.25,58.45,58.60,1351038
