Date,Open,High,Low,Close,Volume
2020-01-10,168.92,169.932,167.50,169.16,749010
2020-01-13,169.82,170.80,168.90,169.73,692645
2020-01-14,169.73,170.31,167.91,168.42,588198
2020-01-15,167.46,169.475,167.02,168.29,581862
2020-01-16,169.34,171.95,169.34,171.95,748478
2020-01-17,172.49,173.75,171.64,172.43,777068
2020-01-21,171.25,172.09,170.16,170.25,540328
2020-01-22,171.46,172.33,171.00,171.14,526053
2020-01-23,169.97,171.47,168.02,171.38,751311
2020-01-24,171.40,171.48,166.5007,167.57,558929
2020-01-27,163.56,164.78,162.045,162.40,754502
2020-01-28,164.03,165.76,163.47,165.12,619737
2020-01-29,166.19,167.87,165.37,166.04,711092
2020-01-30,167.24,170.77,165.65,170.51,886951
2020-01-31,168.96,168.96,164.72,165.41,932875
2020-02-03,166.98,169.72,166.4566,167.46,864943
2020-02-04,171.40,174.4484,171.40,173.28,681168
2020-02-05,175.00,176.59,173.68,176.06,649827
2020-02-06,177.51,177.51,175.17,175.91,521896
2020-02-07,174.52,176.31,174.15,175.32,461208
2020-02-10,174.46,175.874,173.96,175.77,454523
2020-02-11,176.65,179.35,176.23,177.63,462473
2020-02-12,178.59,179.57,178.03,178.64,409294
2020-02-13,176.53,178.62,175.86,178.40,514128
2020-02-14,178.12,179.0117,177.55,178.82,525122
2020-02-18,177.90,179.48,175.75,177.29,994914
2020-02-19,178.55,179.42,177.82,179.04,559064
2020-02-20,178.26,180.854,177.98,179.72,654863
2020-02-21,178.64,178.95,174.67,175.43,595324
2020-02-24,168.52,169.38,163.29,164.47,846823
2020-02-25,164.89,165.3399,155.025,156.23,1085821
2020-02-26,156.39,160.36,156.00,156.00,1031948
2020-02-27,151.58,153.93,146.1169,146.18,1487175
2020-02-28,139.31,142.835,136.49,141.30,2050441
2020-03-02,142.13,150.89,139.49,150.86,1482611
2020-03-03,149.47,150.3432,139.44,140.56,1433545
2020-03-04,143.41,145.36,139.22,144.46,1243531
2020-03-05,138.36,139.41,132.635,134.51,1455991
2020-03-06,128.26,131.33,123.765,126.60,1588889
2020-03-09,114.16,118.395,107.6321,109.13,1498380
2020-03-10,114.85,119.54,110.50,119.28,1738693
2020-03-11,114.78,116.06,108.42,110.78,1535612
2020-03-12,101.18,104.68,92.02,92.42,1968258
2020-03-13,99.18,113.54,98.185,113.34,1810507
2020-03-16,90.78,99.955,85.95,86.34,1888742
2020-03-17,89.48,97.97,82.1101,97.94,1930512
2020-03-18,89.53,94.04,80.01,93.91,1803305
2020-03-19,91.82,99.1599,86.58,95.43,1601830
2020-03-20,97.28,98.00,86.505,89.83,1608746
2020-03-23,87.96,89.21,82.03,82.88,1449741
2020-03-24,89.56,100.76,86.99,100.06,1485930
2020-03-25,102.89,111.41,97.52,103.60,1375756
2020-03-26,105.53,111.88,100.6249,110.87,1298054
2020-03-27,105.00,108.58,102.88,103.33,1152707
2020-03-30,102.81,109.85,100.028,109.15,992198
2020-03-31,108.46,109.10,100.00,102.48,1281352
2020-04-01,95.89,99.48,93.16,94.31,1205914
2020-04-02,93.55,100.43,91.99,94.05,922510
2020-04-03,93.55,94.46,88.55,90.32,937906
2020-04-06,96.28,103.86,93.84,102.58,1064944
2020-04-07,109.17,112.23,102.41,103.48,1302911
2020-04-08,104.48,112.48,102.28,111.69,996338
2020-04-09,113.64,124.61,113.64,120.47,1608619
2020-04-13,116.88,117.84,113.11,114.92,827085
2020-04-14,118.37,118.47,111.725,114.30,1049181
2020-04-15,108.74,109.68,103.705,104.15,728672
2020-04-16,103.60,104.3435,100.11,101.69,861521
2020-04-17,107.04,111.62,106.82,110.95,1077257
2020-04-20,107.27,110.3862,105.61,110.11,1097575
2020-04-21,106.00,107.59,102.00,103.45,1239445
2020-04-22,106.56,107.546,104.20,104.91,626493
2020-04-23,105.59,107.77,103.69,104.35,504966
2020-04-24,105.77,108.40,103.74,107.48,730824
2020-04-27,108.87,113.01,108.285,112.45,771276
2020-04-28,116.95,118.28,112.31,113.48,1003984
2020-04-29,119.13,119.43,116.04,118.02,933812
2020-04-30,114.93,116.58,113.02,114.94,810802
2020-05-01,111.24,112.24,109.01,111.26,644446
2020-05-04,109.52,113.13,108.03,113.06,834290
2020-05-05,113.39,115.01,110.30,110.73,835938
2020-05-06,113.69,113.69,106.78,107.28,951964
2020-05-07,117.88,130.63,115.42,121.73,2111400
2020-05-08,124.46,127.25,122.49,125.61,872799
2020-05-11,123.33,125.21,121.38,123.87,719969
2020-05-12,124.88,126.305,121.14,121.15,946175
2020-05-13,120.58,121.85,115.05,117.37,1155097
2020-05-14,115.00,122.64,112.32,122.60,1356858
2020-05-15,121.13,125.37,119.40,121.98,2371138
2020-05-18,126.05,132.95,126.05,131.93,1121429
2020-05-19,129.07,132.33,127.71,128.54,918626
2020-05-20,132.35,133.995,130.42,131.63,895825
2020-05-21,131.47,134.38,131.20,132.12,731745
2020-05-22,131.99,133.12,129.41,132.46,730472
2020-05-26,138.63,142.83,138.04,140.04,1073464
2020-05-27,147.18,148.5657,143.68,146.22,966263
2020-05-28,147.63,148.26,143.07,143.64,901834
2020-05-29,140.74,142.94,137.88,140.07,1674449
2020-06-01,141.01,144.88,140.12,143.94,701364
2020-06-02,145.94,147.89,144.43,146.40,855681
2020-06-03,151.00,154.85,150.00,151.48,800948
2020-06-04,149.65,154.85,149.02,153.12,955236
2020-06-05,163.80,164.71,154.6878,155.57,1400275
2020-06-08,158.31,162.75,157.6101,162.70,1129165
2020-06-09,157.28,161.66,155.78,159.59,1362196
2020-06-10,158.29,159.92,153.64,154.05,1118665
2020-06-11,144.99,149.12,138.70,139.09,1137694
2020-06-12,146.83,148.56,141.75,146.64,1216973
2020-06-15,141.92,152.90,141.51,150.18,1745694
2020-06-16,158.04,158.04,150.18,153.51,1210389
2020-06-17,153.98,154.01,149.06,149.69,1418551
2020-06-18,148.69,153.705,147.91,150.53,1377207
2020-06-19,153.87,153.97,146.76,148.35,2098144
2020-06-22,148.75,151.28,147.16,148.28,1355115
2020-06-23,151.58,152.39,148.16,148.61,1215223
2020-06-24,146.62,146.67,140.785,142.96,1241031
2020-06-25,145.69,152.72,144.96,151.55,1434580
2020-06-26,148.69,149.60,143.92,147.03,2317819
2020-06-29,149.42,149.70,146.89,148.36,980969
2020-06-30,147.22,151.295,147.22,150.04,1116583
2020-07-01,150.44,151.7158,145.58,145.83,797445
2020-07-02,150.09,151.11,145.16,145.45,679903
2020-07-06,150.18,151.98,149.20,150.20,701710
2020-07-07,148.64,149.1793,145.88,146.13,848626
2020-07-08,145.67,148.99,145.67,148.41,796975
2020-07-09,148.39,148.65,142.37,143.29,627885
2020-07-10,143.70,148.91,143.56,148.58,762086
2020-07-13,150.22,151.585,147.76,147.99,748120
2020-07-14,147.54,150.21,146.38,149.80,551960
2020-07-15,153.65,154.61,150.53,154.10,638603
2020-07-16,152.63,155.11,151.23,152.89,531672
2020-07-17,153.80,154.10,152.00,153.37,636019
2020-07-20,152.04,154.76,151.12,154.38,735154
2020-07-21,154.85,158.71,154.83,157.33,670677
2020-07-22,156.59,160.14,156.59,157.96,749044
2020-07-23,157.23,159.65,156.44,156.81,617058
2020-07-24,156.00,157.71,155.11,155.26,624216
2020-07-27,154.56,156.87,152.20,156.34,565901
2020-07-28,154.70,156.24,154.03,154.05,692474
2020-07-29,153.70,157.05,152.03,156.91,866550
2020-07-30,153.32,153.32,148.785,152.04,955543
2020-07-31,152.42,154.42,151.07,153.63,692869
2020-08-03,154.42,156.44,152.53,155.69,583817
2020-08-04,154.05,154.85,151.67,153.42,765469
2020-08-05,155.34,157.24,155.19,156.17,634719
2020-08-06,155.06,156.79,154.31,155.85,508646
2020-08-07,153.89,159.93,153.67,159.84,620385
2020-08-10,160.00,162.20,160.00,160.83,497386
2020-08-11,164.00,165.73,162.32,162.55,744934
2020-08-12,165.38,165.47,159.18,161.08,474730
2020-08-13,159.67,161.25,158.78,159.00,536073
2020-08-14,158.38,160.98,157.82,159.66,474913
2020-08-17,159.69,159.82,157.76,157.83,437624
2020-08-18,158.05,158.35,156.34,156.50,600133
2020-08-19,156.65,160.06,156.57,156.85,588920
2020-08-20,155.24,157.39,154.27,155.14,516138
2020-08-21,155.24,156.79,153.92,154.51,654927
2020-08-24,155.38,157.75,155.33,157.72,914772
2020-08-25,159.48,159.88,156.86,156.99,537176
2020-08-26,156.77,156.915,155.03,155.74,528123
2020-08-27,155.78,160.49,155.50,159.10,567276
2020-08-28,160.02,160.02,156.96,158.89,498893
2020-08-31,158.89,158.89,156.79,156.80,750644
2020-09-01,155.59,157.425,154.10,157.16,688919
2020-09-02,157.03,160.69,156.37,159.73,589097
2020-09-03,160.64,163.5081,154.96,156.34,630809
2020-09-04,159.44,160.28,153.50,156.54,614470
2020-09-08,154.36,154.50,148.88,149.51,780509
2020-09-09,150.97,151.54,148.39,150.10,675534
2020-09-10,150.45,152.355,149.385,150.07,810767
2020-09-11,150.68,153.1522,149.91,152.10,667654
2020-09-14,153.50,156.8844,153.415,156.03,725580
2020-09-15,156.05,156.135,153.38,153.85,774232
2020-09-16,154.28,159.75,153.86,157.43,651546
2020-09-17,154.90,157.50,153.21,157.00,683938
2020-09-18,156.70,159.58,155.61,157.71,1436324
2020-09-21,153.62,155.14,147.68,150.39,913033
2020-09-22,150.11,152.37,147.16,148.69,630435
2020-09-23,149.34,151.24,145.185,145.35,459688
2020-09-24,145.46,147.06,141.82,144.61,519696
2020-09-25,142.77,148.06,142.64,146.74,502272
2020-09-28,149.72,152.80,147.90,151.48,710472
2020-09-29,150.25,151.535,147.00,150.38,521911
2020-09-30,151.63,156.38,150.84,154.11,954709
2020-10-01,155.19,156.91,153.17,155.31,596415
2020-10-02,152.15,160.69,152.02,158.85,576613
2020-10-05,161.04,163.42,160.87,162.66,667982
2020-10-06,164.52,165.56,159.435,159.80,656433
2020-10-07,162.62,165.67,161.81,164.89,692421
2020-10-08,166.58,169.50,165.4048,169.31,463980
2020-10-09,170.00,171.67,169.13,170.34,532150
2020-10-12,169.75,172.93,169.75,172.04,563534
2020-10-13,170.75,171.95,165.955,166.73,748745
2020-10-14,167.56,169.15,166.62,167.07,481012
2020-10-15,164.55,171.68,164.11,170.98,479562
2020-10-16,171.48,171.78,168.565,169.95,648265
2020-10-19,171.40,173.11,168.66,169.04,557280
2020-10-20,169.29,171.10,167.53,167.99,710281
2020-10-21,168.16,170.24,166.69,166.75,480301
2020-10-22,167.16,170.79,166.21,170.32,439434
2020-10-23,171.73,172.40,169.81,170.39,495153
2020-10-26,167.76,168.24,163.44,165.61,500866
2020-10-27,165.74,165.74,162.02,162.39,522261
2020-10-28,159.01,161.15,156.5399,158.25,739900
2020-10-29,158.98,162.76,155.33,161.11,730232
2020-10-30,159.92,161.49,157.83,160.83,656261
2020-11-02,163.86,165.53,162.3865,164.45,517162
2020-11-03,167.00,170.10,166.395,167.45,584000
2020-11-04,164.49,172.94,161.94,168.40,847994
2020-11-05,170.86,174.63,170.53,172.69,646208
2020-11-06,172.95,172.95,168.70,169.78,365375
2020-11-09,182.58,187.475,182.18,182.94,1386787
2020-11-10,182.74,184.53,178.6472,183.17,1034407
2020-11-11,185.16,185.18,180.03,181.30,566438
2020-11-12,180.38,180.88,175.6701,177.30,577353
2020-11-13,179.58,185.62,178.99,184.88,713996
2020-11-16,188.46,188.57,184.32,185.97,635100
2020-11-17,183.61,185.08,181.51,184.23,581486
2020-11-18,184.50,188.4423,183.28,183.33,446329
2020-11-19,181.82,184.10,180.26,183.63,436873
2020-11-20,182.81,182.99,179.77,179.80,527934
2020-11-23,181.73,184.25,181.08,183.76,526547
2020-11-24,186.81,193.19,185.72,192.67,762984
2020-11-25,191.79,191.94,188.48,190.19,670041
2020-11-27,190.08,191.50,189.25,190.75,300281
2020-11-30,188.35,190.12,184.735,185.24,1096721
