Date,Open,High,Low,Close,Volume
2020-01-10,209.38,209.825,207.56,208.06,448430
2020-01-13,208.31,209.46,207.55,209.07,547069
2020-01-14,208.60,209.235,206.735,207.65,606501
2020-01-15,207.69,210.32,206.97,209.03,534518
2020-01-16,210.17,210.975,209.11,210.15,548803
2020-01-17,210.90,211.96,210.36,211.85,943269
2020-01-21,211.30,212.28,210.17,211.26,1045270
2020-01-22,211.54,212.83,211.40,211.91,634902
2020-01-23,210.72,213.29,210.17,213.10,891635
2020-01-24,213.71,214.84,211.79,213.42,639631
2020-01-27,210.65,213.22,210.65,211.95,493658
2020-01-28,212.25,217.7172,212.25,216.56,982155
2020-01-29,217.00,218.44,216.27,216.58,839823
2020-01-30,215.08,219.8499,214.555,219.63,1213369
2020-01-31,223.76,227.71,219.76,220.25,1383509
2020-02-03,222.22,225.75,221.425,225.03,1193163
2020-02-04,227.00,228.63,226.48,226.64,1504081
2020-02-05,229.46,229.65,226.57,228.30,1025808
2020-02-06,228.41,230.04,227.91,229.60,873070
2020-02-07,229.87,230.60,228.88,230.13,918946
2020-02-10,229.64,231.23,229.14,231.07,688406
2020-02-11,232.00,233.63,231.11,231.22,822377
2020-02-12,230.68,232.035,230.05,230.92,589021
2020-02-13,230.91,234.59,230.76,234.58,790272
2020-02-14,234.89,235.81,233.745,235.73,585481
2020-02-18,233.32,235.46,232.54,235.27,760167
2020-02-19,236.65,238.19,235.35,237.43,1422471
2020-02-20,236.82,237.38,232.31,234.33,791481
2020-02-21,234.27,234.75,230.69,231.51,890724
2020-02-24,226.93,230.15,223.07,223.30,1250267
2020-02-25,227.38,228.17,221.47,222.44,1561974
2020-02-26,223.64,226.30,222.19,222.49,1093711
2020-02-27,219.84,221.72,212.05,212.22,1572151
2020-02-28,207.04,208.68,202.34,208.00,2363682
2020-03-02,208.78,221.23,208.60,221.06,2083043
2020-03-03,220.95,223.13,211.56,214.80,1251982
2020-03-04,218.65,225.56,216.71,225.48,1204813
2020-03-05,220.53,221.66,213.77,216.78,1283604
2020-03-06,209.48,216.01,206.468,214.81,1492781
2020-03-09,198.39,198.45,173.43,178.93,6143479
2020-03-10,184.80,189.67,175.25,183.10,4736359
2020-03-11,181.48,189.95,177.66,184.98,4925626
