Date,Open,High,Low,Close,Volume
2020-01-10,47.14,48.005,46.95,47.62,1707116
2020-01-13,47.77,48.59,47.64,48.54,1448036
2020-01-14,48.41,48.57,47.20,47.24,2156258
2020-01-15,47.08,47.21,46.18,46.61,2630834
2020-01-16,47.00,47.70,47.00,47.63,1687944
2020-01-17,47.82,47.94,46.90,46.93,1815794
2020-01-21,46.84,47.37,45.85,47.02,2663149
2020-01-22,47.32,48.15,46.50,46.50,2142782
2020-01-23,46.42,47.005,46.09,46.71,2146592
2020-01-24,46.75,47.03,45.20,45.43,2235435
2020-01-27,45.17,45.23,43.72,43.81,3440517
2020-01-28,44.74,46.29,44.455,45.49,6386925
2020-01-29,45.61,46.36,44.16,44.31,2517121
2020-01-30,43.25,43.92,42.29,43.45,2195333
2020-01-31,43.42,43.72,42.58,42.69,2789215
2020-02-03,43.07,43.14,42.23,42.28,2547185
2020-02-04,42.99,43.56,42.75,42.79,1287945
2020-02-05,43.33,43.96,43.14,43.80,1189522
2020-02-06,44.08,44.19,43.06,43.30,1285553
2020-02-07,42.92,43.02,41.96,41.99,1361014
2020-02-10,41.84,43.15,41.635,43.00,1269006
2020-02-11,43.29,44.39,43.25,44.01,1475618
2020-02-12,44.23,44.70,43.72,44.29,1420979
2020-02-13,43.88,44.20,43.72,44.00,884963
2020-02-14,44.00,44.34,43.7178,43.93,1157039
2020-02-18,43.80,44.22,43.23,43.98,1733878
2020-02-19,44.00,44.56,43.90,44.10,1070262
2020-02-20,44.10,44.69,43.90,44.52,937350
2020-02-21,44.22,44.29,43.89,44.09,1218359
2020-02-24,42.68,43.42,42.26,42.84,2262606
2020-02-25,41.21,41.93,40.51,40.95,3753835
2020-02-26,40.71,41.18,39.49,39.60,4449703
2020-02-27,38.82,42.56,38.76,40.12,3528393
2020-02-28,39.37,40.46,38.87,39.55,4720035
2020-03-02,39.73,41.03,38.70,41.00,3068224
2020-03-03,40.76,41.86,38.58,38.70,2740252
2020-03-04,39.38,40.58,38.09,40.57,4984043
2020-03-05,39.37,41.83,39.17,41.63,4313625
2020-03-06,40.49,42.86,40.41,42.69,4555625
2020-03-09,40.72,42.81,40.45,40.95,3661878
2020-03-10,41.83,42.24,39.75,42.19,3242969
2020-03-11,41.19,41.19,39.82,39.97,2325847
2020-03-12,38.03,40.49,38.00,38.73,6776115
2020-03-13,40.18,41.57,38.69,41.49,5280597
2020-03-16,37.16,39.57,37.16,37.99,3434416
2020-03-17,38.65,39.435,36.82,39.13,2883873
2020-03-18,37.13,39.46,34.77,38.43,2297856
2020-03-19,37.78,38.03,35.63,36.85,2806750
2020-03-20,37.13,37.15,34.12,34.75,2301353
2020-03-23,34.38,35.98,33.805,35.60,3217564
2020-03-24,36.83,37.47,35.69,36.49,2655749
2020-03-25,36.65,37.81,35.04,36.89,2858205
2020-03-26,37.24,38.17,36.76,37.28,1775873
2020-03-27,36.29,37.70,35.64,36.85,1809948
