Date,Open,High,Low,Close,Volume
2020-01-10,27.2075,27.245,27.0075,27.08,3024384
2020-01-13,27.1175,27.285,27.0825,27.2775,2885128
2020-01-14,27.2225,27.56,27.1875,27.375,4110048
2020-01-15,27.4825,27.50,27.045,27.1775,2798004
2020-01-16,27.3425,27.4475,27.205,27.4475,2363072
2020-01-17,27.28,27.515,27.00,27.3625,5101352
2020-01-21,27.1875,27.4358,27.0275,27.065,6856260
2020-01-22,26.79,27.2825,26.2775,26.6575,11501588
2020-01-23,26.4475,26.61,26.0825,26.585,7020160
2020-01-24,26.765,26.87,26.225,26.34,4569520
2020-01-27,25.845,25.9725,25.65,25.6575,6933680
2020-01-28,25.885,26.0925,25.7875,25.8525,6301184
2020-01-29,26.005,26.345,25.8275,25.855,4175744
2020-01-30,25.585,25.815,25.2275,25.4675,4949312
2020-01-31,25.3475,25.4425,24.7375,24.8675,6214900
2020-02-03,25.055,25.2575,24.935,24.9875,5942512
2020-02-04,25.4625,25.9775,25.4275,25.96,6195580
2020-02-05,26.415,26.415,26.015,26.1575,4010088
2020-02-06,26.2175,26.2175,25.8925,25.99,2819636
2020-02-07,25.8075,25.8775,25.6125,25.84,5577960
2020-02-10,25.6525,25.7925,25.6175,25.70,7157048
2020-02-11,25.79,26.05,25.6475,25.655,5501124
2020-02-12,25.9125,26.0075,25.7775,25.8875,3974380
2020-02-13,25.685,26.16,25.6425,26.0925,3848076
2020-02-14,26.095,26.1716,25.905,26.0175,2736340
2020-02-18,25.82,25.8525,25.25,25.3475,5959168
2020-02-19,25.50,25.8625,25.4475,25.7775,4218884
2020-02-20,25.695,25.9613,25.63,25.9275,4781460
2020-02-21,25.725,25.8475,25.2925,25.4375,4738076
2020-02-24,24.50,24.875,24.0125,24.4175,8784332
2020-02-25,24.6075,24.7625,23.80,23.8675,10114488
2020-02-26,24.0925,24.5075,23.8475,23.9175,9839080
2020-02-27,23.3825,23.90,23.14,23.145,8504308
2020-02-28,22.6125,23.1075,22.2975,22.92,11979052
2020-03-02,23.1025,23.7375,22.6525,23.7325,10159340
2020-03-03,23.655,24.41,23.18,23.2425,7252968
2020-03-04,23.6325,24.265,23.4175,24.25,5059920
2020-03-05,23.59,23.885,23.1875,23.355,6724068
2020-03-06,22.555,23.2425,22.52,23.14,6343016
2020-03-09,21.6675,24.525,21.25,21.3825,9308432
2020-03-10,22.085,22.6275,21.15,22.6225,11578632
2020-03-11,21.885,21.9675,20.5925,21.0675,9833136
2020-03-12,19.71,20.5775,18.7775,18.78,14556992
2020-03-13,19.805,20.215,18.3606,19.90,16927684
2020-03-16,17.47,18.46,16.025,17.085,14069304
2020-03-17,17.4025,18.285,16.6875,17.8325,11577848
2020-03-18,16.39,17.1125,15.7625,17.1025,11824412
2020-03-19,16.8275,17.375,16.08,17.19,12283652
2020-03-20,17.20,18.1725,17.1525,17.51,12535916
2020-03-23,17.235,17.97,16.25,17.25,14850400
2020-03-24,18.12,18.7475,17.9025,18.5375,11743244
2020-03-25,18.61,19.49,18.0012,18.73,10401740
2020-03-26,18.745,20.025,18.6275,19.7925,10330140
2020-03-27,18.995,19.33,18.5125,18.5675,7623644
2020-03-30,18.64,19.0475,18.3925,18.9575,10805800
2020-03-31,18.9675,19.0025,18.0975,18.22,9334900
2020-04-01,17.5375,18.005,17.3487,17.38,11401732
2020-04-02,17.4175,17.6313,16.865,17.19,17219264
2020-04-03,17.095,17.34,16.8975,17.105,8445040
2020-04-06,18.045,18.9425,17.865,18.835,15162852
2020-04-07,19.7675,19.93,18.885,18.9275,9949608
2020-04-08,19.065,20.02,19.0025,19.905,8838984
2020-04-09,20.0725,20.78,20.0699,20.4775,7142152
2020-04-13,20.09,20.3927,19.9763,20.165,6444612
2020-04-14,20.49,20.905,20.3175,20.6175,9466536
2020-04-15,20.0925,20.325,19.8402,20.0925,8656648
2020-04-16,20.095,20.2925,19.8975,20.215,6184128
2020-04-17,20.665,21.2175,20.6525,21.055,8874084
2020-04-20,20.3325,20.725,20.17,20.3125,7330320
2020-04-21,20.005,20.1925,19.0688,19.23,16418792
2020-04-22,19.665,20.625,19.3275,20.4175,13396360
2020-04-23,20.9575,21.5375,20.6535,20.995,11601684
2020-04-24,21.105,21.6325,21.0625,21.5425,5669284
2020-04-27,21.6575,22.0325,21.6575,21.8825,5668052
2020-04-28,22.45,22.6425,21.99,22.085,6748672
2020-04-29,22.50,23.185,22.44,23.04,5632828
2020-04-30,22.7325,22.805,22.0513,22.065,7697816
2020-05-01,21.5475,21.665,21.0775,21.375,6476080
2020-05-04,21.1725,21.2463,20.805,20.98,6734144
2020-05-05,21.24,21.7975,21.24,21.5625,3986392
2020-05-06,21.72,21.8638,21.4375,21.52,4184216
2020-05-07,21.85,22.1325,21.735,21.81,4206524
2020-05-08,22.195,22.3925,22.1075,22.39,4294960
2020-05-11,22.1025,22.1025,21.76,21.775,4541468
