Date,Open,High,Low,Close,Volume
2020-01-10,79.4711,79.4711,77.4439,77.5478,1323567
2020-01-13,77.4699,77.4699,76.7854,76.9934,2065489
2020-01-14,76.9674,77.7384,76.6815,77.1147,2264950
2020-01-15,76.8721,77.3919,75.8844,76.1443,1531056
2020-01-16,76.5775,79.2026,76.5775,79.012,1916498
2020-01-17,78.7521,79.8653,78.3839,79.2979,1766744
2020-01-21,78.8734,79.6271,78.3752,78.8387,1467465
2020-01-22,79.5664,80.0559,78.7434,78.9687,942880
2020-01-23,78.4402,80.0516,77.3226,79.991,1424126
2020-01-24,80.4068,80.4328,78.6221,79.3065,1546240
2020-01-27,77.2446,77.6258,76.4042,76.7594,1677164
2020-01-28,77.5998,78.2279,76.8461,77.6605,1453887
2020-01-29,78.2582,78.882,77.5392,77.8684,1563564
2020-01-30,73.6405,76.3609,73.216,75.9624,2534156
2020-01-31,75.148,75.4296,73.2853,73.4586,1617792
2020-02-03,74.1344,75.8584,73.8571,75.1307,1647827
2020-02-04,76.5082,78.856,76.439,78.4142,1525160
2020-02-05,79.5491,80.1382,78.2149,78.4229,1108092
2020-02-06,78.8127,78.83,75.9624,76.4476,1131359
2020-02-07,75.7805,75.7978,75.0527,75.4859,1250731
2020-02-10,75.3299,75.6765,74.5286,75.6332,933543
2020-02-11,75.9364,78.9253,75.4686,78.6481,1397433
2020-02-12,79.4365,79.965,78.7347,79.2805,878764
2020-02-13,78.3189,78.9253,77.7471,78.4229,724273
2020-02-14,78.3276,78.4229,76.3176,76.5169,1010085
2020-02-18,76.2916,77.5218,75.8671,76.257,979386
2020-02-19,76.5169,78.7261,76.049,78.5875,1403634
2020-02-20,77.9464,79.7397,77.9464,78.9167,1395340
2020-02-21,78.1023,78.3709,77.028,78.033,1203947
2020-02-24,75.1394,75.5292,72.5316,72.7569,2084087
2020-02-25,73.4413,73.5019,69.2308,70.2704,2525178
2020-02-26,71.1368,72.289,70.0018,70.2617,1691672
2020-02-27,69.7593,70.7902,67.0129,67.5587,3477207
2020-02-28,65.2542,68.7803,63.9373,67.6713,3533963
2020-03-02,68.1911,71.1974,67.2555,71.1888,2572226
2020-03-03,71.3967,73.5279,69.1615,69.8026,2685668
2020-03-04,71.1714,72.0378,69.5383,71.9945,1900954
2020-03-05,69.612,70.7556,67.5154,68.0092,1699228
2020-03-06,65.2888,67.5414,64.3705,66.0946,2398664
2020-03-09,61.165,62.0053,59.0164,59.7008,2767735
2020-03-10,62.6291,63.5475,60.3159,63.1056,2677309
2020-03-11,61.1563,62.0573,58.0201,58.2453,2660749
2020-03-12,54.468,56.1314,51.0892,51.4617,3380326
2020-03-13,54.4074,57.6129,52.1202,57.5869,2733877
2020-03-16,51.1239,51.1239,44.2536,44.2883,3218340
2020-03-17,45.3886,45.7914,39.5494,41.8538,4193537
2020-03-18,38.449,39.5926,25.315,29.0664,5891260
2020-03-19,28.7891,39.2981,25.4103,35.1569,7381952
2020-03-20,36.4304,42.9801,36.1532,39.1335,5598834
2020-03-23,38.4317,42.1397,36.4824,40.2857,4476733
2020-03-24,43.4739,45.1547,41.1954,42.9021,2802826
2020-03-25,44.3316,46.2853,41.2041,43.9504,2224878
2020-03-26,44.8774,48.4208,43.3353,47.8923,2293403
2020-03-27,45.0074,45.7524,42.8069,44.4269,2569807
2020-03-30,43.5519,44.8947,41.6026,43.2487,2676157
2020-03-31,43.5259,45.2326,41.9578,42.6595,2607332
2020-04-01,38.657,41.1261,38.2238,39.7832,2548432
2020-04-02,38.7436,42.2697,38.3364,39.4973,2460840
2020-04-03,39.7832,40.2511,37.2881,37.5047,2168349
2020-04-06,40.7276,43.9331,39.5926,43.2573,3110423
2020-04-07,46.8614,48.7154,45.4319,46.3502,3549316
2020-04-08,47.4158,52.3151,47.0347,52.1548,3670448
2020-04-09,54.7019,57.7429,53.7229,53.9135,3606956
2020-04-13,53.3331,53.5843,50.4135,52.6227,1275261
2020-04-14,53.7576,56.0015,53.1858,54.4247,1829765
2020-04-15,50.8033,53.0472,50.6907,52.7353,1731058
2020-04-16,52.3108,53.0992,50.0756,51.4271,1427006
2020-04-17,54.4594,56.1054,54.0522,55.3777,2965834
2020-04-20,53.2291,54.0782,50.8735,51.5744,2226250
2020-04-21,48.7674,51.739,48.5508,50.5521,1741218
2020-04-22,52.0076,53.0472,51.1412,52.4147,1425270
2020-04-23,53.2205,54.2774,52.5534,52.614,1096049
2020-04-24,54.0522,55.2217,53.1252,54.3554,1167729
2020-04-27,54.3121,57.1017,54.1475,56.7552,1514950
2020-04-28,58.9471,60.4459,57.5956,57.7688,1770843
2020-04-29,59.6575,62.7331,59.207,62.0833,1807280
2020-04-30,59.3456,61.5375,59.0857,60.2553,2128656
2020-05-01,58.3926,58.3926,55.525,56.9631,1743242
2020-05-04,55.5336,56.6859,54.8059,55.6809,2212964
2020-05-05,56.53,58.0851,56.0275,56.8678,2323254
2020-05-06,59.1983,59.2503,56.1747,56.4693,1158408
2020-05-07,57.5956,59.0857,56.3913,56.5126,1283042
2020-05-08,58.1587,59.5016,57.5609,59.0424,1114237
2020-05-11,57.8122,59.0336,56.3394,57.7948,1548731
2020-05-12,58.4446,58.6958,55.8282,55.8802,1140009
2020-05-13,55.8802,55.8802,52.0942,52.666,1775915
2020-05-14,50.9853,54.7453,49.6077,54.7106,1676143
2020-05-15,53.9569,55.7935,53.2811,55.5076,1225412
2020-05-18,58.4013,61.3382,58.4013,60.8011,1642734
2020-05-19,61.5115,64.3012,60.5932,60.6452,2335642
2020-05-20,62.1959,63.5258,61.7368,62.1266,2137700
2020-05-21,62.7851,64.4571,61.8104,61.9707,2130584
2020-05-22,61.8061,62.4914,60.7405,62.2826,1481648
2020-05-26,65.5141,66.1639,64.5005,65.5661,2014640
2020-05-27,68.3558,71.0068,65.4708,67.2555,2682978
2020-05-28,67.3248,67.7493,63.7207,63.79,2682375
2020-05-29,64.2752,65.5141,63.4218,65.2802,2572787
2020-06-01,65.7827,66.753,64.5611,66.3978,1431372
2020-06-02,67.4374,69.0142,66.753,69.0142,1857591
2020-06-03,70.3051,73.2507,70.3051,72.1937,4762602
2020-06-04,70.6429,72.9648,70.357,72.5056,2349376
2020-06-05,76.6208,77.106,73.6839,74.377,2504378
2020-06-08,75.9191,77.7471,75.3906,75.8064,3612931
2020-06-09,70.565,71.0761,65.3841,65.7653,7436427
2020-06-10,68.3731,71.57,67.1429,71.414,19582140
2020-06-11,66.2418,68.6936,63.1749,63.2009,7243729
2020-06-12,66.649,67.3854,63.7727,65.5488,4409081
2020-06-15,62.6898,66.0512,62.2046,65.4535,3507377
2020-06-16,68.0092,68.7976,64.9423,65.9733,2075129
2020-06-17,65.8866,66.3285,64.3272,65.8866,3092028
2020-06-18,65.2888,66.9523,64.3878,66.3718,1917103
2020-06-19,67.9139,69.9932,66.9869,67.3421,3713926
2020-06-22,67.8186,68.7023,66.3631,68.0265,2591813
2020-06-23,69.3174,70.0711,67.3248,68.2345,2245314
2020-06-24,67.732,67.7493,64.4216,64.6477,2825982
2020-06-25,64.0153,66.5884,63.5561,66.3891,1868715
2020-06-26,66.1032,66.7357,64.0586,64.2232,4262843
2020-06-29,64.4831,65.7827,64.2016,65.5574,2245423
2020-06-30,65.2888,67.9572,64.769,67.5067,2748325
2020-07-01,67.4981,67.5674,64.4528,65.3408,1678527
