Date,Open,High,Low,Close,Volume
2020-01-10,70.22,70.85,69.21,69.51,574810
2020-01-13,69.83,70.90,69.50,70.77,426759
2020-01-14,70.67,71.85,69.47,71.365,1030531
2020-01-15,71.54,72.965,71.54,72.70,389894
2020-01-16,73.12,75.31,73.12,75.22,522734
2020-01-17,75.53,75.85,73.55,73.60,346745
2020-01-21,73.25,75.4399,73.25,75.26,509065
2020-01-22,75.60,79.45,75.60,79.08,1681624
2020-01-23,79.07,80.6581,78.58,78.64,748793
2020-01-24,79.19,80.84,77.285,80.55,1104829
2020-01-27,78.59,79.455,77.82,77.91,966624
2020-01-28,78.31,80.14,77.79,78.97,512653
2020-01-29,79.77,80.79,78.75,79.91,446386
2020-01-30,79.20,80.04,77.14,78.34,332151
2020-01-31,78.16,78.61,76.375,76.81,537693
2020-02-03,77.37,78.29,76.50,77.59,511355
2020-02-04,78.99,82.49,78.6949,81.79,717268
2020-02-05,83.23,83.6277,79.77,81.81,614271
2020-02-06,82.22,83.90,81.25,83.53,494711
2020-02-07,83.36,83.85,81.67,82.85,309458
2020-02-10,82.88,85.73,82.78,85.44,648533
2020-02-11,86.04,87.51,84.89,87.14,531919
2020-02-12,87.77,88.23,86.435,87.98,642472
2020-02-13,87.53,89.16,87.23,87.74,547707
2020-02-14,87.86,88.44,86.70,87.11,592228
2020-02-18,87.22,87.73,86.12,87.31,446781
2020-02-19,87.88,90.10,87.46,88.90,549516
2020-02-20,86.15,87.89,82.33,86.46,886768
2020-02-21,86.74,87.09,84.61,85.99,469035
2020-02-24,79.74,84.81,77.95,82.41,945357
2020-02-25,82.82,84.22,79.14,79.51,765986
2020-02-26,79.60,82.862,79.4907,80.40,675376
2020-02-27,77.90,80.82,74.21,77.12,1038982
2020-02-28,72.00,78.11,71.00,77.37,1852697
2020-03-02,77.93,82.68,75.75,82.34,1405525
2020-03-03,82.70,83.48,77.27,78.10,941065
2020-03-04,79.80,81.27,78.28,80.66,760560
2020-03-05,78.24,79.64,73.85,75.17,817138
2020-03-06,72.46,75.64,71.55,74.44,814341
2020-03-09,69.17,70.52,62.66,66.11,1024385
2020-03-10,69.02,69.02,63.60,67.11,776214
2020-03-11,64.88,66.36,59.60,60.47,1165835
2020-03-12,54.19,59.98,51.86,56.72,1225882
2020-03-13,60.33,62.79,54.696,62.43,996818
2020-03-16,54.32,58.65,52.7575,53.92,1015190
2020-03-17,54.42,57.3754,51.30,57.15,993412
2020-03-18,53.20,55.87,50.051,52.61,935742
2020-03-19,52.89,64.2514,52.2397,62.01,1219173
2020-03-20,62.15,65.22,59.80,60.78,1270681
2020-03-23,60.53,65.01,58.06,63.41,840989
2020-03-24,66.66,70.96,66.50,69.83,824578
2020-03-25,69.84,74.09,66.59,71.15,803496
2020-03-26,72.64,77.86,72.305,76.52,745939
2020-03-27,73.08,77.23,71.87,74.41,824633
2020-03-30,74.30,76.36,69.10,69.46,1103102
2020-03-31,69.03,72.72,67.96,70.77,1286102
2020-04-01,67.58,69.67,63.70,64.72,690315
2020-04-02,64.99,67.29,61.23,62.64,508238
2020-04-03,61.99,62.415,60.55,61.51,557719
2020-04-06,64.56,68.65,63.76,68.00,773140
2020-04-07,70.67,71.99,68.10,68.96,769700
2020-04-08,70.27,73.40,69.3973,72.48,565426
2020-04-09,73.74,76.25,72.60,74.70,443244
2020-04-13,73.76,74.38,71.67,73.49,326301
2020-04-14,75.10,77.54,74.90,76.62,418589
2020-04-15,73.89,75.49,72.34,74.13,463690
2020-04-16,74.52,75.00,70.65,72.77,627425
