Date,Open,High,Low,Close,Volume
2020-01-10,35.00,35.07,34.66,34.74,39740670
2020-01-13,34.84,35.07,34.66,35.06,38015940
2020-01-14,35.30,35.67,35.11,35.32,66786220
2020-01-15,34.765,34.79,34.34,34.67,74745460
2020-01-16,34.90,34.99,34.6005,34.72,50368510
2020-01-17,34.92,34.95,34.60,34.71,54156070
2020-01-21,34.42,34.52,34.22,34.26,50811010
2020-01-22,34.37,34.45,34.23,34.36,38879690
2020-01-23,34.09,34.26,33.73,34.12,45717150
2020-01-24,34.12,34.14,33.27,33.54,47797210
2020-01-27,32.57,33.13,32.47,32.85,57096170
2020-01-28,33.02,33.49,32.945,33.24,38834590
2020-01-29,33.33,33.44,32.98,33.01,37428280
2020-01-30,32.70,33.52,32.67,33.48,50542760
2020-01-31,33.07,33.17,32.65,32.83,54845280
2020-02-03,33.00,33.40,32.915,32.97,48508200
2020-02-04,33.56,33.90,33.53,33.62,45061580
2020-02-05,34.10,34.81,34.07,34.71,54604760
2020-02-06,34.94,35.01,34.60,34.67,39511500
2020-02-07,34.32,34.655,34.245,34.61,31263030
2020-02-10,34.44,34.69,34.38,34.69,24373790
2020-02-11,34.85,35.04,34.76,34.77,32476330
2020-02-12,35.08,35.45,34.785,34.92,36656690
2020-02-13,34.76,35.03,34.55,34.91,31775120
2020-02-14,34.88,34.96,34.70,34.85,26447710
2020-02-18,34.77,34.83,34.01,34.27,40327240
2020-02-19,34.45,34.85,34.41,34.72,29632110
2020-02-20,34.46,35.08,34.46,34.85,42604080
2020-02-21,34.53,34.635,34.135,34.36,46675460
2020-02-24,33.18,33.21,32.52,32.73,79159580
2020-02-25,32.69,32.76,30.84,31.08,91586820
2020-02-26,31.39,31.60,30.56,30.63,80065690
2020-02-27,29.55,30.30,28.91,29.13,121148300
2020-02-28,28.00,28.75,27.70,28.50,171263600
2020-03-02,28.35,29.38,27.44,29.37,147776300
2020-03-03,29.37,29.745,27.62,27.75,138698500
2020-03-04,28.25,28.42,27.395,28.39,111239800
2020-03-05,27.24,27.35,26.40,26.78,110878700
2020-03-06,25.47,26.21,25.10,25.71,119121200
2020-03-09,22.23,23.49,21.51,21.93,145196000
2020-03-10,23.25,23.675,21.585,23.61,134863600
2020-03-11,22.84,23.96,22.26,22.67,127543800
2020-03-12,20.59,22.87,20.15,20.51,139552600
2020-03-13,22.19,24.25,21.48,24.16,128357400
2020-03-16,19.85,21.727,19.58,20.44,121688800
2020-03-17,21.06,22.685,20.03,21.98,120065700
2020-03-18,20.27,20.97,19.70,20.79,148272500
2020-03-19,20.26,21.75,19.00,21.20,122461300
2020-03-20,21.76,21.84,19.56,19.67,150910400
2020-03-23,19.26,19.67,17.95,18.08,181898500
2020-03-24,19.42,21.15,19.01,21.03,147882400
2020-03-25,21.71,22.10,20.4089,21.10,146991300
2020-03-26,21.31,22.95,21.17,22.72,116271100
2020-03-27,21.68,22.20,21.10,21.60,91522850
2020-03-30,21.65,22.35,21.27,22.04,80449110
2020-03-31,21.82,22.49,20.96,21.23,95213700
2020-04-01,19.93,20.35,19.51,19.77,83961300
2020-04-02,19.65,20.79,19.59,20.57,70007360
2020-04-03,20.40,20.74,19.6804,20.03,68293500
2020-04-06,21.03,21.60,20.81,21.39,97766160
2020-04-07,22.80,22.88,21.85,22.14,94560310
2020-04-08,22.41,23.60,22.41,23.45,81212300
2020-04-09,24.07,25.32,24.05,24.86,125414800
2020-04-13,24.78,24.85,23.78,23.92,83164720
2020-04-14,24.50,24.65,23.10,23.73,88991070
2020-04-15,22.16,22.65,21.91,22.19,99082220
2020-04-16,22.15,22.21,21.09,21.42,89213330
2020-04-17,22.34,23.40,22.31,23.28,92800270
2020-04-20,22.57,23.13,22.18,22.50,74446280
2020-04-21,21.90,22.365,21.50,21.64,78871340
2020-04-22,22.16,22.23,21.75,21.80,49759120
2020-04-23,21.96,22.39,21.85,21.87,50614820
2020-04-24,22.11,22.30,21.67,22.18,47675740
2020-04-27,22.52,23.65,22.45,23.47,66916690
2020-04-28,24.45,24.81,23.845,23.89,65504910
2020-04-29,24.91,25.11,24.51,24.78,73493910
2020-04-30,24.21,24.38,23.85,24.05,55244090
2020-05-01,23.38,23.46,22.8128,23.08,51772620
2020-05-04,22.70,22.99,22.43,22.93,45886130
2020-05-05,23.48,23.515,22.62,22.66,45691920
2020-05-06,23.00,23.08,22.23,22.35,53874590
2020-05-07,22.66,23.37,22.61,22.84,51884260
2020-05-08,23.47,23.62,23.25,23.57,45250010
2020-05-11,23.11,23.12,22.56,22.58,68951800
2020-05-12,22.71,22.82,21.85,21.87,69588710
2020-05-13,21.66,21.75,20.72,20.87,112113400
2020-05-14,20.29,21.79,20.10,21.71,88359140
2020-05-15,21.40,21.6979,21.225,21.44,64483960
2020-05-18,22.42,23.06,22.07,22.93,86699200
2020-05-19,22.66,23.00,22.185,22.21,62178970
2020-05-20,22.68,23.00,22.64,22.91,59789480
2020-05-21,22.81,23.27,22.78,22.90,57725990
2020-05-22,22.93,22.9502,22.46,22.66,48107030
2020-05-26,23.75,24.60,23.67,24.28,119485500
2020-05-27,26.07,26.17,24.97,25.98,117672700
2020-05-28,26.08,26.14,24.79,24.86,84436770
2020-05-29,24.42,24.91,24.06,24.12,113923800
2020-06-01,24.28,24.87,24.05,24.61,58470230
2020-06-02,24.96,25.39,24.56,24.84,71118140
2020-06-03,25.50,26.14,25.385,25.99,86744560
2020-06-04,25.71,26.83,25.57,26.78,94545290
2020-06-05,28.95,29.01,27.88,28.11,118767900
2020-06-08,28.59,28.90,28.14,28.54,79598450
2020-06-09,27.72,28.54,27.55,28.22,77773380
2020-06-10,27.97,28.10,26.51,26.60,90415310
2020-06-11,24.98,25.69,23.68,23.93,149875500
2020-06-12,25.03,25.05,24.04,24.78,73729710
2020-06-15,23.76,25.17,23.69,25.15,76538950
2020-06-16,26.18,26.24,24.86,25.80,96796550
2020-06-17,25.90,25.90,24.92,25.00,58349480
2020-06-18,24.70,25.49,24.58,25.04,53419010
2020-06-19,25.44,25.49,24.49,25.25,127563600
2020-06-22,24.89,25.025,24.61,24.62,55484310
2020-06-23,25.01,25.41,24.76,24.79,46108280
2020-06-24,24.54,24.54,23.68,23.81,75437100
2020-06-25,23.70,24.77,23.55,24.72,65031930
2020-06-26,24.09,24.11,23.02,23.15,118139200
2020-06-29,23.41,23.835,23.10,23.39,66269230
2020-06-30,23.20,23.91,23.0999,23.75,61716160
2020-07-01,24.03,24.07,23.23,23.26,57379920
2020-07-02,23.84,23.99,23.22,23.29,56000150
2020-07-06,23.82,24.08,23.46,23.66,59589040
2020-07-07,23.38,23.39,22.90,23.01,60645830
2020-07-08,23.03,23.19,22.70,23.10,52922610
2020-07-09,22.94,23.16,22.39,22.77,79385860
2020-07-10,22.71,24.05,22.68,24.02,81142930
2020-07-13,24.37,24.51,23.855,24.19,73598110
2020-07-14,23.89,24.145,23.45,24.14,67423070
2020-07-15,24.76,24.87,24.28,24.60,57384440
2020-07-16,23.75,24.22,23.54,23.93,78067080
2020-07-17,23.88,23.975,23.20,23.22,66920230
2020-07-20,23.19,23.70,23.11,23.58,61113960
2020-07-21,23.71,24.48,23.69,24.42,75546080
2020-07-22,24.24,24.33,23.965,24.31,52193710
2020-07-23,24.52,24.64,24.11,24.54,61047620
2020-07-24,24.56,24.83,24.27,24.35,50217640
2020-07-27,24.22,24.27,23.875,24.14,54721350
2020-07-28,24.13,24.56,24.075,24.36,48406510
2020-07-29,24.36,25.29,24.19,25.27,71393500
2020-07-30,24.72,24.95,24.345,24.84,61755890
2020-07-31,24.93,24.95,24.46,24.88,62039250
2020-08-03,25.03,25.31,24.69,24.99,58284030
2020-08-04,24.96,25.06,24.86,25.01,37985270
2020-08-05,25.32,25.59,25.25,25.39,51695570
2020-08-06,25.45,25.665,25.28,25.47,51999730
2020-08-07,25.34,26.1911,25.26,26.11,63354500
2020-08-10,26.31,26.81,26.21,26.56,64051120
2020-08-11,27.28,27.75,26.78,26.92,81440970
2020-08-12,27.48,27.57,26.41,26.73,62023960
2020-08-13,26.49,26.67,26.14,26.35,55955480
2020-08-14,26.06,26.6601,25.92,26.47,50931870
2020-08-17,26.31,26.41,25.84,25.90,57518710
2020-08-18,25.87,25.985,25.46,25.53,45850130
2020-08-19,25.66,26.08,25.39,25.50,59855950
2020-08-20,25.16,25.325,25.02,25.10,49403690
2020-08-21,24.98,25.43,24.90,24.98,55010690
2020-08-24,25.22,25.70,25.04,25.69,54579460
2020-08-25,26.04,26.19,25.73,26.00,57304730
2020-08-26,25.94,25.94,25.54,25.56,39477980
2020-08-27,25.49,26.22,25.44,26.05,52934790
2020-08-28,26.40,26.47,25.99,26.30,46466390
2020-08-31,26.09,26.14,25.69,25.74,49416220
2020-09-01,25.58,25.90,25.40,25.71,46152100
2020-09-02,25.53,26.1579,25.485,26.02,57300860
2020-09-03,26.20,26.62,25.46,25.66,86192500
2020-09-04,26.26,26.76,25.80,26.54,99621410
2020-09-08,26.14,26.32,25.39,25.48,74978640
2020-09-09,25.64,25.72,25.23,25.51,53822650
2020-09-10,25.70,25.89,25.08,25.14,56609620
2020-09-11,25.22,25.58,25.09,25.50,47708340
2020-09-14,25.67,25.99,25.54,25.75,47802390
2020-09-15,25.77,25.825,25.19,25.28,63820150
2020-09-16,25.28,25.91,25.05,25.60,64623410
2020-09-17,25.13,25.4816,25.10,25.35,48862040
2020-09-18,25.15,25.58,25.10,25.21,94055810
2020-09-21,24.57,24.78,24.03,24.47,75218580
2020-09-22,24.27,24.595,23.81,23.94,68665350
2020-09-23,24.10,24.26,23.26,23.26,59950330
2020-09-24,23.38,23.82,22.95,23.34,53570650
2020-09-25,23.28,23.55,23.13,23.49,42111340
2020-09-28,23.88,24.31,23.79,24.09,47996900
2020-09-29,23.98,23.99,23.525,23.77,45716130
2020-09-30,23.78,24.32,23.77,24.09,56226100
2020-10-01,24.27,24.41,23.863,24.10,44782150
2020-10-02,23.64,24.431,23.57,24.21,51682110
2020-10-05,24.52,24.71,24.38,24.62,44396750
2020-10-06,24.92,25.19,24.28,24.37,67541140
2020-10-07,24.63,25.11,24.60,24.88,47647960
2020-10-08,24.95,25.30,24.81,25.24,52080650
2020-10-09,25.34,25.49,25.04,25.36,44511470
2020-10-12,25.30,25.83,25.24,25.68,48362920
2020-10-13,25.64,25.68,24.84,24.95,61186940
2020-10-14,24.35,24.59,23.59,23.62,127563400
2020-10-15,23.59,24.20,23.48,24.15,66832400
2020-10-16,24.20,24.35,23.94,24.24,58357720
2020-10-19,24.30,24.32,23.69,23.72,51377930
2020-10-20,23.89,24.48,23.88,24.14,62476420
2020-10-21,24.22,24.34,24.01,24.05,41564910
2020-10-22,24.05,24.91,24.00,24.87,55401970
2020-10-23,25.24,25.26,24.71,24.90,51007410
2020-10-26,24.47,24.58,24.15,24.54,59450200
2020-10-27,24.29,24.39,23.81,23.85,55009290
2020-10-28,23.41,23.66,23.12,23.47,81942520
2020-10-29,23.36,23.75,23.12,23.54,57490450
2020-10-30,23.49,23.84,23.24,23.70,66499910
2020-11-02,23.89,24.26,23.47,24.08,59756370
2020-11-03,24.58,24.94,24.51,24.69,65106150
2020-11-04,23.89,24.14,23.265,23.68,88845450
2020-11-05,23.90,24.7879,23.855,24.61,74722610
2020-11-06,24.93,24.96,24.23,24.31,55454490
2020-11-09,26.60,28.27,26.30,27.76,178378800
2020-11-10,27.485,27.76,27.18,27.66,77694590
2020-11-11,27.75,27.77,27.12,27.34,48360930
2020-11-12,26.84,26.90,26.31,26.69,67956940
2020-11-13,26.88,27.21,26.755,27.00,52453270
2020-11-16,27.86,28.00,27.18,27.58,57396670
2020-11-17,27.25,27.60,27.01,27.55,46402310
2020-11-18,27.63,27.93,26.96,26.98,54416690
2020-11-19,26.93,27.01,26.65,26.98,46422960
2020-11-20,26.74,26.9459,26.63,26.81,40537950
2020-11-23,27.11,27.52,27.06,27.39,45421200
2020-11-24,27.93,28.99,27.92,28.98,80387850
2020-11-25,28.71,29.04,28.4801,29.03,57249940
2020-11-27,28.97,29.10,28.811,28.99,25971560
2020-11-30,28.72,28.86,28.10,28.16,63567900
2020-12-01,28.74,29.04,28.67,28.69,50307330
2020-12-02,28.69,29.18,28.5325,29.06,45257520
2020-12-03,28.94,29.10,28.63,28.91,54013740
2020-12-04,29.20,29.425,29.00,29.29,66188150
2020-12-07,28.90,29.15,28.685,29.09,42197780
2020-12-08,28.86,29.15,28.7701,28.93,33869090
2020-12-09,29.25,29.25,28.75,28.80,54886290
2020-12-10,28.63,29.13,28.47,29.11,58859560
2020-12-11,28.68,28.745,28.3012,28.57,40538420
2020-12-14,28.92,28.96,28.14,28.22,40267070
2020-12-15,28.35,28.82,28.2474,28.64,43717800
2020-12-16,28.80,28.82,28.44,28.72,42463170
2020-12-17,28.71,28.92,28.53,28.83,43182680
2020-12-18,28.89,29.10,28.565,28.67,82817180
2020-12-21,29.10,29.99,28.73,29.74,93397350
2020-12-22,29.78,29.78,29.17,29.21,39140380
2020-12-23,29.39,30.35,29.331,30.05,52537150
2020-12-24,30.27,30.27,29.74,29.96,22632270
2020-12-28,30.23,30.545,29.985,30.13,32861180
2020-12-29,30.17,30.25,29.93,30.01,33291880
2020-12-30,30.00,30.22,29.94,29.98,26370150
2020-12-31,30.01,30.39,29.90,30.31,28716040
2021-01-04,30.46,30.57,29.75,30.03,51483910
2021-01-05,30.17,30.54,29.91,30.26,48507020
2021-01-06,31.90,32.62,31.355,32.15,107002800
2021-01-07,33.31,33.62,32.84,32.86,74358470
2021-01-08,32.92,33.00,32.1131,32.53,44641360
2021-01-11,32.09,33.13,31.90,33.07,51899630
2021-01-12,33.42,33.97,33.20,33.66,68166190
2021-01-13,33.43,33.68,33.09,33.46,43172780
2021-01-14,33.48,34.37,33.42,33.99,48483460
2021-01-15,33.29,33.63,32.70,33.01,57684300
2021-01-19,32.50,33.60,32.20,32.77,78130240
2021-01-20,32.76,32.79,32.155,32.34,53920030
2021-01-21,32.34,32.48,31.73,31.77,49675880
2021-01-22,31.36,31.75,31.25,31.55,45314480
2021-01-25,31.27,31.30,30.57,31.16,48078410
2021-01-26,31.40,31.43,30.91,30.94,36373040
2021-01-27,30.31,30.43,29.67,29.83,63809180
2021-01-28,30.42,30.75,29.9174,30.32,51223280
2021-01-29,30.40,30.50,29.59,29.65,64019080
2021-02-01,29.87,30.04,29.57,29.96,40985250
2021-02-02,30.58,31.20,30.54,31.03,53527000
2021-02-03,30.91,31.73,30.88,31.58,49404900
2021-02-04,31.80,32.531,31.78,32.50,51751930
2021-02-05,32.89,32.905,32.32,32.37,42008830
2021-02-08,32.43,33.28,32.40,33.09,46014140
2021-02-09,32.97,33.02,32.585,32.95,35868640
2021-02-10,33.12,33.42,32.86,32.98,45031900
2021-02-11,32.97,33.31,32.55,32.88,29479880
2021-02-12,33.00,33.45,32.91,33.37,37468260
2021-02-16,33.98,34.56,33.702,34.27,52802550
2021-02-17,34.04,34.56,33.79,34.41,46100800
2021-02-18,34.06,34.65,34.0201,34.19,37541680
2021-02-19,34.20,34.725,34.18,34.54,54514130
2021-02-22,34.45,35.25,34.41,35.15,56783370
2021-02-23,35.42,35.89,35.14,35.52,67440700
