Date,Open,High,Low,Close,Volume
2020-01-10,66.76,66.884,65.92,66.27,1621398
2020-01-13,66.25,67.745,66.01,67.50,2296462
2020-01-14,67.26,67.60,66.195,66.55,2224367
2020-01-15,66.68,68.89,66.68,68.21,2089095
2020-01-16,68.45,69.19,68.0701,69.18,2071573
2020-01-17,69.27,69.83,68.89,69.24,1629753
2020-01-21,68.69,69.42,68.55,69.26,1592808
2020-01-22,69.70,72.13,69.658,71.85,3200319
2020-01-23,71.52,72.45,71.11,71.87,2422664
2020-01-24,72.08,72.74,71.24,71.93,2035670
2020-01-27,71.06,74.66,70.89,73.96,4428450
2020-01-28,73.95,74.00,72.33,72.67,2743811
2020-01-29,72.79,72.99,72.43,72.59,1656754
2020-01-30,72.45,73.16,71.00,73.10,2674837
2020-01-31,72.72,73.16,71.86,72.18,1999233
2020-02-03,72.55,74.37,72.435,74.15,2747712
2020-02-04,74.31,75.27,73.565,75.01,2472264
2020-02-05,75.62,76.63,74.86,76.63,2922087
2020-02-06,75.99,82.82,73.99,78.00,5057879
2020-02-07,77.80,78.06,76.16,76.92,2664961
2020-02-10,77.06,77.18,75.99,76.72,2515242
2020-02-11,76.74,77.86,76.59,77.64,1684323
2020-02-12,77.03,77.37,75.51,76.53,1769415
2020-02-13,76.53,77.52,75.85,77.17,1122334
2020-02-14,77.18,77.96,77.11,77.22,1889600
2020-02-18,77.40,78.04,77.01,78.04,1883372
2020-02-19,78.73,79.00,76.96,77.01,1386703
2020-02-20,76.43,77.45,76.04,76.60,1130434
2020-02-21,76.70,77.56,76.28,76.86,1403945
2020-02-24,76.00,77.36,75.49,76.37,2853690
2020-02-25,76.50,76.60,74.11,74.53,2524130
2020-02-26,75.10,76.91,74.98,75.67,4313650
2020-02-27,75.19,76.22,71.98,72.01,3990063
2020-02-28,70.13,71.04,68.17,70.46,4412189
2020-03-02,70.92,75.20,70.79,75.17,2610845
2020-03-03,75.30,77.20,74.39,76.15,2494235
2020-03-04,77.17,78.73,76.66,78.56,2327534
2020-03-05,77.60,77.63,75.88,77.03,2258551
2020-03-06,75.22,76.46,73.64,76.05,2418039
2020-03-09,72.03,74.52,69.99,72.51,3092903
2020-03-10,73.99,74.465,69.25,72.96,3415322
2020-03-11,71.12,71.84,68.82,69.76,2321118
2020-03-12,66.49,68.845,61.67,63.18,3204112
2020-03-13,65.24,65.72,59.58,63.84,5489731
2020-03-16,59.25,59.90,53.91,58.43,3641169
2020-03-17,59.70,67.63,57.85,64.63,5024040
2020-03-18,60.45,64.78,58.73,64.45,3188486
2020-03-19,63.92,64.575,55.15,60.11,3830029
2020-03-20,59.77,59.77,54.33,54.89,3951205
2020-03-23,54.24,54.79,51.26,51.94,4180978
2020-03-24,54.17,59.58,53.79,58.22,3478188
2020-03-25,58.06,59.89,55.73,56.02,3144944
2020-03-26,59.80,63.37,58.00,62.56,3413961
2020-03-27,61.08,65.79,60.686,64.38,3738356
2020-03-30,64.83,66.90,64.13,65.99,3774670
2020-03-31,65.55,66.425,63.74,64.66,4809983
2020-04-01,62.00,65.34,61.57,64.17,3267433
2020-04-02,63.73,66.88,63.73,64.56,3559831
2020-04-03,63.83,66.48,61.81,62.17,2608669
2020-04-06,64.10,66.66,64.01,65.62,2401789
2020-04-07,67.17,69.25,65.70,65.86,2659019
2020-04-08,66.04,68.08,64.98,67.59,2541843
2020-04-09,68.14,70.47,67.72,69.94,4218716
2020-04-13,69.27,69.75,66.49,67.32,1721886
2020-04-14,68.54,68.94,66.38,67.96,3187039
2020-04-15,66.99,68.38,66.46,67.64,1737980
2020-04-16,67.54,68.61,66.26,67.80,1760608
2020-04-17,69.04,70.34,68.18,70.20,1531834
2020-04-20,69.72,70.00,68.34,68.54,903710
2020-04-21,67.77,68.53,65.40,65.54,2131436
2020-04-22,66.60,67.22,64.5001,66.62,1157506
2020-04-23,66.77,67.93,64.77,64.90,2104971
2020-04-24,65.67,65.78,63.73,65.27,1549457
2020-04-27,65.50,68.20,65.50,67.57,1376742
2020-04-28,68.70,68.90,66.54,67.01,1598568
2020-04-29,67.82,68.41,66.69,66.81,1327971
2020-04-30,65.48,66.465,65.17,65.59,1426704
2020-05-01,64.80,65.71,63.81,65.61,1610295
2020-05-04,65.87,66.24,64.75,66.15,1656940
