Date,Open,High,Low,Close,Volume
2020-01-10,215.6827,216.5921,214.4755,215.1575,972931
2020-01-13,215.1575,216.7371,214.3265,216.5215,1276642
2020-01-14,215.6749,217.5014,214.2246,216.3334,1441453
2020-01-15,216.302,219.2026,216.2001,217.3838,1128745
2020-01-16,218.4657,218.7087,215.0948,217.0468,904365
2020-01-17,217.7131,218.2697,215.816,217.2114,1170937
2020-01-21,217.0232,217.9796,215.8238,217.5641,1290714
2020-01-22,218.1051,219.1085,217.6661,218.5833,1049668
2020-01-23,218.4892,219.7278,216.8978,218.5049,1134522
2020-01-24,219.1712,219.9395,217.5955,218.1286,1237096
2020-01-27,215.1104,219.8689,214.0913,219.3045,1588788
2020-01-28,219.7043,222.3932,219.3672,221.2721,1194787
2020-01-29,221.8914,222.5931,220.5901,221.2251,927607
2020-01-30,219.5005,221.0762,219.1477,220.402,1372061
2020-01-31,219.1398,220.2665,215.181,215.7219,1736446
2020-02-03,217.329,220.8723,217.0389,218.9595,1782125
2020-02-04,222.0717,224.5254,221.4525,222.9889,1268598
2020-02-05,224.4627,224.7685,222.2834,224.1962,1402108
2020-02-06,198.3343,205.9385,189.5151,197.7464,10053870
2020-02-07,197.2368,197.3309,193.2231,193.5602,3712590
2020-02-10,193.8032,198.2245,193.2702,197.5504,2603914
2020-02-11,198.8517,203.2368,198.3971,201.0075,2605004
2020-02-12,201.2819,201.768,196.0374,197.7307,2383449
2020-02-13,197.5974,201.0311,196.6567,199.3926,1897088
2020-02-14,199.9257,204.0883,198.8245,203.9943,2320526
2020-02-18,204.4098,205.2251,200.4274,200.6861,1842135
2020-02-19,201.6268,202.5754,200.3882,200.741,1540229
2020-02-20,200.1452,202.058,197.5739,198.6949,1131959
2020-02-21,197.9894,202.8733,197.8483,201.7444,1867706
2020-02-24,196.4686,198.2246,195.4416,196.398,1637869
2020-02-25,197.0095,197.7072,190.6126,192.40,2223517
2020-02-26,193.9051,195.8414,192.1491,192.9644,2056019
2020-02-27,191.765,196.304,190.0325,190.252,2637558
2020-02-28,185.7993,187.2731,181.5739,186.4343,3588387
2020-03-02,186.45,192.3138,183.4789,192.3138,2234243
2020-03-03,192.7214,195.4808,184.4984,187.7513,1948620
2020-03-04,191.5141,194.3206,190.6518,193.717,1954917
2020-03-05,189.4289,191.9218,187.9629,191.3887,2274659
2020-03-06,186.105,188.057,180.7665,187.4534,4223955
2020-03-09,176.8155,183.9571,174.8164,180.9154,2589771
2020-03-10,185.6112,187.4534,180.2499,186.0345,2627647
2020-03-11,181.2211,183.7532,179.6454,181.8013,1983197
2020-03-12,175.0516,184.1295,172.888,172.9115,3731536
2020-03-13,178.7282,187.375,169.3995,185.3995,3459320
2020-03-16,169.3289,183.863,163.567,174.9262,2908621
2020-03-17,180.7273,195.1516,175.083,194.8223,3872919
2020-03-18,187.4377,197.5269,178.7361,184.0041,3687975
2020-03-19,185.3995,186.3049,172.9036,173.2172,2641842
2020-03-20,170.7478,176.1648,169.5014,172.5587,3699647
2020-03-23,171.8845,175.1222,155.0222,157.2407,4464382
2020-03-24,164.1628,166.0129,156.3941,159.0202,3490633
2020-03-25,161.129,164.0531,156.1197,159.6082,3489286
2020-03-26,160.5489,172.1119,160.2118,171.9551,2664864
2020-03-27,166.64,173.6484,165.7542,169.7836,2251523
2020-03-30,172.5038,175.373,170.3716,174.7145,1925918
2020-03-31,174.0795,181.1271,171.6807,180.1236,2698755
2020-04-01,173.8052,180.1236,172.4646,176.6979,2003239
2020-04-02,176.4313,183.1339,175.9296,182.8752,1557462
2020-04-03,181.0957,182.546,174.6518,177.7405,1263705
2020-04-06,181.1584,187.5004,179.8532,186.3324,2254331
2020-04-07,188.1432,190.495,184.2706,186.2226,2351975
2020-04-08,187.4769,197.3231,184.4745,195.9826,2504362
2020-04-09,195.9826,196.4372,190.9105,193.9835,2389842
2020-04-13,192.4705,195.0732,189.3936,194.4617,1308978
2020-04-14,197.5426,197.5426,194.0698,195.6141,2150915
2020-04-15,194.0619,198.938,192.5254,197.9659,1832250
2020-04-16,199.7141,205.8757,197.9894,205.084,1649535
2020-04-17,208.2824,208.5568,200.5215,204.9194,2030815
2020-04-20,205.3113,209.1291,203.4691,206.5186,1370670
2020-04-21,203.7199,204.8684,199.4789,201.0781,2455576
2020-04-22,202.936,210.0149,202.2462,209.1212,2008020
2020-04-23,210.2422,212.1989,207.2006,207.8042,1221128
2020-04-24,209.0428,210.6185,205.7778,210.2266,1836444
2020-04-27,211.1594,212.7979,209.7405,211.6612,1490357
2020-04-28,212.1237,213.1898,204.7234,205.327,2163586
2020-04-29,206.1736,206.1736,201.572,202.1364,1726694
2020-04-30,200.9056,206.7773,197.2604,197.9659,2858533
2020-05-01,196.6097,199.032,194.2501,197.4485,1423157
2020-05-04,197.8561,200.9879,195.3789,200.1139,1126565
2020-05-05,202.4657,206.644,200.8429,205.1545,940688
2020-05-06,204.4412,205.7817,202.595,203.1398,1045366
2020-05-07,208.5411,208.5411,200.302,200.8821,1265979
2020-05-08,203.2104,203.6337,199.1261,199.4946,1417379
2020-05-11,198.7498,206.7694,198.4441,205.4289,1490310
2020-05-12,206.1658,209.1055,205.2564,205.4603,1222522
2020-05-13,205.9228,207.2319,202.5205,205.327,1208900
2020-05-14,203.3829,203.7983,199.9336,202.8027,1279860
2020-05-15,201.9718,205.766,200.6626,202.45,1988144
2020-05-18,206.9576,210.4186,205.6719,207.5612,1025507
2020-05-19,207.8042,208.0864,205.6641,206.3304,828639
2020-05-20,200.4823,202.6146,190.1501,190.4872,3981264
2020-05-21,190.6832,190.9654,183.8395,187.3123,8333175
2020-05-22,189.3348,191.7964,187.0144,187.5553,11783280
2020-05-26,188.9193,190.495,181.7464,182.7655,3585790
2020-05-27,181.1898,184.1452,178.2736,184.0668,3733094
2020-05-28,187.6807,191.4985,186.0658,189.3191,1788389
2020-05-29,191.1692,193.6778,187.8297,193.5759,1925313
2020-06-01,193.3407,195.5122,190.3265,191.9453,1163983
2020-06-02,192.1099,192.1099,189.2956,191.6709,1268081
2020-06-03,190.6597,191.2006,187.8375,190.5264,1785909
2020-06-04,189.7111,192.3334,188.1432,190.9262,1824743
2020-06-05,191.1065,191.5925,188.8017,189.7189,3480887
2020-06-08,188.496,193.8189,187.7434,193.8189,3554388
2020-06-09,193.9051,196.2334,185.9404,186.011,2360399
