Date,Open,High,Low,Close,Volume
2020-01-10,24.96,25.00,24.7291,24.86,3548686
2020-01-13,24.83,24.83,24.31,24.41,6227506
2020-01-14,24.00,24.085,23.71,24.02,7147066
2020-01-15,23.79,23.95,23.205,23.32,4815352
2020-01-16,23.38,23.72,23.341,23.51,5742674
2020-01-17,23.43,23.845,23.40,23.61,5454792
2020-01-21,23.48,23.51,22.68,22.73,9750494
2020-01-22,22.84,23.36,21.84,22.68,8477893
2020-01-23,22.36,23.145,22.31,22.96,7188458
2020-01-24,22.85,23.05,22.55,22.86,5023568
2020-01-27,21.57,22.46,21.52,22.05,5917013
2020-01-28,22.10,22.34,21.84,21.90,5238802
2020-01-29,22.06,22.23,21.38,21.48,5450375
2020-01-30,21.19,22.36,21.12,22.35,7351147
2020-01-31,21.73,21.81,21.38,21.66,5341301
2020-02-03,21.57,21.84,21.43,21.51,4837012
2020-02-04,21.82,22.04,21.195,21.31,6352515
2020-02-05,21.69,21.97,21.56,21.85,4678483
2020-02-06,21.96,22.325,21.845,22.23,4529054
2020-02-07,21.98,22.549,21.88,22.45,4115912
2020-02-10,22.26,22.355,22.03,22.15,3183971
2020-02-11,22.49,22.58,22.11,22.14,4126710
2020-02-12,22.42,22.59,21.905,22.16,6027898
2020-02-13,22.11,22.21,21.97,22.08,3625028
2020-02-14,22.06,22.18,21.775,21.98,2657661
2020-02-18,21.56,21.64,20.815,20.91,6982744
2020-02-19,21.11,21.15,20.67,20.81,6735141
2020-02-20,20.70,20.96,20.50,20.66,5011090
2020-02-21,20.46,20.57,20.07,20.53,5956173
2020-02-24,19.73,19.765,19.165,19.48,8661116
2020-02-25,19.69,19.70,18.56,18.62,8797807
2020-02-26,18.78,18.78,17.67,17.76,11815240
2020-02-27,17.39,17.595,16.67,16.67,10552830
2020-02-28,16.03,16.40,15.705,16.09,28759030
2020-03-02,16.39,17.19,15.89,17.17,10606610
2020-03-03,17.14,17.40,16.205,16.53,9925014
2020-03-04,16.81,17.30,16.60,17.28,8520500
2020-03-05,16.66,17.00,16.5203,16.96,9556403
2020-03-06,16.34,16.62,15.96,16.08,14904860
