Date,Open,High,Low,Close,Volume
2020-01-10,128.07,128.12,126.78,127.59,643966
2020-01-13,127.86,128.8399,127.47,128.49,430407
2020-01-14,128.23,128.8338,127.355,128.10,469957
2020-01-15,128.49,129.29,127.91,128.28,398777
2020-01-16,129.09,129.96,129.07,129.35,374345
2020-01-17,129.82,131.15,129.14,131.00,523773
2020-01-21,130.27,132.83,130.27,132.57,683219
2020-01-22,133.29,134.30,132.50,132.53,729397
2020-01-23,132.60,132.83,130.64,131.26,447754
2020-01-24,131.97,132.39,130.23,131.03,369858
2020-01-27,128.73,130.39,128.121,129.41,399545
2020-01-28,129.74,130.65,129.25,129.77,424131
2020-01-29,130.57,130.764,129.52,129.54,415103
2020-01-30,128.69,129.81,127.84,129.46,946354
2020-01-31,120.49,121.43,115.39,119.15,2180914
2020-02-03,120.67,121.01,116.20,116.43,1291611
2020-02-04,117.98,118.41,115.80,117.34,1030853
2020-02-05,117.91,121.57,117.91,120.70,1475112
2020-02-06,121.14,121.63,119.59,119.73,859144
2020-02-07,119.11,120.20,117.53,117.85,677244
2020-02-10,117.93,118.88,117.53,118.24,949337
2020-02-11,119.25,119.88,118.63,119.81,575049
2020-02-12,120.37,123.72,119.90,123.43,1140147
2020-02-13,122.73,123.81,122.19,122.37,701446
2020-02-14,122.80,123.79,121.61,122.28,633650
2020-02-18,122.09,122.67,121.693,122.51,637727
2020-02-19,123.32,123.61,122.06,122.88,554910
2020-02-20,122.77,122.77,118.06,121.38,1505491
2020-02-21,121.12,121.12,119.1057,119.61,577637
2020-02-24,116.36,117.87,115.55,116.44,565340
2020-02-25,116.77,117.64,112.32,112.45,826060
2020-02-26,113.93,115.37,112.51,112.54,1676578
2020-02-27,110.29,111.76,107.69,107.69,1324435
2020-02-28,106.06,108.09,102.91,104.36,3048485
2020-03-02,105.51,107.215,103.585,106.25,2429063
2020-03-03,106.51,106.72,102.14,102.52,2486867
2020-03-04,104.51,106.21,103.05,106.15,1175725
2020-03-05,103.56,104.28,99.691,101.39,1098538
2020-03-06,98.08,100.99,95.55,100.36,1282077
2020-03-09,93.71,95.73,91.24,91.52,1241763
2020-03-10,94.61,100.24,93.80,99.49,1904981
2020-03-11,96.90,98.81,95.34,97.67,1616376
2020-03-12,90.99,99.10,90.46,95.71,2707121
2020-03-13,99.61,103.74,95.12,103.68,1887901
2020-03-16,92.34,103.4255,91.40,99.63,1554615
2020-03-17,101.61,107.14,97.63,104.82,2142595
2020-03-18,99.52,104.7728,95.79,100.90,1522599
2020-03-19,100.08,100.275,92.54,93.44,1332841
2020-03-20,93.84,97.675,89.81,90.77,1151552
2020-03-23,89.86,89.86,81.90,84.26,1246828
2020-03-24,87.84,94.88,87.00,94.83,871068
2020-03-25,94.17,96.35,88.89,93.94,1898935
2020-03-26,94.92,97.80,93.47,96.93,1308641
2020-03-27,94.90,95.00,91.31,91.57,947370
2020-03-30,92.31,97.38,90.58,96.94,1036023
2020-03-31,95.55,97.26,93.63,94.83,1001345
2020-04-01,91.77,93.00,90.08,91.32,1122975
2020-04-02,90.40,93.94,90.38,92.10,784044
2020-04-03,91.36,94.46,91.12,92.39,561734
2020-04-06,96.63,99.31,95.545,98.61,1126237
2020-04-07,101.06,103.51,99.43,100.76,941832
2020-04-08,101.41,103.34,99.575,102.10,956957
2020-04-09,102.53,106.37,101.40,105.91,1271388
2020-04-13,105.27,105.90,101.32,102.59,502348
2020-04-14,105.00,107.19,102.98,106.95,952786
2020-04-15,105.55,107.69,104.945,106.57,1016913
2020-04-16,107.24,108.74,105.25,107.05,953319
2020-04-17,109.01,110.14,108.51,109.94,707353
2020-04-20,108.70,110.62,107.965,109.79,618987
2020-04-21,108.43,108.69,105.385,107.36,740528
2020-04-22,109.10,110.52,108.03,109.41,566658
2020-04-23,110.00,111.19,108.91,110.25,814387
2020-04-24,110.78,111.60,109.485,111.44,698151
2020-04-27,112.31,114.62,112.30,114.34,535474
2020-04-28,115.61,116.585,112.28,112.47,863567
2020-04-29,113.91,116.99,113.75,115.52,614835
2020-04-30,114.80,116.57,114.34,116.00,481051
2020-05-01,114.20,114.7216,111.87,113.06,503503
2020-05-04,112.35,114.06,111.75,113.85,544909
2020-05-05,115.07,116.10,114.655,115.35,598391
2020-05-06,115.42,116.85,114.60,116.00,573536
2020-05-07,117.51,118.50,116.15,116.69,797264
2020-05-08,119.00,119.19,115.615,116.81,888168
2020-05-11,116.16,119.74,115.59,119.26,710211
2020-05-12,119.23,120.44,117.85,117.85,885427
2020-05-13,117.94,118.56,112.62,114.11,885965
2020-05-14,113.32,114.93,110.74,114.87,801392
2020-05-15,112.98,116.29,112.98,115.55,1776617
2020-05-18,118.58,120.39,118.09,119.44,602794
2020-05-19,119.01,121.37,119.01,119.57,564480
2020-05-20,120.73,122.74,120.50,120.96,452326
2020-05-21,120.61,120.61,117.68,117.79,514632
2020-05-22,117.81,117.98,116.22,116.81,553913
2020-05-26,119.40,119.87,116.76,117.12,680092
2020-05-27,118.07,118.845,116.02,116.70,1119363
2020-05-28,117.19,120.525,117.13,119.26,546222
2020-05-29,119.44,121.53,118.08,121.10,773773
2020-06-01,121.12,122.81,120.11,122.23,428337
2020-06-02,123.28,123.31,121.78,123.28,594514
2020-06-03,123.62,124.71,123.43,124.30,361808
2020-06-04,123.60,124.44,122.95,124.00,515828
2020-06-05,125.14,127.86,124.85,126.67,596012
2020-06-08,125.77,127.53,125.10,127.49,513953
2020-06-09,127.12,127.45,123.28,123.51,647937
2020-06-10,124.01,124.06,121.01,121.78,830597
2020-06-11,119.14,119.55,117.20,118.93,1574070
2020-06-12,120.83,122.38,118.36,121.63,1488558
2020-06-15,119.57,122.50,119.40,122.40,1163653
2020-06-16,125.00,126.4954,124.25,125.11,938960
2020-06-17,125.09,126.6142,125.05,126.11,651480
2020-06-18,125.43,126.57,125.04,125.94,463239
2020-06-19,127.84,128.03,123.27,123.33,970140
2020-06-22,123.28,126.08,123.18,124.71,500902
