Date,Open,High,Low,Close,Volume
2020-01-10,58.02,58.19,57.49,57.72,4975988
2020-01-13,57.88,58.69,57.38,58.43,3273903
2020-01-14,58.56,58.84,58.01,58.11,2611571
2020-01-15,57.67,58.69,57.62,58.23,3557825
2020-01-16,58.71,60.19,58.68,60.15,5922613
2020-01-17,60.77,61.39,60.39,60.76,4276631
2020-01-21,60.50,61.765,60.16,61.17,4923673
2020-01-22,61.38,63.135,61.35,62.87,4677967
2020-01-23,62.87,63.77,62.604,63.73,4800720
2020-01-24,64.10,64.18,61.67,62.21,7476533
2020-01-27,59.84,61.66,59.37,61.19,3726997
2020-01-28,61.38,62.33,61.15,61.62,3725941
2020-01-29,62.16,63.14,61.95,62.65,4280808
2020-01-30,62.48,63.50,60.00,61.11,8556136
2020-01-31,61.00,61.125,59.615,61.07,6128602
2020-02-03,61.60,61.73,60.515,60.52,3201501
2020-02-04,61.33,63.70,61.28,63.27,4175591
2020-02-05,63.84,64.39,63.02,63.73,3266457
2020-02-06,63.76,64.275,62.93,64.21,2877317
2020-02-07,63.10,63.86,61.93,62.76,4359794
2020-02-10,62.52,64.14,62.49,64.11,3379774
2020-02-11,64.47,64.97,64.23,64.41,3082830
2020-02-12,64.08,64.41,62.80,62.85,4537871
2020-02-13,62.80,63.56,62.51,62.94,3845908
2020-02-14,63.07,63.30,62.50,62.95,2821863
2020-02-18,62.91,63.47,61.92,61.97,4544550
2020-02-19,62.41,63.43,62.31,62.76,3394559
2020-02-20,62.75,63.19,61.14,62.45,3363179
2020-02-21,62.01,62.18,60.98,61.25,4198484
2020-02-24,58.37,59.63,55.70,58.56,7371954
2020-02-25,59.09,59.23,56.00,56.47,6361867
2020-02-26,56.02,57.68,55.97,56.00,5733128
2020-02-27,54.20,55.66,52.52,53.29,10451420
2020-02-28,49.72,54.05,49.05,53.84,12955930
2020-03-02,54.50,56.74,53.686,56.03,8285158
2020-03-03,56.18,58.039,54.665,56.09,6414793
2020-03-04,57.42,58.35,56.10,58.10,4747503
2020-03-05,57.34,58.43,56.7601,57.79,5009509
2020-03-06,55.13,55.46,52.68,54.06,10219720
2020-03-09,47.54,50.3599,46.95,46.98,11938130
2020-03-10,49.86,50.77,47.7002,50.64,7672731
2020-03-11,48.54,49.98,46.1501,47.35,7452250
2020-03-12,40.13,44.45,37.46,40.06,17469240
2020-03-13,43.94,46.93,40.3101,46.72,11798040
2020-03-16,38.00,42.56,37.80,40.53,14338640
2020-03-17,40.72,42.35,35.56,41.44,18713640
2020-03-18,37.50,40.81,33.00,40.76,16652000
2020-03-19,38.82,42.00,36.12,41.99,10468970
2020-03-20,42.06,42.38,36.1014,37.67,10999060
2020-03-23,36.07,37.19,33.25,36.04,12461550
2020-03-24,39.00,41.84,38.20,39.92,10436180
