Date,Open,High,Low,Close,Volume
2020-01-10,134.69,135.55,134.30,135.08,498639
2020-01-13,135.20,136.96,135.00,136.77,523835
2020-01-14,136.68,136.68,135.20,136.40,468406
2020-01-15,136.82,137.73,135.92,137.33,540751
2020-01-16,137.69,139.29,137.45,139.28,430206
2020-01-17,139.63,140.73,139.09,139.56,791809
2020-01-21,139.56,140.805,138.915,140.36,608964
2020-01-22,141.00,141.15,139.37,139.90,481057
2020-01-23,139.81,142.20,138.85,142.14,559921
2020-01-24,142.10,142.24,141.16,142.01,449625
2020-01-27,141.21,141.74,140.70,141.04,600672
2020-01-28,141.36,142.52,141.02,141.18,786016
2020-01-29,141.93,143.93,139.72,142.93,913416
2020-01-30,142.53,143.64,141.861,143.59,753865
2020-01-31,143.33,144.34,142.89,143.35,916995
2020-02-03,144.00,144.79,143.04,143.17,771367
2020-02-04,143.61,145.44,143.37,144.56,939016
2020-02-05,144.93,146.07,144.29,145.06,595847
2020-02-06,145.39,146.00,143.93,144.38,897942
2020-02-07,144.28,144.30,142.20,142.71,641266
2020-02-10,142.96,143.56,142.21,143.16,844801
2020-02-11,143.39,144.49,143.39,144.22,517711
2020-02-12,144.43,145.72,143.82,145.02,563628
2020-02-13,144.72,146.035,144.72,145.58,492518
2020-02-14,145.78,147.28,145.365,147.23,616835
2020-02-18,147.50,147.51,146.00,147.51,524938
2020-02-19,147.79,147.83,144.88,144.90,680306
2020-02-20,144.97,147.01,144.70,146.92,527231
2020-02-21,146.47,146.95,145.27,145.78,811617
2020-02-24,144.17,145.35,143.69,144.35,792811
2020-02-25,144.46,144.505,136.46,136.75,1064692
2020-02-26,137.24,137.795,135.38,135.41,1230626
2020-02-27,134.49,135.29,128.24,128.25,1186484
2020-02-28,125.78,128.95,123.10,128.94,2158425
2020-03-02,129.63,134.55,128.43,134.54,1327851
2020-03-03,134.42,137.4195,131.86,132.90,1148391
2020-03-04,134.77,138.38,134.08,138.12,834563
2020-03-05,135.94,137.82,134.08,136.73,857092
2020-03-06,133.15,134.17,128.225,132.58,1041874
2020-03-09,124.22,127.27,121.27,122.86,1695334
2020-03-10,126.64,130.38,123.135,130.27,1588489
2020-03-11,126.72,127.18,120.17,121.29,1313981
2020-03-12,112.69,117.45,108.11,111.89,1870482
2020-03-13,118.09,118.24,111.69,117.06,1659025
2020-03-16,106.53,110.67,96.69,96.93,1617144
2020-03-17,99.30,109.4015,94.24,105.84,1623378
2020-03-18,97.06,99.77,85.5301,88.21,1498095
2020-03-19,86.21,88.83,82.72,85.57,1519136
2020-03-20,86.84,95.84,80.63,82.00,2424033
2020-03-23,82.00,83.94,77.21,77.93,2675420
2020-03-24,81.00,88.34,78.27,87.59,1897549
2020-03-25,87.99,97.77,86.64,90.86,2039348
2020-03-26,91.96,93.42,89.2474,92.90,1698896
2020-03-27,89.46,96.88,87.01,93.82,1689196
2020-03-30,93.92,96.08,89.00,92.96,1625716
2020-03-31,92.04,93.87,89.05,92.23,1527250
2020-04-01,87.54,88.76,82.59,85.25,1626303
2020-04-02,83.81,87.47,79.91,82.69,1901976
2020-04-03,81.91,85.23,80.73,83.04,1855337
2020-04-06,88.01,91.94,86.16,90.72,1800355
2020-04-07,96.50,98.65,92.52,92.66,2103764
2020-04-08,94.03,100.76,92.37,99.91,1272104
2020-04-09,102.27,107.15,102.175,106.00,1938446
2020-04-13,104.83,106.33,98.67,100.56,1147839
2020-04-14,102.85,106.08,102.85,105.68,918761
2020-04-15,102.09,103.48,98.66,99.68,1091504
2020-04-16,99.83,99.83,93.31,94.07,1149416
2020-04-17,97.04,98.37,94.86,95.50,1685439
2020-04-20,94.01,94.75,91.34,91.44,1113545
