Date,Open,High,Low,Close,Volume
2020-01-10,80.00,80.01,79.07,79.25,10062880
2020-01-13,79.50,80.715,79.00,80.65,16587550
2020-01-14,81.20,83.11,80.97,81.91,24975430
2020-01-15,81.73,82.05,80.73,81.24,16063570
2020-01-16,81.96,82.13,80.845,81.00,10425960
2020-01-17,81.16,81.40,80.805,81.12,12413060
2020-01-21,80.48,80.91,79.87,79.90,10522040
2020-01-22,80.20,80.4803,79.861,80.10,8045841
2020-01-23,79.58,80.085,78.92,79.80,11618420
2020-01-24,79.62,79.67,77.64,78.42,15036070
2020-01-27,76.26,77.00,75.85,76.71,15859620
2020-01-28,77.21,78.13,76.78,77.24,10960220
2020-01-29,77.54,77.90,76.41,76.48,9480350
2020-01-30,75.74,77.54,75.50,77.43,12498150
2020-01-31,75.96,76.18,73.91,74.41,17101150
2020-02-03,74.70,76.21,74.70,75.13,11099180
2020-02-04,76.75,77.27,76.43,76.50,12173170
2020-02-05,77.92,78.9783,77.81,78.85,13070420
2020-02-06,79.80,79.86,78.40,78.97,12826360
2020-02-07,78.13,79.0537,78.06,78.69,8341713
2020-02-10,78.08,78.74,78.05,78.48,8418259
2020-02-11,78.75,79.55,78.64,79.09,9437214
2020-02-12,79.90,80.765,79.30,79.33,9484132
2020-02-13,78.89,79.279,78.62,79.00,8946172
2020-02-14,78.89,79.09,78.45,78.79,9056594
2020-02-18,78.61,78.86,77.51,77.58,10364200
2020-02-19,77.87,78.39,77.62,78.05,9145241
2020-02-20,77.66,78.695,77.31,78.22,11763380
2020-02-21,77.56,77.96,76.15,76.44,14020010
2020-02-24,73.38,74.05,72.44,72.53,21096230
2020-02-25,72.63,73.21,69.00,69.43,27451030
2020-02-26,70.02,70.61,68.16,68.18,25579940
2020-02-27,66.10,66.885,64.40,64.45,34656830
2020-02-28,62.00,64.45,61.34,63.46,46029790
2020-03-02,63.85,67.61,63.12,67.59,29006420
2020-03-03,67.86,68.43,64.47,65.05,29547740
2020-03-04,66.05,67.52,64.3632,67.39,24188500
2020-03-05,64.80,65.12,63.01,63.49,27277560
2020-03-06,60.46,62.31,59.74,61.28,29916590
2020-03-09,54.31,55.61,51.00,51.37,35625570
2020-03-10,54.73,55.70,51.50,55.58,32527540
2020-03-11,53.95,54.33,50.02,50.79,36731400
2020-03-12,45.30,49.00,42.82,43.26,45941590
2020-03-13,47.82,51.24,45.31,51.04,40519840
2020-03-16,40.49,45.23,39.57,41.19,35133760
2020-03-17,42.00,43.98,38.80,40.25,51650020
2020-03-18,37.06,37.99,32.00,36.43,48351380
2020-03-19,35.47,41.24,34.20,39.64,43397150
2020-03-20,40.46,40.99,37.20,38.06,38163900
2020-03-23,37.55,38.15,34.62,35.39,33013300
2020-03-24,37.65,40.92,37.34,40.66,34100580
2020-03-25,42.31,44.70,39.43,41.86,38211110
2020-03-26,43.68,46.29,43.00,46.02,31566030
2020-03-27,44.13,45.50,43.00,43.80,25484520
2020-03-30,44.05,44.26,41.57,44.08,27459000
2020-03-31,43.63,44.225,41.65,42.12,26219110
2020-04-01,39.14,40.25,38.00,38.51,29219520
2020-04-02,38.36,39.66,37.30,39.23,29532140
2020-04-03,39.00,39.46,36.67,37.49,25327090
2020-04-06,39.80,41.335,39.51,41.12,30064670
2020-04-07,44.81,45.59,41.12,41.25,35220740
2020-04-08,42.85,44.445,41.9693,44.26,32944830
2020-04-09,46.94,49.22,46.365,47.41,43659220
2020-04-13,47.50,47.57,45.27,46.68,27944320
2020-04-14,47.66,47.74,43.525,45.42,40466180
2020-04-15,43.37,44.27,42.61,42.86,32248990
2020-04-16,42.71,42.84,40.10,40.52,37756000
2020-04-17,43.15,45.62,42.65,45.45,41252950
2020-04-20,43.395,45.44,42.885,44.01,33471940
2020-04-21,42.35,43.11,41.07,41.57,35336160
