Date,Open,High,Low,Close,Volume
2020-01-10,32.03,32.19,31.73,31.83,4886786
2020-01-13,31.94,32.06,31.61,32.03,4917867
2020-01-14,32.01,32.16,31.76,32.15,4921646
2020-01-15,32.21,32.32,31.82,31.93,3276515
2020-01-16,31.96,32.31,31.96,32.30,2664835
2020-01-17,32.30,33.37,32.28,33.33,8327011
2020-01-21,32.81,33.25,32.465,32.76,6294159
2020-01-22,32.82,32.93,32.25,32.29,3668094
2020-01-23,32.05,32.875,31.97,32.69,3907187
2020-01-24,32.83,32.90,32.07,32.28,3046463
2020-01-27,31.87,32.62,31.87,32.53,4651050
2020-01-28,32.58,33.46,32.45,33.32,5854379
2020-01-29,33.42,33.47,32.86,33.20,2783384
2020-01-30,33.12,33.26,32.65,33.25,2479837
2020-01-31,33.12,33.31,32.74,32.92,3847408
2020-02-03,33.02,33.27,32.44,32.94,5497950
2020-02-04,33.08,33.13,31.91,31.92,4124155
2020-02-05,32.14,32.99,32.1391,32.67,3584265
2020-02-06,32.40,32.82,31.8437,32.09,3223525
2020-02-07,32.05,32.38,31.85,31.95,2307861
2020-02-10,31.87,32.275,31.62,32.24,1864055
2020-02-11,32.31,32.85,32.17,32.80,3395973
2020-02-12,32.80,33.02,32.46,32.63,2551372
2020-02-13,32.54,32.61,32.12,32.58,4355250
2020-02-14,32.63,32.76,32.045,32.69,3191877
2020-02-18,30.61,31.43,30.00,30.68,11377070
2020-02-19,30.65,30.87,29.705,29.80,5187853
2020-02-20,29.76,29.93,29.59,29.88,2858201
2020-02-21,29.73,30.11,29.365,29.59,3031243
2020-02-24,29.20,29.34,28.897,29.23,3678335
2020-02-25,29.31,29.35,27.91,28.38,7015059
2020-02-26,28.61,28.70,26.92,26.94,8256110
2020-02-27,26.60,26.96,25.75,26.37,7140973
2020-02-28,25.57,26.70,24.73,26.69,9385145
2020-03-02,26.86,28.295,26.73,28.24,8239993
2020-03-03,28.20,28.97,27.36,27.67,5143000
2020-03-04,28.39,28.83,27.9375,28.79,2919530
2020-03-05,28.04,28.66,27.95,28.47,3706726
2020-03-06,27.45,28.635,27.25,28.25,7003237
2020-03-09,26.53,28.03,26.01,27.52,5455503
2020-03-10,27.99,28.23,26.44,27.86,6303874
2020-03-11,27.14,27.39,26.3833,26.81,7153837
2020-03-12,25.04,26.88,24.11,24.14,9965953
2020-03-13,25.15,25.37,22.83,24.79,7255403
2020-03-16,22.96,28.82,22.88,27.21,9145859
2020-03-17,27.65,30.82,27.56,29.80,10445590
2020-03-18,29.04,31.9399,27.00,27.26,10569980
2020-03-19,27.35,28.5215,24.54,26.31,7307023
2020-03-20,26.31,27.125,25.21,26.05,7980807
2020-03-23,26.47,27.45,24.86,25.76,6675136
2020-03-24,26.44,27.39,25.75,26.53,6051503
2020-03-25,26.40,27.55,25.9001,26.08,6451648
2020-03-26,26.01,28.00,25.62,27.85,5754396
2020-03-27,27.27,28.12,26.70,27.92,5413420
2020-03-30,28.25,29.19,27.69,28.23,5890867
2020-03-31,30.72,31.95,28.64,29.34,11205580
2020-04-01,28.34,30.14,28.26,29.76,8379463
2020-04-02,29.19,30.41,29.05,29.93,3777596
2020-04-03,29.53,31.28,29.53,31.21,4954316
2020-04-06,31.44,31.995,30.96,31.30,6386196
2020-04-07,31.39,31.49,30.13,30.45,6884098
2020-04-08,30.52,31.32,30.1225,31.31,3617024
2020-04-09,31.00,32.87,31.00,32.46,5146008
2020-04-13,32.29,32.585,31.55,31.96,3095896
2020-04-14,32.48,33.705,32.30,33.34,3457217
2020-04-15,33.15,33.395,32.61,32.87,2618947
2020-04-16,33.19,33.565,32.23,33.47,4964683
2020-04-17,33.71,33.73,32.96,33.58,4020924
2020-04-20,33.52,34.655,33.30,33.88,3439866
2020-04-21,33.88,34.29,33.55,33.83,3201852
2020-04-22,34.23,34.52,33.75,34.30,2484399
2020-04-23,33.96,34.37,33.84,33.98,4239029
2020-04-24,34.25,34.58,33.72,34.18,2978098
2020-04-27,34.45,35.03,34.26,34.60,2783275
2020-04-28,34.74,35.45,34.545,34.61,3595582
2020-04-29,34.06,34.57,33.81,34.21,4974857
2020-04-30,34.28,34.295,33.19,33.44,3809484
2020-05-01,33.29,33.77,32.95,33.28,1883457
2020-05-04,33.37,33.485,32.65,33.42,2605249
2020-05-05,33.33,33.94,33.21,33.39,2683971
2020-05-06,33.57,33.86,33.31,33.41,1680061
2020-05-07,33.66,33.77,33.10,33.17,2265503
2020-05-08,33.56,33.69,33.12,33.52,2258485
2020-05-11,33.13,33.58,32.89,33.41,1985550
2020-05-12,33.58,34.38,33.51,34.11,3030744
2020-05-13,34.10,34.40,33.65,34.05,2351617
2020-05-14,34.11,34.26,33.475,33.83,2149352
2020-05-15,34.11,34.57,33.92,34.17,2377596
2020-05-18,34.23,34.46,33.41,34.01,3883246
2020-05-19,33.97,34.19,33.03,33.04,2902314
2020-05-20,33.27,33.27,32.29,32.73,5178003
2020-05-21,32.71,32.71,31.66,32.25,4283623
2020-05-22,32.32,32.71,32.06,32.68,2435517
2020-05-26,32.82,33.30,32.80,32.95,4786816
2020-05-27,32.88,33.75,32.70,33.73,2409377
2020-05-28,33.98,34.18,33.59,33.91,2600177
2020-05-29,33.91,34.86,33.70,34.79,5397094
2020-06-01,34.79,35.18,34.46,34.72,2756459
2020-06-02,34.62,34.74,34.28,34.47,3768205
2020-06-03,34.56,34.77,33.50,33.65,3765632
2020-06-04,33.62,33.87,33.095,33.31,2851433
2020-06-05,33.31,33.55,32.47,33.42,3932483
2020-06-08,32.96,34.08,32.89,33.93,3546983
2020-06-09,34.00,34.00,33.14,33.57,2401952
2020-06-10,33.69,33.94,33.10,33.20,2953388
2020-06-11,33.02,33.13,31.77,31.82,3661872
2020-06-12,32.24,32.46,31.72,32.41,3592345
2020-06-15,32.25,33.34,31.76,33.33,3167218
2020-06-16,33.84,34.53,33.655,34.25,3775214
2020-06-17,34.38,34.50,33.945,34.30,3236113
2020-06-18,34.22,34.57,34.03,34.24,3273547
2020-06-19,34.54,34.87,33.55,33.55,7288838
2020-06-22,34.08,34.71,34.08,34.40,3991826
2020-06-23,34.60,34.68,34.03,34.22,4340151
2020-06-24,34.00,34.03,33.44,33.79,3774389
2020-06-25,33.83,33.93,33.58,33.69,3862711
2020-06-26,33.79,33.8625,32.58,32.64,5568209
2020-06-29,32.97,33.91,32.875,33.70,4521677
2020-06-30,34.89,35.79,34.1701,35.17,8438459
