Date,Open,High,Low,Close,Volume
2020-01-10,60.58,60.635,60.07,60.24,837699
2020-01-13,60.01,60.82,59.90,60.66,1038807
2020-01-14,60.49,60.79,60.13,60.28,971083
2020-01-15,60.02,60.77,60.02,60.39,955575
2020-01-16,60.66,61.275,60.45,60.80,1222111
2020-01-17,61.09,61.44,60.77,61.03,1374318
2020-01-21,60.75,61.41,60.61,61.10,1424664
2020-01-22,61.67,61.78,60.82,60.91,892000
2020-01-23,60.74,61.37,60.35,60.84,1026942
2020-01-24,60.62,61.04,60.26,60.77,1509946
2020-01-27,59.66,60.49,59.26,60.44,1782002
2020-01-28,60.84,61.585,60.81,61.46,1105796
2020-01-29,61.70,61.7408,61.245,61.45,918444
2020-01-30,60.81,61.98,60.81,61.88,1004269
2020-01-31,61.63,61.85,60.885,61.05,1707694
2020-02-03,61.41,62.48,61.41,62.02,1019126
2020-02-04,62.81,64.08,62.64,63.43,1295829
2020-02-05,63.86,64.16,63.48,63.93,1363283
2020-02-06,64.30,64.61,63.70,63.88,1070503
2020-02-07,63.50,64.225,63.38,64.03,1329080
2020-02-10,64.03,64.36,63.94,64.25,636355
2020-02-11,64.67,64.75,62.88,63.08,1680815
2020-02-12,63.23,63.705,62.18,63.69,1486095
2020-02-13,63.39,64.14,63.18,64.12,920519
2020-02-14,64.04,64.31,63.78,63.96,873376
2020-02-18,63.96,63.96,63.15,63.46,998484
2020-02-19,63.40,63.6654,63.26,63.40,989011
2020-02-20,63.14,63.90,62.92,63.70,1212898
2020-02-21,63.49,63.70,62.39,62.73,1059029
2020-02-24,61.01,61.40,59.62,60.07,1282729
2020-02-25,60.13,60.65,57.81,57.96,1412239
2020-02-26,58.29,58.94,56.93,56.93,2033505
2020-02-27,56.01,58.375,53.53,56.54,3415166
2020-02-28,55.25,56.90,54.39,56.14,4469177
2020-03-02,56.28,58.19,55.54,58.19,1817362
2020-03-03,58.22,59.23,56.92,57.73,2086079
2020-03-04,58.36,59.31,58.015,59.16,1594587
2020-03-05,57.43,58.18,56.16,56.78,2045214
2020-03-06,54.70,55.54,52.81,54.58,2786427
2020-03-09,50.13,51.62,49.07,49.17,2846447
2020-03-10,50.75,52.77,48.95,52.61,2792626
2020-03-11,51.13,51.59,49.11,49.69,3006750
2020-03-12,45.75,48.94,44.4101,44.53,3185207
2020-03-13,47.21,47.21,43.51,46.38,3877520
2020-03-16,36.40,41.32,34.6931,38.40,3962642
2020-03-17,39.11,40.24,35.2314,36.28,6622791
2020-03-18,34.00,35.698,31.51,35.52,3458891
2020-03-19,34.88,41.03,34.47,39.44,3154862
2020-03-20,40.24,40.505,34.25,34.26,3168574
2020-03-23,34.26,35.04,29.168,29.83,4279527
2020-03-24,31.12,35.93,31.03,33.86,4394353
2020-03-25,33.60,37.33,33.03,35.80,2974271
2020-03-26,36.31,41.00,35.76,40.65,2303726
2020-03-27,39.33,40.09,38.01,39.20,2120343
2020-03-30,39.20,41.24,38.03,41.03,2100475
2020-03-31,40.67,41.41,37.35,37.71,2683567
2020-04-01,35.54,36.605,34.21,35.74,3207093
2020-04-02,35.05,37.535,35.05,36.67,3970754
2020-04-03,36.67,36.79,34.73,35.50,2202660
2020-04-06,37.62,40.06,36.86,39.78,2975673
2020-04-07,42.45,44.05,42.00,42.05,3374265
2020-04-08,42.12,45.57,41.55,45.26,2913418
2020-04-09,45.27,46.04,43.66,45.61,4439134
2020-04-13,45.00,45.42,43.19,43.46,1883361
2020-04-14,44.69,44.755,43.44,43.86,2378498
2020-04-15,42.18,43.14,41.63,42.89,2162129
2020-04-16,42.95,42.95,41.58,42.54,2174898
2020-04-17,44.23,45.06,44.10,44.50,1908905
2020-04-20,43.30,44.06,41.96,41.96,2224075
2020-04-21,40.63,41.09,39.83,39.97,2480823
2020-04-22,41.12,41.19,39.42,39.77,3158244
2020-04-23,40.06,41.06,39.80,39.99,1723437
2020-04-24,40.50,40.565,39.69,39.99,1664676
2020-04-27,40.07,41.59,40.07,41.39,1397389
2020-04-28,42.47,43.07,41.72,41.90,1738407
2020-04-29,43.62,45.10,42.65,44.92,2025534
2020-04-30,44.00,44.00,42.68,42.93,2125396
2020-05-01,41.66,41.85,39.26,39.70,2208117
2020-05-04,38.69,39.52,38.55,39.39,1718563
2020-05-05,40.29,41.40,39.535,39.59,2423598
2020-05-06,40.06,40.58,38.13,38.15,2399870
2020-05-07,39.63,41.83,38.20,40.89,2187444
2020-05-08,41.65,42.54,41.4024,41.60,1370049
2020-05-11,41.18,41.18,40.47,40.82,1857576
2020-05-12,40.82,40.96,37.15,37.20,1996416
2020-05-13,36.70,36.86,34.20,34.84,4229462
2020-05-14,34.06,35.91,33.03,35.85,2629156
2020-05-15,35.59,36.44,35.12,35.99,1820585
2020-05-18,37.77,39.56,37.54,39.09,2455657
2020-05-19,38.98,39.10,37.95,37.97,2162163
2020-05-20,38.82,39.96,38.6086,39.60,2634639
2020-05-21,39.42,40.84,39.42,40.75,2707658
2020-05-22,40.80,40.92,40.08,40.30,2598107
2020-05-26,42.36,44.73,42.36,43.94,3112036
2020-05-27,45.00,45.60,43.27,45.15,2177953
2020-05-28,45.72,45.98,43.97,44.12,2731451
2020-05-29,43.21,44.29,42.81,43.98,6324170
2020-06-01,43.81,44.59,43.59,44.14,1331281
2020-06-02,44.51,46.22,44.19,45.99,2309513
2020-06-03,47.47,50.20,47.04,49.50,3234382
2020-06-04,49.01,51.01,48.25,50.41,3064214
2020-06-05,53.57,55.63,53.4327,54.02,3442647
2020-06-08,55.00,56.05,54.49,55.49,2342686
2020-06-09,53.48,54.14,52.51,53.33,2066685
2020-06-10,52.77,53.20,50.96,51.33,1993741
2020-06-11,48.50,48.62,46.19,46.31,2606859
2020-06-12,48.60,48.60,45.75,47.57,2133607
2020-06-15,45.15,48.06,45.0299,47.86,3025186
2020-06-16,50.33,50.46,47.26,48.37,1920630
2020-06-17,48.66,48.74,47.14,47.79,2342205
2020-06-18,47.21,47.70,47.03,47.48,1039672
2020-06-19,48.19,48.26,45.99,46.74,2309114
2020-06-22,46.07,46.39,45.25,46.19,1333625
2020-06-23,46.91,47.06,45.78,46.01,1556089
2020-06-24,45.06,45.195,42.55,42.75,2289457
2020-06-25,42.35,43.55,41.61,43.52,2397555
2020-06-26,43.52,44.06,42.425,43.04,5525624
2020-06-29,43.41,44.26,42.83,44.24,1550683
2020-06-30,44.33,45.49,44.15,45.22,1697925
2020-07-01,45.51,45.83,44.46,44.85,1597742
2020-07-02,45.84,46.57,45.09,45.51,1399643
2020-07-06,46.48,47.10,45.695,46.38,1471279
2020-07-07,45.73,45.90,44.24,44.31,1478665
2020-07-08,44.07,44.77,43.54,44.49,1447143
2020-07-09,44.86,44.93,42.64,43.87,2278775
2020-07-10,43.75,45.05,43.75,44.20,1211290
2020-07-13,44.54,44.81,43.19,43.19,1519388
2020-07-14,42.89,43.6198,42.54,43.35,1533041
2020-07-15,44.84,45.51,44.35,45.22,1764058
2020-07-16,44.81,45.33,44.38,44.59,890942
2020-07-17,44.97,45.49,44.77,44.95,1458044
2020-07-20,44.65,44.91,43.95,44.26,1295386
2020-07-21,44.48,45.04,43.77,43.94,1292190
2020-07-22,43.45,44.62,43.30,44.36,1175194
2020-07-23,44.14,44.45,43.48,43.92,1557963
2020-07-24,44.06,44.33,42.97,43.16,1046478
2020-07-27,42.95,43.145,42.03,42.33,2575215
2020-07-28,42.33,42.89,41.76,41.85,2011429
2020-07-29,42.33,43.02,41.85,43.00,1554488
2020-07-30,42.20,43.36,41.62,43.27,1562354
2020-07-31,43.33,43.99,42.17,43.81,3714365
2020-08-03,43.62,43.6599,41.26,41.35,2808651
2020-08-04,41.15,41.84,41.025,41.49,2367453
2020-08-05,42.04,42.86,41.46,42.83,2759344
2020-08-06,42.39,42.86,42.01,42.25,2631745
2020-08-07,42.22,44.195,42.08,44.02,1501130
2020-08-10,44.04,45.855,43.97,45.37,1729556
2020-08-11,46.42,47.80,46.29,47.20,2115250
2020-08-12,47.34,48.58,47.10,47.28,1764257
2020-08-13,46.80,47.09,45.76,46.03,838647
2020-08-14,45.78,46.46,45.43,46.02,1049409
2020-08-17,45.93,46.01,44.93,45.09,1474676
2020-08-18,45.16,45.43,44.57,44.66,966899
2020-08-19,44.38,44.58,43.76,44.31,1000102
2020-08-20,43.83,44.61,43.63,44.08,1278416
2020-08-21,44.40,45.05,44.34,44.91,883152
2020-08-24,45.08,47.055,44.9456,47.01,1277992
2020-08-25,47.32,48.03,47.01,47.39,1715190
2020-08-26,47.01,47.32,46.465,46.98,1704853
2020-08-27,46.89,47.90,46.865,47.35,1306571
2020-08-28,47.55,47.90,46.965,47.85,863316
2020-08-31,47.96,47.96,46.565,47.03,2046715
2020-09-01,46.80,47.91,46.41,47.77,984910
2020-09-02,47.90,49.16,47.58,49.04,2494751
2020-09-03,48.86,49.99,47.92,48.62,1577936
2020-09-04,49.31,49.42,47.67,48.22,1256362
2020-09-08,47.93,48.43,47.2593,47.63,1796265
2020-09-09,47.73,49.07,47.56,48.53,1541826
2020-09-10,48.91,48.91,47.4158,47.52,1163874
2020-09-11,47.93,47.98,46.37,46.91,1277472
2020-09-14,47.40,49.04,47.40,48.78,1132472
2020-09-15,49.21,50.23,49.05,49.63,1287437
2020-09-16,49.92,51.03,49.47,49.99,1172356
2020-09-17,49.48,49.91,48.95,49.57,1355231
2020-09-18,49.10,49.55,48.42,48.48,2265166
2020-09-21,47.32,47.51,45.17,46.45,2102546
2020-09-22,46.56,47.30,45.67,46.01,1201138
2020-09-23,46.14,46.60,44.64,45.00,1460777
