Date,Open,High,Low,Close,Volume
2020-01-10,140.40,142.56,140.20,142.40,2760365
2020-01-13,142.92,143.85,142.6517,143.29,1743315
2020-01-14,142.95,143.48,141.05,141.95,1667050
2020-01-15,142.16,144.4366,142.12,144.05,1431550
2020-01-16,144.40,145.25,143.77,145.23,1505533
2020-01-17,145.51,146.21,144.415,145.25,2070041
2020-01-21,145.32,148.34,145.12,148.21,1650490
2020-01-22,149.01,149.20,147.98,148.69,1920130
2020-01-23,149.13,150.21,148.0028,149.78,1246838
2020-01-24,150.00,150.71,149.26,149.90,868149
2020-01-27,149.33,150.41,148.59,150.30,1363937
2020-01-28,150.15,151.78,149.73,151.73,1539144
2020-01-29,151.80,151.97,148.91,149.05,1519356
2020-01-30,148.63,151.24,148.5753,151.13,968252
2020-01-31,151.06,151.79,148.7213,149.84,1293997
2020-02-03,150.68,150.93,148.94,149.19,1225018
2020-02-04,149.63,151.86,148.90,150.45,1264650
2020-02-05,150.27,150.755,149.31,149.96,1257855
2020-02-06,150.13,151.205,149.4117,150.50,1005163
2020-02-07,151.06,151.06,150.43,150.49,1119306
2020-02-10,151.06,153.00,150.89,152.92,1583610
2020-02-11,154.34,163.51,153.37,161.03,3488258
2020-02-12,160.83,163.44,158.8048,163.21,1969901
2020-02-13,163.06,164.215,162.33,163.92,1202852
2020-02-14,164.47,166.40,164.01,165.97,1424644
2020-02-18,166.05,166.26,164.8845,166.21,1275274
2020-02-19,166.27,166.85,164.52,165.60,1211530
2020-02-20,165.87,167.94,165.41,166.99,2180299
2020-02-21,166.66,168.75,165.91,168.06,3006039
2020-02-24,165.35,168.49,163.50,166.36,2092367
2020-02-25,167.05,167.92,162.43,163.02,2038702
2020-02-26,163.74,165.17,162.33,162.69,2295684
2020-02-27,148.74,156.25,147.00,148.40,5822365
2020-02-28,145.13,147.97,140.71,143.29,6204099
2020-03-02,143.93,156.52,143.82,156.24,4077808
2020-03-03,156.83,162.49,155.67,158.13,4248705
2020-03-04,160.62,164.22,158.45,163.56,2384668
2020-03-05,160.81,164.12,160.10,162.24,2513900
2020-03-06,159.26,161.59,154.73,160.82,3109434
2020-03-09,152.98,155.26,148.82,150.28,3291478
2020-03-10,153.61,159.43,148.64,159.35,2944498
2020-03-11,155.08,156.11,151.295,153.85,3287286
2020-03-12,143.19,150.35,132.6901,142.51,3854395
2020-03-13,149.63,158.00,143.17,155.09,3769067
2020-03-16,138.93,147.36,135.03,135.82,3833921
2020-03-17,138.70,153.26,138.2101,146.87,4441323
2020-03-18,141.16,148.68,131.11,138.31,4357067
2020-03-19,137.91,138.12,127.25,130.75,4548244
2020-03-20,129.31,136.50,125.60,128.06,5346445
2020-03-23,126.80,128.69,115.65,116.98,4029342
2020-03-24,121.83,124.40,114.18,123.71,4397392
2020-03-25,122.97,134.98,121.67,127.96,3121908
2020-03-26,128.00,143.74,128.00,142.47,4093343
2020-03-27,139.42,141.80,135.17,136.89,3220074
2020-03-30,140.50,148.66,139.299,148.06,2934556
2020-03-31,145.95,147.81,141.79,144.40,3082473
2020-04-01,137.67,140.23,133.80,137.59,2519228
2020-04-02,137.50,146.97,136.06,146.37,3240044
2020-04-03,144.85,147.53,142.61,145.62,2117575
2020-04-06,148.39,150.00,144.74,148.75,3275741
2020-04-07,153.55,154.48,146.30,146.54,2645605
2020-04-08,148.00,158.03,146.79,157.36,2153858
2020-04-09,158.26,164.77,157.82,164.14,4349902
2020-04-13,163.19,163.575,156.32,157.05,1725477
2020-04-14,160.29,165.90,159.14,165.78,2460880
2020-04-15,166.02,166.31,161.48,162.46,2697869
2020-04-16,164.44,165.03,160.95,161.80,2038616
2020-04-17,165.23,167.83,163.77,167.05,2059006
2020-04-20,165.26,166.52,162.40,162.42,1883695
2020-04-21,160.17,160.90,158.15,159.67,2103751
2020-04-22,161.86,165.19,161.55,163.17,1649370
2020-04-23,162.74,163.78,159.73,160.55,1537585
2020-04-24,161.61,162.25,158.53,161.61,1475015
2020-04-27,163.00,164.72,161.965,163.80,1626493
2020-04-28,163.03,166.00,160.95,161.26,2059926
2020-04-29,163.41,163.4756,155.06,155.44,3280037
2020-04-30,150.60,159.90,150.60,159.43,3669619
2020-05-01,156.98,158.00,155.08,156.41,1553192
2020-05-04,157.15,157.80,152.29,157.73,1803762
2020-05-05,157.59,159.98,157.385,158.68,1174924
2020-05-06,159.19,159.94,154.98,154.99,1581633
2020-05-07,156.32,157.93,154.44,154.69,2337352
2020-05-08,157.32,158.2388,155.84,157.70,1438616
2020-05-11,155.83,160.83,155.57,159.79,2017673
2020-05-12,159.98,160.25,151.71,154.22,1961225
2020-05-13,154.16,158.555,152.56,153.19,2143773
2020-05-14,152.76,152.81,149.52,152.04,1718510
2020-05-15,151.43,152.70,147.5635,150.14,2593917
2020-05-18,153.25,157.4499,152.97,156.40,2565893
2020-05-19,155.70,156.02,152.50,152.56,1349789
2020-05-20,153.52,154.19,151.36,152.36,1817005
2020-05-21,152.20,152.76,148.38,150.83,2254182
2020-05-22,151.55,156.88,149.95,156.20,1874247
2020-05-26,160.82,161.17,156.80,159.59,2657319
2020-05-27,159.84,163.07,158.0934,163.06,1690831
2020-05-28,165.03,169.20,163.96,168.79,2437059
2020-05-29,168.12,172.54,166.56,172.16,3286333
2020-06-01,171.74,175.62,169.60,173.77,2907130
2020-06-02,174.92,175.95,172.15,174.55,3183260
2020-06-03,176.56,176.8472,173.93,174.56,1917740
2020-06-04,173.53,174.28,166.11,167.65,1942049
2020-06-05,169.74,170.55,166.51,168.60,3265854
2020-06-08,168.00,173.17,168.00,172.83,1958503
2020-06-09,172.36,176.61,172.08,174.34,1717890
2020-06-10,174.22,175.74,171.68,174.09,1858263
2020-06-11,170.05,171.62,160.47,160.72,3072264
2020-06-12,164.79,165.70,162.50,164.37,1941256
2020-06-15,161.34,167.83,161.20,167.57,3734053
2020-06-16,172.00,172.00,166.65,169.59,2053252
2020-06-17,171.36,172.24,169.37,169.45,2422658
2020-06-18,168.17,168.88,164.33,165.25,1982293
2020-06-19,167.36,170.79,165.32,170.45,5199286
2020-06-22,169.48,170.00,165.27,166.34,2747876
2020-06-23,167.12,167.7804,165.35,165.53,1727480
2020-06-24,164.00,165.84,159.15,162.10,2054570
2020-06-25,162.24,164.89,160.76,164.72,1302823
2020-06-26,164.41,164.83,160.68,161.33,2750571
2020-06-29,163.19,163.4913,160.67,162.30,1402694
2020-06-30,162.94,167.99,162.84,167.35,2003062
2020-07-01,167.93,173.09,167.21,171.89,1780979
2020-07-02,173.72,174.00,169.69,170.72,2253925
2020-07-06,178.61,180.00,172.37,174.30,3263252
2020-07-07,171.96,173.9506,171.20,171.51,1705150
2020-07-08,172.10,173.52,169.68,171.41,2282774
2020-07-09,170.89,172.25,168.98,171.65,1435288
2020-07-10,171.97,172.955,169.855,171.50,2070234
2020-07-13,171.28,171.88,166.04,166.91,2245380
2020-07-14,168.00,169.84,165.68,169.35,2534229
2020-07-15,171.14,171.6175,167.34,168.00,1797137
2020-07-16,166.96,168.02,164.60,165.74,1623947
2020-07-17,166.74,170.15,165.64,168.96,1403367
2020-07-20,177.28,177.28,170.09,170.16,3817799
2020-07-21,171.50,171.50,166.675,167.53,2411659
2020-07-22,166.92,169.5055,166.51,168.06,1368464
2020-07-23,167.54,168.79,164.72,166.76,1730740
2020-07-24,166.41,167.83,165.73,166.70,1498108
2020-07-27,167.00,169.19,166.335,168.44,1603259
2020-07-28,168.12,172.92,168.10,171.78,2070666
2020-07-29,172.93,175.15,172.10,173.87,2469789
2020-07-30,168.95,170.70,167.095,170.21,2780918
2020-07-31,169.57,170.20,165.90,166.70,3308567
2020-08-03,165.93,166.05,162.00,164.10,2800261
2020-08-04,164.40,167.77,164.15,165.88,2300182
2020-08-05,166.37,166.5735,163.73,164.52,1714386
2020-08-06,164.01,165.29,163.43,163.87,1513690
2020-08-07,163.91,169.36,163.80,168.19,1633515
2020-08-10,168.06,168.225,164.9201,166.18,2287487
