Date,Open,High,Low,Close,Volume
2020-01-10,69.73,70.4283,69.455,70.15,3724005
2020-01-13,70.16,70.56,69.80,70.14,4641349
2020-01-14,70.14,70.40,70.03,70.29,4711929
2020-01-15,70.34,71.05,70.34,70.80,3606288
2020-01-16,70.96,71.175,70.67,70.75,2720308
2020-01-17,70.43,71.30,70.43,71.18,4019743
2020-01-21,71.07,71.38,70.25,71.29,6470769
2020-01-22,70.88,71.08,70.51,70.53,2890795
2020-01-23,70.07,71.065,70.00,70.61,2581613
2020-01-24,70.83,71.08,70.08,70.30,2938348
2020-01-27,70.15,70.79,69.77,70.10,3688054
2020-01-28,70.12,70.49,69.56,69.71,2770601
2020-01-29,69.75,69.89,68.81,68.83,3233503
2020-01-30,68.80,69.70,68.56,69.47,3539301
2020-01-31,73.64,74.97,73.37,73.78,13592330
2020-02-03,74.06,75.455,74.06,74.93,7725529
2020-02-04,75.28,76.20,75.19,75.40,4671829
2020-02-05,75.25,75.87,74.51,75.73,4282939
2020-02-06,75.97,76.60,75.83,76.31,4663995
2020-02-07,76.40,76.515,75.90,76.03,3222650
2020-02-10,75.96,77.41,75.96,77.35,4418436
2020-02-11,77.24,77.29,76.10,76.11,3992624
2020-02-12,76.21,76.32,75.495,75.95,3735393
2020-02-13,75.72,76.61,75.625,76.37,2907812
2020-02-14,76.36,76.70,76.115,76.69,2820355
2020-02-18,76.61,76.69,76.05,76.07,4371016
2020-02-19,76.00,76.27,75.50,75.54,2686698
2020-02-20,75.46,75.65,74.2518,75.16,3350881
2020-02-21,75.19,76.54,75.115,76.27,5341505
2020-02-24,71.71,75.72,71.19,74.42,5584385
2020-02-25,74.40,74.99,73.52,73.80,5739528
2020-02-26,74.00,74.475,72.90,72.92,4188676
2020-02-27,73.06,73.72,70.13,70.15,6181402
2020-02-28,68.99,69.355,66.32,67.57,11130860
2020-03-02,68.51,72.56,68.51,72.44,7940795
2020-03-03,72.55,74.11,71.24,71.78,7487759
2020-03-04,73.90,75.47,73.01,75.37,7174957
2020-03-05,73.71,74.33,71.80,72.34,5877497
2020-03-06,70.37,72.755,69.51,72.51,6339557
2020-03-09,69.30,71.61,69.00,69.99,7399598
2020-03-10,71.62,72.01,68.09,71.81,7521849
2020-03-11,70.14,70.81,67.78,68.90,6860392
2020-03-12,64.93,67.45,63.20,63.89,9772327
2020-03-13,66.43,69.21,64.20,69.10,11952950
2020-03-16,62.16,66.31,62.04,62.34,8849353
2020-03-17,64.19,70.43,63.31,70.20,9389090
2020-03-18,67.80,72.14,65.35,67.69,9189527
2020-03-19,67.98,68.99,65.06,66.65,8927108
2020-03-20,66.74,66.8525,61.39,62.08,9168470
2020-03-23,62.09,63.47,58.49,60.47,8306811
2020-03-24,61.11,65.88,59.61,61.18,9887497
2020-03-25,60.76,62.22,59.01,59.89,10375480
2020-03-26,60.36,64.34,60.19,63.82,9053314
2020-03-27,64.03,66.63,63.36,65.26,6366488
2020-03-30,65.99,66.93,64.97,66.58,4950641
2020-03-31,66.01,66.49,64.96,66.36,5784884
2020-04-01,64.75,65.85,64.09,65.55,4247710
2020-04-02,64.78,68.69,64.71,68.17,5676716
2020-04-03,67.95,68.69,66.75,67.62,4720932
2020-04-06,69.60,71.73,69.13,70.50,5172764
2020-04-07,70.28,71.79,68.835,69.04,5964860
2020-04-08,69.64,70.75,68.85,70.22,4265709
2020-04-09,70.66,71.47,69.76,69.91,3582461
2020-04-13,69.63,70.21,69.21,69.49,3335117
2020-04-14,71.33,73.89,70.61,73.11,4940583
2020-04-15,72.20,72.94,71.685,72.65,3390481
2020-04-16,72.90,73.275,71.74,72.84,3561837
2020-04-17,72.71,73.70,71.53,73.42,3762415
2020-04-20,72.93,73.31,72.13,72.16,3187548
2020-04-21,71.50,71.75,70.25,70.61,3142782
2020-04-22,71.20,71.73,70.555,71.21,3498160
2020-04-23,71.05,71.60,70.70,71.23,4041805
2020-04-24,70.75,71.91,70.60,71.40,3549832
2020-04-27,71.92,71.95,70.89,71.03,2926699
2020-04-28,71.94,71.94,70.44,71.11,2995661
2020-04-29,70.54,70.84,68.84,70.16,4676050
2020-04-30,69.75,70.79,69.17,70.27,7128262
2020-05-01,70.20,71.00,68.31,68.53,4497228
2020-05-04,68.65,69.86,68.02,69.48,5031669
2020-05-05,69.50,70.13,69.02,69.52,2457986
2020-05-06,69.39,69.49,67.80,67.84,4551423
2020-05-07,68.90,69.65,68.16,68.80,3986039
2020-05-08,69.75,69.82,68.78,69.37,3938963
2020-05-11,69.53,69.995,68.92,69.38,2797177
2020-05-12,69.74,69.98,68.50,68.73,3961728
2020-05-13,69.01,69.55,67.84,68.30,3864215
2020-05-14,68.11,68.29,65.54,67.06,5000018
2020-05-15,66.77,68.97,66.40,68.95,7939674
2020-05-18,69.92,70.75,69.1839,70.22,5017701
2020-05-19,69.82,70.38,69.14,69.25,5304068
2020-05-20,69.67,70.59,69.46,70.47,3406073
2020-05-21,71.01,71.01,69.76,70.26,5171918
2020-05-22,70.09,70.93,70.02,70.75,3427414
2020-05-26,71.34,71.48,69.10,69.43,6475596
