Date,Open,High,Low,Close,Volume
2020-01-10,102.45,102.62,101.16,101.55,1167898
2020-01-13,101.69,102.05,101.30,101.91,1159926
2020-01-14,101.90,103.57,101.855,102.56,2251912
2020-01-15,101.78,102.82,101.445,102.34,1745405
2020-01-16,102.99,103.48,102.32,102.92,4126513
2020-01-17,103.10,104.47,103.01,104.13,2680051
2020-01-21,103.30,103.74,102.19,102.19,3077431
2020-01-22,105.00,107.59,104.55,106.76,5725708
2020-01-23,106.42,106.55,105.20,106.03,2110757
2020-01-24,105.38,105.96,103.39,104.30,2528082
2020-01-27,101.43,102.11,100.59,101.16,2447794
2020-01-28,102.09,103.33,101.34,102.04,1990474
2020-01-29,102.36,102.83,101.13,101.20,1883903
2020-01-30,100.16,102.29,99.61,102.17,2176690
2020-01-31,101.28,101.69,99.21,99.80,2637314
2020-02-03,100.57,101.70,99.46,99.75,2113505
2020-02-04,101.58,102.55,101.38,101.70,1556868
2020-02-05,103.10,104.84,103.10,104.74,2396416
2020-02-06,105.53,106.00,103.42,103.52,1807705
2020-02-07,102.38,102.87,101.53,101.80,1640613
2020-02-10,101.29,101.95,100.90,101.95,1433987
2020-02-11,102.60,103.74,102.31,102.40,2132055
2020-02-12,103.23,103.615,102.48,102.80,1767925
2020-02-13,102.65,102.99,102.03,102.78,2019537
2020-02-14,102.87,103.23,102.22,102.64,1271687
2020-02-18,102.13,103.275,101.81,103.03,2009906
2020-02-19,103.39,104.36,102.84,104.14,2059616
2020-02-20,101.25,104.61,101.25,103.54,2262928
2020-02-21,102.51,102.81,100.72,101.15,2764513
2020-02-24,97.57,99.085,97.00,98.24,2522818
2020-02-25,98.52,98.54,92.18,92.78,4499708
2020-02-26,94.27,95.25,92.78,92.82,2762349
2020-02-27,90.03,93.106,88.59,89.17,4273518
2020-02-28,85.84,88.30,84.62,88.26,6114270
2020-03-02,88.56,91.52,86.93,91.47,4111779
2020-03-03,90.90,92.55,85.31,86.42,4685818
2020-03-04,87.96,89.48,85.76,89.33,2888092
2020-03-05,86.01,87.05,83.90,85.08,3484997
2020-03-06,81.67,83.39,80.56,82.29,4155224
2020-03-09,75.17,77.14,71.06,73.07,4879502
2020-03-10,76.52,78.35,73.62,78.35,6218225
2020-03-11,75.96,76.37,70.59,71.42,5370946
2020-03-12,65.96,68.32,61.08,63.63,7039824
2020-03-13,69.00,72.99,66.29,72.84,5763903
2020-03-16,61.01,64.15,55.44,55.45,6562322
2020-03-17,56.44,57.15,51.3101,53.92,10475220
2020-03-18,49.69,50.34,38.00,44.30,12148680
2020-03-19,43.08,47.83,39.78,46.26,9057920
2020-03-20,48.00,48.30,43.59,45.01,8038271
2020-03-23,43.39,44.94,42.03,42.87,6720901
2020-03-24,46.46,51.34,46.01,50.91,5553281
2020-03-25,52.61,55.00,50.0494,52.34,5469144
2020-03-26,55.57,61.40,54.46,57.87,6026677
2020-03-27,54.62,57.08,52.69,55.30,4392250
2020-03-30,54.59,54.99,52.3168,53.87,3843584
2020-03-31,52.97,53.77,50.00,50.42,5285523
2020-04-01,46.43,46.63,44.00,44.68,7349305
2020-04-02,43.75,45.86,43.075,43.93,5459501
2020-04-03,43.78,43.89,39.90,42.27,6421507
2020-04-06,46.28,50.17,45.79,49.42,5842652
2020-04-07,54.69,58.37,52.75,52.91,6081256
2020-04-08,54.41,57.08,53.63,56.72,5221213
2020-04-09,60.76,62.98,59.22,60.11,7633832
2020-04-13,60.00,60.05,55.68,56.50,4653514
2020-04-14,58.00,58.65,54.25,55.34,4794171
2020-04-15,51.51,52.85,49.77,52.60,6020399
2020-04-16,52.34,52.34,49.41,50.01,4931397
2020-04-17,52.97,55.16,52.80,54.63,5264259
2020-04-20,52.38,55.51,51.44,53.87,3987772
2020-04-21,51.39,53.43,50.8406,51.16,5193193
2020-04-22,53.16,53.4299,51.01,51.52,4832245
2020-04-23,51.50,53.55,51.50,52.61,5260085
2020-04-24,54.78,57.28,54.01,56.15,9181574
2020-04-27,56.88,59.46,56.88,59.19,6070433
2020-04-28,62.89,64.92,62.16,63.75,7833370
2020-04-29,69.62,71.47,67.04,69.75,13347000
2020-04-30,67.16,68.27,64.71,64.76,8421666
2020-05-01,62.17,62.17,60.16,61.58,6249219
2020-05-04,59.50,62.38,58.27,61.59,8373657
2020-05-05,64.38,64.93,60.57,60.96,8940156
2020-05-06,61.52,61.88,58.30,58.49,4269044
2020-05-07,59.60,62.53,59.60,60.82,4218897
2020-05-08,61.92,62.47,61.10,62.20,3004700
2020-05-11,61.01,61.01,58.53,59.50,4423512
2020-05-12,60.00,61.2182,58.03,58.10,5475920
2020-05-13,57.02,57.39,53.63,53.97,5644401
2020-05-14,52.60,59.16,51.91,59.16,8392975
2020-05-15,58.13,59.45,57.25,58.03,3359995
2020-05-18,62.41,63.98,61.52,63.40,4733522
2020-05-19,62.52,63.01,60.17,60.25,4657459
2020-05-20,61.75,62.85,60.91,61.48,4952598
2020-05-21,61.39,62.04,60.3405,60.92,2788612
2020-05-22,60.82,61.3555,59.62,60.21,3645771
2020-05-26,64.25,66.746,63.57,65.80,5172145
2020-05-27,70.27,71.37,67.82,70.88,5951529
2020-05-28,71.92,72.04,67.88,68.54,6160854
2020-05-29,67.00,69.00,65.82,68.04,9177147
2020-06-01,68.59,70.28,67.875,68.99,4604015
2020-06-02,70.21,72.48,69.34,70.90,5559613
2020-06-03,72.97,75.17,72.3596,74.34,5698013
2020-06-04,73.97,77.16,72.72,77.15,4369156
2020-06-05,84.87,85.215,78.30,79.02,7549498
2020-06-08,81.23,82.15,78.94,80.00,7022222
2020-06-09,77.01,79.34,76.45,78.47,3873031
2020-06-10,77.83,78.38,71.80,71.80,7791132
2020-06-11,66.71,70.16,66.02,66.12,6429500
2020-06-12,70.26,70.70,67.0803,70.63,5173016
2020-06-15,66.50,72.20,66.15,71.17,4045291
2020-06-16,75.08,75.36,70.42,73.60,5360606
2020-06-17,73.58,73.9499,71.22,71.47,2951734
2020-06-18,70.47,71.67,69.42,69.98,3582128
2020-06-19,71.68,71.68,67.31,68.07,6015784
2020-06-22,68.58,70.15,67.90,68.30,3798346
2020-06-23,69.57,70.19,68.825,69.57,2367093
2020-06-24,68.44,68.44,64.99,65.46,3729038
2020-06-25,64.86,67.3899,64.04,67.04,4257402
2020-06-26,65.54,65.54,60.84,61.16,8718678
2020-06-29,61.84,62.98,60.76,62.38,3461848
2020-06-30,62.08,63.37,61.65,62.59,4061746
2020-07-01,62.85,64.25,60.17,60.70,3404534
2020-07-02,62.27,63.25,60.72,61.15,3376375
2020-07-06,63.08,63.54,61.593,62.65,2644826
2020-07-07,61.91,61.91,59.74,59.91,3036423
2020-07-08,59.76,61.46,59.20,61.39,3087778
2020-07-09,60.99,61.20,57.30,58.35,4076375
2020-07-10,58.18,60.84,57.87,60.80,3138017
2020-07-13,61.58,63.11,59.76,61.56,3808685
2020-07-14,61.17,61.96,60.06,60.68,4071657
2020-07-15,62.41,63.81,61.58,63.68,3185349
2020-07-16,62.76,64.54,62.4101,63.36,2960319
2020-07-17,63.36,63.39,61.66,61.99,2489498
2020-07-20,61.42,61.99,60.47,60.84,3063371
2020-07-21,61.51,63.06,61.20,62.87,4421996
2020-07-22,60.49,64.96,60.30,64.05,10854670
2020-07-23,63.65,66.04,63.355,65.40,4594607
2020-07-24,65.41,65.78,64.72,65.06,2194849
2020-07-27,64.48,65.98,63.06,65.74,3736607
2020-07-28,65.02,65.805,63.96,64.10,3132299
2020-07-29,64.12,66.41,63.64,66.38,1800780
2020-07-30,64.52,65.21,63.44,64.84,1915867
2020-07-31,64.79,64.79,62.745,63.80,1992527
2020-08-03,63.93,64.51,63.20,63.49,1792499
2020-08-04,63.20,63.74,62.65,63.24,1828693
2020-08-05,63.98,64.88,63.445,64.67,2172855
2020-08-06,64.01,65.31,63.31,63.55,2880812
2020-08-07,62.92,66.04,62.26,65.75,3832733
2020-08-10,66.10,67.94,66.00,67.41,2711173
2020-08-11,69.59,71.88,69.37,69.63,3146373
2020-08-12,71.00,71.90,67.02,68.15,2595563
2020-08-13,67.24,68.58,66.80,67.64,2965283
2020-08-14,67.18,69.96,66.36,69.47,2956946
2020-08-17,69.28,69.44,66.77,66.79,2911273
2020-08-18,67.14,67.14,65.32,65.47,2732197
2020-08-19,65.59,66.87,65.06,65.70,2495829
2020-08-20,64.53,64.82,63.81,64.27,2544798
2020-08-21,64.29,64.8132,63.39,63.80,1609842
2020-08-24,64.19,67.44,63.925,67.36,2615584
2020-08-25,68.35,69.06,66.37,66.91,1966586
2020-08-26,66.91,67.12,65.74,66.28,1792038
2020-08-27,66.19,69.95,66.14,69.61,3898204
2020-08-28,70.05,71.21,69.5225,71.13,3582824
2020-08-31,70.98,71.13,68.95,69.03,3043971
2020-09-01,67.92,69.45,67.495,68.58,1524119
2020-09-02,68.40,69.75,68.16,69.37,1470337
2020-09-03,70.00,71.88,69.05,69.92,2313937
2020-09-04,72.35,74.48,71.44,73.99,5011664
2020-09-08,72.36,72.53,70.31,70.36,3374045
2020-09-09,71.30,71.30,69.79,70.57,2574721
2020-09-10,71.20,72.55,69.29,69.42,2626574
2020-09-11,69.51,71.25,68.97,71.05,2212653
2020-09-14,71.88,75.085,71.72,74.64,3557421
2020-09-15,74.43,74.74,72.675,73.30,2671947
2020-09-16,73.45,76.86,72.21,76.17,3694685
2020-09-17,74.76,77.50,74.38,75.98,3189810
2020-09-18,75.76,76.84,75.01,75.79,3047915
2020-09-21,72.87,73.46,70.84,71.65,3954421
2020-09-22,71.29,72.26,68.55,69.96,3187801
2020-09-23,70.25,71.29,68.00,68.13,4409001
2020-09-24,68.14,69.37,66.4602,68.10,3324212
2020-09-25,67.22,69.83,67.0807,69.36,1991290
2020-09-28,71.15,72.38,69.97,71.33,1714313
2020-09-29,71.19,71.64,69.75,70.45,2150643
2020-09-30,70.99,73.54,70.73,71.86,2757623
2020-10-01,72.98,75.31,71.31,72.93,2798028
2020-10-02,71.53,75.68,71.03,74.94,2693846
2020-10-05,76.26,78.21,75.69,78.04,3037151
2020-10-06,79.00,79.98,75.23,75.63,2874474
2020-10-07,76.87,78.79,76.87,78.24,2748166
2020-10-08,78.59,80.39,77.56,80.28,2039533
2020-10-09,81.25,81.67,79.21,79.88,1733684
2020-10-12,79.81,81.07,79.31,80.41,2056323
2020-10-13,79.38,80.67,78.87,79.54,1978091
2020-10-14,79.69,80.22,78.56,78.66,1589777
2020-10-15,77.58,78.70,76.83,78.55,2878789
2020-10-16,79.16,79.88,78.51,79.22,3590349
2020-10-19,79.77,79.89,77.09,77.12,2048499
2020-10-20,77.90,79.09,77.15,77.27,2515667
2020-10-21,76.91,77.20,73.67,73.72,5700788
2020-10-22,74.71,77.47,74.57,76.75,10451150
2020-10-23,80.48,81.00,76.82,77.99,7613979
2020-10-26,76.63,76.765,74.19,74.95,5111875
2020-10-27,74.77,74.99,73.69,74.06,3023874
2020-10-28,71.79,73.60,71.518,72.07,3696992
2020-10-29,71.48,73.62,70.78,73.12,2551907
2020-10-30,72.64,73.20,71.27,73.08,2102045
2020-11-02,74.65,76.22,74.0101,75.68,2602302
2020-11-03,77.28,78.8299,76.83,77.57,2655795
2020-11-04,75.99,77.79,73.05,75.55,3189328
2020-11-05,76.45,79.21,76.20,78.70,2294031
2020-11-06,79.07,79.79,77.115,77.77,2559591
2020-11-09,84.78,90.30,84.78,86.95,5669176
2020-11-10,87.26,88.61,85.77,86.68,2639096
2020-11-11,87.09,87.46,83.72,84.67,2709237
2020-11-12,83.27,84.58,82.53,83.58,2129929
2020-11-13,84.38,87.27,84.38,86.70,2280139
2020-11-16,89.99,90.61,87.62,88.61,2065247
2020-11-17,87.10,88.61,85.49,87.76,1829317
2020-11-18,88.23,89.385,85.54,85.61,2681268
2020-11-19,84.74,85.38,83.67,84.99,4613373
2020-11-20,84.43,85.07,83.03,83.58,3454329
2020-11-23,85.16,87.76,84.68,87.28,2224864
2020-11-24,89.54,92.08,88.76,91.36,3236569
2020-11-25,90.03,90.25,87.66,89.90,3295401
2020-11-27,89.18,89.58,87.58,87.76,2139497
2020-11-30,89.66,89.9499,85.16,85.64,4422540
2020-12-01,88.00,90.87,87.82,89.70,2753134
2020-12-02,88.40,91.92,88.22,91.39,2853147
2020-12-03,91.30,92.28,90.48,91.28,2123360
2020-12-04,92.03,93.15,90.87,92.24,2187806
2020-12-07,93.00,93.20,91.01,92.97,2758666
2020-12-08,91.40,93.22,91.36,92.64,2889348
2020-12-09,92.93,95.36,92.76,94.92,4599875
2020-12-10,93.33,95.2947,92.10,94.67,2939954
