Date,Open,High,Low,Close,Volume
2020-01-10,83.475,83.5825,82.5925,83.4125,875760
2020-01-13,83.41,83.7475,83.23,83.3875,943612
2020-01-14,83.1675,84.0975,82.7975,84.0175,1157464
2020-01-15,84.115,86.0725,84.115,85.9625,1460160
2020-01-16,86.47,87.4475,85.9425,87.265,1402540
2020-01-17,87.50,88.8525,87.065,88.8275,1591536
2020-01-21,88.6025,89.9425,88.1675,89.64,2389928
2020-01-22,90.47,91.42,89.76,89.995,1729084
2020-01-23,89.665,89.705,88.2875,89.25,1217600
2020-01-24,89.175,89.23,87.7575,88.09,1371340
2020-01-27,86.8625,89.25,86.7965,88.5525,930436
2020-01-28,88.7325,89.465,88.23,88.76,1354196
2020-01-29,88.75,89.5763,88.53,88.58,977664
2020-01-30,87.91,88.435,87.2625,88.35,1075584
2020-01-31,87.9975,88.3512,86.2588,86.7225,1602032
2020-02-03,87.2175,87.4925,86.3162,86.56,1197740
2020-02-04,87.575,88.2875,87.17,87.5375,1252008
2020-02-05,88.2775,89.2725,88.1975,88.3925,1004756
2020-02-06,88.5175,88.715,87.9775,88.255,832284
2020-02-07,87.9475,88.4575,86.93,87.05,680992
2020-02-10,86.6225,87.5275,86.4289,87.3475,602276
2020-02-11,87.76,88.7275,87.4225,87.8475,1002232
2020-02-12,87.9375,88.93,87.7525,88.2725,760224
2020-02-13,87.7275,88.6875,87.49,88.2425,685408
2020-02-14,88.33,89.06,88.10,88.3275,797320
2020-02-18,88.065,89.2325,87.675,89.0875,675364
2020-02-19,89.3725,90.00,88.83,89.14,551504
2020-02-20,88.8825,89.265,87.885,88.7075,537376
2020-02-21,88.495,89.3937,88.475,88.9175,639580
2020-02-24,87.2975,87.8075,85.805,86.78,1393728
2020-02-25,87.085,87.4875,83.6725,84.1125,1266316
2020-02-26,84.665,86.1325,83.8175,83.83,1153060
2020-02-27,82.8875,84.7237,82.00,82.0675,1286688
2020-02-28,80.265,81.40,77.75,81.1425,2271440
2020-03-02,82.0075,83.88,81.0375,83.8625,1128276
2020-03-03,83.8025,86.265,81.2625,82.495,1690944
2020-03-04,83.7725,84.86,82.8225,84.535,1231860
2020-03-05,82.4625,83.805,80.3675,81.3175,1867424
2020-03-06,82.18,84.605,78.385,83.4525,2207616
2020-03-09,82.50,82.50,78.12,79.375,1888692
2020-03-10,80.95,83.775,78.3525,83.7375,1784496
2020-03-11,81.66,83.9725,79.9338,80.9725,2698848
2020-03-12,75.9575,77.4975,69.9925,70.0125,3310436
2020-03-13,72.9575,73.1205,68.1943,72.76,2407580
2020-03-16,64.15,70.1775,62.875,64.8575,1985184
2020-03-17,65.7775,68.9675,62.7675,68.7925,1912700
2020-03-18,64.8575,66.365,59.1688,62.7775,1954212
2020-03-19,62.4375,71.7325,59.805,68.2875,1653040
2020-03-20,69.545,69.9775,61.6775,62.6625,2066528
2020-03-23,63.165,64.815,59.4275,60.86,1702544
2020-03-24,63.76,65.6673,60.805,63.9725,1292440
2020-03-25,63.4825,66.4225,61.7388,64.2225,1772592
2020-03-26,65.335,70.5125,64.0225,70.5125,2054844
2020-03-27,68.26,70.0763,65.2119,68.3075,1302108
2020-03-30,68.74,70.665,68.7075,70.0375,1089524
2020-03-31,70.24,71.5162,68.765,68.9175,1424140
2020-04-01,67.20,69.9075,66.0025,68.2625,1700064
2020-04-02,67.6525,71.085,67.45,70.9575,1235908
2020-04-03,70.565,72.00,69.625,69.92,1256808
2020-04-06,72.2575,74.65,71.96,74.17,960716
2020-04-07,76.305,76.6863,73.0125,73.16,1209880
2020-04-08,73.39,74.825,71.465,74.3575,1389528
2020-04-09,73.80,75.0625,72.3225,74.1425,1719564
2020-04-13,74.155,74.875,73.035,74.7575,1902044
2020-04-14,76.025,78.0575,74.6325,75.1225,1368976
2020-04-15,73.3175,75.3113,73.165,74.675,1747724
