Date,Open,High,Low,Close,Volume
2020-01-10,39.3456,39.3456,39.3456,39.3456,N/A
2020-01-13,39.45,39.45,39.395,39.395,1185
2020-01-14,38.75,38.75,38.75,38.75,11172
2020-01-15,38.4592,38.75,38.4592,38.75,2331
2020-01-16,38.08,38.08,38.08,38.08,252
2020-01-17,38.33,38.565,37.98,38.15,25268
2020-01-21,38.50,38.50,38.50,38.50,4915
2020-01-22,38.50,38.50,38.50,38.50,N/A
2020-01-23,37.69,37.69,37.69,37.69,194
2020-01-24,37.69,37.69,37.69,37.69,N/A
2020-01-27,37.50,37.65,37.50,37.65,9144
2020-01-28,37.73,37.73,37.73,37.73,611
2020-01-29,38.26,38.26,38.26,38.26,133
2020-01-30,38.26,38.26,38.26,38.26,N/A
2020-01-31,38.26,38.26,38.26,38.26,N/A
2020-02-03,38.26,38.26,38.26,38.26,N/A
2020-02-04,38.28,38.28,38.28,38.28,266
2020-02-05,38.28,38.28,38.28,38.28,N/A
2020-02-06,38.4344,38.4344,38.4344,38.4344,251
2020-02-07,38.4344,38.4344,38.4344,38.4344,N/A
2020-02-10,38.455,38.455,38.455,38.455,425
2020-02-11,38.6814,38.6814,38.6814,38.6814,3414
2020-02-12,38.6814,38.6814,38.6814,38.6814,N/A
2020-02-13,38.86,38.86,38.86,38.86,191
2020-02-14,38.86,38.86,38.86,38.86,N/A
2020-02-18,38.86,38.86,38.86,38.86,N/A
2020-02-19,38.86,38.86,38.86,38.86,N/A
2020-02-20,37.315,37.315,36.95,37.15,1077
2020-02-21,37.56,37.705,37.56,37.705,306
2020-02-24,36.77,36.77,35.50,35.50,360
2020-02-25,34.46,34.46,34.46,34.46,120
2020-02-26,34.46,34.46,34.46,34.46,N/A
2020-02-27,33.99,33.99,33.99,33.99,314
2020-02-28,33.50,33.50,33.50,33.50,500
2020-03-02,33.88,34.1475,33.86,33.86,700
2020-03-03,35.61,35.61,33.97,33.97,3559
2020-03-04,35.07,36.0964,35.07,36.0964,979
2020-03-05,36.1462,36.1462,36.1462,36.1462,653
2020-03-06,33.80,33.80,33.21,33.21,603
2020-03-09,32.00,32.00,31.25,31.25,400
2020-03-10,31.25,31.25,31.25,31.25,N/A
2020-03-11,29.77,29.77,29.77,29.77,100
2020-03-12,26.79,26.79,26.79,26.79,150
2020-03-13,26.008,26.008,24.31,24.31,4377
2020-03-16,23.92,23.92,23.92,23.92,545
2020-03-17,22.33,23.10,22.33,22.5855,3803
2020-03-18,19.87,20.03,18.00,18.00,1132
2020-03-19,18.79,18.79,18.75,18.75,6757
2020-03-20,18.75,18.75,18.75,18.75,N/A
2020-03-23,19.19,21.07,18.91,21.01,4800
2020-03-24,22.938,22.938,21.43,21.43,5551
2020-03-25,21.43,21.43,21.43,21.43,N/A
2020-03-26,26.14,26.14,26.14,26.14,343
2020-03-27,25.6892,25.6892,25.6892,25.6892,256
2020-03-30,24.78,24.78,24.78,24.78,1293
2020-03-31,24.78,24.78,24.78,24.78,N/A
2020-04-01,24.78,24.78,24.78,24.78,N/A
2020-04-02,26.23,26.23,26.23,26.23,162
2020-04-03,26.40,26.65,26.3702,26.3702,6488
2020-04-06,28.00,28.00,28.00,28.00,1000
2020-04-07,26.95,27.645,26.95,27.645,1138
2020-04-08,27.645,27.645,27.645,27.645,N/A
2020-04-09,30.00,30.00,29.18,29.18,1265
2020-04-13,29.18,29.18,29.18,29.18,N/A
2020-04-14,28.1756,28.1756,28.1756,28.1756,535
2020-04-15,28.1756,28.1756,28.1756,28.1756,N/A
