Date,Open,High,Low,Close,Volume
2020-01-10,14.1225,14.575,14.00,14.30,32621156
2020-01-13,14.34,14.935,14.25,14.7425,28182192
2020-01-14,14.8075,15.165,14.375,14.81,31156960
2020-01-15,14.8075,15.4925,14.8075,15.0625,31893380
2020-01-16,15.375,15.6875,15.25,15.56,24658492
2020-01-17,15.7625,15.925,15.515,15.8625,25023400
2020-01-21,15.755,15.8475,15.315,15.56,24346704
2020-01-22,15.75,16.01,15.575,15.6425,17031112
2020-01-23,15.6425,15.665,15.1775,15.3875,16286804
2020-01-24,15.50,15.7625,14.46,14.8125,26320984
2020-01-27,14.145,14.54,13.8276,14.515,17703420
2020-01-28,14.665,14.91,14.5325,14.7675,12295932
2020-01-29,15.00,15.445,14.935,15.065,13932324
2020-01-30,15.00,15.64,14.735,15.6125,16651284
2020-01-31,15.625,15.75,15.0625,15.2725,16248636
2020-02-03,15.2825,15.365,14.9125,15.27,14827032
2020-02-04,15.48,16.0825,15.2875,15.8888,18475960
2020-02-05,16.0525,16.20,15.015,15.4537,15994376
2020-02-06,15.40,15.745,15.045,15.5475,9039364
2020-02-07,15.50,15.93,15.455,15.5225,12222712
2020-02-10,15.5825,15.965,15.3625,15.825,15509816
2020-02-11,16.50,16.71,15.9138,16.2975,31912604
2020-02-12,16.2975,16.375,15.68,16.27,21793264
2020-02-13,16.0625,16.55,16.0325,16.3275,16497868
2020-02-14,16.4525,16.4575,15.9675,16.2125,16809984
2020-02-18,16.25,16.57,16.1375,16.51,17307880
2020-02-19,16.6575,16.89,16.4025,16.5075,21227648
2020-02-20,16.425,16.495,15.0075,15.845,24716580
2020-02-21,15.645,15.66,14.815,15.2325,18516548
2020-02-24,14.10,14.8125,14.005,14.52,18555256
2020-02-25,14.875,14.9475,14.015,14.435,21351764
2020-02-26,14.5975,15.065,14.3775,14.615,17716004
2020-02-27,14.0375,14.8625,13.5863,14.375,19496376
2020-02-28,13.90,15.005,13.875,14.91,17801908
2020-03-02,15.05,15.2425,14.50,14.7825,16054640
2020-03-03,14.9025,15.1831,13.7525,14.12,16285872
2020-03-04,14.295,14.52,14.015,14.30,9283876
2020-03-05,14.02,14.36,13.6375,13.98,12850176
2020-03-06,13.56,13.7175,12.59,12.99,20479792
2020-03-09,11.7025,12.2225,11.4125,11.435,23266828
2020-03-10,12.1175,12.1175,11.25,11.7275,18279688
2020-03-11,11.49,11.575,10.5575,10.7125,21582912
2020-03-12,9.65,10.05,8.995,9.455,26545848
2020-03-13,9.975,10.02,9.1475,9.8875,20060912
2020-03-16,9.00,9.00,8.03,8.2525,27265204
2020-03-17,8.4825,9.575,7.9875,9.5025,22658808
2020-03-18,8.94,10.3675,8.875,9.6575,25433812
2020-03-19,10.1075,11.1225,9.55,10.435,29770932
2020-03-20,12.4888,12.9925,11.7025,12.2525,57014440
2020-03-23,11.56,13.25,11.5025,12.8625,44508760
2020-03-24,13.73,14.6625,13.57,14.3325,32351856
2020-03-25,14.00,14.875,13.90,13.945,22068960
2020-03-26,13.96,14.775,13.76,14.66,23363440
2020-03-27,14.255,14.9675,14.005,14.6975,15304532
2020-03-30,14.7025,14.9575,14.0675,14.43,17797828
2020-03-31,14.2575,15.0075,13.815,13.92,19703188
2020-04-01,13.50,14.1375,13.3825,13.645,12455640
2020-04-02,13.6275,14.23,13.5275,14.1725,12234816
2020-04-03,13.9625,14.8125,13.9625,14.455,18223600
2020-04-06,14.77,15.1325,14.665,14.7675,20032536
2020-04-07,14.8625,15.325,14.4375,14.90,29891356
2020-04-08,14.9125,15.22,14.7625,15.08,17350160
2020-04-09,15.12,15.1975,14.375,14.5375,15011496
2020-04-13,14.50,14.8425,14.34,14.6925,11468468
2020-04-14,14.9975,15.50,14.625,15.2225,25942872
2020-04-15,14.835,15.66,14.6825,15.455,16787416
2020-04-16,15.50,16.1125,15.385,15.8625,20008244
2020-04-17,16.115,16.405,15.8125,16.185,16558956
2020-04-20,16.2175,17.55,16.0975,17.1075,26119604
2020-04-21,17.165,17.625,15.6925,16.5175,27801008
2020-04-22,16.9175,17.3275,16.8075,17.0175,14937472
2020-04-23,17.015,17.49,17.00,17.2275,12259824
2020-04-24,17.25,18.6625,17.2237,18.00,38900232
2020-04-27,18.25,18.75,18.005,18.40,17440876
2020-04-28,18.50,18.6775,17.0975,17.5325,18536288
2020-04-29,17.75,17.90,17.0475,17.32,24445576
2020-04-30,17.32,17.32,16.78,16.915,8867012
2020-05-01,16.57,17.5475,16.45,17.3025,11991084
2020-05-04,17.0875,18.4175,16.9525,18.3575,15598472
2020-05-05,18.5675,18.75,17.72,17.8975,14972720
2020-05-06,17.985,18.405,17.33,18.11,17971544
2020-05-07,18.50,19.1875,18.415,18.8725,22646520
2020-05-08,19.1375,19.49,18.75,19.175,13856848
2020-05-11,19.2625,19.5875,19.0375,19.0575,9672980
2020-05-12,19.25,20.1575,18.8275,19.0375,18057404
2020-05-13,19.465,19.825,18.28,19.1425,17332392
2020-05-14,19.00,19.35,18.6325,19.285,13288920
2020-05-15,19.375,20.0725,19.0825,19.285,13171608
2020-05-18,19.5275,19.7475,18.945,19.025,11477428
2020-05-19,19.1325,19.895,19.125,19.6375,10701604
2020-05-20,20.18,20.435,19.7876,20.2425,14256560
2020-05-21,20.405,20.4675,19.7037,20.15,8289288
2020-05-22,20.25,20.675,20.00,20.555,11292060
2020-05-26,20.8475,20.85,19.4875,19.8375,16489544
2020-05-27,19.75,19.75,17.8775,19.4975,28085196
2020-05-28,19.55,20.57,19.50,19.875,15267112
2020-05-29,20.7975,22.00,20.30,21.9525,53951040
2020-06-01,22.64,23.95,22.5525,23.71,48115360
2020-06-02,24.1475,24.20,22.5075,23.0625,51533320
2020-06-03,24.995,25.95,23.90,24.525,84206160
2020-06-04,23.5575,24.6225,22.9575,23.995,65484880
2020-06-05,23.1825,23.995,22.2175,23.4825,38402524
2020-06-08,23.4675,24.375,23.405,23.8575,29929448
2020-06-09,24.00,24.22,23.405,23.475,17404424
2020-06-10,23.75,24.435,23.5825,24.305,23267100
2020-06-11,23.7125,25.03,23.555,23.76,33292604
2020-06-12,24.4966,24.4966,22.7625,23.28,25809664
2020-06-15,23.1625,25.00,22.875,24.755,36101344
2020-06-16,25.00,25.42,23.6725,25.26,39257036
2020-06-17,25.41,25.4357,24.4425,24.6725,30550720
2020-06-18,24.545,25.4675,24.465,25.4025,38260540
2020-06-19,25.75,26.2225,25.16,25.27,42976560
2020-06-22,25.335,26.39,25.065,26.255,33672764
2020-06-23,26.45,26.825,25.7875,26.0675,34403448
2020-06-24,25.9575,26.5238,25.125,25.925,19832200
2020-06-25,25.95,27.0839,25.91,26.4275,24449512
2020-06-26,26.00,26.00,24.38,24.6975,69754160
2020-06-29,24.9425,24.9425,23.545,24.525,25218432
2020-06-30,24.61,25.345,24.3325,25.0725,20224688
2020-07-01,25.00,25.9112,24.8125,25.7375,21422332
2020-07-02,25.9125,26.925,25.575,26.8175,36243916
2020-07-06,27.3348,27.42,26.1788,26.5975,31652296
2020-07-07,26.75,27.1675,26.3025,26.605,18366028
2020-07-08,26.8425,28.6725,26.775,28.6375,27814120
2020-07-09,28.8775,29.595,28.2775,29.365,28258076
2020-07-10,29.3925,29.5625,28.8525,29.1625,13748876
2020-07-13,29.505,29.645,26.43,26.5525,28915936
2020-07-14,26.785,27.3375,24.78,26.4025,36309028
2020-07-15,26.395,26.5056,25.1475,25.7875,19793900
2020-07-16,25.525,25.7037,24.6525,25.265,20383792
2020-07-17,25.3512,25.7175,24.75,25.3575,22902164
2020-07-20,25.4725,26.7367,25.415,26.68,23836704
2020-07-21,27.11,27.1175,26.11,26.65,14515496
2020-07-22,26.65,26.794,25.65,25.9275,15454936
2020-07-23,26.14,26.415,24.90,25.365,14906864
2020-07-24,24.775,25.4175,24.265,25.0075,16306816
2020-07-27,25.33,26.0875,25.0425,25.90,18150184
2020-07-28,26.10,27.32,25.9553,26.4325,18817928
2020-07-29,26.9025,28.4575,26.8503,28.23,20715140
2020-07-30,27.75,28.20,27.2275,27.9775,11583780
2020-07-31,28.2275,28.46,27.3525,28.30,11253116
2020-08-03,28.62,29.045,28.0625,28.87,17169820
2020-08-04,28.89,29.00,28.195,28.74,10670136
2020-08-05,28.7425,29.045,28.495,28.6875,17727900
2020-08-06,28.64,28.8525,27.2575,27.575,15487376
2020-08-07,26.80,26.8475,25.07,25.4375,26549472
2020-08-10,25.7025,25.7025,24.175,24.25,29069944
2020-08-11,24.275,25.125,23.3425,24.54,33296664
2020-08-12,24.6525,25.1025,24.3075,24.6125,12773228
2020-08-13,24.86,25.53,24.5775,25.2225,13019668
2020-08-14,25.8025,26.09,25.2277,25.3125,13664096
2020-08-17,25.5025,26.375,25.4375,26.335,11269724
2020-08-18,26.63,26.9125,26.4058,26.775,10206396
2020-08-19,26.9125,27.4225,26.425,27.0375,8938948
2020-08-20,26.8875,28.1625,26.705,28.1225,11214064
2020-08-21,28.00,28.3825,27.7175,28.005,9394560
2020-08-24,28.35,28.414,27.065,27.8113,11243924
2020-08-25,27.575,28.6125,27.3375,28.3925,11269536
2020-08-26,28.7525,29.9857,28.565,29.2775,19447520
2020-08-27,29.35,29.5675,28.445,29.2825,12725500
2020-08-28,29.565,30.25,29.355,29.66,14411268
2020-08-31,30.00,31.6375,30.00,31.4325,34697692
2020-09-01,33.61,36.17,32.50,35.9225,64191840
2020-09-02,38.01,38.275,32.745,35.5175,128039120
2020-09-03,32.75,34.6975,31.75,32.3125,84903640
2020-09-04,31.32,32.4875,28.8125,31.2975,43386480
2020-09-08,29.715,32.2325,29.50,31.4075,27851404
2020-09-09,32.4027,32.424,31.00,32.045,23033280
2020-09-10,32.57,33.5125,32.10,32.3375,26046676
2020-09-11,32.78,32.916,30.7125,31.57,17136500
2020-09-14,31.945,32.475,31.7875,32.125,16892508
2020-09-15,32.6628,33.0475,31.8375,32.8625,20710108
2020-09-16,33.00,33.46,32.38,32.7875,14614380
2020-09-17,31.87,32.3075,31.20,32.145,19780408
2020-09-18,32.555,33.025,31.68,32.8575,46852600
2020-09-21,31.8125,34.6375,31.3625,34.5325,30456300
2020-09-22,34.63,35.67,33.55,35.67,23387016
2020-09-23,35.25,35.925,34.2275,34.65,15789832
2020-09-24,34.28,34.475,33.10,33.475,17611636
2020-09-25,33.95,34.65,33.6625,34.0975,13749732
2020-09-28,34.455,35.4175,34.075,34.3575,16934220
2020-09-29,34.425,34.5887,33.8413,34.0875,8491480
2020-09-30,33.8275,34.755,33.4138,34.33,14678312
2020-10-01,34.875,36.44,34.50,35.7175,31369344
2020-10-02,34.9325,36.375,34.65,34.9675,13797952
2020-10-05,35.9525,37.07,35.7025,36.22,23452992
2020-10-06,36.50,37.1675,35.875,36.2825,22385436
2020-10-07,36.50,37.21,36.07,36.1425,18482608
2020-10-08,36.6125,36.615,35.3825,35.7425,13762744
2020-10-09,36.025,36.4075,35.6525,35.8925,9456292
2020-10-12,36.625,37.4375,36.205,36.49,16752468
2020-10-13,36.77,38.4075,36.752,38.20,24413124
2020-10-14,38.40,38.475,36.3312,36.9475,19775920
2020-10-15,35.8475,36.4375,35.2825,36.34,17532492
