Date,Open,High,Low,Close,Volume
2020-01-10,47.48,47.56,47.06,47.13,13504600
2020-01-13,47.31,47.98,47.299,47.97,18243200
2020-01-14,47.96,47.99,47.62,47.79,17951760
2020-01-15,47.92,48.395,47.7649,48.01,16289440
2020-01-16,48.38,49.08,48.23,49.05,20094930
2020-01-17,49.31,49.54,48.87,49.02,27176170
2020-01-21,48.96,49.20,48.67,48.80,21771750
2020-01-22,49.28,49.53,49.04,49.06,15185990
2020-01-23,49.00,49.175,48.413,49.00,16767690
2020-01-24,49.22,49.48,48.5433,48.85,14066910
2020-01-27,47.89,48.07,47.27,47.47,20665990
2020-01-28,47.52,47.965,47.5033,47.77,14035050
2020-01-29,47.97,47.98,46.93,47.05,14289780
2020-01-30,46.54,47.27,46.26,47.24,14822580
2020-01-31,46.99,47.00,45.84,45.97,20069930
2020-02-03,46.40,46.825,46.21,46.53,15383530
2020-02-04,47.22,47.7074,47.11,47.62,13947270
2020-02-05,48.33,48.60,48.15,48.45,17042330
2020-02-06,48.69,48.82,48.22,48.69,9814844
2020-02-07,48.60,48.77,47.87,47.97,16807740
2020-02-10,47.99,48.89,47.88,48.87,19012720
2020-02-11,49.39,49.714,48.8646,49.13,23168270
2020-02-12,49.43,50.28,49.40,49.93,31686170
2020-02-13,47.15,47.67,46.58,47.32,47044720
2020-02-14,47.16,47.22,46.48,46.97,26747250
2020-02-18,46.82,46.85,46.29,46.59,18550360
2020-02-19,46.69,46.81,45.90,46.29,27626380
2020-02-20,46.09,46.96,45.90,46.85,20416660
2020-02-21,46.73,46.85,46.05,46.295,20031420
2020-02-24,45.00,45.68,44.00,44.00,35295920
2020-02-25,44.05,44.21,42.07,42.74,48024750
2020-02-26,42.97,43.3775,41.94,42.16,38528930
2020-02-27,41.28,42.095,40.01,40.04,51442850
2020-02-28,38.70,40.55,38.35,39.93,80194000
2020-03-02,40.15,41.19,38.92,41.17,48864270
2020-03-03,41.26,41.90,39.71,40.04,49294740
2020-03-04,40.72,41.45,39.80,41.39,30022090
2020-03-05,40.17,40.51,39.29,39.57,30255900
2020-03-06,38.00,39.95,37.80,39.68,48605590
2020-03-09,36.90,39.56,36.29,37.96,61535330
2020-03-10,39.248,40.145,37.87,40.08,50536520
2020-03-11,39.02,39.16,36.37,37.05,63608530
2020-03-12,34.50,35.82,33.00,33.20,51855310
2020-03-13,35.18,37.68,33.33,37.64,53859600
2020-03-16,33.23,36.99,32.4001,33.71,44211290
2020-03-17,34.70,36.25,33.60,35.50,41572400
2020-03-18,33.76,37.71,33.31,37.12,56904270
2020-03-19,37.05,39.32,36.15,37.71,58319650
2020-03-20,38.27,38.47,35.40,35.60,48582550
2020-03-23,35.51,35.82,33.74,34.60,39823400
2020-03-24,36.405,38.68,35.54,38.60,48235610
2020-03-25,38.65,39.95,37.50,37.67,42873920
2020-03-26,37.97,40.92,37.3664,40.58,38487230
2020-03-27,39.21,40.15,38.41,38.82,31278580
2020-03-30,39.45,40.485,38.96,40.32,27120330
2020-03-31,40.13,40.415,39.11,39.31,26019850
2020-04-01,38.17,38.86,37.8742,38.33,26790670
2020-04-02,37.84,39.945,37.47,39.80,28180490
2020-04-03,39.82,40.29,38.54,39.06,21235160
2020-04-06,40.46,41.68,39.78,41.43,31641430
2020-04-07,42.66,42.74,40.59,40.64,30366070
2020-04-08,41.17,42.20,40.865,41.74,22683520
2020-04-09,42.09,42.20,40.85,41.20,27650200
2020-04-13,41.04,41.46,40.53,41.22,19591970
2020-04-14,41.91,42.82,41.53,42.78,22882370
2020-04-15,42.203,42.37,41.23,41.52,18428790
2020-04-16,41.76,41.79,40.68,41.50,26177970
2020-04-17,42.25,42.64,41.74,42.48,30701460
2020-04-20,41.92,43.29,41.79,42.54,23438040
2020-04-21,41.83,41.99,40.41,40.55,31661040
2020-04-22,41.27,42.09,41.11,41.76,18337410
2020-04-23,41.89,42.55,41.53,41.62,16100170
2020-04-24,41.84,42.66,41.65,42.52,14641720
2020-04-27,42.70,43.22,42.58,43.06,17937890
2020-04-28,43.50,43.625,42.41,42.49,16427730
2020-04-29,43.346,43.48,42.93,43.34,17430130
2020-04-30,43.1654,43.1677,42.17,42.38,26679920
2020-05-01,41.72,41.81,40.765,40.92,22095260
2020-05-04,40.955,41.41,40.49,41.35,15997720
2020-05-05,41.61,41.925,41.39,41.46,15060220
2020-05-06,41.56,41.69,40.97,41.15,16040350
2020-05-07,41.59,41.765,41.215,41.37,20173640
2020-05-08,42.02,43.02,41.70,42.99,21962830
2020-05-11,42.78,43.65,42.605,43.32,26182690
2020-05-12,43.94,44.30,43.19,43.22,25817070
2020-05-13,43.41,43.57,41.31,41.95,36986700
2020-05-14,43.43,44.58,43.26,43.85,50417740
2020-05-15,42.93,44.38,42.85,44.27,30573030
2020-05-18,45.21,45.295,44.3301,45.06,26980080
2020-05-19,44.83,44.98,44.41,44.605,24345420
2020-05-20,45.05,45.82,45.03,45.44,20184460
2020-05-21,45.45,45.655,44.555,44.64,18674890
2020-05-22,44.67,44.95,44.12,44.90,12592810
2020-05-26,45.78,45.7999,44.68,44.84,21776880
2020-05-27,45.042,45.98,44.80,45.96,22157160
2020-05-28,45.90,46.46,45.373,45.595,20027750
2020-05-29,46.04,47.82,45.41,47.82,43570370
2020-06-01,47.15,47.285,46.23,46.30,18730620
2020-06-02,46.40,46.90,45.88,46.89,17285950
2020-06-03,46.98,47.20,46.54,46.94,17491950
2020-06-04,46.77,47.25,46.5301,46.86,14100660
2020-06-05,47.27,48.29,47.20,47.83,22591050
2020-06-08,47.46,48.16,47.12,48.13,17820920
2020-06-09,48.02,48.24,47.49,48.05,18597270
2020-06-10,47.66,47.83,47.12,47.42,18462380
2020-06-11,46.99,47.00,43.64,43.67,35582020
2020-06-12,44.96,45.86,44.11,45.07,26125550
2020-06-15,44.12,45.76,43.93,45.35,21300100
2020-06-16,47.41,47.49,45.91,46.48,28074580
2020-06-17,46.75,46.82,45.90,46.17,20399080
2020-06-18,45.79,46.05,45.35,45.83,22423460
2020-06-19,46.26,46.51,45.05,45.32,36103240
2020-06-22,45.11,45.46,44.805,45.16,18398600
2020-06-23,45.92,46.15,45.32,45.47,23222360
2020-06-24,45.288,45.47,44.39,44.75,22840140
2020-06-25,44.77,45.32,44.20,45.22,19114870
2020-06-26,45.119,46.51,44.63,46.31,106928300
2020-06-29,46.34,46.45,45.67,46.15,23875410
2020-06-30,46.145,47.01,46.095,46.64,21888830
2020-07-01,46.54,46.72,46.00,46.06,17129460
2020-07-02,46.07,46.2182,45.48,45.63,19631980
2020-07-06,46.07,46.49,45.87,46.42,16152860
2020-07-07,46.12,46.29,45.56,45.63,17102840
2020-07-08,45.59,46.07,45.32,45.81,15020770
2020-07-09,46.60,47.195,46.22,46.70,26027690
2020-07-10,46.73,46.92,46.2366,46.66,13775700
2020-07-13,46.87,46.99,45.78,45.93,17965550
2020-07-14,45.49,46.50,45.4103,46.26,19303460
2020-07-15,46.50,46.83,45.985,46.40,15704960
2020-07-16,45.70,45.83,45.20,45.78,17709450
2020-07-17,46.04,46.93,45.88,46.75,20389740
2020-07-20,46.67,47.10,46.26,46.97,15966490
2020-07-21,47.28,47.325,46.85,47.02,16074740
2020-07-22,47.016,47.11,46.53,46.90,27218260
2020-07-23,46.975,47.70,46.68,47.41,23750220
2020-07-24,47.49,47.64,46.11,46.40,16983630
2020-07-27,46.66,47.26,46.15,47.19,15575960
2020-07-28,46.98,47.08,46.21,46.28,13975260
2020-07-29,46.40,46.88,46.37,46.71,11618230
2020-07-30,46.13,46.46,45.375,46.44,15385150
2020-07-31,46.385,47.11,45.86,47.10,17706370
2020-08-03,47.14,47.355,46.68,47.16,14142520
2020-08-04,47.01,47.67,46.91,47.67,12839490
2020-08-05,47.67,47.7331,47.05,47.33,13077570
2020-08-06,47.23,47.825,47.10,47.77,14190870
2020-08-07,47.33,47.60,47.03,47.43,17054310
2020-08-10,47.16,48.00,47.16,47.73,14999190
2020-08-11,47.90,48.45,47.085,47.19,18859630
2020-08-12,47.28,48.13,47.27,48.10,27023680
2020-08-13,43.79,43.84,42.38,42.72,91849460
2020-08-14,42.49,42.88,42.27,42.50,32539450
2020-08-17,42.55,42.7625,41.86,42.09,30511750
2020-08-18,42.13,42.29,41.81,41.98,23344590
2020-08-19,42.10,42.35,41.78,41.87,20097420
2020-08-20,41.87,42.42,41.73,42.31,18443880
2020-08-21,42.05,42.30,41.81,42.25,17389560
2020-08-24,42.07,42.47,42.00,42.18,17742930
2020-08-25,42.23,42.30,41.78,41.96,15417360
2020-08-26,41.65,42.28,41.45,42.25,21625830
2020-08-27,42.40,42.47,42.02,42.29,22456770
2020-08-28,42.14,42.30,42.00,42.20,16573580
2020-08-31,42.10,42.35,41.94,42.22,21297990
2020-09-01,42.00,42.07,41.50,42.03,23344890
2020-09-02,42.04,42.69,42.03,42.42,30045680
2020-09-03,41.75,41.83,40.67,40.95,39288120
2020-09-04,41.20,41.43,40.44,40.82,34867420
2020-09-08,40.05,40.61,39.97,40.00,29101790
2020-09-09,40.10,40.475,39.715,40.13,23351620
2020-09-10,40.03,40.635,39.42,39.57,25108750
2020-09-11,39.765,40.05,39.515,39.88,21852960
2020-09-14,40.215,40.64,40.05,40.37,19866720
2020-09-15,40.51,40.839,40.38,40.60,19024100
2020-09-16,40.72,41.17,40.39,40.42,24322450
2020-09-17,39.66,40.40,39.51,40.37,22225920
2020-09-18,40.18,40.32,39.575,39.81,44450760
2020-09-21,39.31,39.47,38.69,39.04,28494970
2020-09-22,39.18,39.46,38.88,39.32,17656820
2020-09-23,39.23,39.39,38.18,38.28,24843240
2020-09-24,38.00,38.16,37.60,37.85,30910350
2020-09-25,37.76,38.54,37.62,38.45,22966650
2020-09-28,39.195,39.29,38.79,39.13,24275700
2020-09-29,39.07,39.375,38.83,39.06,16476890
2020-09-30,39.09,39.70,39.02,39.39,27113200
2020-10-01,39.10,39.31,38.565,38.80,20763540
2020-10-02,38.046,38.55,37.97,38.27,24492960
2020-10-05,38.48,38.79,38.285,38.57,26929050
2020-10-06,38.50,39.35,38.40,38.57,28430810
2020-10-07,38.98,39.58,38.78,39.40,20593710
2020-10-08,39.80,40.18,39.66,39.79,19031350
2020-10-09,40.145,40.23,39.72,39.85,16167470
2020-10-12,39.93,40.53,39.63,40.36,22757250
2020-10-13,40.54,40.61,39.71,39.81,23438270
2020-10-14,39.85,40.42,39.76,39.89,16444690
2020-10-15,39.47,40.00,39.35,39.97,15456970
2020-10-16,39.88,40.30,39.55,40.16,21295120
2020-10-19,40.15,40.38,39.16,39.30,19600470
2020-10-20,39.44,39.51,39.03,39.20,16564890
2020-10-21,39.31,39.57,38.98,39.06,17016270
2020-10-22,38.85,38.96,38.38,38.82,20399040
2020-10-23,38.93,38.97,38.65,38.82,15556080
2020-10-26,38.40,38.43,37.15,37.67,29146550
2020-10-27,37.38,37.50,36.59,36.87,37911470
2020-10-28,36.315,36.51,35.68,35.71,34561490
2020-10-29,35.51,36.07,35.28,35.69,35331970
2020-10-30,35.595,35.93,35.49,35.90,29159660
2020-11-02,36.19,36.35,35.67,35.90,23483100
2020-11-03,36.36,37.33,36.30,36.68,27342890
2020-11-04,37.031,37.30,36.50,36.57,30121920
2020-11-05,37.02,37.30,36.91,37.23,23149700
2020-11-06,37.56,37.60,37.08,37.53,19475290
2020-11-09,39.92,40.23,38.12,38.20,42649540
2020-11-10,38.21,39.025,38.167,38.72,31514510
2020-11-11,39.01,39.45,38.44,39.33,27332810
2020-11-12,38.98,39.39,38.395,38.67,29543620
2020-11-13,41.20,41.52,40.56,41.40,49120100
2020-11-16,41.74,42.59,41.35,42.54,34572650
2020-11-17,41.92,42.345,41.62,41.88,23140910
2020-11-18,41.90,42.2386,41.255,41.32,21327710
2020-11-19,41.00,41.37,40.77,41.17,22177710
2020-11-20,41.05,41.39,40.92,40.97,19778950
2020-11-23,41.03,41.80,41.02,41.64,19656680
2020-11-24,42.14,42.71,41.90,42.61,22849730
2020-11-25,42.78,42.80,42.21,42.50,22617660
2020-11-27,42.855,42.98,42.64,42.70,10769520
2020-11-30,42.44,43.05,42.41,43.02,34741650
2020-12-01,43.01,44.07,43.01,43.54,23948790
2020-12-02,43.39,43.96,43.35,43.89,17422160
2020-12-03,43.78,44.14,43.595,44.11,27710710
2020-12-04,43.89,44.51,43.89,44.38,17319800
2020-12-07,44.287,44.49,43.91,44.35,14086830
2020-12-08,44.206,44.525,43.93,44.37,13348460
2020-12-09,44.47,44.83,44.36,44.69,22679750
2020-12-10,44.54,44.605,44.11,44.32,17741490
2020-12-11,43.94,44.33,43.72,44.32,14577710
2020-12-14,44.27,44.91,44.15,44.24,16112330
2020-12-15,44.39,44.795,44.135,44.72,18165250
2020-12-16,44.695,45.14,44.525,44.72,16191980
2020-12-17,44.91,44.93,44.60,44.82,16141600
2020-12-18,44.90,45.57,44.77,45.44,41026970
2020-12-21,44.47,44.955,44.065,44.88,19865300
