Date,Open,High,Low,Close,Volume
2020-01-10,117.52,117.69,116.40,116.44,6395375
2020-01-13,116.47,116.9103,116.08,116.66,6847425
2020-01-14,116.50,116.88,115.705,116.30,7189962
2020-01-15,116.30,116.405,115.65,116.13,5808777
2020-01-16,116.56,117.28,116.45,116.89,7022062
2020-01-17,117.01,117.29,115.52,115.58,7886182
2020-01-21,115.10,115.15,113.17,113.31,8470283
2020-01-22,113.10,113.53,112.46,112.90,5589906
2020-01-23,112.40,113.49,111.86,113.10,8008141
2020-01-24,112.79,112.98,111.3401,111.85,6920000
2020-01-27,110.25,110.83,109.98,110.39,7609831
2020-01-28,110.98,111.62,110.77,111.12,5771944
2020-01-29,111.45,111.84,110.18,110.37,4774222
2020-01-30,109.81,111.58,109.06,111.40,8382674
2020-01-31,109.81,110.00,106.395,107.14,13699560
2020-02-03,106.95,107.25,105.4001,106.28,8787504
2020-02-04,107.68,108.335,106.60,106.85,9908995
2020-02-05,108.27,110.65,108.11,110.28,6914137
2020-02-06,110.63,110.67,109.11,109.49,6273983
2020-02-07,108.93,109.44,108.47,108.94,4830071
2020-02-10,108.54,109.80,108.32,109.79,6011806
2020-02-11,110.78,111.37,110.0616,111.21,6072847
2020-02-12,112.51,112.60,111.61,112.04,5725669
2020-02-13,111.37,112.33,111.23,111.66,5991856
2020-02-14,110.84,110.97,109.58,110.08,5148798
2020-02-18,109.00,110.27,108.8318,110.24,4976370
2020-02-19,110.52,111.0958,109.89,110.74,5887511
2020-02-20,110.78,111.07,109.70,109.81,4466591
2020-02-21,108.99,109.19,107.65,109.01,6443864
2020-02-24,105.71,106.96,104.42,104.71,9539778
2020-02-25,104.80,104.92,100.00,100.71,12871890
2020-02-26,100.86,101.61,98.00,98.04,11991400
2020-02-27,95.95,98.20,94.08,94.13,15783660
2020-02-28,90.63,93.44,90.11,93.34,20840550
2020-03-02,94.02,96.68,92.205,96.59,15050800
2020-03-03,96.79,98.48,93.3693,94.39,16525470
2020-03-04,96.37,99.02,95.67,98.53,14752950
2020-03-05,95.71,97.39,94.94,97.19,12814360
2020-03-06,93.92,96.06,93.42,95.32,16862300
2020-03-09,82.23,88.0099,80.00,80.67,30595480
2020-03-10,86.24,86.30,81.04,84.98,22592130
2020-03-11,82.23,84.84,81.75,83.03,18414340
2020-03-12,77.23,78.125,72.86,76.26,25768230
2020-03-13,79.98,83.50,74.11,83.42,23497510
2020-03-16,72.57,78.49,69.69,69.70,17535270
2020-03-17,70.40,72.984,65.4901,70.69,22684250
2020-03-18,66.21,66.23,54.5701,55.05,24947290
2020-03-19,55.26,58.49,51.60,57.39,29870980
2020-03-20,59.53,60.65,56.36,59.39,26960440
2020-03-23,58.26,59.40,52.97,54.22,23764030
2020-03-24,61.48,67.647,60.32,66.55,29198760
2020-03-25,68.29,73.14,66.64,69.27,22560120
2020-03-26,70.30,77.10,67.89,76.38,24140970
2020-03-27,72.12,73.54,68.50,68.78,20411490
2020-03-30,68.01,72.93,67.02,71.95,18486820
2020-03-31,73.27,75.04,70.81,72.46,18514180
2020-04-01,69.51,72.29,67.61,68.56,14362040
2020-04-02,71.75,78.70,69.575,76.12,23220620
2020-04-03,78.00,78.99,73.03,75.11,14905410
2020-04-06,77.00,80.95,75.51,80.39,17334920
2020-04-07,84.26,85.69,80.85,80.92,16394790
2020-04-08,82.29,86.30,81.52,85.98,12284850
2020-04-09,88.74,89.91,81.52,84.31,17048550
2020-04-13,87.18,87.36,83.40,84.91,13854680
2020-04-14,85.46,87.08,84.33,84.61,14797590
2020-04-15,80.46,83.38,79.32,82.49,13982300
2020-04-16,81.31,82.19,78.81,79.99,12291910
2020-04-17,81.33,87.50,81.32,87.17,16130080
2020-04-20,82.66,87.00,82.09,83.57,15748960
2020-04-21,80.28,83.79,79.25,81.64,19620570
2020-04-22,84.95,85.25,82.97,84.44,10325140
2020-04-23,86.30,88.78,85.39,86.80,14226540
2020-04-24,88.48,88.79,85.77,87.01,9176599
2020-04-27,86.75,90.62,85.87,89.71,12037130
2020-04-28,89.55,90.96,88.83,89.91,10645150
2020-04-29,92.48,95.14,92.29,94.62,12342820
2020-04-30,93.72,95.74,90.58,92.00,12221960
2020-05-01,91.51,92.05,87.04,89.44,13250100
2020-05-04,88.76,91.62,87.69,91.44,11192380
2020-05-05,94.50,95.30,92.68,92.89,13608720
2020-05-06,92.85,93.46,89.77,90.05,11145910
2020-05-07,92.98,94.06,91.91,92.64,9753495
2020-05-08,95.00,95.56,94.07,95.47,8602865
2020-05-11,94.21,94.60,93.18,93.37,7101040
2020-05-12,93.13,94.03,91.00,91.10,8749052
2020-05-13,89.90,90.00,87.32,88.70,12215070
2020-05-14,87.29,90.93,86.02,90.05,10678190
2020-05-15,90.65,92.06,88.83,89.16,10112970
2020-05-18,92.40,93.40,91.46,92.55,12306540
2020-05-19,92.53,92.631,89.53,89.62,7749265
2020-05-20,91.00,93.47,90.18,93.00,9160034
2020-05-21,92.77,93.37,91.28,92.04,8830887
2020-05-22,91.45,91.60,89.465,90.28,8563108
2020-05-26,92.49,94.34,92.03,93.30,9429980
2020-05-27,94.68,94.69,92.11,93.90,7822605
2020-05-28,93.61,93.90,90.79,90.87,9639423
2020-05-29,90.19,91.89,89.26,91.70,17016860
2020-06-01,90.94,93.85,90.11,92.79,7346296
2020-06-02,93.78,95.22,93.285,94.69,7880250
2020-06-03,95.97,97.73,95.75,97.18,8440203
2020-06-04,96.78,96.89,95.16,96.28,6371723
2020-06-05,99.08,102.05,99.05,100.81,12760130
2020-06-08,102.63,103.59,100.87,103.24,11090720
2020-06-09,100.70,102.93,99.83,101.53,10745360
2020-06-10,101.00,101.50,97.56,97.58,10486260
2020-06-11,92.30,94.19,89.12,89.37,14944810
2020-06-12,93.62,93.65,90.01,92.39,9532412
2020-06-15,89.09,92.08,88.21,91.23,12291460
