Date,Open,High,Low,Close,Volume
2020-01-10,75.6454,75.8002,73.7144,73.9124,2201051
2020-01-13,73.702,74.7913,73.4173,74.7666,2696216
2020-01-14,74.9522,75.435,73.8567,74.4818,2334573
2020-01-15,74.4818,76.8523,74.2962,75.6826,1916199
2020-01-16,76.0168,77.3784,75.664,76.3758,2873996
2020-01-17,76.5614,76.7843,75.7692,76.2025,2396117
2020-01-21,76.0292,76.6357,75.7692,76.4748,2281028
2020-01-22,76.4005,76.5033,74.8532,75.2369,1815803
2020-01-23,75.2122,75.4102,74.2838,74.9399,1707645
2020-01-24,74.9399,75.0017,73.3863,73.5163,1468433
2020-01-27,72.0556,72.4022,71.0158,71.0406,2244615
2020-01-28,71.5989,72.3032,71.2634,71.7214,1639897
2020-01-29,71.9938,72.8974,71.2634,71.412,1609897
2020-01-30,68.3792,68.4659,64.0218,65.2598,7620264
2020-01-31,64.6161,64.7709,63.0564,63.3535,3873655
2020-02-03,63.7001,64.4676,62.8769,64.1334,3768662
2020-02-04,64.9008,65.6807,64.1953,65.2351,3134490
2020-02-05,65.9406,67.4384,65.3093,66.9433,3091902
2020-02-06,67.4632,67.4632,65.8292,66.6091,2583281
2020-02-07,65.9406,66.0273,64.5255,65.0494,1825330
2020-02-10,64.7523,65.2351,63.7372,64.0962,1835375
2020-02-11,64.4923,66.3491,64.4723,65.2227,1869637
2020-02-12,65.495,66.6794,65.4579,66.2872,1290644
2020-02-13,65.8045,66.411,65.2722,65.9406,1413951
2020-02-14,66.0397,66.3986,65.1484,65.7302,1971445
2020-02-18,66.1263,66.9062,65.0741,66.1511,2776127
2020-02-19,66.411,66.7675,65.9654,66.2253,2131800
2020-02-20,65.9159,66.411,64.6936,65.0494,1657289
2020-02-21,64.6409,65.136,64.3933,64.9008,1344496
2020-02-24,62.6356,63.116,61.3977,62.4499,2362572
2020-02-25,62.5118,62.5118,58.204,58.7611,3552588
2020-02-26,59.7266,59.7761,57.7336,58.5011,3185361
2020-02-27,56.7186,58.3897,55.7407,55.7902,2947832
2020-02-28,53.3764,54.0941,52.0643,53.1041,4523988
2020-03-02,53.3021,55.6912,52.6213,55.6417,3267871
2020-03-03,55.6045,57.2633,53.8096,54.0201,3403676
2020-03-04,55.2084,55.2084,52.5656,54.6638,5026556
2020-03-05,52.7698,54.1559,52.3242,52.5099,2931768
2020-03-06,50.8016,52.1385,49.3967,50.1332,4857251
2020-03-09,45.7636,46.9519,43.3426,43.5107,5423116
2020-03-10,45.8131,47.3356,44.5226,47.1871,3310424
2020-03-11,45.3427,46.5558,44.6495,45.3798,3522068
2020-03-12,42.4585,43.9687,40.7626,41.1959,4145675
2020-03-13,43.7211,46.0111,42.3101,45.9245,3512388
2020-03-16,40.7255,44.5257,39.1535,42.3966,3090126
2020-03-17,43.424,46.1597,41.1835,44.5752,2962023
2020-03-18,41.4063,43.0155,35.9722,39.6857,2979006
2020-03-19,39.2896,41.6291,37.2842,39.1905,2275415
2020-03-20,40.2675,42.0748,37.4823,38.9554,3194963
2020-03-23,37.569,38.4726,35.0685,35.2294,2433317
2020-03-24,37.5813,40.676,37.1357,40.1808,3389279
2020-03-25,40.5398,43.8653,39.1534,41.134,2605079
2020-03-26,41.5053,44.7238,40.2427,44.501,2874259
2020-03-27,42.2481,43.0774,41.0226,41.8767,1999040
2020-03-30,41.2083,41.8396,39.729,41.6167,2126018
2020-03-31,43.5354,45.3427,41.9633,42.2109,2758237
2020-04-01,40.0942,41.493,39.9209,40.2551,2570835
2020-04-02,40.2056,42.5204,39.4753,40.2427,2216335
2020-04-03,40.218,41.4371,39.0172,39.4505,1785688
2020-04-06,42.0748,44.1048,41.4434,43.8078,2435855
2020-04-07,46.4815,47.967,45.9988,46.1225,3194445
2020-04-08,46.7291,48.4992,46.0111,48.1031,2273200
2020-04-09,49.7618,51.433,49.3534,50.4798,3097871
2020-04-13,49.7742,50.0342,46.989,47.4347,1974846
2020-04-14,48.8458,49.5638,47.2242,47.5708,1600439
2020-04-15,45.9121,45.974,43.9439,44.0306,1823928
2020-04-16,44.1048,44.959,43.1146,44.8352,1774923
2020-04-17,46.4073,47.9793,46.2097,47.4842,2377054
2020-04-20,48.1279,50.3189,47.4842,49.1677,2666245
2020-04-21,47.707,48.8211,47.3852,48.3631,1677047
2020-04-22,49.539,50.0094,48.6604,49.3534,1242855
2020-04-23,49.7123,51.9652,49.5267,50.9997,1694507
2020-04-24,51.6186,52.2871,50.7769,51.8662,1777382
2020-04-27,52.2994,54.8247,52.0643,54.2429,1888294
2020-04-28,55.7036,58.1793,55.7036,57.4489,3201098
2020-04-29,59.281,60.8147,58.8725,59.6276,2766085
2020-04-30,58.2907,59.5363,57.6099,58.204,2324459
2020-05-01,56.9662,57.9565,55.4684,55.7902,1527683
