Date,Open,High,Low,Close,Volume
2020-01-10,25.2127,25.3753,25.106,25.1568,2466082
2020-01-13,25.2483,25.4007,24.7351,25.3194,3414273
2020-01-14,25.3194,26.1832,25.3093,25.8428,3322667
2020-01-15,25.7666,25.985,25.609,25.7107,1979812
2020-01-16,25.919,26.2848,25.7564,26.0867,2253620
2020-01-17,26.168,26.168,25.4312,25.5786,3295650
2020-01-21,25.482,25.4922,24.8469,25.045,2735521
2020-01-22,25.1517,25.4668,25.1517,25.3753,1371102
2020-01-23,25.416,25.6421,25.0857,25.5938,1109049
2020-01-24,25.6853,25.9342,25.167,25.3956,2001064
2020-01-27,24.7249,24.8418,24.3743,24.4658,3113607
2020-01-28,24.6487,24.9993,24.5674,24.7351,2141721
2020-01-29,24.8723,24.9993,24.6639,24.8723,1413478
2020-01-30,24.5928,25.1365,24.4709,25.0908,2403815
2020-01-31,24.9637,25.0261,24.4658,24.7808,2345623
2020-02-03,24.791,25.1009,24.6995,24.9891,1654901
2020-02-04,25.4058,26.1578,25.1213,25.9292,2963234
2020-02-05,26.1578,26.6202,25.7107,25.8072,3719225
2020-02-06,25.9952,26.8946,25.9444,26.8539,3335844
2020-02-07,26.6761,26.6761,25.9139,26.2289,4722804
2020-02-10,25.9139,26.5084,25.6903,26.4779,2699991
2020-02-11,26.4728,26.981,26.422,26.5541,4402397
2020-02-12,26.793,27.1944,26.7167,27.0826,3484352
2020-02-13,26.3966,26.8438,26.1324,26.7015,3426537
2020-02-14,26.9047,27.2096,26.7421,26.8692,2107587
2020-02-18,26.5745,26.9047,26.3611,26.8133,2605127
2020-02-19,26.8793,27.2299,26.8031,27.1029,2794103
2020-02-20,27.1029,27.1334,26.5694,26.9047,2691732
2020-02-21,26.7777,26.8336,26.0206,26.2798,2231833
2020-02-24,25.2889,25.3397,24.0949,24.5471,3682588
2020-02-25,24.9231,24.9968,23.4582,23.4851,3446498
2020-02-26,23.7392,24.0542,23.0177,23.3378,3474203
2020-02-27,22.6264,23.1396,21.7982,22.1335,5600611
2020-02-28,20.9344,21.9049,19.9181,20.5584,8619170
2020-03-02,20.6905,21.5898,20.0198,21.539,4008515
2020-03-03,21.6813,22.2097,21.0411,21.2291,4671313
2020-03-04,21.5898,22.0421,20.9293,22.0421,3045413
2020-03-05,21.3561,21.6254,20.5736,20.7565,3618513
2020-03-06,19.8165,20.7718,19.6234,20.1316,4257916
2020-03-09,18.5361,18.6987,18.0178,18.4192,5555385
2020-03-10,19.156,20.0096,18.0381,19.8877,5040357
2020-03-11,19.1255,19.5879,18.5818,18.7698,4772799
2020-03-12,17.2658,17.7434,16.4172,16.6357,6755988
2020-03-13,17.8755,18.2668,16.839,18.2668,4887450
2020-03-16,14.8268,17.4335,14.8268,16.3664,5119269
2020-03-17,16.6713,17.0016,15.3654,15.9142,5056395
2020-03-18,14.7354,15.3197,12.962,14.6693,4596000
2020-03-19,14.7354,16.6205,14.3187,16.2394,4255655
2020-03-20,16.6865,18.7444,16.2699,16.5087,6851883
2020-03-23,16.7678,18.155,16.0209,17.2455,3720762
2020-03-24,18.5259,19.7454,17.5452,19.7403,3591011
2020-03-25,20.0045,21.5441,19.3948,19.9893,3745214
2020-03-26,20.2941,21.7982,20.0706,21.6153,3206731
2020-03-27,20.4415,20.8277,19.4456,19.6895,3198278
2020-03-30,20.1773,20.9191,19.7047,20.223,3511941
2020-03-31,20.0503,20.8328,19.7606,20.096,1772117
2020-04-01,19.1814,19.7477,18.5513,18.7495,2466359
2020-04-02,18.5869,19.3338,18.3786,18.8714,1973791
2020-04-03,18.785,19.1458,18.0534,18.5157,2070719
2020-04-06,19.5472,19.8877,19.2627,19.7708,3273281
2020-04-07,20.284,20.721,19.3846,19.4964,3652008
2020-04-08,19.7149,20.6752,19.6133,20.5177,3406050
2020-04-09,21.1732,21.722,20.9047,21.1173,4231325
2020-04-13,20.66,20.9953,20.284,20.5584,1740537
2020-04-14,20.9293,21.5187,20.7311,21.0055,2536594
2020-04-15,20.3399,20.7631,20.1214,20.5533,2087899
2020-04-16,20.7006,20.9293,20.2586,20.8836,1541857
2020-04-17,21.4171,21.4781,20.8328,21.0919,3242612
2020-04-20,20.4974,21.2189,20.4009,20.8124,2062800
2020-04-21,20.2891,20.4009,18.9019,19.0035,3554243
2020-04-22,19.4608,19.9181,19.2525,19.6895,3861132
2020-04-23,19.9232,20.2129,19.6641,19.7708,1442616
2020-04-24,19.9842,20.3119,19.5625,20.1671,1770886
2020-04-27,20.4059,20.6366,20.3297,20.4212,1528011
2020-04-28,20.8277,21.0157,20.4263,20.7515,2563071
2020-04-29,21.1071,22.1894,21.036,22.0471,3335107
2020-04-30,21.849,22.0654,21.5116,21.6915,1739971
2020-05-01,21.1325,21.3358,20.2129,20.3246,1876799
2020-05-04,20.157,20.6143,19.7098,20.6041,1274668
2020-05-05,20.8328,21.1676,20.4009,20.4212,1089571
2020-05-06,20.6295,20.8988,20.4313,20.5736,1148127
2020-05-07,20.8632,21.2545,20.7616,21.2138,1120455
2020-05-08,21.5441,22.2555,21.473,22.1793,2100486
2020-05-11,21.9811,22.2402,21.6102,22.037,1592646
2020-05-12,22.1234,22.2504,21.4679,21.4679,2170231
2020-05-13,21.5187,21.6965,20.5025,20.848,2175134
2020-05-14,20.4059,21.2901,19.969,21.2697,1653754
2020-05-15,20.9141,21.473,20.6143,21.3866,1555789
2020-05-18,21.7829,22.5476,21.6203,22.2453,1857803
2020-05-19,22.1488,22.8347,22.1488,22.3774,2155864
2020-05-20,22.5705,22.8449,22.2352,22.6925,2100597
2020-05-21,22.7077,22.8855,22.1234,22.5553,1762264
2020-05-22,22.0522,22.2555,21.285,21.8846,2746470
2020-05-26,22.7534,22.916,22.5553,22.5908,1942172
2020-05-27,22.8652,23.1548,22.1945,23.1548,2868571
2020-05-28,23.0024,23.4699,22.9872,23.1599,4352651
2020-05-29,24.8977,25.4058,24.3896,25.2229,11885230
2020-06-01,25.0196,25.3042,24.5318,25.0857,3815705
2020-06-02,25.1009,25.2229,24.7046,24.9739,2954103
2020-06-03,25.1517,25.1822,24.7503,24.8011,2634902
2020-06-04,24.6131,25.0196,24.4658,24.9993,2658990
2020-06-05,25.1213,26.0918,25.1213,25.67,4157450
2020-06-08,25.9139,26.4398,25.8115,26.2493,3606767
2020-06-09,26.0663,26.0663,25.3499,25.421,2398158
2020-06-10,25.4414,25.5227,24.8774,25.0958,1461477
2020-06-11,24.3845,24.5166,23.602,23.6731,3114906
2020-06-12,24.5776,24.7351,23.4191,23.8306,1918562
2020-06-15,23.2717,24.0898,23.1802,23.9119,2197858
2020-06-16,24.6538,24.7452,23.9475,24.227,1601918
2020-06-17,24.2727,24.7046,24.1203,24.1457,2080213
2020-06-18,24.0034,24.1558,23.7443,24.0949,2274428
2020-06-19,24.5623,25.1594,24.4201,24.857,3071526
2020-06-22,24.6995,25.0272,24.3083,24.5369,1822050
2020-06-23,24.8113,25.1619,24.5623,24.9028,5178415
2020-06-24,27.8702,27.8956,26.2747,26.981,15953560
2020-06-25,26.6405,26.6964,25.8021,26.2188,3750985
2020-06-26,26.0206,26.8895,25.8123,26.5491,5094063
2020-06-29,26.7625,27.3976,26.3306,27.3163,3944626
2020-06-30,27.3468,28.0632,27.1436,27.9159,3064251
