Date,Open,High,Low,Close,Volume
2020-01-10,139.6926,139.9927,138.9245,139.5866,1995485
2020-01-13,139.8779,141.0256,139.6308,140.8667,2273312
2020-01-14,141.1227,143.003,140.6813,142.4733,3041105
2020-01-15,142.6146,143.3385,141.4846,141.9525,2660189
2020-01-16,142.7029,142.9765,141.6435,142.5793,2427104
2020-01-17,143.2325,144.0403,142.544,143.9476,2608845
2020-01-21,143.8152,144.9275,143.5415,144.5214,2293122
2020-01-22,144.6538,145.2541,143.9653,144.5744,1882412
2020-01-23,144.442,144.8039,143.1928,143.4356,2153326
2020-01-24,144.1683,144.3449,142.6764,143.2325,1970737
2020-01-27,141.8201,142.8971,140.902,142.3056,2347619
2020-01-28,142.5705,144.8878,142.1379,144.5656,2105494
2020-01-29,145.2806,146.7019,144.2124,145.8544,1898327
2020-01-30,145.6602,149.3591,144.3941,149.2355,3834512
2020-01-31,147.6377,147.6906,141.5464,142.0143,3747546
2020-02-03,143.0119,144.0006,141.7009,142.1291,2997635
2020-02-04,144.1153,144.6009,143.4091,143.6828,2616379
2020-02-05,144.5832,144.9628,143.0692,143.7975,1945999
2020-02-06,144.4949,145.7662,143.5057,144.7598,1844268
2020-02-07,144.2389,144.645,142.747,143.003,1661586
2020-02-10,143.3297,144.4861,142.4645,143.8858,1669863
2020-02-11,144.4067,145.0423,143.9123,144.4949,1651039
2020-02-12,144.389,145.5455,144.0535,144.6274,1653431
2020-02-13,144.1153,144.5885,142.9677,144.2654,2734027
2020-02-14,144.2742,146.5077,143.9123,146.4989,1633778
2020-02-18,146.799,146.8961,144.186,144.7774,1916689
2020-02-19,145.1659,145.4837,143.621,144.698,2642379
2020-02-20,144.3184,144.6009,140.1251,141.4758,2428907
2020-02-21,140.6371,143.0825,140.3018,142.9059,1945795
2020-02-24,137.0972,140.4606,137.0972,138.439,2467155
2020-02-25,139.2423,139.4807,133.0805,133.875,3188035
2020-02-26,133.6631,137.2825,132.8598,134.3517,3203085
2020-02-27,132.286,135.1815,129.8053,129.8142,4238505
2020-02-28,125.4973,129.5935,124.6675,127.6337,7942815
2020-03-02,128.2781,133.054,126.2565,133.0275,4682742
2020-03-03,134.0427,137.6533,128.9667,130.2467,3105432
2020-03-04,132.9304,137.8387,131.8004,137.6975,3463276
2020-03-05,135.0491,135.1683,130.132,131.9505,4494187
2020-03-06,128.2075,131.5003,126.5655,131.0324,3156378
2020-03-09,124.0319,126.7288,121.9485,124.9941,4252772
2020-03-10,129.311,129.9907,122.743,127.3953,4064896
2020-03-11,124.9235,125.4267,121.2688,123.0343,4783206
2020-03-12,114.6302,119.7825,112.8911,113.7827,5855064
2020-03-13,120.4742,125.4267,112.3129,124.8176,5745603
2020-03-16,114.7096,120.28,109.0509,112.6792,4893720
2020-03-17,114.436,119.821,111.3374,116.334,4852250
2020-03-18,109.6424,115.1554,106.8793,113.1206,4908264
2020-03-19,112.7145,114.3035,107.7003,109.6336,5753879
2020-03-20,111.1255,114.7626,107.3648,109.2981,6373807
2020-03-23,120.0152,121.0922,105.5816,107.1618,8979306
2020-03-24,111.0107,116.5282,110.4643,114.0122,5257467
2020-03-25,111.8141,117.3536,109.2716,114.1623,5737666
2020-03-26,116.3958,123.2156,114.9568,122.4076,5268797
2020-03-27,118.4085,125.206,118.0113,122.3369,5256481
2020-03-30,121.4188,125.0118,118.7263,124.3144,4769746
2020-03-31,124.2614,124.3718,121.101,122.1869,5470365
2020-04-01,117.7288,119.6797,113.0235,113.615,3723777
2020-04-02,112.8381,120.6155,112.7322,120.4389,5152894
2020-04-03,119.6091,121.6484,118.2938,119.309,2448952
2020-04-06,123.5905,126.0182,122.3811,125.3031,5605454
2020-04-07,128.2516,128.8872,121.9926,122.0897,3449338
2020-04-08,125.206,128.7725,121.8867,128.1192,3281216
2020-04-09,127.5984,129.6111,127.2188,128.6489,3275326
2020-04-13,127.1216,129.2933,126.2477,129.002,2681184
2020-04-14,132.1006,135.0226,129.77,134.3075,3411325
2020-04-15,132.6479,135.4287,132.1094,134.8549,3699019
2020-04-16,136.1084,138.4831,135.7112,136.7176,4272866
2020-04-17,138.8098,139.4807,136.2232,138.183,3565325
2020-04-20,137.6975,138.8951,136.3159,137.565,2675430
2020-04-21,135.5435,136.6785,133.6234,135.7288,3031957
2020-04-22,137.7857,141.9922,137.0972,141.467,3901503
2020-04-23,142.438,144.7573,141.4935,141.8201,5122428
2020-04-24,142.6499,146.2605,142.544,145.722,3972595
2020-04-27,146.9844,150.1978,146.7372,149.6416,3221997
2020-04-28,149.9153,150.6391,144.3934,145.9515,3066584
2020-04-29,144.1242,147.0639,143.7181,145.6337,2684784
2020-04-30,144.6891,146.5871,143.6739,144.3007,3545865
2020-05-01,143.3208,143.568,141.0256,141.926,2125202
2020-05-04,142.235,142.3233,140.4518,142.235,1653596
2020-05-05,143.7887,146.6798,143.2237,145.1747,1500975
2020-05-06,145.2806,147.4964,144.5479,144.7598,2181519
2020-05-07,140.1075,145.7132,138.8451,144.3184,7374005
2020-05-08,144.8304,145.4395,142.2173,142.5087,9292538
2020-05-11,141.0697,143.4444,140.5003,142.7558,6314685
2020-05-12,143.2943,144.6891,141.4846,141.4846,3225943
2020-05-13,141.2551,143.7887,138.7038,141.1492,4117307
2020-05-14,139.5778,142.8353,139.1232,142.7117,2590319
2020-05-15,140.8578,144.7245,140.7254,144.645,5586060
2020-05-18,145.9162,147.311,142.9589,143.2237,3436241
2020-05-19,142.9501,143.9476,140.209,140.4694,2513877
2020-05-20,141.9437,142.3056,140.2575,140.3547,2110158
2020-05-21,139.6308,140.028,138.0064,139.1805,2278803
2020-05-22,139.2688,140.081,138.1742,139.7102,1483418
2020-05-26,143.2061,143.4444,139.3306,139.9927,3097561
2020-05-27,138.951,141.9348,137.3708,141.9348,3110676
2020-05-28,143.259,146.6931,143.0119,144.7509,3088386
2020-05-29,145.5896,147.4788,144.0182,147.0815,5328901
2020-06-01,146.3135,146.8343,145.157,145.9957,1512164
2020-06-02,146.2958,147.3905,145.0511,147.3905,2959278
2020-06-03,148.2203,149.7564,146.7284,149.7564,4064612
2020-06-04,149.1914,150.6391,148.3439,149.006,2599703
2020-06-05,150.1271,153.6936,148.8559,152.9256,3034182
2020-06-08,151.3895,152.9256,150.9305,151.4072,2819051
2020-06-09,152.1664,152.9079,149.3591,149.5886,2379106
2020-06-10,150.2772,154.0644,150.2772,152.4489,2561166
2020-06-11,151.8133,152.1664,145.2277,145.5719,3296839
2020-06-12,148.0879,151.1247,145.8809,148.644,3292290
2020-06-15,146.9756,152.4312,146.6666,151.4425,2794057
2020-06-16,154.7794,155.7593,152.4533,154.3998,2976264
2020-06-17,155.3709,156.8275,155.1325,155.6622,2107386
2020-06-18,155.1502,156.3773,154.3292,155.3709,1895385
2020-06-19,157.2954,157.7809,152.6784,152.6784,5522563
2020-06-22,153.2345,154.6735,152.5018,154.3469,1670069
2020-06-23,155.7064,156.2537,154.2056,155.009,1287673
2020-06-24,154.1615,154.3027,149.8446,151.363,2025806
2020-06-25,151.3542,152.237,148.8294,151.9722,1982280
2020-06-26,151.9457,152.5151,149.4121,151.5837,3447659
2020-06-29,153.0139,153.2257,151.0982,152.1752,2282224
2020-06-30,151.8397,156.6156,151.3101,156.1036,2434677
2020-07-01,156.3508,157.1806,154.6117,156.3949,2098530
2020-07-02,157.5514,159.5906,157.0132,158.6196,1594024
2020-07-06,160.6676,162.7952,160.1468,161.5504,1887959
2020-07-07,160.906,163.0776,160.3322,160.7029,2764386
2020-07-08,161.5416,163.2189,161.1355,162.804,1879805
2020-07-09,162.8834,165.2493,161.8153,163.7309,2435392
2020-07-10,163.7839,164.0664,161.3739,162.1419,1956097
2020-07-13,162.7952,164.8078,160.65,161.0296,2135480
2020-07-14,161.3474,163.8898,159.9437,163.7133,2024728
2020-07-15,165.214,166.3528,163.2145,166.2645,2533614
2020-07-16,166.2645,167.0855,164.9668,166.6794,2762952
2020-07-17,167.677,169.4955,166.0262,168.5686,3527169
2020-07-20,169.0012,171.0051,168.6127,170.7049,2030789
2020-07-21,170.8638,172.7972,170.1311,172.1439,2221247
2020-07-22,171.8614,174.0684,171.4024,172.6824,2546392
2020-07-23,178.0144,179.2062,174.4303,175.8693,4319468
2020-07-24,174.0684,174.086,168.0301,172.3822,3115197
2020-07-27,172.8501,178.5794,172.3558,175.6574,2654061
2020-07-28,175.4014,176.3989,174.598,175.6839,2072492
2020-07-29,176.1518,180.2038,175.525,178.4382,2995701
2020-07-30,175.9752,179.5328,175.5603,178.447,1696821
2020-07-31,177.8997,180.0449,177.3259,179.9124,1792914
2020-08-03,180.9718,182.7638,180.857,182.5873,2074654
2020-08-04,181.6868,182.7021,180.2391,181.9164,1734714
2020-08-05,181.987,183.0832,180.2523,181.4485,2081465
2020-08-06,182.0311,182.8874,178.6589,181.5809,2729122
2020-08-07,182.6403,183.32,180.398,181.3249,1345768
2020-08-10,181.4132,181.7133,177.7584,178.3676,2161208
2020-08-11,179.1797,179.7447,175.9399,176.5667,2421280
2020-08-12,177.9438,182.7197,177.626,181.784,1464163
2020-08-13,180.601,183.1611,180.4068,182.9051,1211281
2020-08-14,182.5696,183.5054,180.1243,180.8482,1280688
2020-08-17,180.8923,182.2518,180.6716,181.475,1234428
2020-08-18,182.1459,183.8762,181.5191,183.3377,1474417
2020-08-19,183.9644,184.6354,181.4838,181.7928,1190613
2020-08-20,180.6981,182.3772,180.398,181.5544,1001613
2020-08-21,181.2808,183.6422,180.8041,183.4436,1432421
2020-08-24,184.2293,184.8384,180.7864,181.4661,1226870
2020-08-25,182.8963,183.7526,181.8722,183.2406,1449040
2020-08-26,181.8546,184.397,181.0424,183.7879,1140998
2020-08-27,181.7398,182.0514,174.8982,180.4333,2551303
2020-08-28,181.2455,182.1018,179.8153,181.5368,1387082
2020-08-31,181.8546,183.3288,181.1024,182.2695,1710066
2020-09-01,181.3337,184.0439,181.3337,183.9556,1597842
2020-09-02,183.3641,185.8933,182.2562,185.3592,1917721
2020-09-03,184.9355,185.3504,175.9399,177.3612,2368924
2020-09-04,177.4406,177.498,169.9457,173.5387,3720110
2020-09-08,173.5034,174.0419,170.4666,173.1591,2668464
2020-09-09,174.6775,179.6476,174.4215,178.2705,2645589
2020-09-10,179.2062,182.1547,179.065,179.2857,2416048
2020-09-11,180.398,182.0929,180.036,180.857,1890488
2020-09-14,182.296,185.1032,181.6957,183.5584,1720913
2020-09-15,184.1763,185.1297,183.4627,184.2293,1591507
2020-09-16,184.0969,185.6417,182.6314,182.7815,1823578
2020-09-17,181.1395,182.9757,180.0978,182.8698,1965261
2020-09-18,183.2406,184.1233,180.7069,182.1282,3867965
2020-09-21,180.5216,181.7045,177.9367,181.6868,1606100
2020-09-22,181.2278,183.2582,179.9919,182.8698,1632867
2020-09-23,183.4877,184.2558,181.113,181.1483,1780707
2020-09-24,181.678,182.3083,178.5529,179.7977,2389402
2020-09-25,178.7118,183.2052,177.8291,182.8786,2301512
2020-09-28,183.9821,186.5598,183.4348,185.2003,2076439
2020-09-29,185.3857,187.3632,184.8649,186.2773,1724074
2020-09-30,186.9394,191.2386,186.3921,190.091,3285238
2020-10-01,191.5741,193.0483,188.7138,189.5084,2083009
2020-10-02,187.3367,190.0027,186.6437,187.5927,1433111
2020-10-05,189.3936,193.0042,189.3936,192.757,1242861
2020-10-06,193.1984,194.9321,191.6597,192.6599,1979366
2020-10-07,193.7899,197.1091,193.6486,196.0057,1746714
2020-10-08,196.5618,196.7446,194.1607,194.8404,2150675
2020-10-09,195.6261,199.6604,195.2465,199.5633,1619124
2020-10-12,200.1989,200.8169,198.7247,199.2897,1889028
2020-10-13,198.1156,199.475,198.0802,199.1749,1644994
2020-10-14,199.3779,200.5697,197.9302,199.9959,1790075
2020-10-15,196.9061,199.325,194.8139,198.9983,1724600
2020-10-16,199.8546,202.5559,199.5104,200.7904,2637292
2020-10-19,201.4966,201.9027,196.1999,197.5947,2283477
2020-10-20,197.7536,202.1587,197.3564,200.4196,2326517
2020-10-21,201.9469,202.8208,199.6957,199.9959,3762125
2020-10-22,200.1989,207.9851,199.3161,206.555,2743224
2020-10-23,207.6232,208.8238,204.2156,205.3897,2268967
2020-10-26,204.2951,207.5614,204.1097,207.376,2384169
2020-10-27,208.1882,212.3196,208.1882,211.6752,3268887
