Date,Open,High,Low,Close,Volume
2020-01-10,75.86,75.99,75.39,75.95,852446
2020-01-13,76.10,76.98,75.90,76.92,921172
2020-01-14,77.11,77.93,76.915,77.75,823275
2020-01-15,77.59,78.43,77.59,78.05,669232
2020-01-16,78.39,79.03,78.115,78.99,588929
2020-01-17,79.13,79.50,78.96,79.47,815553
2020-01-21,79.47,80.08,79.03,79.90,1028188
2020-01-22,79.95,80.67,79.53,80.55,860233
2020-01-23,80.24,80.53,79.15,80.50,970205
2020-01-24,82.11,85.59,82.01,83.19,2203909
2020-01-27,82.10,82.69,81.59,82.03,1086671
2020-01-28,82.40,83.1325,82.215,82.90,546907
2020-01-29,82.85,83.70,82.23,83.08,1009809
2020-01-30,82.47,82.72,80.97,82.66,1006752
2020-01-31,82.15,82.59,79.41,79.87,1723517
2020-02-03,80.00,80.30,79.16,79.22,708918
2020-02-04,80.24,81.16,80.12,80.67,701783
2020-02-05,80.72,82.63,80.72,82.17,836612
2020-02-06,82.53,83.3806,81.50,83.07,1135762
2020-02-07,82.86,83.08,81.24,81.34,1194923
2020-02-10,81.36,82.77,80.865,82.75,1414386
2020-02-11,84.00,89.65,83.69,88.50,3517371
2020-02-12,89.65,90.15,86.77,87.00,2203571
2020-02-13,86.65,87.24,86.00,86.24,1025222
2020-02-14,86.41,86.41,84.78,85.98,863642
2020-02-18,85.70,86.42,85.08,85.40,1146842
2020-02-19,85.50,85.755,84.955,85.49,777787
2020-02-20,85.03,85.47,83.99,84.65,859196
2020-02-21,84.23,84.46,83.47,84.09,755418
2020-02-24,82.71,83.29,81.71,82.86,1393647
2020-02-25,83.16,83.6799,80.1773,81.05,2456621
2020-02-26,81.60,82.52,80.53,81.04,1276259
2020-02-27,79.00,81.08,77.95,79.23,2633073
2020-02-28,76.99,77.91,75.18,77.62,2977006
2020-03-02,77.76,82.26,77.76,82.23,1701399
2020-03-03,82.08,83.79,77.23,77.56,2513074
2020-03-04,80.05,82.89,79.14,82.70,2078908
2020-03-05,80.56,82.93,80.08,81.11,1299376
2020-03-06,78.77,82.87,78.26,81.84,1951977
2020-03-09,76.04,79.275,75.30,77.20,2564748
2020-03-10,79.29,79.69,74.55,77.72,2069652
2020-03-11,75.90,77.21,73.24,74.87,2692702
2020-03-12,70.06,72.81,67.80,68.25,3071485
2020-03-13,71.39,76.21,67.98,75.95,3427171
2020-03-16,68.00,76.00,67.01,71.74,2446480
2020-03-17,73.30,80.72,73.27,75.13,3082690
2020-03-18,70.62,75.79,68.62,75.25,2514890
2020-03-19,74.33,76.0876,69.61,71.34,2250820
2020-03-20,71.25,71.25,64.16,64.99,3321796
2020-03-23,64.71,66.48,62.20,65.74,1743853
2020-03-24,68.22,70.95,66.66,68.65,2066203
2020-03-25,68.04,74.495,67.07,70.20,1620600
2020-03-26,70.95,74.76,70.46,73.74,1380277
2020-03-27,72.02,74.36,70.52,73.09,921046
2020-03-30,74.19,76.88,73.68,76.41,1235240
2020-03-31,76.57,77.76,75.33,76.06,1699946
2020-04-01,73.64,76.825,70.71,72.60,1430612
2020-04-02,71.79,74.17,68.76,70.30,1896927
2020-04-03,69.36,69.982,64.51,65.52,2429805
2020-04-06,67.26,71.58,67.14,71.01,1709610
2020-04-07,72.36,74.65,71.03,71.99,1700690
2020-04-08,72.82,78.65,72.34,76.96,1618813
2020-04-09,76.83,78.29,74.40,74.82,1313321
2020-04-13,74.40,75.25,71.88,73.59,1144111
2020-04-14,75.18,77.40,74.85,76.82,1379475
2020-04-15,76.14,76.345,74.18,76.26,1213565
2020-04-16,76.54,78.44,75.26,76.65,1231284
2020-04-17,78.00,78.59,75.60,78.16,1119950
2020-04-20,77.34,78.03,76.51,77.52,1360977
2020-04-21,76.77,76.93,72.01,72.53,1109907
2020-04-22,74.01,74.98,72.34,72.41,770555
2020-04-23,72.57,74.69,72.45,73.35,772185
2020-04-24,73.68,74.25,71.70,74.00,958832
2020-04-27,74.74,79.10,74.46,78.95,1163250
2020-04-28,80.00,81.23,77.91,78.61,1189313
2020-04-29,79.31,82.88,79.07,81.59,1287708
2020-04-30,80.59,81.59,78.80,79.01,1465000
2020-05-01,77.89,78.75,75.94,76.51,989161
2020-05-04,75.80,76.67,74.70,75.12,826045
2020-05-05,76.25,79.57,76.14,78.87,1335047
2020-05-06,81.68,85.32,80.81,82.35,2101801
2020-05-07,82.73,83.35,79.61,80.16,1800512
2020-05-08,81.04,81.38,79.96,80.76,1247996
2020-05-11,80.76,82.28,80.755,81.13,851697
2020-05-12,81.56,81.69,78.86,78.91,863723
2020-05-13,79.06,79.90,77.69,78.99,1140459
2020-05-14,78.35,78.35,76.32,78.14,1093009
2020-05-15,77.75,79.46,77.25,79.25,694495
