Date,Open,High,Low,Close,Volume
2020-01-10,190.45,190.53,188.72,188.93,828574
2020-01-13,189.27,191.47,189.27,191.41,645432
2020-01-14,190.95,191.81,189.46,189.96,1212629
2020-01-15,189.86,192.40,189.82,191.45,656951
2020-01-16,192.32,193.49,191.87,193.00,1393671
2020-01-17,193.48,195.60,192.25,195.58,1157275
2020-01-21,195.40,197.01,194.71,195.54,1273063
2020-01-22,196.47,197.49,195.67,196.40,1408186
2020-01-23,197.06,198.46,195.74,198.30,1253251
2020-01-24,198.55,199.29,197.00,198.01,891073
2020-01-27,196.19,197.409,195.46,196.75,1156651
2020-01-28,196.89,198.87,196.16,198.18,894886
2020-01-29,199.00,199.67,197.71,197.81,587705
2020-01-30,197.60,199.68,196.27,199.48,654079
2020-01-31,198.27,199.25,195.57,196.11,1094982
2020-02-03,197.06,201.82,196.20,201.53,1612716
2020-02-04,202.32,204.58,201.735,203.45,1388800
2020-02-05,204.82,206.50,202.49,206.30,1443939
2020-02-06,206.50,207.17,205.30,207.11,1235608
2020-02-07,206.98,207.50,205.11,205.64,832194
2020-02-10,204.99,205.72,204.33,204.94,877468
2020-02-11,204.80,205.88,204.52,204.62,901061
2020-02-12,205.64,207.50,204.81,206.82,1100004
2020-02-13,206.36,208.65,205.305,207.06,1088348
2020-02-14,207.52,208.13,206.49,207.31,1377372
2020-02-18,207.18,209.67,204.71,207.68,1355825
2020-02-19,208.62,210.71,208.22,210.31,1200776
2020-02-20,210.00,211.235,205.0214,206.31,1200155
2020-02-21,205.81,208.83,205.59,207.50,1053766
2020-02-24,203.84,205.51,202.26,202.52,1306992
2020-02-25,202.00,203.41,193.715,194.78,1285801
2020-02-26,195.50,197.64,193.84,194.43,1716299
2020-02-27,191.38,192.7099,183.43,183.48,2116613
2020-02-28,178.34,180.61,174.01,180.45,3424874
2020-03-02,182.70,191.28,182.09,191.22,1778744
2020-03-03,192.20,197.04,191.00,193.92,3065732
2020-03-04,197.91,204.53,195.40,204.34,1897653
2020-03-05,199.29,202.74,197.55,198.91,1599066
2020-03-06,193.91,195.75,188.88,194.41,1864404
2020-03-09,182.75,189.97,181.25,183.84,2081610
2020-03-10,188.96,191.73,180.91,190.85,2935676
2020-03-11,185.36,187.64,182.3014,186.58,2145438
2020-03-12,174.63,178.39,165.00,165.06,2583534
2020-03-13,173.85,180.86,164.45,180.07,1908580
2020-03-16,163.30,173.29,157.41,166.12,2419439
2020-03-17,167.59,176.70,163.64,169.50,2791050
2020-03-18,164.98,170.90,143.61,156.53,2396133
2020-03-19,155.57,164.45,151.48,159.58,2084641
2020-03-20,159.42,159.43,140.57,141.88,2746228
2020-03-23,141.32,141.32,124.60,125.22,3445600
2020-03-24,135.41,154.46,132.0301,152.97,3079064
2020-03-25,151.02,157.01,148.21,151.78,2236381
2020-03-26,154.69,163.21,153.02,161.69,2426032
2020-03-27,154.97,162.20,153.415,157.48,1800637
2020-03-30,160.02,162.58,157.265,161.40,1773790
2020-03-31,160.14,160.70,155.375,155.83,2442937
2020-04-01,150.42,151.22,145.31,146.70,2659583
2020-04-02,147.21,152.97,145.77,152.16,2486450
2020-04-03,151.30,154.72,146.575,147.26,1635032
2020-04-06,154.97,158.63,153.955,157.39,1708081
2020-04-07,162.91,164.79,158.13,159.11,1464794
2020-04-08,159.98,171.78,158.42,170.81,1723398
2020-04-09,173.34,180.34,172.01,179.86,2170938
2020-04-13,176.34,180.10,171.78,174.66,1287764
2020-04-14,180.00,181.54,177.36,180.80,1748367
2020-04-15,178.09,178.38,173.6545,174.66,1069855
2020-04-16,175.35,176.19,170.35,172.49,921277
2020-04-17,176.66,179.26,175.00,178.75,1266001
2020-04-20,175.77,176.89,172.75,172.96,1011116
2020-04-21,170.00,172.385,168.56,170.16,875201
2020-04-22,173.07,175.60,171.9516,174.76,985359
2020-04-23,175.43,178.08,175.01,175.04,1296939
2020-04-24,177.13,180.22,174.94,180.08,1272948
2020-04-27,180.73,189.00,180.52,187.51,1783334
2020-04-28,194.00,199.82,191.26,197.58,2385151
2020-04-29,197.84,199.95,196.66,197.58,1638090
2020-04-30,194.12,195.33,192.045,193.50,2138381
2020-05-01,190.21,191.22,187.84,190.00,1356562
2020-05-04,188.94,191.80,185.85,191.52,1101823
2020-05-05,195.37,196.69,192.93,193.32,1092700
2020-05-06,193.25,196.50,192.215,193.03,1185321
2020-05-07,196.25,197.03,193.48,194.12,1014374
2020-05-08,197.00,198.44,194.8588,197.76,1052613
2020-05-11,195.92,196.80,193.485,196.08,1192960
2020-05-12,196.93,197.96,194.18,194.20,919070
2020-05-13,193.30,194.46,190.14,191.97,1433013
2020-05-14,189.70,192.65,186.23,192.44,1748915
2020-05-15,190.80,195.33,189.35,194.75,3031991
2020-05-18,200.00,206.98,199.53,204.89,3021815
2020-05-19,204.40,205.85,201.09,201.24,2594381
2020-05-20,205.00,208.08,201.77,202.45,3473438
2020-05-21,202.83,203.93,199.70,200.40,3440607
2020-05-22,200.10,201.57,199.021,200.50,1656078
2020-05-26,204.18,207.94,202.20,204.59,5241725
2020-05-27,207.02,207.64,202.35,207.35,10254940
2020-05-28,210.02,212.79,205.13,211.41,14058430
2020-05-29,211.38,216.9103,208.20,212.58,21059660
2020-06-01,212.66,213.04,207.825,209.05,24301330
2020-06-02,209.31,220.39,209.31,212.14,38401470
2020-06-03,215.63,221.79,215.07,220.86,27343290
2020-06-04,219.17,222.14,217.11,222.00,5127706
2020-06-05,225.15,231.36,224.95,229.56,14131090
2020-06-08,228.33,230.60,225.55,230.11,5622255
2020-06-09,226.92,229.21,225.89,226.71,9422304
2020-06-10,227.84,228.45,223.69,225.91,4439435
2020-06-11,219.88,220.65,201.865,202.54,2292112
2020-06-12,208.58,210.40,199.19,204.06,2066504
2020-06-15,198.73,200.80,196.69,199.89,3616153
2020-06-16,208.06,208.47,203.1839,206.23,1848436
