Date,Open,High,Low,Close,Volume
2020-01-10,307.94,309.10,306.43,307.74,1049867
2020-01-13,306.88,307.00,296.34,296.74,1756534
2020-01-14,296.04,298.05,294.82,296.88,1067742
2020-01-15,297.26,304.80,297.22,301.55,1401215
2020-01-16,302.92,305.24,302.09,305.05,704236
2020-01-17,305.07,305.65,300.08,305.39,1312630
2020-01-21,303.94,308.23,303.17,305.99,992428
2020-01-22,306.68,306.68,302.14,303.51,998038
2020-01-23,303.46,305.36,301.285,304.40,1089312
2020-01-24,304.84,305.58,295.42,297.28,1088693
2020-01-27,293.63,293.805,278.95,283.79,2399865
2020-01-28,285.00,293.62,284.13,290.32,1985903
2020-01-29,279.50,282.33,272.16,272.91,4450976
2020-01-30,269.26,270.44,261.694,265.89,2738461
2020-01-31,265.68,268.555,264.01,265.28,2206930
2020-02-03,266.11,270.645,262.79,266.43,1925713
2020-02-04,269.90,277.37,269.90,273.37,1413799
2020-02-05,275.36,293.18,275.36,287.33,2448937
2020-02-06,288.78,288.78,280.03,282.33,1760034
2020-02-07,279.70,281.84,276.28,276.48,1597510
2020-02-10,275.88,278.03,274.02,276.55,1149181
2020-02-11,277.04,279.94,273.78,279.91,1777129
2020-02-12,286.27,296.73,286.27,296.00,2763319
2020-02-13,294.73,299.52,294.555,298.87,1931282
2020-02-14,299.29,300.86,295.46,297.82,1433772
2020-02-18,297.45,304.34,295.77,302.45,1972513
2020-02-19,302.01,304.52,299.295,304.06,1338842
2020-02-20,301.38,301.68,293.69,293.94,1889542
2020-02-21,292.03,296.79,290.17,294.71,1111009
2020-02-24,283.49,283.50,276.58,277.50,2518812
2020-02-25,279.21,279.48,264.49,267.40,1954896
2020-02-26,269.84,274.03,262.71,268.15,1733219
2020-02-27,263.06,268.08,257.47,257.86,2329027
2020-02-28,249.94,260.55,249.35,257.09,2984016
2020-03-02,259.60,272.19,250.38,271.27,3317679
2020-03-03,270.13,280.72,255.88,256.38,3017715
2020-03-04,286.55,297.52,285.34,296.42,5162150
2020-03-05,287.65,288.275,281.25,287.16,2868570
2020-03-06,278.18,284.13,268.93,282.19,3414629
2020-03-09,264.00,276.36,260.81,269.82,2712913
2020-03-10,278.33,288.11,273.00,286.05,2611638
2020-03-11,278.60,289.16,275.14,281.69,3416190
2020-03-12,262.03,278.69,253.46,256.21,3100233
2020-03-13,267.50,271.36,251.05,270.34,3027411
2020-03-16,226.50,247.981,216.27,224.04,2815367
2020-03-17,229.76,246.71,224.92,238.32,3100791
2020-03-18,224.45,230.00,186.61,206.96,3649862
2020-03-19,206.22,212.62,193.475,200.87,3321964
2020-03-20,204.29,217.94,185.69,191.59,4780250
2020-03-23,188.54,189.575,171.03,174.68,3236699
2020-03-24,183.98,201.00,181.115,196.84,3130601
2020-03-25,190.09,226.84,187.04,216.37,3521376
2020-03-26,221.28,238.79,215.00,235.67,2705284
2020-03-27,217.61,228.50,217.16,222.96,2585280
2020-03-30,224.66,233.88,220.16,230.58,2095953
2020-03-31,235.28,235.83,223.895,227.04,2956436
2020-04-01,217.01,221.55,210.41,214.30,2225894
2020-04-02,210.53,219.4999,203.99,211.39,2625614
2020-04-03,208.89,210.93,199.165,203.30,1776960
2020-04-06,215.51,227.52,212.18,225.72,2648649
2020-04-07,235.70,236.567,220.94,224.05,2450006
2020-04-08,227.15,248.83,226.41,247.02,2415226
2020-04-09,240.94,248.055,239.93,242.46,2191212
2020-04-13,240.78,243.49,237.65,240.53,1036724
2020-04-14,245.76,254.19,245.24,252.01,2145570
2020-04-15,249.15,254.35,245.11,250.47,2424610
2020-04-16,254.51,273.39,250.62,271.84,2717330
2020-04-17,279.01,279.905,263.21,267.82,1954766
2020-04-20,262.48,273.21,261.19,263.20,1597880
2020-04-21,255.00,259.90,249.30,249.37,1618127
2020-04-22,255.09,265.50,254.80,262.96,1174099
2020-04-23,264.71,266.24,258.44,261.55,1587417
2020-04-24,265.48,267.23,260.57,264.12,1390682
2020-04-27,267.56,271.74,263.01,270.06,1794229
2020-04-28,274.22,276.80,262.002,268.22,1789909
2020-04-29,280.00,282.35,264.00,280.61,2080755
2020-04-30,278.74,285.98,276.20,280.73,2098671
2020-05-01,275.34,277.00,264.65,269.57,1240788
2020-05-04,268.00,273.51,265.05,271.00,1241697
2020-05-05,274.50,278.82,269.81,275.07,1177038
2020-05-06,276.27,277.86,270.00,270.62,908810
2020-05-07,273.87,274.20,265.01,265.73,1003565
2020-05-08,270.50,274.76,268.81,274.33,969011
2020-05-11,270.94,276.72,270.91,272.37,1157453
2020-05-12,275.88,280.78,272.96,272.96,1311803
2020-05-13,271.08,272.90,262.235,267.80,1711391
2020-05-14,265.17,274.26,263.29,273.28,1300731
2020-05-15,271.06,279.83,270.58,278.09,1174098
2020-05-18,284.97,287.77,278.90,279.96,1324539
2020-05-19,280.00,286.00,277.99,281.10,1013151
2020-05-20,285.00,285.00,278.16,280.00,1122195
2020-05-21,278.95,283.14,277.07,278.68,1084269
2020-05-22,279.10,279.74,275.58,277.11,889794
2020-05-26,283.77,285.99,280.56,283.42,1248149
2020-05-27,286.25,287.64,277.565,287.25,1348419
2020-05-28,290.00,296.685,288.6112,291.37,1303074
2020-05-29,291.89,294.88,286.76,294.11,1859174
2020-06-01,293.23,293.99,285.22,290.03,1471060
2020-06-02,291.18,296.405,287.57,294.20,1219886
2020-06-03,296.00,299.32,287.91,289.27,1388683
2020-06-04,286.84,288.475,279.54,282.09,1511553
2020-06-05,283.35,290.52,282.12,287.89,1730099
2020-06-08,286.35,301.66,286.10,300.59,1829801
2020-06-09,300.00,300.00,290.00,291.01,1356045
2020-06-10,293.00,293.14,286.53,288.54,1185420
2020-06-11,283.90,284.17,262.27,264.54,2126854
2020-06-12,272.56,274.27,259.30,265.74,1464441
2020-06-15,257.83,264.76,250.875,262.33,2096715
2020-06-16,273.00,273.177,264.54,267.43,1428476
2020-06-17,268.66,269.53,264.1745,265.72,1181584
2020-06-18,263.92,265.91,260.19,265.53,1062297
2020-06-19,270.27,272.65,266.33,266.43,1820450
2020-06-22,265.00,266.53,261.58,265.21,997341
2020-06-23,268.23,270.605,265.15,268.99,890205
2020-06-24,265.08,266.00,254.851,257.31,1497874
2020-06-25,256.71,261.36,253.27,261.00,1469585
2020-06-26,259.85,264.65,254.43,255.65,1997465
2020-06-29,258.15,262.29,257.36,259.27,1365899
2020-06-30,259.75,264.60,256.74,262.98,1195614
2020-07-01,267.19,270.10,264.53,268.68,1110059
2020-07-02,270.95,273.93,266.97,267.00,1007995
2020-07-06,271.37,271.63,267.11,269.00,859594
2020-07-07,266.52,268.88,264.42,264.89,862863
2020-07-08,266.27,266.93,260.43,262.54,1110149
2020-07-09,262.22,264.04,254.55,255.00,1265741
2020-07-10,256.93,257.00,253.75,255.00,982178
2020-07-13,256.39,262.40,256.01,257.58,1325477
2020-07-14,256.44,263.88,256.09,263.47,1754146
2020-07-15,263.25,268.385,259.90,267.28,1557446
2020-07-16,267.28,269.22,263.68,264.09,1131253
2020-07-17,266.12,268.33,264.89,266.37,1035971
2020-07-20,266.12,267.37,258.84,259.00,1309849
2020-07-21,260.53,269.05,259.84,265.71,1555872
2020-07-22,266.28,268.25,261.054,268.09,1006815
2020-07-23,267.85,270.89,266.37,269.93,1004765
2020-07-24,271.00,273.71,269.57,270.49,1104462
2020-07-27,269.00,269.79,263.30,263.99,1615229
2020-07-28,263.35,267.685,263.27,265.23,1228587
2020-07-29,267.51,285.31,267.32,281.56,1961021
2020-07-30,276.42,279.67,272.345,277.19,1085259
2020-07-31,277.05,277.45,270.40,273.80,1005292
2020-08-03,275.22,277.385,269.36,270.75,988063
2020-08-04,269.38,272.86,267.72,270.89,953976
2020-08-05,272.85,276.01,270.21,275.65,1304882
2020-08-06,274.92,277.635,269.08,271.48,1002318
2020-08-07,271.23,278.18,271.23,276.66,928445
2020-08-10,277.09,280.15,276.24,278.85,754425
2020-08-11,283.07,288.00,279.09,280.33,1416943
2020-08-12,282.64,286.18,280.45,283.18,817135
2020-08-13,281.78,282.37,278.37,282.33,687941
2020-08-14,280.45,285.27,279.11,283.23,567658
2020-08-17,283.51,285.84,282.18,283.11,817271
2020-08-18,284.04,285.65,281.85,282.45,959068
2020-08-19,282.78,286.298,282.74,283.40,634051
2020-08-20,281.83,283.745,280.55,281.75,813927
2020-08-21,282.50,286.27,281.75,284.63,957555
2020-08-24,286.77,287.00,278.39,279.16,729657
2020-08-25,280.75,280.94,275.16,276.47,870887
2020-08-26,276.70,276.715,266.80,270.21,1342014
2020-08-27,271.41,278.64,269.28,274.59,1360804
2020-08-28,274.68,279.005,271.855,277.28,643374
2020-08-31,276.21,284.345,276.19,281.52,1514798
2020-09-01,278.02,280.64,272.83,273.08,1714725
2020-09-02,274.64,281.18,273.54,279.97,1388623
2020-09-03,281.84,284.37,274.19,277.00,1247689
2020-09-04,278.23,279.28,270.50,276.22,874661
2020-09-08,275.00,275.27,266.32,267.21,1191014
2020-09-09,267.93,269.35,264.56,267.42,1023871
2020-09-10,268.08,270.03,260.59,260.84,1096202
2020-09-11,262.68,265.50,254.48,258.03,1336676
2020-09-14,258.99,269.20,258.99,265.60,1448054
2020-09-15,265.88,267.345,258.865,260.15,1250511
2020-09-16,261.82,265.73,258.52,263.62,997442
2020-09-17,261.47,264.57,259.41,263.00,820108
2020-09-18,262.05,266.32,260.48,264.19,2162522
2020-09-21,257.24,257.88,250.40,257.71,1567806
2020-09-22,256.82,258.62,246.3779,247.44,1977556
2020-09-23,248.20,251.01,245.04,245.73,1669128
2020-09-24,245.04,249.27,244.10,248.78,1311881
2020-09-25,247.49,256.10,246.20,255.25,1321960
2020-09-28,258.83,261.80,255.78,257.06,914060
2020-09-29,258.35,261.75,256.56,259.79,862001
2020-09-30,259.52,271.155,258.75,268.59,1312763
2020-10-01,268.59,270.765,266.11,270.17,918107
2020-10-02,265.79,280.48,264.44,275.01,1582541
2020-10-05,276.98,285.00,276.68,284.79,965723
2020-10-06,286.15,290.64,282.50,283.64,1086454
2020-10-07,285.23,293.935,285.23,293.12,970185
2020-10-08,294.50,294.50,288.74,293.29,1000189
2020-10-09,295.00,298.45,293.83,294.41,813518
2020-10-12,295.43,300.915,294.43,298.57,1037698
2020-10-13,297.06,299.23,295.015,297.44,870082
2020-10-14,295.26,298.13,289.61,292.34,1014369
2020-10-15,287.48,296.91,287.166,294.90,785082
2020-10-16,295.10,300.3745,292.84,296.87,768940
2020-10-19,296.00,298.39,290.2098,292.21,946899
2020-10-20,293.18,296.46,290.95,291.19,822685
2020-10-21,290.50,297.29,290.34,296.16,898306
2020-10-22,297.02,306.295,296.46,305.17,1176630
2020-10-23,306.72,311.75,305.32,310.76,1489432
2020-10-26,307.61,308.25,297.71,299.75,1205272
2020-10-27,297.78,300.50,293.01,298.88,1532448
2020-10-28,287.92,297.69,285.23,285.80,1557811
2020-10-29,284.47,285.35,272.34,273.26,1737334
2020-10-30,273.92,275.03,269.01,272.80,1567701
2020-11-02,278.19,279.68,270.44,278.25,2193904
2020-11-03,282.67,295.59,281.905,293.46,1790107
2020-11-04,312.80,332.40,311.75,327.86,3987726
2020-11-05,328.72,334.10,317.745,319.60,2333229
2020-11-06,317.93,318.16,312.24,313.32,1606423
2020-11-09,334.98,337.68,321.83,322.41,1617725
2020-11-10,323.05,330.26,314.43,328.56,1975634
2020-11-11,330.19,332.75,323.12,323.37,1517702
2020-11-12,322.82,331.265,320.99,329.92,1504336
2020-11-13,329.94,334.695,327.74,332.96,1205533
2020-11-16,335.92,338.20,330.0435,333.15,1344599
2020-11-17,328.73,332.80,326.13,329.84,1038546
2020-11-18,331.16,333.49,322.13,322.38,1350976
2020-11-19,320.62,320.80,311.67,311.85,1611025
2020-11-20,311.43,312.115,304.67,305.62,2311572
2020-11-23,307.70,313.74,307.70,310.66,1169562
2020-11-24,310.57,317.88,310.00,313.94,1302770
2020-11-25,315.07,315.07,306.66,309.05,1180805
2020-11-27,308.69,313.54,308.24,312.80,533263
2020-11-30,311.79,315.30,309.34,311.52,1645796
2020-12-01,317.00,326.85,313.31,313.90,1364274
2020-12-02,313.12,321.64,313.07,318.45,1131725
2020-12-03,318.17,325.53,318.10,323.03,1254992
2020-12-04,321.61,326.90,321.08,323.27,931400
2020-12-07,321.52,324.20,317.03,319.24,697527
2020-12-08,316.66,322.99,315.90,322.69,1637024
2020-12-09,322.75,324.07,316.25,318.44,1016505
2020-12-10,317.66,319.05,313.48,313.75,1224600
