Date,Open,High,Low,Close,Volume
2020-01-10,87.55,87.61,86.15,86.27,2951628
2020-01-13,85.88,85.973,84.34,85.52,3399902
2020-01-14,85.37,86.66,84.56,86.33,4281709
2020-01-15,85.68,86.77,85.25,86.74,2562517
2020-01-16,86.96,88.09,86.67,87.02,5128592
2020-01-17,87.07,87.14,84.30,85.31,4542649
2020-01-21,85.10,86.165,84.03,84.04,4522916
2020-01-22,84.04,84.10,82.78,83.09,4030354
2020-01-23,82.10,82.24,80.65,81.83,3369407
2020-01-24,81.20,81.21,78.9717,79.85,3129028
2020-01-27,77.59,78.27,76.61,76.64,2968295
2020-01-28,77.47,77.93,76.57,77.05,2794264
2020-01-29,77.67,77.94,75.04,75.14,2701153
2020-01-30,74.13,75.99,73.59,75.82,4535903
2020-01-31,74.32,74.80,72.51,72.91,5004178
2020-02-03,72.83,73.00,71.27,71.37,3803196
2020-02-04,72.91,74.80,72.90,73.62,4725257
2020-02-05,75.50,77.98,75.28,77.05,3724789
2020-02-06,77.40,77.40,75.22,75.87,2128799
2020-02-07,74.85,75.32,73.90,74.35,2257832
2020-02-10,73.90,74.14,73.055,73.70,2865804
2020-02-11,75.13,75.4064,74.3084,74.79,2191531
2020-02-12,76.60,76.91,75.17,75.38,2860077
2020-02-13,75.00,76.04,74.7515,75.68,2197890
2020-02-14,76.00,76.221,73.84,74.92,2087730
2020-02-18,74.53,75.07,73.53,74.53,2520808
2020-02-19,74.93,77.665,74.93,77.28,2765294
2020-02-20,76.79,77.37,75.69,75.99,2447053
2020-02-21,74.87,74.87,73.65,74.21,2963934
2020-02-24,71.33,71.33,69.4033,69.91,3854437
2020-02-25,70.15,70.32,65.55,66.99,6558424
2020-02-26,67.72,67.765,63.08,63.20,5371313
2020-02-27,60.59,63.56,58.85,60.00,7699285
2020-02-28,57.30,63.26,56.3392,63.26,11081620
2020-03-02,63.81,63.90,60.16,62.86,8008580
2020-03-03,62.93,65.41,60.89,62.43,6432237
2020-03-04,63.62,64.50,62.28,64.08,5455079
2020-03-05,61.78,63.74,60.71,61.87,4905103
2020-03-06,58.92,59.90,53.87,55.30,9915224
2020-03-09,38.22,40.18,34.89,37.60,18938170
2020-03-10,39.88,41.71,35.811,41.60,13788480
2020-03-11,39.45,39.945,37.56,38.86,13209200
2020-03-12,35.19,35.945,31.66,32.50,12383950
2020-03-13,35.25,35.82,30.25,34.80,13961080
2020-03-16,29.99,36.085,28.11,31.10,10311130
2020-03-17,31.39,33.24,29.62,30.89,10122060
2020-03-18,28.19,30.145,27.0001,29.76,7759557
2020-03-19,29.94,34.55,29.76,33.22,9407920
2020-03-20,34.69,37.24,33.5201,34.89,12411380
2020-03-23,34.60,36.53,33.11,34.54,8642077
2020-03-24,36.44,40.00,35.72,39.80,10485920
2020-03-25,39.09,41.57,36.70,39.69,9492513
2020-03-26,36.12,40.20,36.12,39.53,9264151
2020-03-27,37.83,38.39,34.88,36.00,10078950
2020-03-30,35.01,35.47,33.52,34.98,9148305
2020-03-31,36.90,38.61,35.18,35.92,7823005
2020-04-01,34.57,35.47,33.55,34.60,6250283
2020-04-02,36.63,43.45,36.2883,38.30,12693970
2020-04-03,40.00,41.29,38.43,39.89,13594220
2020-04-06,40.68,40.94,37.6603,39.43,9030699
2020-04-07,42.00,42.94,40.61,41.33,7531985
2020-04-08,42.26,45.39,42.17,45.29,7217478
2020-04-09,47.25,47.58,42.55,44.82,11001940
2020-04-13,46.20,46.98,42.74,43.29,5758232
2020-04-14,42.85,43.48,41.77,42.23,5410682
