Date,Open,High,Low,Close,Volume
2020-01-10,9.05,9.245,8.78,8.84,6560622
2020-01-13,8.84,9.10,8.00,8.37,13158060
2020-01-14,8.32,8.74,8.195,8.61,9032301
2020-01-15,8.49,8.595,8.17,8.46,9308391
2020-01-16,8.50,9.01,8.47,8.55,5984613
2020-01-17,8.53,8.59,8.23,8.24,6354864
2020-01-21,8.225,8.23,7.68,7.68,8751847
2020-01-22,7.72,7.83,7.38,7.40,7259279
2020-01-23,7.36,7.47,7.08,7.12,8763825
2020-01-24,7.05,7.08,6.47,6.65,11762090
2020-01-27,6.44,6.79,6.40,6.59,8453842
2020-01-28,6.65,6.805,6.52,6.68,7322370
2020-01-29,6.70,6.75,6.00,6.09,9945965
2020-01-30,6.03,6.24,6.01,6.19,6957906
2020-01-31,6.07,6.27,5.77,6.05,12281600
2020-02-03,6.00,6.13,5.74,5.90,9139562
2020-02-04,6.03,6.05,5.68,5.72,8939973
2020-02-05,5.84,6.155,5.82,6.00,13261110
2020-02-06,5.95,5.9699,5.43,5.44,12069950
2020-02-07,5.39,5.5201,5.27,5.30,8670681
2020-02-10,5.19,5.36,5.01,5.11,8002194
2020-02-11,5.21,5.365,5.11,5.13,7467523
2020-02-12,5.29,5.42,5.15,5.28,8390107
2020-02-13,5.27,5.51,5.18,5.41,6544784
2020-02-14,5.43,5.5315,5.265,5.29,6198597
2020-02-18,5.35,5.72,5.32,5.68,6849077
2020-02-19,5.76,5.94,5.59,5.91,9990359
2020-02-20,5.90,6.15,5.90,6.01,8791637
2020-02-21,5.88,5.88,5.53,5.81,8703392
2020-02-24,5.42,5.71,5.41,5.51,7711171
2020-02-25,5.52,5.52,4.935,5.16,8393639
2020-02-26,5.22,5.38,4.95,4.96,9345520
2020-02-27,4.92,5.54,4.21,5.38,21824970
2020-02-28,5.15,5.95,5.13,5.87,19794070
2020-03-02,6.06,6.10,5.74,6.08,17256270
2020-03-03,6.07,6.2084,5.745,6.15,11179800
2020-03-04,6.15,6.34,5.842,6.11,10516770
2020-03-05,5.86,6.40,5.86,6.35,11215000
2020-03-06,6.08,6.93,6.02,6.39,18486850
2020-03-09,4.92,7.92,4.90,7.06,26465440
2020-03-10,7.22,7.72,6.01,7.06,20699710
2020-03-11,6.70,7.46,6.68,6.88,16600410
