Date,Open,High,Low,Close,Volume
2020-01-10,167.17,167.5355,164.15,164.58,65036
2020-01-13,165.00,166.45,164.69,165.58,87293
2020-01-14,165.25,166.59,165.035,165.60,108060
2020-01-15,165.71,167.74,165.71,166.30,109814
2020-01-16,167.14,169.05,166.63,168.33,121841
2020-01-17,168.98,169.94,167.175,169.49,92891
2020-01-21,169.49,171.36,169.49,170.25,103265
2020-01-22,171.10,172.14,167.38,167.57,122621
2020-01-23,167.72,167.72,164.22,166.93,76338
2020-01-24,167.12,167.62,166.51,167.32,57763
2020-01-27,165.21,167.04,164.27,166.95,62820
2020-01-28,167.48,168.25,166.30,167.75,73807
2020-01-29,168.42,169.74,167.00,167.76,66154
2020-01-30,166.97,168.91,165.46,168.81,74558
2020-01-31,168.65,171.80,165.84,166.50,125511
2020-02-03,167.15,168.42,166.525,166.96,83104
2020-02-04,168.24,168.77,164.87,164.87,111075
2020-02-05,166.32,166.32,163.41,164.29,106869
2020-02-06,164.69,165.60,163.76,164.72,82907
2020-02-07,164.27,165.66,163.305,163.39,57931
2020-02-10,162.74,164.37,160.925,161.01,74192
2020-02-11,161.60,163.66,161.60,162.87,58447
2020-02-12,162.97,162.97,159.70,160.77,73944
2020-02-13,160.57,163.57,160.34,162.10,62367
2020-02-14,162.27,164.91,162.27,163.56,83664
2020-02-18,163.70,164.5826,161.56,162.11,57856
2020-02-19,162.69,163.43,161.12,162.04,51096
2020-02-20,162.11,162.65,159.70,160.58,88999
2020-02-21,160.27,161.04,158.595,159.00,78502
2020-02-24,156.09,158.345,156.09,157.75,90152
2020-02-25,157.92,158.41,154.6095,156.93,125953
2020-02-26,157.63,160.655,156.985,159.15,130913
2020-02-27,157.53,159.40,154.75,154.75,151017
2020-02-28,151.31,151.31,137.42,142.92,319208
2020-03-02,143.54,151.525,142.695,151.22,143891
2020-03-03,151.54,154.735,150.10,152.27,132336
2020-03-04,154.07,155.92,152.50,155.18,157959
2020-03-05,153.29,154.05,149.27,151.10,124447
2020-03-06,148.06,154.17,146.30,151.36,140663
2020-03-09,144.26,151.86,144.26,149.99,118680
2020-03-10,153.18,158.07,148.63,155.25,150926
2020-03-11,153.16,155.74,143.84,145.65,97755
2020-03-12,138.62,141.80,133.45,135.27,162236
2020-03-13,140.26,154.76,133.94,154.75,181279
2020-03-16,130.20,151.14,130.20,146.12,152230
2020-03-17,149.11,176.145,144.0221,172.45,150577
2020-03-18,168.90,200.00,162.995,170.68,339808
2020-03-19,166.01,178.03,153.63,161.26,123352
2020-03-20,159.00,183.27,159.00,177.41,235017
2020-03-23,180.00,182.03,152.005,155.02,211342
2020-03-24,162.55,164.9521,151.20,152.95,215836
2020-03-25,153.41,154.885,137.10,144.12,673573
2020-03-26,144.36,165.63,138.86,165.21,156097
2020-03-27,161.16,174.025,152.52,162.98,127857
2020-03-30,164.80,176.25,156.99,174.34,105493
2020-03-31,173.00,173.00,148.22,148.24,208859
2020-04-01,146.00,153.48,143.6701,152.95,113601
2020-04-02,150.58,163.35,147.845,161.42,90771
2020-04-03,159.70,167.49,151.72,164.14,125604
2020-04-06,166.82,170.66,163.80,170.38,111798
2020-04-07,173.00,173.00,164.01,166.63,94031
2020-04-08,168.40,169.83,162.741,168.73,67119
2020-04-09,170.29,173.78,162.76,166.09,76841
2020-04-13,164.75,168.47,161.53,168.06,54170
2020-04-14,169.56,173.25,165.51,166.88,79901
2020-04-15,165.21,169.94,160.525,162.46,102329
2020-04-16,162.83,168.14,157.21,167.78,102982
2020-04-17,172.95,178.07,170.89,176.84,164023
2020-04-20,176.63,179.93,174.36,179.24,106663
2020-04-21,179.99,184.21,177.00,177.41,241758
2020-04-22,182.20,187.78,172.13,177.03,554150
2020-04-23,175.17,178.63,169.975,171.65,137500
2020-04-24,172.08,174.78,168.585,173.32,86681
2020-04-27,174.63,181.155,174.63,180.14,88155
2020-04-28,182.14,185.68,180.12,181.52,125784
2020-04-29,182.88,186.816,182.16,184.03,90759
2020-04-30,184.75,184.75,177.39,178.06,103947
2020-05-01,175.86,178.77,172.315,172.44,39877
2020-05-04,171.45,177.06,171.45,176.61,62887
2020-05-05,179.47,183.305,178.26,180.26,86513
2020-05-06,181.11,184.32,175.55,182.43,77984
2020-05-07,184.31,187.43,182.91,184.66,113042
2020-05-08,184.00,184.43,167.57,168.73,150464
2020-05-11,168.28,174.2334,168.01,172.50,111934
2020-05-12,173.62,174.68,169.775,170.66,60921
2020-05-13,170.30,170.30,157.84,159.54,111557
2020-05-14,158.52,163.23,154.63,162.35,80344
2020-05-15,160.08,165.46,158.00,164.48,207692
2020-05-18,169.70,171.32,166.59,169.73,92151
2020-05-19,169.35,172.62,166.63,170.94,88948
2020-05-20,171.46,173.98,167.42,172.42,79423
2020-05-21,172.14,175.10,172.125,174.29,65210
2020-05-22,173.84,173.84,170.02,172.19,63451
2020-05-26,175.31,176.08,171.43,174.70,75199
2020-05-27,177.37,177.37,170.01,171.00,96263
2020-05-28,172.47,175.73,171.85,174.53,99992
2020-05-29,174.31,180.45,172.16,180.24,304460
2020-06-01,180.90,182.53,174.405,175.36,66347
2020-06-02,176.22,180.63,175.67,180.40,85605
2020-06-03,180.99,184.60,178.68,183.14,67051
2020-06-04,183.28,183.28,178.18,180.90,53281
2020-06-05,182.45,186.53,180.37,185.34,75898
2020-06-08,185.00,189.995,184.635,189.95,78856
2020-06-09,188.84,188.84,182.94,186.42,80864
2020-06-10,186.15,188.395,181.92,186.27,61032
2020-06-11,183.34,184.75,176.65,177.38,62589
2020-06-12,181.24,182.53,174.61,177.74,50945
2020-06-15,174.44,180.26,173.32,178.97,57993
2020-06-16,182.14,182.14,178.55,179.46,71019
2020-06-17,179.76,185.07,178.83,183.17,86987
2020-06-18,182.19,184.70,180.40,180.50,50655
2020-06-19,182.46,186.98,181.46,186.53,131574
2020-06-22,186.94,189.00,182.20,183.67,52473
2020-06-23,184.31,187.64,183.72,186.11,88204
2020-06-24,186.35,186.35,182.01,183.41,73194
2020-06-25,183.29,188.87,181.20,188.17,49640
2020-06-26,187.38,188.88,184.90,186.055,140685
2020-06-29,187.62,190.58,187.52,188.50,34270
2020-06-30,189.31,194.07,186.79,191.90,85935
2020-07-01,192.68,192.68,189.27,189.92,55969
2020-07-02,191.39,192.88,189.81,190.23,49308
2020-07-06,191.98,191.98,189.90,190.63,36835
2020-07-07,190.55,191.02,187.25,189.48,39826
2020-07-08,190.44,192.70,189.43,191.89,40626
2020-07-09,193.02,193.02,183.855,188.63,73712
2020-07-10,189.43,194.69,189.43,193.83,57253
2020-07-13,194.32,195.475,191.73,192.00,40953
2020-07-14,192.99,197.795,191.58,197.15,40664
2020-07-15,198.46,201.79,196.84,200.57,50803
2020-07-16,200.25,203.88,200.08,202.25,41316
2020-07-17,202.76,206.87,201.37,203.76,57002
2020-07-20,201.56,209.33,201.56,204.84,35725
2020-07-21,207.81,207.81,204.67,206.07,28440
2020-07-22,206.43,208.9488,205.12,208.01,52181
2020-07-23,206.58,211.62,206.58,207.82,32058
2020-07-24,209.42,209.42,204.05,206.25,29106
2020-07-27,206.55,210.93,203.94,210.42,36971
2020-07-28,209.03,210.00,206.20,209.02,39965
2020-07-29,209.54,211.69,208.07,210.00,52197
2020-07-30,208.68,213.23,208.68,209.24,35187
2020-07-31,213.42,213.42,205.78,210.12,54558
2020-08-03,212.05,214.99,211.445,214.78,47656
2020-08-04,212.80,216.00,212.37,213.58,46158
2020-08-05,215.14,218.72,213.42,216.44,38025
2020-08-06,217.19,218.98,215.68,217.04,31431
2020-08-07,215.76,218.37,215.51,217.20,40884
2020-08-10,218.16,218.2299,215.215,216.82,31216
2020-08-11,218.52,219.53,217.28,217.54,33029
2020-08-12,218.95,219.96,216.10,216.10,26426
2020-08-13,215.47,216.78,212.675,215.72,37683
2020-08-14,216.87,219.80,215.79,217.32,31906
2020-08-17,217.18,220.60,215.0018,220.55,27037
2020-08-18,220.45,222.59,217.585,222.31,43007
2020-08-19,222.63,223.87,220.08,222.70,28775
2020-08-20,221.17,223.295,220.10,221.23,31075
2020-08-21,220.43,220.43,210.15,212.63,72893
2020-08-24,211.19,214.99,206.585,209.09,69866
2020-08-25,209.11,212.18,208.585,211.58,49971
2020-08-26,211.50,211.50,204.36,205.50,67232
2020-08-27,206.82,212.41,206.82,211.47,34105
