Date,Open,High,Low,Close,Volume
2020-01-10,60.29,60.62,60.19,60.305,2116330
2020-01-13,60.295,61.0875,60.295,60.76,3835054
2020-01-14,60.72,60.94,60.315,60.79,2255006
2020-01-15,61.025,61.96,60.915,61.87,2470772
2020-01-16,61.92,62.495,61.865,62.475,2260096
2020-01-17,62.545,63.215,62.4575,63.155,2108296
2020-01-21,63.22,63.715,62.995,63.68,2221632
2020-01-22,64.00,64.24,63.71,63.945,1791732
2020-01-23,63.95,65.015,63.785,64.975,2556664
2020-01-24,64.90,65.595,64.855,65.365,1749988
2020-01-27,65.335,65.745,64.54,64.775,2269770
2020-01-28,64.815,65.13,64.355,64.995,2330704
2020-01-29,65.065,65.375,64.71,65.275,1770606
2020-01-30,65.25,65.895,65.01,65.86,1539306
2020-01-31,65.85,66.01,65.335,65.76,4816548
2020-02-03,65.955,66.195,65.725,66.095,1668778
2020-02-04,66.07,66.44,65.21,65.28,1907190
2020-02-05,65.185,65.7475,65.0394,65.28,2722698
2020-02-06,65.315,65.84,65.31,65.705,2254672
2020-02-07,65.90,66.285,65.85,65.97,2743268
2020-02-10,66.07,66.465,65.85,66.445,1393432
2020-02-11,66.535,66.915,66.29,66.445,2070518
2020-02-12,65.64,66.0925,65.28,65.78,1831404
2020-02-13,65.835,66.75,65.59,66.62,1476922
2020-02-14,66.82,67.2425,66.54,67.065,3278040
2020-02-18,67.355,67.73,66.925,67.39,2910488
2020-02-19,67.50,67.775,66.45,66.545,3266264
2020-02-20,66.51,66.54,65.42,65.725,3867332
2020-02-21,65.685,66.0425,64.89,64.98,5692544
2020-02-24,64.885,65.54,64.635,64.87,3119218
2020-02-25,64.92,64.9975,62.895,63.15,3198350
2020-02-26,63.13,63.61,62.80,62.825,3059740
2020-02-27,62.645,62.745,60.345,60.40,5108506
2020-02-28,59.39,59.39,56.945,58.455,5471052
2020-03-02,58.70,62.19,58.45,62.06,3913924
2020-03-03,62.24,63.37,60.545,60.945,3960000
2020-03-04,61.805,64.375,61.805,64.18,3011988
2020-03-05,63.025,64.08,62.215,63.73,4399938
2020-03-06,61.98,62.50,60.2251,62.14,3755276
2020-03-09,59.09,59.46,57.005,57.70,6543916
2020-03-10,58.68,59.785,56.83,59.645,5639786
2020-03-11,58.18,58.305,54.765,55.81,3530846
2020-03-12,52.72,53.715,49.225,50.82,5744384
2020-03-13,53.32,53.64,48.31,51.465,5350456
2020-03-16,47.29,48.02,42.92,43.37,6869994
2020-03-17,44.355,49.925,43.695,49.81,6941938
2020-03-18,46.85,47.715,39.755,43.205,8217644
2020-03-19,42.80,44.0806,38.795,42.025,5604162
2020-03-20,42.86,44.79,39.535,39.995,4987682
2020-03-23,39.48,41.25,37.5975,39.09,4360748
2020-03-24,40.805,43.625,39.80,43.165,3721038
2020-03-25,43.03,46.495,41.885,44.48,3843932
2020-03-26,44.815,49.035,44.56,48.355,3345378
2020-03-27,46.38,50.30,46.20,48.67,3671260
2020-03-30,49.185,50.595,47.66,50.035,3652012
2020-03-31,49.355,50.02,46.655,46.985,5242462
2020-04-01,44.985,45.85,42.075,42.79,3060984
2020-04-02,41.725,44.8225,41.4025,44.10,4129916
2020-04-03,43.60,44.58,41.47,41.69,4751846
2020-04-06,43.705,46.995,43.085,46.50,2600480
2020-04-07,48.05,48.335,46.32,46.825,2720516
2020-04-08,46.91,50.785,46.91,50.26,2859998
2020-04-09,51.04,53.61,50.815,51.455,2994886
2020-04-13,50.83,50.83,48.57,48.945,3525804
2020-04-14,49.955,50.65,49.405,50.33,2209168
2020-04-15,48.91,49.5725,48.431,48.655,2829292
2020-04-16,48.78,49.105,47.72,48.58,3454290
2020-04-17,49.505,50.89,49.08,50.635,2641878
2020-04-20,49.915,50.0475,47.915,48.225,2441684
2020-04-21,47.355,48.065,46.645,47.33,2514954
2020-04-22,48.275,50.08,47.6625,49.74,3543816
2020-04-23,49.705,50.17,48.415,48.485,2359452
2020-04-24,48.545,49.08,47.84,48.765,3076280
2020-04-27,49.875,51.18,49.715,50.655,3811532
2020-04-28,51.775,52.48,49.535,49.835,2271220
2020-04-29,50.88,50.88,49.105,49.19,1973470
2020-04-30,48.965,49.00,46.985,47.755,2995112
2020-05-01,47.28,47.28,46.05,46.785,1975016
2020-05-04,46.685,48.01,46.13,47.71,2443970
2020-05-05,47.50,49.805,47.50,48.375,2707268
2020-05-06,48.125,48.24,46.12,46.335,2077682
2020-05-07,46.74,47.495,46.31,46.385,2370576
2020-05-08,47.005,47.8275,46.46,47.505,3253914
2020-05-11,48.385,48.585,46.86,48.11,5357568
2020-05-12,48.12,48.36,47.335,48.00,4866400
2020-05-13,47.645,48.00,46.65,47.055,4599160
2020-05-14,46.47,47.59,45.495,47.47,3147882
2020-05-15,47.225,47.735,46.25,47.49,5742398
2020-05-18,48.84,50.23,48.755,49.71,2528594
2020-05-19,49.47,49.66,48.28,48.28,1683978
2020-05-20,48.785,49.265,48.43,48.795,1502844
2020-05-21,48.755,49.16,48.60,48.815,2258306
2020-05-22,48.775,49.12,48.53,48.98,1911088
2020-05-26,50.145,50.625,49.765,49.87,2241994
2020-05-27,50.665,50.74,49.135,49.735,1623966
2020-05-28,50.475,51.69,50.205,51.535,2403716
2020-05-29,51.375,51.56,50.485,50.91,3640568
2020-06-01,50.81,51.90,50.625,51.34,1886482
2020-06-02,51.36,51.79,50.74,51.765,2357450
2020-06-03,52.055,52.64,51.815,52.02,1944902
2020-06-04,51.695,51.85,50.025,50.615,2077964
2020-06-05,51.91,53.24,51.545,51.865,2117472
2020-06-08,51.90,53.15,51.56,52.945,2266002
2020-06-09,52.245,52.27,51.26,51.67,2002878
2020-06-10,51.905,52.135,50.89,51.095,2185854
2020-06-11,50.005,50.04,47.995,48.385,2998468
2020-06-12,49.375,49.4075,47.365,48.21,3380028
2020-06-15,47.17,48.8125,46.6345,48.595,2843242
2020-06-16,50.03,50.325,48.54,48.96,2264410
2020-06-17,49.42,49.51,47.915,48.535,2202122
2020-06-18,48.24,48.83,47.795,48.75,2425038
2020-06-19,49.53,49.53,47.105,47.26,8592436
2020-06-22,47.175,48.775,46.7425,48.485,3242858
2020-06-23,48.95,48.99,47.48,47.50,3419020
2020-06-24,47.03,47.20,45.96,46.755,2432336
2020-06-25,46.70,46.70,45.55,46.18,3167186
2020-06-26,46.18,46.99,45.54,45.83,3946316
