Date,Open,High,Low,Close,Volume
2020-01-10,32.8736,32.9659,32.7422,32.8452,5738539
2020-01-13,32.8239,33.0724,32.7458,32.7955,6653880
2020-01-14,32.7245,32.728,32.3553,32.5257,6279667
2020-01-15,32.6961,33.3067,32.6677,33.0511,5877284
2020-01-16,33.1221,33.3919,33.0511,33.186,5763883
2020-01-17,33.3422,33.7043,33.1789,33.6475,7566295
2020-01-21,33.683,33.8037,33.5339,33.7824,5097360
2020-01-22,33.7753,34.0167,33.7256,33.8392,8751545
2020-01-23,33.8463,34.0806,33.683,34.0451,6076021
2020-01-24,33.9741,34.2013,33.7611,33.8889,4801223
2020-01-27,33.9102,34.2013,33.5055,33.5623,5451092
2020-01-28,33.5552,34.0167,33.5339,33.8889,5118538
2020-01-29,33.8392,34.2758,33.7824,33.9457,6526332
2020-01-30,33.8108,34.1871,33.6546,34.1232,5240488
2020-01-31,34.0806,34.1942,33.5481,33.7895,6880671
2020-02-03,33.8534,34.2936,33.7966,34.2226,6122899
2020-02-04,34.1587,34.4427,34.0025,34.1445,6091442
2020-02-05,34.0877,34.393,33.9528,34.3149,5062968
2020-02-06,34.3291,34.4853,34.2226,34.2652,4162485
2020-02-07,34.3433,34.4924,34.1871,34.2155,4831435
2020-02-10,34.2865,34.3362,34.1196,34.3007,4227498
2020-02-11,34.3007,35.1207,34.3007,35.032,6187445
2020-02-12,35.103,35.2308,34.7977,34.9752,5279708
2020-02-13,35.1101,35.2841,34.9361,35.1953,5165541
2020-02-14,35.2166,35.3444,35.0249,35.3302,3643068
2020-02-18,35.4438,35.884,35.2521,35.7704,5163076
2020-02-19,35.3799,35.5284,35.071,35.2166,4023511
2020-02-20,35.1314,35.4509,35.0888,35.3941,3745514
2020-02-21,35.387,35.5318,35.2521,35.3018,7352332
2020-02-24,35.5361,35.8343,34.6486,34.6628,5989460
2020-02-25,34.6273,34.7018,33.7327,33.8179,7610224
2020-02-26,34.2155,34.2936,33.3919,33.4061,6901530
2020-02-27,33.4487,33.47,32.0357,32.0499,8275434
2020-02-28,31.4819,31.4961,30.0477,30.6086,14879090
2020-03-02,30.6654,32.2629,30.4595,32.2558,9653778
