Date,Open,High,Low,Close,Volume
2020-01-10,77.09,77.67,76.85,77.21,1075592
2020-01-13,77.22,77.90,77.08,77.615,888314
2020-01-14,77.67,79.15,77.54,78.72,1081467
2020-01-15,78.93,79.57,78.46,79.19,847827
2020-01-16,79.55,81.64,78.79,81.34,1304907
2020-01-17,75.79,78.33,75.46,76.82,3312556
2020-01-21,76.47,76.88,73.59,74.02,1868298
2020-01-22,74.26,74.50,73.13,73.66,1299205
2020-01-23,73.66,74.195,72.59,73.97,1489503
2020-01-24,74.42,74.615,73.49,74.34,995673
2020-01-27,73.10,75.09,72.95,73.96,1898905
2020-01-28,74.14,74.33,73.5547,73.85,1574030
2020-01-29,73.74,74.075,73.29,73.62,1306874
2020-01-30,73.00,73.655,72.51,73.43,1278551
2020-01-31,73.10,73.62,72.35,73.04,5712868
2020-02-03,73.60,74.19,72.43,72.70,1440628
2020-02-04,73.34,73.87,72.88,73.27,999205
2020-02-05,73.64,74.805,73.5002,73.71,1176407
2020-02-06,73.93,74.42,73.26,74.03,1006534
2020-02-07,73.67,74.44,73.17,73.34,1120728
2020-02-10,73.11,73.45,72.50,72.78,892968
2020-02-11,73.19,73.7952,73.065,73.16,779363
2020-02-12,73.23,73.8268,73.13,73.42,620136
2020-02-13,72.94,74.21,72.87,74.18,1084227
2020-02-14,74.27,74.63,73.04,73.39,1402780
2020-02-18,73.88,76.48,73.41,74.43,1188466
2020-02-19,74.02,76.57,74.01,76.18,1762711
2020-02-20,76.18,76.73,75.14,75.47,1871270
2020-02-21,74.88,76.2004,74.52,75.41,1727057
2020-02-24,73.54,74.175,71.77,72.97,1823375
2020-02-25,73.25,73.46,72.01,72.34,2659691
2020-02-26,72.68,74.275,72.41,72.74,2505586
2020-02-27,71.94,72.16,69.08,69.13,2810516
2020-02-28,67.65,71.33,66.905,70.42,4858784
2020-03-02,70.44,72.04,69.09,71.94,2449668
2020-03-03,71.45,72.59,69.69,70.22,1959073
2020-03-04,71.14,73.17,70.22,73.13,1531167
2020-03-05,71.10,72.24,70.71,72.08,2126787
2020-03-06,70.17,71.71,69.87,70.48,2759615
2020-03-09,66.22,70.11,66.00,67.75,3523589
2020-03-10,69.15,70.10,67.45,69.95,3563143
2020-03-11,68.62,69.79,67.00,67.36,2911742
2020-03-12,63.47,66.13,61.98,62.02,4430483
2020-03-13,64.15,65.26,61.01,65.15,3102010
2020-03-16,57.85,62.60,57.80,58.74,2589436
2020-03-17,60.19,62.23,58.00,61.77,3161924
2020-03-18,59.36,61.285,56.96,60.75,2262496
2020-03-19,60.09,61.49,57.70,58.01,2202304
2020-03-20,58.60,59.36,52.85,54.94,3214975
2020-03-23,55.00,57.56,52.55,55.86,2307293
2020-03-24,57.60,63.67,57.56,63.09,2687287
2020-03-25,63.63,67.2905,61.2705,64.40,2156522
2020-03-26,64.73,66.02,62.5801,65.20,2004619
2020-03-27,63.57,66.70,62.385,65.11,1515697
2020-03-30,65.52,67.34,63.86,66.97,1482354
2020-03-31,66.19,67.615,65.96,66.72,1667696
2020-04-01,64.95,67.55,64.01,65.48,1604171
2020-04-02,65.87,67.96,65.32,67.70,2073661
2020-04-03,67.23,68.44,66.35,67.10,1381622
2020-04-06,68.73,69.66,68.03,69.21,1846213
2020-04-07,70.20,71.86,70.20,70.68,1913761
2020-04-08,71.05,73.00,70.19,72.47,1673338
2020-04-09,72.62,73.47,71.00,71.48,1523784
2020-04-13,71.35,71.68,69.70,70.55,985672
2020-04-14,71.28,71.85,70.23,70.62,2195890
2020-04-15,69.87,70.18,68.57,68.74,1625563
2020-04-16,68.92,70.24,67.56,69.95,2049360
2020-04-17,71.60,71.93,70.13,71.74,1523935
2020-04-20,70.97,71.72,70.16,70.67,878560
2020-04-21,69.82,70.42,69.16,69.67,1132326
2020-04-22,70.78,70.78,69.00,70.37,1337440
2020-04-23,70.35,71.73,69.707,70.22,1293762
2020-04-24,70.49,72.07,69.51,71.93,1195026
2020-04-27,72.21,72.77,71.68,72.29,1102675
2020-04-28,72.96,73.23,71.75,71.92,1023933
2020-04-29,73.00,73.00,71.105,72.49,1253711
2020-04-30,72.05,72.4898,70.84,71.605,2000356
2020-05-01,71.00,71.75,70.23,71.36,1214430
2020-05-04,70.67,71.49,69.54,71.42,1665393
2020-05-05,72.18,74.54,72.01,72.90,1665791
2020-05-06,71.91,73.38,71.14,72.74,1518407
2020-05-07,73.82,75.07,73.13,74.38,1108480
2020-05-08,74.91,75.56,74.07,74.83,1009248
2020-05-11,74.06,75.49,73.82,75.08,1252430
2020-05-12,75.31,75.41,73.57,73.57,1166795
2020-05-13,73.45,74.415,72.34,73.30,1251081
2020-05-14,72.54,73.00,71.07,72.98,1292665
2020-05-15,72.31,73.47,71.29,71.51,4568360
2020-05-18,73.18,73.81,72.35,73.69,2126736
2020-05-19,74.04,74.04,71.85,71.92,1506276
2020-05-20,72.81,73.895,72.46,72.74,1451211
2020-05-21,72.28,72.89,72.06,72.19,886283
2020-05-22,72.06,72.25,71.09,72.06,900006
2020-05-26,73.20,74.475,72.451,73.67,1117097
2020-05-27,75.00,75.463,74.01,75.375,1192812
2020-05-28,75.50,76.41,75.13,75.66,1002537
2020-05-29,75.01,76.50,74.42,76.37,2016088
2020-06-01,76.00,76.36,73.63,75.59,853656
2020-06-02,76.19,77.19,76.07,77.16,1186889
2020-06-03,77.75,78.73,77.32,78.42,1290241
2020-06-04,78.34,78.99,77.24,77.61,1144687
2020-06-05,78.75,78.90,77.815,77.92,1318601
2020-06-08,77.64,78.90,77.43,77.92,1068977
2020-06-09,77.40,78.443,76.79,78.18,1209208
2020-06-10,78.61,78.61,77.56,77.91,1413962
2020-06-11,77.53,77.72,73.49,73.54,1698545
2020-06-12,74.40,75.33,72.29,73.57,1024622
2020-06-15,72.14,74.43,71.94,74.18,1247939
2020-06-16,75.63,77.36,73.54,73.98,1336805
2020-06-17,74.50,75.05,73.55,73.98,1313088
2020-06-18,74.08,74.745,73.41,73.62,950763
2020-06-19,74.48,74.74,72.415,73.55,2269256
2020-06-22,73.11,75.28,72.13,74.575,1841661
2020-06-23,75.44,76.07,74.60,75.43,1054964
2020-06-24,75.00,75.47,73.49,73.62,1289264
2020-06-25,73.45,74.08,72.30,72.99,1232971
2020-06-26,72.84,74.01,72.58,73.54,2021816
2020-06-29,74.12,75.07,73.69,74.30,872583
2020-06-30,74.62,76.36,74.43,76.04,1124265
2020-07-01,76.70,77.78,75.10,76.19,1310886
2020-07-02,76.70,77.53,76.31,77.15,830579
2020-07-06,77.95,78.41,76.79,77.24,888209
2020-07-07,75.70,77.58,75.146,77.22,1234880
2020-07-08,77.06,77.80,76.09,76.46,779603
2020-07-09,76.68,77.29,75.91,77.01,728819
2020-07-10,77.32,77.93,76.01,77.58,622508
2020-07-13,78.29,78.58,77.06,77.23,801122
2020-07-14,77.44,78.36,76.73,78.12,888572
2020-07-15,79.02,80.03,78.24,79.83,970500
2020-07-16,79.89,80.19,79.03,79.14,748068
2020-07-17,79.57,79.99,79.33,79.63,1371619
2020-07-20,79.38,80.01,78.93,79.42,679080
2020-07-21,79.59,80.48,79.23,79.86,910145
2020-07-22,79.96,80.14,79.34,79.51,560222
2020-07-23,79.87,80.50,79.49,80.39,931780
2020-07-24,80.34,80.79,80.03,80.19,576800
2020-07-27,80.11,81.17,79.69,81.08,897298
2020-07-28,81.05,81.13,79.41,79.45,612692
2020-07-29,81.50,83.94,80.99,83.82,1366925
2020-07-30,83.50,83.79,82.08,83.02,921219
2020-07-31,82.87,84.90,82.65,84.51,2042252
2020-08-03,84.35,85.88,84.31,85.83,2020001
2020-08-04,86.00,87.65,84.21,86.84,1803777
2020-08-05,81.69,85.975,81.51,84.09,2043825
2020-08-06,84.54,85.07,83.97,84.53,1154789
2020-08-07,84.69,85.705,84.50,85.45,1169312
2020-08-10,84.99,86.03,84.69,85.19,1283009
2020-08-11,85.56,86.665,85.19,85.69,1397575
2020-08-12,86.52,87.00,85.96,86.15,995742
2020-08-13,85.94,86.20,85.14,85.98,1194679
2020-08-14,86.18,87.135,85.31,86.10,676079
2020-08-17,86.27,86.98,86.12,86.50,735979
2020-08-18,86.46,87.16,86.26,86.84,1075882
2020-08-19,86.98,87.74,86.8358,87.17,642663
2020-08-20,86.51,87.18,86.32,86.86,906121
2020-08-21,86.74,86.95,86.06,86.29,1232577
2020-08-24,86.91,87.25,86.42,87.14,845641
2020-08-25,87.45,87.64,86.90,87.44,621589
2020-08-26,87.04,87.62,86.71,87.55,848706
2020-08-27,87.83,88.13,87.26,87.50,1068404
2020-08-28,88.04,88.97,87.465,88.88,699741
2020-08-31,88.83,89.12,88.00,88.39,900923
2020-09-01,88.74,89.75,87.76,89.68,778004
2020-09-02,89.58,91.22,89.58,90.77,1284848
2020-09-03,90.89,91.00,87.93,88.55,970644
2020-09-04,89.00,89.40,86.71,87.80,866331
2020-09-08,87.68,87.9273,86.23,86.46,1463144
2020-09-09,87.67,90.20,87.2445,89.55,1011624
2020-09-10,89.52,89.82,88.54,88.61,1096331
2020-09-11,88.93,90.635,88.93,90.36,1569817
2020-09-14,90.80,91.85,90.69,91.21,1339452
2020-09-15,91.25,93.58,91.03,93.30,1372500
2020-09-16,95.1165,95.1165,91.30,91.52,1112470
2020-09-17,90.70,92.79,90.36,92.38,1176065
2020-09-18,93.66,93.79,90.69,91.32,2407535
2020-09-21,89.97,90.355,87.30,88.33,1008652
2020-09-22,88.68,89.78,88.44,89.16,1142497
2020-09-23,89.67,90.70,88.65,88.74,1017117
