Date,Open,High,Low,Close,Volume
2020-01-10,9.27,9.36,9.25,9.25,39819240
2020-01-13,9.25,9.26,9.11,9.24,48562150
2020-01-14,9.22,9.33,9.21,9.29,42936050
2020-01-15,9.27,9.30,9.18,9.19,55923870
2020-01-16,9.23,9.28,9.15,9.17,44310390
2020-01-17,9.19,9.23,9.13,9.16,41644870
2020-01-21,9.15,9.22,9.10,9.21,49556420
2020-01-22,9.22,9.25,9.15,9.16,39914760
2020-01-23,9.14,9.16,8.93,9.14,75848670
2020-01-24,9.11,9.12,8.96,9.00,68100950
2020-01-27,8.88,8.96,8.78,8.89,60769340
2020-01-28,8.94,9.00,8.86,8.97,85163400
2020-01-29,8.85,8.955,8.84,8.86,59070710
2020-01-30,8.81,8.84,8.73,8.84,42827800
2020-01-31,8.78,8.84,8.74,8.82,59813730
2020-02-03,8.85,9.14,8.85,8.98,71432660
2020-02-04,9.08,9.24,9.07,9.18,86196420
2020-02-05,8.41,8.48,8.26,8.31,145792500
2020-02-06,8.37,8.38,8.25,8.25,68823370
2020-02-07,8.21,8.21,8.02,8.11,98256480
2020-02-10,8.15,8.15,8.05,8.06,71834910
2020-02-11,8.10,8.15,8.08,8.10,80164530
2020-02-12,8.14,8.33,8.13,8.24,111536800
2020-02-13,8.21,8.36,8.21,8.25,67648840
2020-02-14,8.27,8.27,8.08,8.10,46359670
2020-02-18,8.12,8.1499,8.02,8.06,65207480
2020-02-19,8.06,8.10,8.00,8.00,69668180
2020-02-20,8.00,8.07,7.99,8.03,52318240
2020-02-21,8.02,8.03,7.89,7.89,58326330
2020-02-24,7.70,7.7197,7.55,7.57,110048200
2020-02-25,7.68,7.68,7.22,7.23,108888300
2020-02-26,7.30,7.46,7.21,7.21,92524840
2020-02-27,7.13,7.28,6.92,6.97,118642400
2020-02-28,6.84,6.96,6.67,6.96,116546700
2020-03-02,7.11,7.23,6.88,7.20,96766030
2020-03-03,7.29,7.34,6.89,6.97,97457780
2020-03-04,7.09,7.09,6.92,7.08,70588070
2020-03-05,6.96,6.97,6.71,6.74,78070890
2020-03-06,6.60,6.68,6.40,6.49,109932200
2020-03-09,5.97,6.14,5.87,5.90,103901700
2020-03-10,6.26,6.29,5.80,6.26,101873600
2020-03-11,6.06,6.11,5.88,5.90,98639100
2020-03-12,5.38,5.69,5.20,5.35,89453100
2020-03-13,5.87,5.90,5.12,5.63,125375300
2020-03-16,5.04,5.22,5.00,5.01,110310900
2020-03-17,5.08,5.14,4.70,5.01,104233500
2020-03-18,4.75,4.84,4.10,4.50,125954700
2020-03-19,4.33,4.58,4.10,4.47,126603800
2020-03-20,4.54,4.75,4.25,4.33,129378600
2020-03-23,4.27,4.52,3.96,4.01,134925000
2020-03-24,4.47,4.99,4.26,4.95,146192100
2020-03-25,5.77,5.87,5.12,5.39,198999400
2020-03-26,5.36,5.65,5.16,5.25,138298000
2020-03-27,5.07,5.30,4.91,5.19,106324000
2020-03-30,5.11,5.1197,4.93,5.03,97879670
2020-03-31,5.03,5.19,4.75,4.83,231800800
2020-04-01,4.63,4.77,4.36,4.40,119174500
