Date,Open,High,Low,Close,Volume
2020-01-10,12.90,13.05,12.88,12.90,12266090
2020-01-13,13.03,13.635,12.95,13.53,28783720
2020-01-14,13.34,13.58,13.18,13.21,26546450
2020-01-15,13.06,13.13,12.85,12.98,20449810
2020-01-16,13.05,13.225,12.85,12.85,16999150
2020-01-17,12.98,13.08,12.81,12.87,20145210
2020-01-21,12.63,12.64,12.12,12.27,28941640
2020-01-22,12.37,12.45,12.12,12.32,20845920
2020-01-23,11.44,12.02,11.22,11.97,57230680
2020-01-24,11.87,11.91,11.65,11.84,29554010
2020-01-27,11.37,11.37,10.83,10.90,44484930
2020-01-28,11.09,11.44,10.93,11.30,47002020
2020-01-29,11.44,11.45,11.085,11.29,22385380
2020-01-30,11.08,11.36,10.96,11.32,33247600
2020-01-31,11.12,11.21,10.90,11.10,30504980
2020-02-03,11.19,11.545,11.18,11.44,29629400
2020-02-04,11.87,12.14,11.79,12.04,34272400
2020-02-05,12.32,12.48,12.11,12.41,32753810
2020-02-06,12.40,12.47,12.25,12.32,23101050
2020-02-07,11.99,12.04,11.67,11.80,25463570
2020-02-10,11.70,12.19,11.65,12.17,20093400
2020-02-11,12.40,12.85,12.35,12.40,29614030
2020-02-12,12.80,12.86,12.52,12.67,20173350
2020-02-13,12.64,12.69,12.465,12.61,21059470
2020-02-14,12.50,12.58,12.01,12.24,30484270
2020-02-18,12.04,12.095,11.88,12.02,16416670
2020-02-19,12.08,12.12,12.015,12.10,16686630
2020-02-20,12.03,12.50,12.02,12.08,21147980
2020-02-21,12.01,12.01,11.72,11.94,18502790
2020-02-24,11.25,11.31,11.015,11.24,24486910
2020-02-25,11.32,11.36,10.64,10.73,39353420
2020-02-26,10.72,10.795,10.40,10.46,29846880
2020-02-27,10.13,10.26,9.72,9.80,53912390
2020-02-28,9.29,9.98,9.20,9.96,67996480
2020-03-02,10.04,10.51,9.70,10.50,35073460
2020-03-03,10.51,10.80,9.73,10.07,46929770
2020-03-04,10.35,10.465,10.00,10.45,25141490
2020-03-05,10.06,10.355,9.92,9.99,26564630
2020-03-06,9.56,9.81,9.255,9.43,40678900
2020-03-09,8.29,8.615,8.09,8.23,33742830
2020-03-10,8.87,9.09,8.31,9.00,30694850
2020-03-11,8.63,8.74,7.95,8.12,33964810
2020-03-12,7.17,7.75,6.81,7.17,37820720
2020-03-13,7.78,7.89,6.855,7.53,40387000
2020-03-16,6.44,6.97,6.20,6.24,40627350
2020-03-17,6.38,6.57,5.725,6.48,31925440
2020-03-18,5.89,6.00,4.85,5.31,37912720
2020-03-19,5.17,6.16,4.82,5.74,38977570
2020-03-20,6.07,6.14,5.37,5.52,39899890
2020-03-23,5.46,5.88,5.2616,5.39,35098750
2020-03-24,6.08,7.24,6.07,6.99,47531330
2020-03-25,6.96,7.67,6.65,7.25,39768390
2020-03-26,7.26,7.37,6.82,6.99,32526990
2020-03-27,6.66,6.70,6.17,6.20,37285480
2020-03-30,6.27,6.30,5.99,6.24,22468300
2020-03-31,6.32,7.13,6.28,6.75,35499030
2020-04-01,6.35,6.755,6.24,6.31,27051140
2020-04-02,6.54,6.7354,6.14,6.39,32168860
2020-04-03,6.36,6.74,6.20,6.32,26937170
2020-04-06,6.74,7.27,6.73,7.19,39115780
2020-04-07,7.86,8.02,7.45,7.59,43593440
2020-04-08,7.64,8.07,7.51,8.03,26970740
2020-04-09,8.31,8.43,8.01,8.19,35040930
2020-04-13,8.32,8.33,7.90,8.30,22290110
2020-04-14,8.43,8.67,8.13,8.32,21245150
2020-04-15,7.80,7.87,7.50,7.67,24947810
2020-04-16,7.78,7.80,7.39,7.58,24789630
2020-04-17,8.01,8.40,7.99,8.34,38253350
2020-04-20,7.89,8.31,7.80,8.02,19590030
2020-04-21,7.50,7.7805,7.30,7.41,30596550
2020-04-22,7.55,7.76,7.55,7.64,23654730
2020-04-23,7.87,8.13,7.76,7.81,21015100
2020-04-24,8.22,8.62,8.20,8.48,34639060
2020-04-27,8.62,8.98,8.385,8.85,21960630
2020-04-28,9.09,9.23,8.605,8.92,21404040
2020-04-29,9.28,9.475,9.15,9.26,22248700
2020-04-30,8.98,9.19,8.74,8.83,21663610
