Date,Open,High,Low,Close,Volume
2020-01-10,124.7707,125.0514,123.2473,123.634,2449562
2020-01-13,123.7051,125.9231,123.6972,125.7258,1985446
2020-01-14,125.6232,129.8461,125.2048,127.9754,5079642
2020-01-15,128.6779,128.6779,125.2443,125.6232,2971759
2020-01-16,126.7598,127.4544,125.3785,125.931,2343849
2020-01-17,125.8126,127.2255,125.1535,126.2783,1846149
2020-01-21,125.5837,125.6311,123.7761,124.3444,2460352
2020-01-22,124.3129,125.3852,122.7184,122.7737,1911072
2020-01-23,122.3474,122.6158,120.5548,122.2527,2059099
2020-01-24,122.8526,122.8526,120.2241,121.6133,1973550
2020-01-27,118.4876,118.5428,116.4353,117.2088,3368402
2020-01-28,118.2034,118.3613,116.1195,117.1378,2189970
2020-01-29,117.7377,118.456,116.751,116.8694,2524115
2020-01-30,115.2434,117.1378,113.1595,117.0273,3380173
2020-01-31,116.1116,116.2605,113.3371,114.1699,3286187
2020-02-03,114.8487,116.3485,113.349,113.5384,1988791
2020-02-04,115.5354,117.0115,115.2434,116.4353,2573855
2020-02-05,118.0061,119.0717,117.4693,118.3613,2013840
2020-02-06,119.49,119.49,117.2088,117.3193,1706790
2020-02-07,116.2695,124.2734,115.5725,122.8684,6532572
2020-02-10,125.3469,126.523,123.2946,123.7524,3948585
2020-02-11,124.9286,125.9468,123.8243,124.7154,2016806
2020-02-12,125.6626,126.1441,124.1076,125.118,1607548
2020-02-13,124.5497,127.7386,123.5156,127.4544,2624570
2020-02-14,126.6572,127.3124,124.7154,125.2048,1679023
2020-02-18,125.7495,127.0124,123.4463,125.1654,1924077
2020-02-19,125.5048,127.6281,125.3706,127.194,1699254
2020-02-20,127.1387,130.4381,125.8994,130.1698,2602941
2020-02-21,128.8674,129.5644,127.6281,128.8595,1645324
2020-02-24,123.342,124.4905,120.4688,122.229,3116493
2020-02-25,122.8684,122.9789,114.3041,114.9276,4224244
2020-02-26,116.3642,117.9192,113.3174,114.0831,2767399
2020-02-27,111.1072,114.8408,107.7289,109.5286,3534997
2020-02-28,106.5607,111.4506,105.8147,111.4309,4395611
2020-03-02,112.2281,112.4965,106.7817,110.31,4418592
2020-03-03,110.5073,112.2202,104.6347,105.053,4373332
2020-03-04,106.608,107.7131,104.3385,107.6736,2854702
2020-03-05,104.2005,105.0925,101.6273,102.5587,3150049
2020-03-06,99.2593,103.127,97.7122,100.7827,3886348
2020-03-09,95.0363,95.9677,89.8662,91.3264,4048083
2020-03-10,94.8311,96.1019,89.8819,95.2494,3564910
2020-03-11,92.6604,93.3811,85.6669,87.6244,4758296
2020-03-12,81.4597,83.0226,75.9343,76.5658,5156535
2020-03-13,80.8756,84.2066,75.7765,84.1671,4274965
2020-03-16,72.6191,78.8312,71.4272,71.4272,4417391
2020-03-17,73.3295,79.0522,70.0064,74.9556,5548740
2020-03-18,71.3483,79.4864,70.8841,78.6812,6997651
2020-03-19,78.0261,91.6856,76.8588,88.1533,4646855
2020-03-20,89.8898,93.6944,84.1356,87.6639,4479231
2020-03-23,87.5692,90.8167,84.6565,88.2164,3933899
2020-03-24,93.1419,96.1414,91.1133,94.7522,3014374
2020-03-25,95.7941,100.1986,90.7186,93.3866,4133236
2020-03-26,94.2154,100.246,93.9391,99.1409,2714418
2020-03-27,94.7601,98.1503,91.5632,95.1784,2619719
2020-03-30,96.5992,99.1488,94.1286,98.1226,2281016
2020-03-31,96.6939,98.5489,94.138,95.7152,2645622
2020-04-01,91.5711,93.7339,88.6427,89.5741,2569879
2020-04-02,88.8242,92.5894,88.0822,92.0684,2336099
2020-04-03,90.9633,91.5632,85.0038,86.2115,3205226
2020-04-06,89.2268,94.5706,89.2031,93.947,3512611
2020-04-07,98.5962,99.0462,91.3659,91.5238,3189340
2020-04-08,97.0886,100.4275,94.6574,99.0935,5576525
2020-04-09,102.3061,102.614,94.8469,96.5282,4750452
2020-04-13,98.8172,98.8172,96.094,97.5069,2821781
2020-04-14,99.2514,100.2302,96.34,98.7304,3084173
2020-04-15,96.0546,96.0546,93.2603,94.6417,2944986
2020-04-16,94.5075,95.5099,92.4473,93.9944,2238739
2020-04-17,95.5099,98.6357,95.2968,98.5489,2463987
2020-04-20,96.7176,99.1961,96.1651,96.8044,2241964
2020-04-21,95.2179,96.4377,94.4206,95.0995,1605823
2020-04-22,96.7097,97.061,93.4992,93.5682,2085775
2020-04-23,93.6471,96.6308,93.5367,95.4152,2021396
2020-04-24,95.8336,97.2386,94.3101,97.136,2111604
2020-04-27,98.0042,101.43,96.5479,100.4749,2396049
2020-04-28,102.464,102.5271,98.7936,100.8301,2738959
2020-04-29,102.614,104.0348,101.3984,102.2035,2172469
2020-04-30,100.98,100.98,99.2593,100.0644,1970365
2020-05-01,98.2884,98.32,92.7472,93.2998,3141832
2020-05-04,92.4473,92.7946,90.4661,91.4448,2410818
2020-05-05,93.0077,94.8153,92.4552,92.8814,1703140
2020-05-06,93.8444,94.2628,90.837,90.8686,1917077
2020-05-07,92.3052,93.8286,91.6816,92.1473,1842638
2020-05-08,93.3392,95.4231,93.284,95.0679,1771658
2020-05-11,93.4497,94.2233,91.7842,92.7946,1863500
2020-05-12,93.1419,93.2287,89.2584,89.3057,1979407
2020-05-13,89.2584,89.3136,85.4459,86.3062,2905946
2020-05-14,84.7433,86.1799,81.6176,86.1247,3254675
2020-05-15,84.8854,86.006,83.8672,84.8696,2940043
2020-05-18,89.582,94.7206,89.0332,94.0812,3603931
2020-05-19,93.9312,94.247,90.4976,90.6081,2484558
2020-05-20,92.1947,94.3101,91.429,92.3605,2604080
2020-05-21,92.021,93.4813,91.1922,91.3817,1740279
2020-05-22,91.3659,92.7917,90.7107,92.3526,2245903
2020-05-26,97.0807,100.0407,96.2519,98.5173,3822989
2020-05-27,101.0353,103.2296,99.0619,102.9534,3203049
2020-05-28,103.4033,105.7003,102.0614,103.5217,3238881
2020-05-29,102.7639,103.3165,99.8039,103.056,3410065
2020-06-01,101.8641,102.9771,100.609,102.3851,1990588
2020-06-02,103.2691,106.24,103.1704,105.9292,2522007
2020-06-03,108.1393,110.4126,107.7683,108.9918,2729150
2020-06-04,108.3761,109.9153,107.0737,109.8838,2001344
2020-06-05,112.8754,115.0618,112.086,112.2518,3583908
2020-06-08,114.4067,118.3928,113.7752,117.9113,2709941
2020-06-09,115.1487,115.1881,112.1616,114.2093,2253078
2020-06-10,113.6647,113.9883,110.7599,110.8231,2079582
2020-06-11,105.7319,106.1423,100.8853,101.6747,4389256
2020-06-12,106.237,106.5607,101.9351,104.761,2272897
2020-06-15,101.3668,106.2686,100.4749,105.5187,1836992
2020-06-16,109.0471,110.0107,104.982,106.9869,1654069
2020-06-17,107.9104,108.4511,106.4595,107.0816,1214489
2020-06-18,106.4975,109.9864,106.166,109.2365,2416243
2020-06-19,111.1072,111.202,107.0461,108.6366,2827671
2020-06-22,107.7841,108.7274,106.7185,108.4393,1448152
2020-06-23,109.3628,110.3798,108.4393,109.7733,1385168
2020-06-24,108.6524,108.9287,105.8739,106.6317,2357313
2020-06-25,105.5503,107.571,104.3702,107.4368,2310868
2020-06-26,106.7185,106.8606,102.0456,102.6771,3282011
2020-06-29,103.6401,106.3475,102.7087,106.2055,2336249
2020-06-30,107.5236,111.0994,106.4975,110.681,6473321
2020-07-01,125.3864,129.1752,122.9473,123.6577,17967540
2020-07-02,125.189,126.0751,122.5684,122.7263,4046921
2020-07-06,124.6365,125.0312,121.2917,123.3499,3015750
