Date,Open,High,Low,Close,Volume
2020-01-10,143.38,143.91,141.48,141.94,2170777
2020-01-13,142.49,142.9485,141.43,142.73,4227742
2020-01-14,142.86,143.23,141.36,142.45,1936737
2020-01-15,143.02,145.00,142.45,144.48,2941233
2020-01-16,145.30,146.33,144.34,146.24,3871295
2020-01-17,147.31,147.31,144.85,147.09,3715818
2020-01-21,146.76,148.66,146.59,147.62,3844852
2020-01-22,149.03,149.73,148.53,148.59,3017772
2020-01-23,148.94,149.54,147.88,149.01,1902167
2020-01-24,149.50,150.42,147.2301,147.92,2358950
2020-01-27,145.69,147.19,145.13,146.39,1985028
2020-01-28,146.60,149.47,146.60,147.96,2391505
2020-01-29,148.42,149.61,147.85,148.09,1661248
2020-01-30,147.17,148.135,146.61,147.50,3983077
2020-01-31,147.33,147.33,142.96,143.66,3984711
2020-02-03,145.10,145.98,144.30,145.75,2868369
2020-02-04,147.18,148.84,146.89,147.42,1957317
2020-02-05,148.44,149.13,144.94,146.12,2968072
2020-02-06,146.47,147.56,145.87,147.34,2310048
2020-02-07,146.82,147.09,145.90,146.46,2494498
2020-02-10,146.16,150.38,146.0101,149.98,4262957
2020-02-11,150.51,150.9297,149.20,149.51,2909144
2020-02-12,149.15,149.58,147.45,147.96,3406975
2020-02-13,148.85,156.82,147.48,154.32,7114813
2020-02-14,154.35,158.21,153.87,157.44,4133614
2020-02-18,157.45,157.58,151.21,155.65,4518898
2020-02-19,156.55,157.92,156.35,157.29,2328480
2020-02-20,157.00,157.29,152.96,156.78,2326658
2020-02-21,155.78,156.37,153.74,154.93,2759449
2020-02-24,150.57,152.96,149.56,150.72,3651245
2020-02-25,151.05,151.675,144.39,144.66,5343871
2020-02-26,144.97,148.13,143.56,143.90,4085891
2020-02-27,141.23,145.38,138.75,138.87,4392539
2020-02-28,135.87,141.12,135.15,139.72,8619931
2020-03-02,140.06,148.87,139.29,148.61,6618584
2020-03-03,149.06,150.44,141.60,143.09,4561488
2020-03-04,145.24,150.00,144.06,149.93,2692501
2020-03-05,145.79,147.15,141.05,142.75,4237962
2020-03-06,139.94,140.70,135.60,139.91,5042727
2020-03-09,130.12,133.83,127.00,130.04,6199907
2020-03-10,134.99,141.00,131.24,140.90,6580767
2020-03-11,136.53,138.74,131.46,132.96,4872887
2020-03-12,123.26,129.355,118.40,118.46,8314695
2020-03-13,124.52,130.73,119.25,129.90,6787353
2020-03-16,111.50,118.56,108.35,108.35,8146971
2020-03-17,110.01,116.39,105.60,113.96,7426143
2020-03-18,105.23,108.15,91.68,102.94,10211780
2020-03-19,102.00,108.50,96.93,105.23,8058809
2020-03-20,106.30,109.28,99.10,102.82,10109700
2020-03-23,100.58,104.79,98.3275,102.45,8300727
2020-03-24,109.01,120.26,108.635,119.16,7863588
2020-03-25,119.46,124.735,115.05,120.37,5841160
2020-03-26,121.76,124.30,118.34,123.64,6534468
2020-03-27,119.92,124.26,117.03,120.10,3940563
2020-03-30,123.10,125.89,120.68,125.29,3758416
2020-03-31,123.98,125.11,119.10,121.64,8623551
2020-04-01,116.28,117.51,113.185,114.56,5207285
2020-04-02,113.29,118.45,112.47,117.11,3565661
2020-04-03,116.54,117.18,112.20,115.22,3741280
2020-04-06,121.73,123.72,119.35,123.02,5708203
2020-04-07,128.83,130.83,119.91,120.14,5157238
2020-04-08,121.88,126.06,120.34,124.77,3645535
2020-04-09,126.42,128.66,123.88,125.12,4682624
2020-04-13,124.17,124.65,120.41,123.60,4525599
2020-04-14,122.90,124.85,118.01,123.79,6022808
2020-04-15,121.17,121.22,117.68,120.16,4517642
2020-04-16,122.22,123.06,119.945,122.99,5083125
2020-04-17,125.74,128.22,124.36,127.96,3901114
2020-04-20,125.86,125.915,122.33,122.62,4281190
2020-04-21,120.09,120.64,117.05,117.47,3654032
2020-04-22,120.31,123.64,120.01,122.55,3016194
2020-04-23,123.28,123.86,120.875,121.18,2160220
2020-04-24,122.50,126.19,121.70,125.73,4006676
2020-04-27,126.64,128.00,124.18,127.64,3401240
2020-04-28,129.68,131.39,125.22,129.13,4376055
2020-04-29,133.00,137.19,132.17,134.29,5650141
2020-04-30,132.98,133.52,130.40,131.89,3433932
2020-05-01,128.58,130.63,128.00,129.29,2579738
2020-05-04,128.11,129.11,127.14,128.58,2622565
2020-05-05,130.50,132.81,128.92,131.95,3103718
2020-05-06,134.15,135.45,131.82,131.91,4159995
2020-05-07,130.45,134.44,128.17,129.44,5933613
2020-05-08,131.16,134.13,127.62,128.23,4530060
2020-05-11,127.28,130.45,126.22,128.24,4449739
2020-05-12,128.87,130.38,127.77,127.91,3357161
2020-05-13,128.10,130.285,126.11,127.49,6441630
2020-05-14,125.94,130.20,125.58,129.77,5089324
2020-05-15,129.04,132.64,128.02,132.22,3965917
2020-05-18,135.05,139.62,134.98,136.34,4653334
2020-05-19,135.41,138.00,135.19,135.44,2427097
2020-05-20,137.36,139.83,136.51,138.11,3007155
2020-05-21,137.72,138.41,135.57,136.50,4023409
2020-05-22,136.65,137.02,135.27,136.16,1893986
2020-05-26,140.00,140.58,136.39,136.60,3253590
2020-05-27,138.01,138.44,134.68,138.03,3096774
2020-05-28,139.02,140.30,138.03,138.37,2803695
2020-05-29,138.55,139.35,136.445,138.83,3804156
2020-06-01,138.91,139.52,137.865,138.87,2028181
2020-06-02,139.50,139.97,137.69,138.96,5925648
2020-06-03,139.55,140.00,137.85,139.57,3268295
2020-06-04,138.87,139.50,134.39,136.27,4680767
2020-06-05,138.51,143.21,136.71,143.07,4920786
2020-06-08,142.42,143.40,140.52,142.57,3135488
2020-06-09,142.01,143.06,141.08,141.37,2322407
2020-06-10,141.89,142.59,139.655,141.22,2786694
2020-06-11,138.16,139.02,134.21,134.23,3560092
2020-06-12,137.33,138.50,134.05,137.08,3495472
2020-06-15,134.26,138.74,133.72,137.44,4925946
2020-06-16,141.41,143.005,139.11,140.58,5258225
2020-06-17,138.56,141.20,138.24,138.59,3585097
2020-06-18,137.85,140.91,137.85,139.95,2072204
2020-06-19,142.28,142.80,135.00,135.00,6304218
2020-06-22,135.65,139.245,135.16,138.95,3170861
2020-06-23,140.69,140.69,137.49,137.96,2301818
2020-06-24,137.22,137.94,131.78,132.30,5811153
