Date,Open,High,Low,Close,Volume
2020-01-10,22.97,23.06,22.772,22.864,3483160
2020-01-13,23.24,23.35,22.968,23.338,4216780
2020-01-14,23.504,23.534,23.264,23.344,3982350
2020-01-15,23.392,23.548,23.3217,23.41,4255490
2020-01-16,23.48,23.846,23.418,23.818,4331155
2020-01-17,23.862,23.90,23.392,23.498,5606035
2020-01-21,23.554,23.662,23.40,23.528,4292075
2020-01-22,24.00,24.088,23.54,23.564,4995990
2020-01-23,23.55,23.91,23.448,23.814,7328875
2020-01-24,23.902,24.056,23.472,23.598,5451250
2020-01-27,22.976,23.16,22.412,22.886,6219440
2020-01-28,23.00,23.544,22.9893,23.508,5360660
2020-01-29,23.60,23.768,23.418,23.454,4423370
2020-01-30,23.282,23.678,23.21,23.666,4013475
2020-01-31,23.702,23.744,22.914,23.072,14244295
2020-02-03,23.17,23.496,23.102,23.298,4333415
2020-02-04,23.912,24.07,23.444,24.016,5242165
2020-02-05,24.212,24.296,23.766,23.956,6418660
2020-02-06,23.988,24.364,23.756,24.266,9434955
2020-02-07,23.602,23.988,22.526,23.422,10635695
2020-02-10,23.296,23.796,23.00,23.746,6866875
2020-02-11,23.952,24.036,23.28,23.464,5488045
2020-02-12,23.50,23.704,23.156,23.48,4297005
2020-02-13,23.294,23.848,23.20,23.82,4130205
2020-02-14,23.868,23.9249,23.589,23.838,4871995
2020-02-18,23.774,24.254,23.75,23.89,14138430
2020-02-19,24.00,24.174,23.82,23.84,3518025
2020-02-20,23.85,23.987,23.216,23.60,5855170
2020-02-21,23.552,23.562,22.75,22.896,4483685
2020-02-24,21.71,22.122,21.18,21.74,8519195
2020-02-25,21.80,21.949,20.838,21.01,13951835
2020-02-26,21.108,21.648,21.108,21.252,8879170
2020-02-27,20.672,21.306,20.252,20.528,17769755
2020-02-28,19.776,20.8139,19.618,20.412,17832995
2020-03-02,20.724,22.038,20.694,22.02,14453850
2020-03-03,22.018,22.0966,20.442,20.706,11404755
2020-03-04,21.00,21.433,20.758,21.41,7451435
2020-03-05,20.932,21.478,20.686,20.80,6514425
2020-03-06,20.202,20.572,19.536,19.90,17089600
2020-03-09,18.654,19.5195,17.06,17.428,19401200
2020-03-10,18.092,18.672,17.522,18.144,17237010
2020-03-11,17.794,18.394,17.334,17.59,12738855
2020-03-12,16.44,17.058,15.162,15.162,14162485
2020-03-13,16.102,16.898,15.2082,16.528,14018995
2020-03-16,14.508,16.348,14.04,15.14,15997695
2020-03-17,15.418,15.982,15.012,15.604,18099525
2020-03-18,14.566,16.42,14.404,15.304,17280715
2020-03-19,15.166,18.246,15.166,17.232,23455250
2020-03-20,17.536,18.783,16.924,16.982,20209570
2020-03-23,17.112,18.10,17.002,17.18,17893945
2020-03-24,18.102,20.16,18.102,19.956,26132435
2020-03-25,19.896,20.514,19.3063,19.388,15103150
2020-03-26,19.394,20.296,19.394,19.888,13566155
2020-03-27,19.306,19.978,18.91,19.456,14443485
2020-03-30,19.866,20.37,19.60,20.19,10479385
2020-03-31,20.022,20.80,19.928,20.234,14822450
2020-04-01,19.388,20.482,19.202,20.094,15445385
2020-04-02,20.008,20.404,19.758,20.184,17292705
2020-04-03,20.162,20.47,19.922,20.288,9874375
2020-04-06,20.858,21.721,20.402,21.576,13537360
2020-04-07,22.182,22.398,21.08,21.338,19297225
2020-04-08,21.624,22.036,21.338,21.836,6060775
2020-04-09,21.958,21.958,20.13,20.386,12367565
2020-04-13,20.40,21.026,20.006,20.928,10786830
2020-04-14,21.48,21.97,21.01,21.87,8519480
2020-04-15,21.508,22.152,21.392,21.97,8699275
2020-04-16,22.254,22.3488,21.639,22.05,7298195
2020-04-17,22.302,22.612,21.806,22.592,7935085
2020-04-20,22.59,22.996,22.358,22.47,7647780
2020-04-21,22.058,22.092,19.9223,20.236,17925125
2020-04-22,20.76,21.042,20.50,20.862,6397775
2020-04-23,20.85,20.9414,19.952,20.118,11863045
2020-04-24,20.20,20.702,19.968,20.654,6477910
2020-04-27,20.96,21.226,20.65,21.128,5660090
2020-04-28,21.504,21.574,20.948,21.088,11565440
2020-04-29,21.40,21.845,21.024,21.704,5542340
2020-04-30,21.60,21.833,21.444,21.548,4839300
2020-05-01,21.128,21.382,20.7521,20.868,4027865
2020-05-04,20.846,21.32,20.806,21.139,4878820
2020-05-05,21.14,22.0256,21.14,21.712,5819900
2020-05-06,21.978,22.44,21.81,22.292,8792130
2020-05-07,24.186,27.37,24.086,27.024,26802000
2020-05-08,26.846,27.416,25.73,27.368,12845640
2020-05-11,27.088,28.472,26.958,28.092,13086385
