Date,Open,High,Low,Close,Volume
2020-01-10,27.39,27.46,26.05,26.49,19547890
2020-01-13,26.75,26.82,26.21,26.60,25270040
2020-01-14,26.61,27.05,26.60,26.78,16112040
2020-01-15,26.84,27.51,26.79,27.50,14596540
2020-01-16,27.55,27.94,27.52,27.88,14952770
2020-01-17,27.92,28.22,27.845,28.13,17505870
2020-01-21,28.00,28.60,27.95,28.05,23349890
2020-01-22,28.10,28.62,28.04,28.21,14236650
2020-01-23,28.20,28.70,27.97,28.40,6182625
2020-01-24,28.34,28.37,27.8125,28.07,4814919
2020-01-27,27.72,27.85,27.335,27.43,7969917
2020-01-28,27.48,27.72,27.35,27.68,4973302
2020-01-29,27.69,27.99,27.64,27.68,1751150
2020-01-30,27.50,28.38,27.41,28.30,7236961
2020-01-31,28.30,28.60,28.01,28.42,9619618
2020-02-03,16.70,17.62,16.6403,17.15,23065710
2020-02-04,17.33,17.54,16.96,17.53,14612370
2020-02-05,17.64,17.87,17.57,17.64,7566441
2020-02-06,17.75,18.00,17.55,17.61,10446980
2020-02-07,19.04,20.77,18.96,19.73,24815670
2020-02-10,19.94,20.448,19.85,20.195,10607370
2020-02-11,20.36,21.02,20.20,20.61,8291211
2020-02-12,20.72,20.79,20.355,20.61,9955544
2020-02-13,20.52,21.095,20.52,20.76,12146140
2020-02-14,20.72,20.86,20.585,20.66,6225481
2020-02-18,20.45,20.66,20.33,20.53,7962452
2020-02-19,20.52,20.89,20.46,20.70,7262698
2020-02-20,20.65,20.87,20.4332,20.79,9238920
2020-02-21,20.65,20.79,20.26,20.47,9388369
2020-02-24,20.10,20.315,19.78,19.92,8271959
2020-02-25,20.03,20.28,19.02,19.13,9080680
2020-02-26,19.45,19.90,19.25,19.30,8403490
2020-02-27,18.46,19.24,18.45,18.93,10888580
2020-02-28,18.40,19.03,17.97,19.03,14063170
2020-03-02,19.04,19.95,18.88,19.93,9903387
2020-03-03,19.83,20.36,19.04,19.29,9968744
2020-03-04,19.52,19.93,19.455,19.71,10490700
2020-03-05,19.32,19.58,19.06,19.35,5756539
2020-03-06,18.92,19.33,18.325,18.68,9217218
2020-03-09,17.35,17.965,15.91,17.19,7394411
2020-03-10,17.74,18.03,17.01,17.94,9447902
2020-03-11,17.52,18.03,17.35,17.85,12311710
2020-03-12,16.48,17.71,15.90,17.26,8606254
2020-03-13,18.12,18.34,16.95,17.45,10719600
2020-03-16,16.01,17.57,15.77,16.84,10470010
2020-03-17,16.93,17.27,15.74,16.64,12076880
2020-03-18,15.72,16.91,15.12,16.61,11329630
2020-03-19,16.56,17.26,15.83,16.82,14773660
