Date,Open,High,Low,Close,Volume
2020-01-10,104.61,105.01,103.99,104.25,270411
2020-01-13,104.21,104.50,103.88,104.09,772172
2020-01-14,104.01,104.24,103.65,103.93,396619
2020-01-15,103.51,103.99,103.34,103.72,440349
2020-01-16,104.20,104.54,103.74,104.45,577498
2020-01-17,104.82,105.36,104.06,104.45,613820
2020-01-21,103.94,104.68,103.61,103.85,381639
2020-01-22,104.24,104.80,103.57,103.66,433604
2020-01-23,103.02,105.00,102.79,104.77,386229
2020-01-24,104.89,105.50,103.93,104.79,299955
2020-01-27,102.82,103.7894,102.66,103.24,366211
2020-01-28,103.80,105.65,103.3559,104.99,474789
2020-01-29,105.24,106.25,105.24,105.96,299855
2020-01-30,105.20,107.37,105.20,107.29,329542
2020-01-31,106.37,106.70,103.86,104.26,506683
2020-02-03,105.21,106.10,105.065,105.41,436382
2020-02-04,106.54,107.67,106.54,107.13,454379
2020-02-05,105.59,108.65,104.61,108.40,652262
2020-02-06,108.98,109.10,107.48,108.08,370313
2020-02-07,107.92,109.00,107.7618,108.58,383013
2020-02-10,108.04,108.95,107.89,108.79,241481
2020-02-11,109.00,109.825,108.92,109.44,424282
2020-02-12,109.79,110.40,109.275,109.39,236882
2020-02-13,109.15,110.67,108.98,110.59,334420
2020-02-14,110.62,111.00,110.11,110.95,288507
2020-02-18,110.59,111.07,109.71,110.33,298680
2020-02-19,110.81,111.08,110.24,110.57,215049
2020-02-20,110.27,111.43,109.35,111.16,414116
2020-02-21,110.71,111.12,109.63,110.14,428846
2020-02-24,107.69,108.48,106.22,106.67,371799
2020-02-25,106.91,106.91,102.69,103.08,454458
2020-02-26,103.50,104.19,100.67,100.74,676028
2020-02-27,99.00,100.49,95.44,95.48,744261
2020-02-28,92.47,93.81,90.27,92.66,1402357
2020-03-02,93.16,96.16,92.083,96.14,773204
2020-03-03,95.68,96.81,90.98,91.18,822617
2020-03-04,92.77,95.13,90.33,95.05,787774
2020-03-05,92.00,92.46,88.53,89.65,639245
2020-03-06,86.06,87.63,84.73,86.60,990307
2020-03-09,79.00,80.16,74.16,74.97,1235854
2020-03-10,77.25,78.78,73.86,78.73,959636
2020-03-11,76.46,77.23,72.88,73.37,1045636
2020-03-12,67.99,68.695,62.57,63.78,1134672
2020-03-13,68.18,71.65,63.80,71.58,1003281
2020-03-16,62.57,67.64,61.60,61.95,947257
2020-03-17,63.29,67.79,60.73,67.63,928798
2020-03-18,63.92,69.01,62.01,67.06,1512504
2020-03-19,65.66,67.09,62.38,64.50,804842
2020-03-20,64.62,66.98,61.03,61.41,1224541
2020-03-23,61.50,61.50,56.74,58.15,720120
2020-03-24,60.57,65.60,60.51,65.38,660401
2020-03-25,64.90,71.65,63.67,67.82,978278
2020-03-26,68.73,73.00,67.0736,72.31,1027132
2020-03-27,70.13,72.99,68.92,71.23,631207
2020-03-30,70.98,74.64,68.96,74.22,808352
2020-03-31,73.19,74.78,71.29,71.97,869094
2020-04-01,68.07,69.675,65.04,66.02,857078
2020-04-02,65.05,67.84,64.91,66.96,768738
2020-04-03,65.81,66.72,63.08,63.93,816737
2020-04-06,67.81,72.495,67.34,71.87,715250
2020-04-07,75.68,76.60,71.04,71.30,727662
2020-04-08,71.58,75.63,70.64,75.21,614490
2020-04-09,76.07,81.27,75.94,80.40,668401
2020-04-13,78.75,80.24,77.525,79.71,517508
2020-04-14,81.50,81.665,78.63,80.02,834703
2020-04-15,77.19,77.27,74.57,75.00,698252
2020-04-16,74.19,75.145,72.55,72.80,610376
2020-04-17,76.13,77.82,74.895,77.25,646608
2020-04-20,75.82,76.70,74.07,75.60,723359
2020-04-21,73.56,74.75,72.89,73.51,598960
2020-04-22,75.67,75.67,73.20,73.22,503657
2020-04-23,72.89,77.11,71.65,74.86,871184
2020-04-24,75.69,76.21,73.89,76.07,599898
2020-04-27,76.37,82.49,76.34,82.23,863672
2020-04-28,84.44,86.08,82.815,83.07,759725
2020-04-29,85.70,86.41,83.66,85.39,439484
2020-04-30,83.10,84.57,82.25,82.34,485860
2020-05-01,80.80,81.035,79.055,79.99,532169
2020-05-04,78.99,79.71,77.46,78.56,641295
2020-05-05,80.40,80.61,77.50,77.54,475879
2020-05-06,78.07,78.32,74.09,74.19,529232
2020-05-07,75.04,77.845,75.04,75.73,661663
2020-05-08,77.45,77.75,75.52,77.75,645465
2020-05-11,76.47,77.28,75.00,75.11,612485
2020-05-12,74.98,75.39,71.61,71.61,574209
2020-05-13,70.81,70.81,65.90,66.55,821761
2020-05-14,65.29,67.545,62.75,67.37,754360
2020-05-15,66.48,69.03,65.31,68.76,2836480
2020-05-18,72.49,75.04,71.60,73.94,1604318
2020-05-19,73.68,73.83,70.74,70.75,481570
2020-05-20,71.81,73.62,71.57,72.60,447479
2020-05-21,72.12,73.85,72.12,73.38,397297
2020-05-22,73.36,73.45,71.67,72.54,546926
2020-05-26,75.82,78.23,75.27,76.83,471966
2020-05-27,80.35,81.055,78.14,78.44,578275
2020-05-28,79.18,79.18,76.73,77.08,516476
2020-05-29,76.04,77.81,75.25,77.02,879002
2020-06-01,77.33,79.95,76.38,79.25,696229
2020-06-02,80.67,81.005,78.51,78.94,620497
2020-06-03,80.94,82.77,80.34,80.86,521309
2020-06-04,80.25,82.68,79.54,82.64,651268
2020-06-05,87.36,88.43,85.69,85.92,611761
2020-06-08,86.32,88.53,86.22,87.24,649772
2020-06-09,84.63,85.94,83.765,85.01,441658
2020-06-10,84.41,84.91,82.31,82.49,551559
2020-06-11,78.14,79.69,73.92,74.00,591819
2020-06-12,77.27,77.75,73.69,75.90,511820
2020-06-15,72.95,77.40,72.82,76.86,537480
2020-06-16,81.00,81.00,76.72,78.22,605081
2020-06-17,78.43,78.6358,76.11,76.48,897111
2020-06-18,75.42,77.425,75.33,76.64,394180
2020-06-19,78.64,78.64,74.60,76.20,1010305
2020-06-22,75.81,75.81,74.32,75.45,499620
2020-06-23,77.04,77.25,74.77,74.82,647775
2020-06-24,73.83,73.83,71.13,71.19,978578
2020-06-25,70.65,72.80,70.46,72.66,651071
2020-06-26,71.54,72.03,70.19,70.85,888613
2020-06-29,72.13,73.02,71.14,72.35,501405
2020-06-30,72.18,74.76,72.18,74.23,631495
2020-07-01,74.60,74.625,72.27,72.80,583462
2020-07-02,74.61,75.04,72.285,72.53,424240
2020-07-06,74.40,75.18,73.06,73.92,537588
2020-07-07,72.79,73.08,71.38,71.50,760575
2020-07-08,71.82,73.095,71.20,72.20,846782
2020-07-09,72.15,72.15,69.47,70.19,426727
2020-07-10,70.37,72.35,70.32,72.32,661297
2020-07-13,73.35,73.68,71.98,72.52,379902
2020-07-14,72.25,73.65,71.7801,73.38,387464
2020-07-15,75.05,75.79,74.12,75.31,344365
2020-07-16,74.56,77.32,74.40,75.97,380278
2020-07-17,76.19,76.19,74.74,75.32,423390
2020-07-20,74.78,75.12,73.525,74.14,354934
2020-07-21,74.31,76.15,74.22,75.21,502152
2020-07-22,74.56,75.86,74.44,75.68,469660
2020-07-23,78.97,80.89,78.025,80.32,999533
2020-07-24,81.18,81.26,78.94,80.37,773296
2020-07-27,79.61,80.225,78.715,79.57,716927
2020-07-28,79.12,80.10,78.31,78.39,334352
2020-07-29,78.14,81.10,78.14,80.74,505633
2020-07-30,78.88,80.105,78.47,79.74,607950
2020-07-31,79.63,80.41,78.93,79.60,678269
2020-08-03,79.84,80.19,78.94,79.55,503765
2020-08-04,79.22,79.58,78.56,78.68,339737
2020-08-05,79.45,80.71,79.30,80.30,617705
2020-08-06,80.05,81.10,79.92,80.33,580677
2020-08-07,79.91,82.80,79.81,82.68,431380
2020-08-10,82.82,85.08,82.76,84.79,431199
2020-08-11,86.57,87.51,85.411,85.76,487936
2020-08-12,87.28,87.28,84.62,85.54,330149
2020-08-13,84.50,85.54,83.84,84.98,267258
2020-08-14,84.37,85.94,84.37,85.48,250543
2020-08-17,85.17,85.41,83.28,83.41,358797
2020-08-18,83.37,83.86,82.255,82.66,473233
2020-08-19,82.68,83.56,82.43,82.61,271020
2020-08-20,81.35,82.1193,81.01,81.16,283855
2020-08-21,81.04,81.66,80.29,80.73,317891
2020-08-24,81.39,84.50,80.98,84.49,398246
2020-08-25,85.39,85.63,83.91,84.31,348965
2020-08-26,84.09,84.59,83.24,84.16,345997
2020-08-27,83.91,85.92,83.91,85.09,406393
2020-08-28,85.77,85.77,84.45,84.82,430649
2020-08-31,84.66,84.66,82.44,82.48,499894
2020-09-01,81.86,83.60,81.45,82.03,494143
2020-09-02,82.00,83.57,81.61,82.98,599442
2020-09-03,83.88,85.99,81.47,81.85,625379
2020-09-04,84.00,84.72,82.79,83.89,640873
2020-09-08,83.40,83.40,80.63,81.52,527825
2020-09-09,82.36,82.58,81.27,81.60,440578
2020-09-10,82.16,82.70,80.07,80.07,480318
2020-09-11,80.08,81.90,79.55,81.47,368699
2020-09-14,82.24,83.83,82.24,83.23,346002
2020-09-15,83.15,84.01,82.38,83.39,576485
2020-09-16,83.25,85.18,83.25,83.81,591022
2020-09-17,83.00,84.15,82.56,83.40,542160
2020-09-18,82.98,84.02,82.36,82.46,836900
2020-09-21,80.47,81.32,78.22,79.29,861411
2020-09-22,78.99,80.665,78.99,79.47,786637
2020-09-23,79.88,80.96,77.31,77.41,443679
2020-09-24,77.37,79.18,75.39,77.78,463814
2020-09-25,77.00,78.92,76.87,78.47,326018
2020-09-28,79.88,80.71,79.26,79.85,450550
2020-09-29,79.39,80.03,78.72,79.01,414556
2020-09-30,79.37,80.65,79.11,79.90,511081
2020-10-01,79.79,80.765,78.89,80.52,415871
2020-10-02,79.26,81.62,79.085,80.79,372202
2020-10-05,81.91,82.80,81.46,82.17,323231
2020-10-06,82.86,83.775,80.91,81.06,409445
2020-10-07,81.94,83.04,81.71,82.14,399402
2020-10-08,82.90,83.60,82.19,82.97,457033
2020-10-09,83.83,84.00,81.77,81.79,300640
