Date,Open,High,Low,Close,Volume
2020-01-10,30.13,30.34,30.005,30.11,4734276
2020-01-13,30.10,30.42,29.87,30.40,5046808
2020-01-14,30.38,30.44,29.96,30.11,5483577
2020-01-15,29.85,30.07,29.535,29.67,5406322
2020-01-16,29.80,30.105,29.62,30.01,4193842
2020-01-17,30.08,30.21,29.92,30.06,4348185
2020-01-21,29.79,29.87,29.51,29.71,4313878
2020-01-22,29.76,30.125,29.58,29.65,4391460
2020-01-23,29.37,29.62,29.085,29.55,4167905
2020-01-24,29.66,29.715,29.076,29.36,4741402
2020-01-27,28.76,28.92,28.56,28.56,6832317
2020-01-28,28.75,28.84,27.98,28.00,10978900
2020-01-29,27.81,29.26,27.56,28.35,12837030
2020-01-30,27.96,27.96,27.25,27.69,9475048
2020-01-31,27.57,27.60,26.55,26.69,8708162
2020-02-03,26.84,27.37,26.805,26.91,4752799
2020-02-04,27.47,27.67,27.29,27.58,4486408
2020-02-05,28.11,28.30,27.84,28.29,5647665
2020-02-06,28.44,28.49,28.035,28.17,3253334
2020-02-07,27.93,27.98,27.65,27.68,3386881
2020-02-10,27.59,27.6367,27.40,27.57,3150347
2020-02-11,27.79,28.33,27.70,28.04,5260915
2020-02-12,28.30,28.89,28.26,28.84,4815522
2020-02-13,28.60,28.92,28.3269,28.71,3920963
2020-02-14,28.70,28.70,28.45,28.59,2841775
2020-02-18,28.37,28.54,27.84,27.97,4379493
2020-02-19,28.00,28.3145,27.89,27.96,8384239
2020-02-20,27.87,28.31,27.71,28.29,5912910
2020-02-21,27.96,28.125,27.75,27.96,4774080
2020-02-24,26.96,27.34,26.67,27.00,5771714
2020-02-25,27.18,27.20,25.36,25.72,12040110
2020-02-26,25.98,26.285,25.25,25.25,7331554
2020-02-27,24.34,25.175,23.675,24.03,10953890
2020-02-28,23.04,24.095,22.80,23.86,13670580
2020-03-02,24.04,24.68,23.51,24.67,8283923
2020-03-03,24.52,25.41,23.73,23.89,7960051
2020-03-04,24.25,25.10,23.905,25.09,6511016
2020-03-05,24.67,25.03,24.36,24.60,7953782
2020-03-06,23.66,24.98,23.61,24.88,9856857
2020-03-09,23.16,24.15,22.62,22.84,15034740
2020-03-10,23.83,24.205,22.685,24.18,9202440
2020-03-11,23.43,23.80,22.77,23.15,11517720
2020-03-12,21.29,22.33,20.36,20.47,8769189
2020-03-13,21.69,22.80,20.10,22.80,9033612
2020-03-16,19.83,20.14,18.42,19.06,12807970
2020-03-17,19.33,21.57,18.46,21.56,8982750
2020-03-18,19.84,21.56,19.39,21.50,7564014
2020-03-19,21.14,21.99,20.02,21.27,7353185
2020-03-20,21.35,21.61,18.79,18.86,7796371
2020-03-23,18.71,18.78,17.44,17.75,6781244
2020-03-24,18.70,20.07,18.22,20.02,7194450
2020-03-25,19.90,21.035,19.16,20.25,8754879
2020-03-26,20.29,21.96,19.91,21.81,6745310
2020-03-27,21.02,21.59,20.465,20.74,5685988
2020-03-30,20.92,21.40,20.27,21.28,6231253
2020-03-31,21.37,21.55,20.45,20.54,6100575
2020-04-01,19.52,19.68,18.76,19.11,6386801
2020-04-02,19.10,19.44,18.49,18.70,7654478
2020-04-03,18.61,18.84,17.82,17.91,7183488
2020-04-06,18.90,19.84,18.3507,19.71,10797470
2020-04-07,20.44,20.50,19.295,19.68,7939339
2020-04-08,19.89,20.73,19.67,20.57,5018434
2020-04-09,20.64,21.63,20.62,21.18,6053204
2020-04-13,21.00,21.08,20.14,20.41,5153962
2020-04-14,20.95,21.10,20.34,20.70,4952711
2020-04-15,20.12,20.23,19.67,19.99,4336430
2020-04-16,20.03,20.05,19.50,19.84,4180938
2020-04-17,20.35,20.97,20.33,20.72,4946580
2020-04-20,20.31,20.91,20.07,20.44,4747780
2020-04-21,20.01,20.18,19.42,19.44,4829040
2020-04-22,19.90,20.09,19.55,19.98,5129905
2020-04-23,20.20,20.635,20.02,20.03,3838285
2020-04-24,20.18,20.825,20.10,20.78,4591504
2020-04-27,21.02,21.785,20.93,21.63,6020922
2020-04-28,22.65,23.10,21.915,22.14,7520359
2020-04-29,22.37,22.73,21.565,22.48,8078951
2020-04-30,22.13,22.34,21.76,22.01,6338906
2020-05-01,21.50,21.52,20.55,20.66,4327160
2020-05-04,20.40,20.515,20.01,20.39,4133407
2020-05-05,20.69,21.09,20.62,20.67,6284230
2020-05-06,20.89,20.96,20.51,20.71,4134580
2020-05-07,21.13,21.28,20.90,20.95,4054928
2020-05-08,21.35,21.73,21.28,21.62,2672013
2020-05-11,21.25,21.435,20.97,21.30,3265801
2020-05-12,21.40,21.4698,20.40,20.41,4198702
2020-05-13,20.30,20.41,19.39,19.63,4478089
2020-05-14,19.35,19.96,18.82,19.94,4264336
2020-05-15,19.66,19.86,19.451,19.65,3248274
2020-05-18,20.36,21.12,20.35,20.97,3878533
2020-05-19,20.95,21.25,20.415,20.84,3985742
2020-05-20,21.20,21.71,20.96,21.58,5141070
2020-05-21,21.55,21.705,21.29,21.32,4115071
2020-05-22,21.33,21.43,20.99,21.38,3872420
2020-05-26,22.00,22.81,21.97,22.48,5076428
2020-05-27,22.91,23.35,22.70,23.33,6375192
2020-05-28,23.21,23.455,22.805,23.05,5314258
2020-05-29,22.91,22.97,22.18,22.79,7793735
2020-06-01,22.75,22.91,22.5233,22.74,3648047
2020-06-02,22.94,23.88,22.89,23.88,5723060
2020-06-03,24.33,25.25,24.32,25.15,5607629
2020-06-04,24.79,25.33,24.64,24.75,5926640
2020-06-05,25.86,26.705,25.86,26.68,8206537
2020-06-08,26.86,27.29,26.59,27.27,7535199
2020-06-09,26.58,27.845,26.50,27.63,9692183
2020-06-10,27.70,28.11,27.42,27.85,11461280
2020-06-11,26.60,27.07,25.97,26.15,13916390
2020-06-12,27.05,27.354,26.53,26.93,9551447
2020-06-15,26.28,27.48,26.06,27.12,7467584
2020-06-16,27.97,28.44,27.21,27.66,7401243
2020-06-17,27.80,27.85,27.235,27.25,6954266
2020-06-18,27.00,27.53,26.88,27.35,6690532
2020-06-19,28.00,28.00,26.63,26.70,12000150
2020-06-22,26.60,26.7302,26.28,26.54,7557449
2020-06-23,26.93,27.21,26.77,26.88,7693245
2020-06-24,26.64,26.74,25.57,25.81,6082443
2020-06-25,25.65,25.88,25.24,25.81,6433247
2020-06-26,25.81,25.86,25.105,25.41,10410550
2020-06-29,25.65,25.90,25.4075,25.68,4466493
2020-06-30,25.50,26.05,25.44,25.90,4539911
2020-07-01,26.06,26.225,25.64,25.66,6318830
2020-07-02,26.16,26.469,25.91,26.00,5030151
2020-07-06,26.68,26.96,26.55,26.82,5816854
2020-07-07,26.58,26.79,26.27,26.49,4777712
2020-07-08,26.41,26.65,26.185,26.48,4140012
2020-07-09,26.49,26.69,26.12,26.51,4559495
2020-07-10,26.49,26.6953,26.27,26.67,3061503
2020-07-13,27.00,27.21,26.68,26.72,5248011
2020-07-14,26.76,27.42,26.4741,27.36,3726943
2020-07-15,27.74,28.135,27.595,28.06,5542886
2020-07-16,28.47,29.03,28.26,28.76,6142630
2020-07-17,28.90,29.11,28.68,29.04,4688881
2020-07-20,28.93,29.11,28.78,29.04,5414747
2020-07-21,29.18,29.57,29.16,29.31,4584989
2020-07-22,29.33,29.83,29.17,29.60,4908540
2020-07-23,29.60,30.16,29.55,29.80,5370768
2020-07-24,29.69,29.86,29.215,29.29,5542006
2020-07-27,29.18,30.83,29.07,30.63,9852014
2020-07-28,30.49,31.3603,29.95,30.24,8905692
2020-07-29,30.78,31.82,30.35,31.61,7252555
2020-07-30,31.26,31.43,30.9401,31.12,6095850
2020-07-31,31.06,31.17,30.455,31.00,5697341
2020-08-03,31.08,31.095,30.63,30.90,3596723
2020-08-04,30.92,31.205,30.865,31.19,3380185
2020-08-05,31.31,31.92,31.26,31.88,3666435
2020-08-06,31.67,31.99,31.625,31.84,3238317
2020-08-07,31.77,31.89,31.452,31.85,3079611
2020-08-10,31.90,32.25,31.76,32.15,5447854
2020-08-11,32.39,32.84,32.23,32.30,4083216
2020-08-12,32.50,32.87,32.401,32.73,2575953
2020-08-13,32.58,32.85,32.361,32.52,3826319
2020-08-14,32.45,32.48,32.155,32.32,2736890
2020-08-17,32.42,32.585,32.29,32.33,2290981
2020-08-18,32.42,32.43,32.015,32.11,3254174
2020-08-19,32.23,32.4014,32.105,32.23,3043171
2020-08-20,32.00,32.11,31.80,31.87,2322463
2020-08-21,31.95,32.49,31.78,32.47,4874949
2020-08-24,32.53,33.38,32.49,33.37,4676390
2020-08-25,33.47,33.56,32.60,32.89,3553794
2020-08-26,32.89,33.075,32.725,32.78,2874706
2020-08-27,32.69,32.73,31.885,32.13,4217161
2020-08-28,32.22,32.74,31.94,32.66,6193442
2020-08-31,32.65,32.69,32.21,32.46,4728060
2020-09-01,32.29,32.87,32.04,32.85,3007495
2020-09-02,33.00,33.86,32.90,33.70,4605031
2020-09-03,33.31,33.42,31.46,31.90,6206518
2020-09-04,32.08,32.321,31.14,32.05,5453259
2020-09-08,31.60,32.15,31.4968,31.76,4465252
2020-09-09,32.50,33.795,32.50,33.07,7570648
2020-09-10,33.20,33.465,31.82,31.88,7343126
2020-09-11,32.28,32.405,31.58,31.94,7948976
2020-09-14,32.475,32.91,32.43,32.74,4779289
2020-09-15,32.99,33.225,32.805,32.82,3616080
2020-09-16,32.95,33.245,32.56,32.64,6486567
2020-09-17,32.20,33.09,32.09,32.82,6085104
2020-09-18,32.73,33.00,32.23,32.44,7914517
2020-09-21,31.66,31.86,30.95,31.42,5812794
2020-09-22,31.42,31.62,31.03,31.61,6098580
2020-09-23,31.57,31.64,30.51,30.59,4175578
2020-09-24,30.35,31.14,30.16,30.69,3085751
2020-09-25,30.55,31.295,30.41,31.20,2536579
2020-09-28,31.76,32.187,31.63,32.03,3036298
2020-09-29,32.15,32.325,31.93,31.97,3117857
2020-09-30,32.15,32.79,32.06,32.41,5135641
2020-10-01,32.75,32.77,32.055,32.53,4624881
2020-10-02,32.03,33.11,32.00,32.81,3870436
2020-10-05,33.25,33.725,33.00,33.53,3743065
2020-10-06,33.64,34.335,33.57,33.62,5328801
2020-10-07,33.93,35.095,33.881,35.06,4599839
2020-10-08,35.20,35.83,35.10,35.23,4257196
2020-10-09,35.40,35.55,34.71,34.78,3750152
2020-10-12,34.98,35.04,34.60,34.63,4118249
2020-10-13,34.63,35.39,34.275,34.87,6552254
2020-10-14,34.92,35.05,34.27,34.50,4312895
2020-10-15,34.11,34.98,34.10,34.96,4007753
2020-10-16,35.06,35.38,34.89,35.18,3588330
2020-10-19,35.29,35.45,34.47,34.60,2328747
2020-10-20,34.90,35.34,34.72,34.84,2782358
2020-10-21,34.87,35.46,34.74,35.00,3727563
2020-10-22,35.00,35.60,34.95,35.47,2377534
2020-10-23,35.61,35.65,35.28,35.56,2785855
2020-10-26,35.10,35.10,34.185,34.25,5815273
2020-10-27,34.31,34.45,32.62,32.85,8783730
2020-10-28,32.11,32.55,31.62,31.73,6551933
2020-10-29,31.68,32.43,31.45,32.10,4342482
2020-10-30,31.91,32.12,31.281,31.97,4503486
2020-11-02,32.32,32.79,32.015,32.47,3597711
2020-11-03,32.99,33.8901,32.99,33.67,2955169
2020-11-04,33.48,34.325,32.91,33.56,3898071
2020-11-05,34.22,34.835,34.14,34.49,3656256
2020-11-06,34.47,34.84,34.39,34.71,2745721
2020-11-09,36.31,37.08,35.63,35.68,6855663
2020-11-10,35.91,36.21,35.645,36.02,4779321
2020-11-11,36.30,36.32,35.75,35.98,2605732
2020-11-12,35.63,35.70,34.57,34.91,3449625
2020-11-13,35.30,36.01,35.24,35.83,2520533
2020-11-16,36.45,37.13,36.065,36.98,4042923
2020-11-17,36.63,36.825,36.255,36.48,2818579
2020-11-18,36.60,36.66,36.09,36.09,2736607
2020-11-19,35.83,36.445,35.655,36.33,2319015
2020-11-20,36.25,36.55,36.02,36.30,2795121
2020-11-23,36.54,36.835,36.30,36.63,1977753
2020-11-24,37.00,37.585,36.93,37.50,4320861
2020-11-25,37.47,37.521,37.085,37.30,1872613
2020-11-27,37.30,37.60,37.05,37.09,1416197
2020-11-30,37.09,37.42,36.66,37.42,5297642
2020-12-01,37.79,37.91,37.225,37.38,3681893
2020-12-02,37.30,37.945,37.24,37.80,3837375
2020-12-03,37.33,37.70,37.045,37.12,3848035
2020-12-04,37.19,37.95,37.12,37.95,3507094
2020-12-07,37.78,37.83,37.34,37.58,2604936
2020-12-08,37.42,37.98,37.369,37.93,2854528
2020-12-09,38.00,38.435,37.62,37.66,4014612
2020-12-10,37.58,37.58,36.87,37.17,4140153
2020-12-11,36.29,36.55,35.45,35.64,6257196
2020-12-14,36.96,37.42,36.55,36.81,5757871
2020-12-15,36.99,37.11,36.30,37.02,4424486
2020-12-16,37.06,37.10,36.005,36.24,4582916
2020-12-17,36.50,36.60,36.24,36.59,4201730
2020-12-18,36.61,36.645,35.845,36.24,7085359
2020-12-21,35.66,36.04,35.035,35.95,5467230
2020-12-22,36.21,36.45,35.91,36.07,3340231
2020-12-23,36.35,36.715,36.20,36.35,4195777
2020-12-24,36.50,36.59,35.95,36.27,1190703
2020-12-28,36.46,36.65,36.1501,36.19,1734749
2020-12-29,36.38,36.38,35.505,35.64,1888072
2020-12-30,35.80,36.16,35.75,35.97,2260068
2020-12-31,36.00,36.0643,35.63,36.00,3562911
2021-01-04,36.05,36.23,34.805,34.92,4999759
