Date,Open,High,Low,Close,Volume
2020-01-10,99.44,99.88,98.29,98.73,516179
2020-01-13,98.77,101.03,98.37,100.91,405949
2020-01-14,100.65,102.49,100.2806,102.14,386024
2020-01-15,101.82,103.90,101.82,102.29,458417
2020-01-16,102.98,104.04,102.56,103.92,484322
2020-01-17,104.41,105.41,103.27,103.52,504812
2020-01-21,103.32,104.02,101.78,102.41,315549
2020-01-22,103.27,103.91,102.00,102.57,399942
2020-01-23,102.32,103.36,100.69,102.99,368622
2020-01-24,106.08,107.63,105.69,106.67,858662
2020-01-27,104.76,106.14,103.649,104.98,680105
2020-01-28,105.60,107.31,105.16,107.09,500071
2020-01-29,107.32,109.95,107.225,109.68,506552
2020-01-30,108.70,110.00,106.80,107.50,585458
2020-01-31,106.94,107.4954,103.26,103.59,591433
2020-02-03,104.25,105.02,103.54,103.74,461895
2020-02-04,104.79,105.84,102.71,104.28,530969
2020-02-05,105.70,105.70,102.80,104.07,469012
2020-02-06,103.79,104.64,102.0822,102.92,687660
2020-02-07,102.73,102.74,100.61,101.35,630121
2020-02-10,106.27,112.25,106.00,109.30,3175689
2020-02-11,110.30,111.87,109.91,110.23,2807787
2020-02-12,110.31,114.47,110.20,113.72,13312330
2020-02-13,112.58,117.44,112.29,115.75,2358573
2020-02-14,116.38,117.83,111.88,113.26,1531795
2020-02-18,112.45,112.45,110.12,111.10,878658
2020-02-19,111.90,116.375,111.33,116.26,1097013
2020-02-20,115.74,117.92,115.13,116.97,579699
2020-02-21,115.98,116.68,114.43,116.19,565129
2020-02-24,111.42,113.59,110.44,112.78,674859
2020-02-25,113.56,113.99,107.05,107.31,1077442
2020-02-26,107.99,111.79,107.66,110.87,912951
2020-02-27,108.12,110.18,105.075,105.62,917010
2020-02-28,101.48,104.8033,100.03,102.99,1289472
2020-03-02,103.97,109.00,103.36,108.91,876057
2020-03-03,109.20,112.98,108.42,111.24,1152391
2020-03-04,112.63,118.86,112.63,118.08,1125350
2020-03-05,114.99,118.52,114.78,116.51,966245
2020-03-06,112.80,113.455,108.97,112.00,1011362
2020-03-09,103.48,104.78,100.43,101.07,1169813
2020-03-10,104.10,108.12,98.4101,108.06,1020428
2020-03-11,104.31,107.00,99.65,102.08,779378
2020-03-12,94.36,94.44,87.545,94.40,1542157
2020-03-13,98.85,99.90,94.17,99.51,1023752
2020-03-16,87.75,91.417,85.05,87.37,1085656
2020-03-17,88.58,95.74,84.03,94.80,1342782
2020-03-18,88.25,91.5192,84.91,88.53,1406683
2020-03-19,86.94,88.99,80.08,88.60,1006856
2020-03-20,89.65,94.57,82.93,84.78,1456197
2020-03-23,83.63,85.65,75.50,79.01,982322
2020-03-24,84.49,86.01,80.05,85.71,841704
2020-03-25,85.22,90.67,83.1615,87.77,768560
2020-03-26,89.26,96.755,87.69,96.37,738506
2020-03-27,94.51,94.85,88.12,88.96,875083
2020-03-30,89.31,93.65,88.452,93.53,715254
2020-03-31,92.49,93.82,90.42,93.17,626540
2020-04-01,88.04,90.28,82.16,83.03,813568
2020-04-02,82.31,88.43,81.221,86.48,931173
2020-04-03,85.73,88.63,83.30,84.66,477463
2020-04-06,89.38,94.775,88.85,92.00,945912
2020-04-07,95.37,96.46,89.23,89.64,561823
2020-04-08,90.90,96.8212,89.74,96.35,636092
2020-04-09,98.12,102.03,96.60,101.34,781467
2020-04-13,100.44,101.61,98.09,99.04,620761
2020-04-14,102.43,103.17,99.48,102.08,632485
2020-04-15,99.00,99.99,96.22,96.81,675861
2020-04-16,96.77,98.31,94.72,96.49,723878
2020-04-17,99.72,100.50,98.36,99.31,454583
2020-04-20,97.57,100.32,97.02,99.37,422291
2020-04-21,96.47,98.29,93.75,94.15,456368
2020-04-22,96.78,97.51,95.51,96.68,335166
2020-04-23,96.31,99.81,95.645,96.97,446652
2020-04-24,98.00,99.67,97.1175,97.55,626999
2020-04-27,98.50,101.57,97.82,98.85,1031987
2020-04-28,101.58,102.30,98.36,99.16,826194
2020-04-29,101.50,105.36,100.05,103.68,694843
2020-04-30,96.51,102.36,96.50,97.44,1081885
2020-05-01,95.29,96.57,92.22,93.29,825168
2020-05-04,92.32,94.55,90.30,94.41,628094
2020-05-05,96.36,100.58,95.35,99.42,722889
2020-05-06,99.75,100.82,98.43,99.50,628849
2020-05-07,101.57,102.235,98.92,99.20,401928
2020-05-08,101.37,103.92,100.8733,103.86,414803
2020-05-11,102.10,104.84,101.65,103.85,680375
2020-05-12,103.91,104.6402,99.65,99.73,497972
2020-05-13,99.55,101.6999,97.02,97.90,543840
2020-05-14,96.18,100.68,95.27,100.67,500471
2020-05-15,100.00,104.90,99.48,104.70,676839
2020-05-18,108.65,112.19,107.43,111.41,898935
2020-05-19,110.11,112.91,110.01,110.12,661428
2020-05-20,112.78,114.83,111.74,113.01,609955
2020-05-21,112.49,115.29,112.18,114.44,717476
2020-05-22,114.42,114.74,113.38,114.40,348780
2020-05-26,118.93,119.85,116.64,118.00,679318
2020-05-27,119.77,122.18,118.605,122.05,1083498
2020-05-28,122.95,123.19,117.8784,117.99,803495
2020-05-29,115.90,116.88,110.64,111.27,1139601
2020-06-01,111.81,112.76,109.89,110.57,702324
2020-06-02,111.60,111.60,109.50,110.49,690606
2020-06-03,112.16,113.5438,111.52,112.22,791232
2020-06-04,112.26,113.19,109.86,110.53,676073
2020-06-05,113.87,116.15,111.00,114.83,698212
2020-06-08,114.72,116.1395,113.23,113.87,878529
2020-06-09,111.86,114.26,110.53,112.97,584961
2020-06-10,113.19,114.8899,112.02,113.23,646782
2020-06-11,109.48,110.16,106.57,106.63,745374
2020-06-12,109.99,109.99,102.38,105.44,1024293
2020-06-15,102.52,110.9463,101.7153,110.50,885346
2020-06-16,114.21,114.87,111.12,114.76,853824
2020-06-17,114.98,115.00,111.96,112.49,550029
2020-06-18,111.05,114.43,110.3394,110.72,647637
2020-06-19,112.83,113.85,110.50,113.53,915729
2020-06-22,112.59,117.07,111.03,117.02,1064845
2020-06-23,118.18,120.16,116.2475,116.69,1228765
2020-06-24,115.48,116.77,112.57,113.27,978355
2020-06-25,113.74,114.98,111.63,114.82,987127
2020-06-26,115.33,120.13,113.23,117.75,8019414
2020-06-29,118.37,120.57,116.77,118.88,876735
2020-06-30,120.00,122.355,118.64,121.93,928448
2020-07-01,132.09,132.09,120.75,121.09,968490
2020-07-02,121.94,122.96,121.59,122.73,577876
2020-07-06,125.32,126.42,124.05,124.89,733121
2020-07-07,124.09,126.90,123.45,124.53,673916
2020-07-08,124.78,126.995,124.78,126.58,892094
2020-07-09,127.31,127.91,125.18,126.61,391498
2020-07-10,126.28,127.71,125.74,127.37,393503
2020-07-13,128.91,130.51,126.265,126.64,688337
2020-07-14,126.44,131.20,126.02,131.13,727361
2020-07-15,133.66,134.91,132.60,133.95,811356
2020-07-16,133.55,135.538,132.23,132.54,490058
2020-07-17,133.21,135.61,132.705,134.81,491319
2020-07-20,134.76,137.38,134.76,136.64,495748
2020-07-21,137.88,139.91,135.83,136.10,566302
2020-07-22,136.04,137.01,134.37,135.54,528899
2020-07-23,136.00,139.49,135.00,136.82,843060
2020-07-24,136.23,136.81,134.15,135.25,388612
2020-07-27,135.99,138.51,134.72,138.35,419420
2020-07-28,137.46,139.29,135.22,135.31,389964
2020-07-29,135.88,140.73,135.88,139.73,700735
2020-07-30,150.31,156.53,147.36,147.84,1767385
2020-07-31,151.50,157.65,151.50,157.58,1066614
2020-08-03,159.10,162.72,155.05,162.67,818514
2020-08-04,161.68,164.92,161.10,164.57,1003240
2020-08-05,166.08,170.46,166.08,170.42,661467
2020-08-06,175.97,175.97,170.30,172.98,836635
2020-08-07,173.35,179.3499,172.72,178.60,820138
2020-08-10,178.09,178.71,165.32,166.32,1684714
2020-08-11,168.50,169.66,164.24,164.86,1011803
2020-08-12,166.50,172.36,166.00,171.30,701487
2020-08-13,171.30,176.76,170.70,174.88,641740
2020-08-14,174.11,176.12,172.89,175.35,662449
2020-08-17,179.75,182.57,177.80,182.20,818043
2020-08-18,181.63,185.55,180.50,181.68,771065
2020-08-19,180.15,183.3675,180.06,181.20,565107
2020-08-20,180.00,184.23,179.4934,182.45,583209
2020-08-21,183.27,188.55,182.47,186.71,720290
2020-08-24,189.23,192.53,185.55,188.13,922942
2020-08-25,188.44,188.50,184.525,186.37,462538
2020-08-26,188.00,192.28,187.20,190.82,783640
2020-08-27,190.47,191.29,184.47,186.65,810026
2020-08-28,188.96,192.3799,187.289,189.02,556753
2020-08-31,190.25,191.42,188.53,189.98,630151
2020-09-01,189.71,194.35,188.1783,193.25,506977
2020-09-02,193.30,194.00,187.91,191.48,674328
2020-09-03,189.00,189.36,175.82,178.07,1005521
2020-09-04,178.78,179.83,169.34,178.51,985590
2020-09-08,176.40,181.385,173.4438,174.80,752550
2020-09-09,178.07,185.29,178.04,183.95,587852
2020-09-10,184.45,185.50,179.46,180.03,446521
2020-09-11,182.70,184.41,176.28,178.41,507774
2020-09-14,181.82,184.23,181.16,184.10,449914
2020-09-15,187.29,187.70,184.75,187.11,393546
2020-09-16,187.17,188.7883,185.55,186.52,518690
2020-09-17,183.13,186.43,181.4651,184.09,641485
2020-09-18,185.56,186.61,181.1193,182.68,987257
2020-09-21,180.00,182.37,177.56,181.23,559971
2020-09-22,182.55,183.42,179.51,182.90,526751
2020-09-23,182.23,185.00,175.65,175.76,611563
2020-09-24,175.53,181.45,173.80,178.07,601442
2020-09-25,178.07,182.025,178.07,180.66,607749
2020-09-28,186.88,191.43,186.11,190.18,761308
2020-09-29,190.98,192.28,187.73,188.14,613742
2020-09-30,187.76,194.17,187.76,193.64,892453
2020-10-01,195.50,196.9492,191.74,196.16,715051
2020-10-02,191.27,198.77,190.10,197.75,608246
2020-10-05,199.25,208.26,198.53,207.86,805326
2020-10-06,211.05,213.23,204.885,207.37,1168497
2020-10-07,212.55,213.91,205.16,207.04,729551
2020-10-08,209.99,210.58,203.62,204.50,743557
2020-10-09,205.16,208.74,205.16,205.53,695211
2020-10-12,206.65,207.75,200.38,203.99,621718
2020-10-13,203.43,205.12,199.27,201.54,674030
2020-10-14,202.96,205.5399,201.288,203.00,387455
2020-10-15,200.67,210.99,198.85,209.79,640441
2020-10-16,212.71,213.9899,207.7381,208.21,456402
2020-10-19,208.12,210.75,206.93,210.13,748580
2020-10-20,210.59,215.57,209.98,211.87,726898
2020-10-21,212.85,215.9802,205.18,205.35,790597
2020-10-22,205.66,210.01,203.40,209.34,708155
2020-10-23,210.07,212.74,206.95,212.04,591641
2020-10-26,209.20,211.72,206.04,210.40,477632
2020-10-27,211.88,213.83,206.61,207.71,731822
2020-10-28,205.87,218.63,202.0227,217.11,1432739
2020-10-29,218.90,220.88,211.43,216.57,950691
2020-10-30,213.99,217.61,204.2418,210.15,813799
2020-11-02,212.37,215.085,208.58,212.57,680780
2020-11-03,215.99,222.195,213.95,221.54,639318
2020-11-04,219.34,224.95,213.01,223.50,717837
2020-11-05,228.23,233.44,226.86,230.73,602878
2020-11-06,232.62,234.55,231.03,233.04,422204
2020-11-09,233.04,233.78,216.16,220.54,1113273
2020-11-10,221.02,223.00,212.30,217.95,1027746
2020-11-11,220.74,226.595,219.12,225.29,616617
2020-11-12,224.30,226.0975,218.00,219.78,529957
2020-11-13,220.58,222.21,215.33,215.97,633076
2020-11-16,216.50,216.55,211.42,213.19,741021
2020-11-17,211.88,216.91,208.93,210.09,648919
2020-11-18,211.63,213.79,209.63,211.94,722121
2020-11-19,213.28,218.98,211.90,216.75,657299
2020-11-20,217.37,225.20,216.40,222.97,802268
2020-11-23,224.67,227.03,216.00,219.63,912931
2020-11-24,219.63,219.98,211.5306,213.84,1191028
2020-11-25,213.84,220.935,213.70,216.51,900607
2020-11-27,219.72,225.34,218.51,221.40,637480
2020-11-30,221.40,221.4987,210.47,215.60,4147125
2020-12-01,216.14,217.2699,211.2001,213.02,669073
2020-12-02,212.05,212.49,208.16,210.74,638131
2020-12-03,209.68,212.71,207.01,207.58,707098
2020-12-04,208.00,210.88,204.50,205.26,820083
2020-12-07,205.00,209.19,202.56,208.91,718658
2020-12-08,210.42,217.3699,207.31,216.87,1205539
2020-12-09,218.01,218.88,207.82,209.43,926952
2020-12-10,207.50,213.945,207.0683,211.27,824227
2020-12-11,211.56,219.985,211.46,217.28,728528
2020-12-14,217.69,220.815,213.50,218.06,731325
2020-12-15,220.01,224.85,219.6762,224.40,790495
2020-12-16,226.00,226.64,218.11,220.44,647913
2020-12-17,221.93,224.19,217.35,218.60,650116
2020-12-18,220.26,220.72,215.05,216.79,1355564
2020-12-21,214.63,230.47,214.41,230.29,1285121
