Date,Open,High,Low,Close,Volume
2020-01-10,341.0571,341.0571,337.7204,338.7442,835843
2020-01-13,339.8248,343.7871,338.7631,343.6543,1130940
2020-01-14,342.1756,343.5501,340.3177,342.0998,1095578
2020-01-15,343.6923,345.8725,340.9623,342.6306,1300402
2020-01-16,344.0904,345.9672,342.7444,345.5312,1107694
2020-01-17,346.6687,348.9437,346.0431,347.3701,1304093
2020-01-21,347.0099,347.5027,342.1377,343.0098,1094298
2020-01-22,344.2041,344.8097,340.8865,341.3415,940829
2020-01-23,340.8865,342.2704,339.4077,340.4504,1217026
2020-01-24,341.095,341.7432,334.5924,335.8057,1368487
2020-01-27,330.3836,332.4122,328.867,328.9997,1245765
2020-01-28,330.0993,335.0853,328.431,332.6397,1089300
2020-01-29,335.5592,336.9621,332.962,333.0378,1099710
2020-01-30,329.4926,338.9148,329.4926,338.0996,1538057
2020-01-31,337.2844,337.2844,324.8202,328.393,2750038
2020-02-03,330.7439,332.943,323.5587,324.791,1771466
2020-02-04,330.0234,333.7772,329.8718,332.1657,1496248
2020-02-05,335.3886,336.7536,332.5259,335.3696,1409059
2020-02-06,337.455,337.455,333.9667,334.3269,1213761
2020-02-07,333.379,335.0189,331.1988,332.2984,1627321
2020-02-10,331.6159,335.7867,330.0803,335.4644,1199884
2020-02-11,337.929,341.1329,335.9384,339.6352,1474274
2020-02-12,340.2608,344.3558,339.4456,343.4837,1475424
2020-02-13,341.8723,343.0549,338.7631,341.4742,992873
2020-02-14,342.2135,344.7729,341.1993,342.7823,1244510
2020-02-18,341.4362,342.1745,339.2561,340.1471,909294
2020-02-19,340.9244,344.4222,340.2988,342.8771,1232327
2020-02-20,343.0098,345.4364,339.3698,342.5737,1168572
2020-02-21,340.5073,343.1235,338.8845,341.0192,970254
2020-02-24,330.7059,336.2607,328.848,332.2795,1602141
2020-02-25,332.9809,334.7061,316.2788,318.1177,2046167
2020-02-26,319.6154,326.2316,316.165,316.9423,1706153
2020-02-27,309.0368,316.2788,302.4204,302.4773,1975638
2020-02-28,291.4815,307.4443,285.5476,307.4443,4779183
2020-03-02,309.1884,313.7194,298.752,311.3686,3372438
2020-03-03,311.4445,318.8326,304.392,306.9135,3054232
2020-03-04,312.6199,325.9474,311.4092,324.5445,2266298
2020-03-05,315.6532,318.3263,309.4349,312.6578,2697355
2020-03-06,301.0743,313.0369,298.7425,310.9705,2510820
2020-03-09,289.1118,298.1356,283.8793,289.7943,2924586
2020-03-10,295.4627,307.0082,290.7327,306.5343,2738836
2020-03-11,297.3206,298.5529,287.3297,290.799,2413908
2020-03-12,271.8409,275.8067,254.8733,255.6506,3585228
2020-03-13,269.4901,283.7656,261.6604,283.2537,3162383
2020-03-16,242.6643,271.5459,235.10,256.4469,2945530
2020-03-17,258.2669,269.1488,246.8161,249.8684,4262377
2020-03-18,231.1377,235.3275,191.6669,226.7584,3816973
2020-03-19,223.2322,232.0856,212.3692,225.5261,3407042
2020-03-20,229.1851,229.6969,210.0184,213.2792,3400595
2020-03-23,203.7811,210.5871,191.629,196.8993,4100210
2020-03-24,208.5396,226.6067,207.1178,226.5688,2899563
2020-03-25,228.0476,256.5796,227.1186,245.7924,3579611
2020-03-26,249.9253,264.2576,248.6551,260.485,2797466
2020-03-27,249.148,256.3331,242.9297,248.8636,1962481
2020-03-30,247.8778,253.5842,246.699,249.7736,2517861
2020-03-31,249.9442,258.0394,246.4559,253.6411,2648120
