Date,Open,High,Low,Close,Volume
2020-01-10,12.2075,12.2075,11.9875,12.13,1099956
2020-01-13,12.1425,12.31,12.0375,12.26,1398896
2020-01-14,12.2775,12.473,12.1975,12.26,1617688
2020-01-15,12.245,12.345,12.025,12.14,1321772
2020-01-16,12.2525,12.6925,12.24,12.4475,2138148
2020-01-17,12.5275,12.6788,12.4425,12.5375,1934996
2020-01-21,12.5375,12.86,12.4775,12.7063,2652948
2020-01-22,12.4925,12.625,12.14,12.2975,3945388
2020-01-23,12.195,12.2925,12.045,12.06,2924424
2020-01-24,12.045,12.0925,11.8275,11.9125,2686148
2020-01-27,11.715,11.905,11.575,11.7375,2610240
2020-01-28,11.7625,11.915,11.62,11.7375,2004276
2020-01-29,11.7725,12.1225,11.7396,11.9875,1537968
2020-01-30,11.8675,12.1475,11.8675,12.145,1219920
2020-01-31,12.055,12.06,11.64,11.75,2467752
2020-02-03,11.8525,12.81,11.845,12.7925,4455252
2020-02-04,12.865,13.6425,12.865,13.34,4367708
2020-02-05,13.575,13.575,12.9375,13.035,2232796
2020-02-06,13.07,13.27,12.86,12.9325,2115472
2020-02-07,12.885,12.9775,12.7825,12.9375,791328
2020-02-10,12.9075,13.3675,12.875,13.3625,1825480
2020-02-11,13.52,13.8231,13.38,13.81,3425148
2020-02-12,13.89,13.89,13.565,13.80,1455980
2020-02-13,13.7725,13.83,13.6275,13.8175,1166648
2020-02-14,13.82,13.8675,13.735,13.785,1047840
2020-02-18,13.7225,13.885,13.605,13.705,1390772
2020-02-19,13.7275,14.045,13.7275,13.9675,1573196
2020-02-20,14.40,14.625,14.0955,14.25,4123588
2020-02-21,14.185,14.185,13.595,13.76,2444584
2020-02-24,13.25,13.5925,13.065,13.4875,2629072
2020-02-25,13.50,13.535,12.8625,13.07,2344956
2020-02-26,13.1675,13.605,13.155,13.515,3418196
2020-02-27,13.1525,13.8524,12.895,12.91,4248820
2020-02-28,12.575,12.9975,12.2662,12.775,5729256
2020-03-02,12.85,13.66,12.595,13.5575,5248404
2020-03-03,13.5675,13.7475,12.8675,12.915,4074880
2020-03-04,13.0025,13.02,12.415,12.6475,5710020
2020-03-05,12.30,12.5175,11.8925,12.0575,4063952
2020-03-06,11.635,12.065,11.4325,12.00,6570352
2020-03-09,11.04,11.1775,10.175,10.9775,4027580
2020-03-10,11.28,11.7425,11.2388,11.665,3598484
2020-03-11,11.3025,11.395,11.0075,11.165,4072012
2020-03-12,10.425,10.9825,10.25,10.3575,5461720
2020-03-13,10.8525,11.0325,9.955,11.03,6064540
2020-03-16,9.28,10.4825,9.255,9.9775,4292468
2020-03-17,10.2775,10.7125,9.9075,10.665,4436748
2020-03-18,9.84,10.6713,9.285,9.56,6306232
2020-03-19,9.32,10.2325,9.1168,10.1675,3869192
2020-03-20,10.0725,10.71,9.36,9.475,4162888
2020-03-23,9.4925,9.4925,8.425,8.82,4753736
2020-03-24,9.3125,10.2475,9.115,10.185,3966608
2020-03-25,10.25,11.195,10.2125,10.8725,3745348
2020-03-26,10.85,11.23,10.4425,10.78,2312688
2020-03-27,10.5525,10.6488,10.13,10.355,2826916
2020-03-30,10.43,10.737,10.2625,10.55,2526276
2020-03-31,10.4125,10.96,10.32,10.7925,3310632
2020-04-01,10.6125,10.9419,10.4582,10.8125,4349880
2020-04-02,10.80,11.29,10.6675,11.11,3056116
2020-04-03,11.1975,11.3525,10.6025,10.6725,2300484
2020-04-06,11.0125,11.345,10.9775,11.3125,2552152
2020-04-07,11.715,11.7963,10.94,10.99,2168228
2020-04-08,11.0725,11.3525,10.9225,11.30,1354528
2020-04-09,11.6625,11.8375,11.2075,11.3825,1842656
2020-04-13,11.3325,11.405,11.0275,11.1225,1323808
2020-04-14,11.095,11.4275,11.095,11.33,1393736
2020-04-15,11.025,11.345,11.00,11.185,1191532
2020-04-16,11.2025,11.40,10.915,11.38,3021944
2020-04-17,11.72,11.79,11.345,11.4825,1793648
2020-04-20,11.235,11.65,11.085,11.0925,3318984
2020-04-21,11.085,11.1625,10.485,10.7975,3828304
2020-04-22,9.9375,10.0475,9.6025,9.8475,14297448
2020-04-23,10.045,10.0588,9.625,9.8025,4958184
2020-04-24,9.805,9.815,9.5125,9.655,3575988
2020-04-27,9.7375,10.0925,9.5638,10.03,4816052
2020-04-28,10.275,10.2775,9.7875,9.8775,4723552
2020-04-29,10.035,10.51,9.97,10.4125,4873892
2020-04-30,10.30,10.305,10.085,10.25,2573984
2020-05-01,10.22,10.31,9.985,10.2575,2193084
2020-05-04,10.1325,10.2625,10.0425,10.1475,1694584
2020-05-05,10.3275,10.3413,10.035,10.065,1584628
2020-05-06,10.16,10.2525,10.0025,10.0425,2126196
2020-05-07,10.15,10.27,10.075,10.1175,1847008
2020-05-08,10.19,10.3425,10.0875,10.2825,2680600
2020-05-11,10.215,10.3485,10.0525,10.0575,2280236
2020-05-12,10.085,10.16,9.6325,9.6525,2343220
2020-05-13,9.585,9.6175,9.2275,9.28,2687732
2020-05-14,9.155,9.4375,9.0625,9.42,2452436
2020-05-15,9.37,9.395,9.2525,9.31,2199256
2020-05-18,9.4475,9.8475,9.4475,9.775,2495800
2020-05-19,9.7525,9.81,9.60,9.6125,2315788
2020-05-20,9.975,9.9925,9.6975,9.7975,2625312
2020-05-21,9.735,9.7925,9.64,9.74,2393264
2020-05-22,9.755,9.8175,9.5575,9.705,1417980
2020-05-26,9.96,10.2213,9.9425,10.1325,2330480
2020-05-27,10.36,10.8775,10.2888,10.875,3323848
2020-05-28,10.9325,10.965,10.6475,10.715,1535908
2020-05-29,10.5525,10.7425,10.3625,10.5875,2252652
2020-06-01,10.6175,10.725,10.545,10.6725,3124348
2020-06-02,10.8225,10.9125,10.6075,10.725,2357596
2020-06-03,10.9575,11.1225,10.775,10.98,2698800
2020-06-04,10.8525,11.00,10.6113,10.8625,5280152
2020-06-05,11.3025,11.37,10.8675,10.87,3425368
2020-06-08,11.0775,11.3075,10.8938,11.2625,3759988
2020-06-09,11.065,11.2363,10.6738,11.0313,3481424
2020-06-10,11.07,11.1225,10.4775,10.5775,3833828
2020-06-11,10.20,10.5375,10.1325,10.3125,3645552
2020-06-12,10.7125,10.7125,10.1325,10.385,2917280
2020-06-15,10.1175,10.69,10.1175,10.6125,2689476
2020-06-16,10.645,10.9071,10.605,10.815,2763532
2020-06-17,10.8775,10.8775,10.5675,10.60,2078464
2020-06-18,10.5025,10.715,10.5025,10.58,2335224
2020-06-19,10.745,10.7925,10.36,10.39,3663680
2020-06-22,10.295,10.5275,10.235,10.3225,2955428
2020-06-23,10.5875,10.7752,10.4831,10.50,4014128
2020-06-24,10.3925,10.4625,10.2325,10.245,1856480
2020-06-25,10.245,10.565,10.215,10.49,2573640
2020-06-26,10.3725,10.3725,9.9725,10.0575,4139320
2020-06-29,10.1275,10.345,10.0475,10.3325,1960004
2020-06-30,10.3125,10.4863,10.295,10.4425,2221752
2020-07-01,10.3663,10.845,10.3025,10.5625,4529560
2020-07-02,10.7675,10.92,10.635,10.7525,3562036
2020-07-06,11.0875,11.5075,11.02,11.2575,5398000
2020-07-07,11.21,11.755,11.1475,11.7175,5535688
2020-07-08,11.81,12.19,11.8075,12.175,4261124
2020-07-09,12.205,12.255,11.9446,12.2125,2872076
2020-07-10,12.1625,12.3225,12.0225,12.3075,2629992
2020-07-13,12.425,12.7625,12.375,12.395,3403648
2020-07-14,12.3575,12.80,12.32,12.7625,3694168
2020-07-15,12.9325,13.3875,12.92,13.305,3290868
2020-07-16,12.5325,13.1675,12.53,12.9825,3556780
2020-07-17,13.0325,13.17,12.81,12.8425,2101972
2020-07-20,13.03,13.0625,12.815,12.8725,2460424
2020-07-21,12.895,13.0825,12.53,12.8375,4621300
2020-07-22,12.35,13.0625,12.3484,12.89,5152968
2020-07-23,12.6025,12.7875,12.22,12.4925,3322896
2020-07-24,12.3925,12.525,12.2875,12.345,2067116
2020-07-27,12.30,12.55,12.2175,12.515,1868248
2020-07-28,12.455,12.5375,12.37,12.3825,2529024
2020-07-29,12.445,12.6575,12.2875,12.5725,2679696
2020-07-30,12.35,12.545,12.2327,12.4325,1618004
2020-07-31,12.43,12.475,12.24,12.40,2873648
2020-08-03,12.50,12.8013,12.4325,12.6725,2306056
2020-08-04,12.6875,12.7825,12.5875,12.7325,1954156
2020-08-05,12.8325,13.035,12.735,12.9625,1628204
2020-08-06,12.97,12.9913,12.6632,12.705,1145972
2020-08-07,12.6975,12.815,12.5925,12.8025,1068584
2020-08-10,12.8675,12.8675,12.37,12.3875,2663216
2020-08-11,12.455,12.685,12.4175,12.445,1702188
2020-08-12,12.6025,12.875,12.6025,12.795,1486180
2020-08-13,12.745,12.7838,12.61,12.6875,1000740
2020-08-14,12.7275,13.0925,12.6125,13.04,2411352
2020-08-17,13.0375,13.1791,12.9025,12.9825,1785080
2020-08-18,12.97,13.10,12.755,12.9738,1363684
2020-08-19,13.03,13.285,13.0075,13.1225,1468036
2020-08-20,12.9825,13.15,12.89,13.0675,1452248
2020-08-21,12.9825,13.0675,12.765,12.875,1528748
2020-08-24,12.9425,13.0375,12.8975,12.985,1342628
2020-08-25,13.0825,13.0825,12.8925,12.95,1404652
2020-08-26,12.9675,13.2075,12.8825,13.1675,2101388
2020-08-27,13.21,13.305,13.1125,13.2625,2159876
2020-08-28,13.33,13.33,13.1975,13.32,2223588
2020-08-31,13.32,13.36,13.2275,13.255,1864248
2020-09-01,13.215,13.3275,13.07,13.325,1868680
2020-09-02,13.34,13.4125,13.28,13.32,2374736
2020-09-03,13.325,13.3675,13.0625,13.21,3157392
2020-09-04,13.4225,13.4225,12.85,12.9725,1853088
2020-09-08,12.8175,12.8175,12.0825,12.10,2760188
2020-09-09,12.18,12.2375,11.9525,11.9725,3044136
2020-09-10,11.9775,12.0213,11.7525,11.775,2358364
2020-09-11,11.90,12.0225,11.805,11.84,2841684
2020-09-14,11.8625,12.0375,11.845,11.9175,1643768
2020-09-15,11.9175,11.93,11.75,11.805,2615828
2020-09-16,11.815,11.995,11.7325,11.9125,2078460
2020-09-17,11.7275,11.97,11.6725,11.9225,1750400
2020-09-18,11.885,12.055,11.885,12.015,5449092
2020-09-21,11.945,11.98,11.7312,11.975,2409172
2020-09-22,11.965,12.2375,11.9124,12.19,3718288
2020-09-23,12.2075,12.25,11.74,11.7675,1743036
2020-09-24,11.7375,11.9128,11.645,11.725,1345024
2020-09-25,11.6325,11.9075,11.6075,11.8675,1003672
2020-09-28,12.005,12.185,12.005,12.0925,1786864
2020-09-29,12.125,12.125,11.9975,12.025,2109636
2020-09-30,12.0775,12.2375,11.9678,12.0825,2164204
2020-10-01,12.1263,12.245,12.0625,12.145,1992088
2020-10-02,11.9825,12.3888,11.9825,12.2325,2927308
2020-10-05,12.29,12.4225,12.2675,12.40,1602360
2020-10-06,12.375,12.75,12.375,12.5175,2007244
2020-10-07,12.64,12.775,12.5375,12.6525,1207628
2020-10-08,12.77,12.88,12.65,12.8575,1554924
2020-10-09,12.80,12.9325,12.645,12.665,1267640
2020-10-12,12.81,13.0175,12.75,12.8625,1506136
2020-10-13,12.8625,12.97,12.6825,12.6925,1457108
2020-10-14,12.6975,12.7475,12.3875,12.395,2019368
2020-10-15,12.2925,12.575,12.2925,12.5225,1404140
2020-10-16,12.52,12.7013,12.51,12.61,1244636
2020-10-19,12.6075,12.6625,12.32,12.335,1296020
2020-10-20,12.4025,12.70,12.30,12.45,3168148
2020-10-21,12.0625,12.6563,12.0625,12.3775,3656352
2020-10-22,12.3475,12.4963,12.03,12.42,1740548
2020-10-23,12.42,12.4388,12.265,12.3525,1225720
2020-10-26,12.2575,12.2575,11.9125,12.0675,1519776
2020-10-27,12.00,12.145,11.99,12.0075,1221196
2020-10-28,11.845,12.1013,11.7425,12.015,2841988
2020-10-29,11.83,12.0575,11.755,11.94,1643732
2020-10-30,11.87,11.965,11.6775,11.8925,2012308
2020-11-02,11.9775,12.3125,11.8625,11.955,2439256
2020-11-03,12.1125,12.31,12.0838,12.19,1857724
2020-11-04,12.1325,12.225,11.875,12.0675,1534080
2020-11-05,12.085,12.3925,12.085,12.3125,1605088
2020-11-06,12.365,12.365,12.145,12.175,1166920
2020-11-09,12.64,12.8725,12.27,12.3725,2588492
2020-11-10,12.36,12.7475,12.2325,12.74,2612300
2020-11-11,12.7125,12.9525,12.705,12.88,2148296
2020-11-12,12.785,12.9625,12.6014,12.94,2685844
2020-11-13,12.975,13.425,12.9325,13.395,3020692
2020-11-16,13.505,13.735,13.32,13.67,2671456
2020-11-17,13.5525,13.9375,13.4663,13.81,2617724
2020-11-18,13.9075,13.9075,13.1475,13.19,2809996
2020-11-19,13.24,13.425,13.155,13.3475,1648872
2020-11-20,13.355,13.4138,13.1925,13.245,5377168
2020-11-23,13.2725,13.475,13.14,13.16,2296464
2020-11-24,13.2225,13.29,13.0325,13.1925,2314360
2020-11-25,13.20,13.2325,13.09,13.16,1737756
2020-11-27,13.155,13.655,13.015,13.5275,1845736
2020-11-30,13.5025,13.5313,13.045,13.19,3544600
2020-12-01,13.4125,13.65,13.2775,13.495,4195468
2020-12-02,13.6575,13.8525,13.4675,13.7025,2760424
2020-12-03,13.735,13.735,13.5887,13.68,1944588
2020-12-04,13.765,13.9725,13.675,13.7675,1787076
2020-12-07,13.5625,13.7188,13.2638,13.3675,3834668
2020-12-08,13.30,13.545,13.23,13.535,3305392
2020-12-09,13.7425,14.10,13.5475,13.93,2999304
2020-12-10,13.8325,14.00,13.675,13.985,2779192
2020-12-11,13.905,13.91,13.5675,13.7725,1611672
