Date,Open,High,Low,Close,Volume
2020-01-10,132.6032,133.4453,131.9354,132.3032,3255641
2020-01-13,131.132,132.2548,130.7352,132.2161,3531572
2020-01-14,131.9064,132.7378,131.1998,131.4611,3683458
2020-01-15,131.6353,133.6244,131.3546,132.2354,4045952
2020-01-16,132.913,133.7551,132.6129,133.5518,4320911
2020-01-17,132.158,133.8906,131.7902,133.8712,5623336
2020-01-21,133.3872,134.8778,133.184,134.7036,7244079
2020-01-22,138.7204,141.1111,137.9751,139.2721,16470430
2020-01-23,139.5722,139.7751,137.588,138.2849,5657790
2020-01-24,138.7882,139.3012,135.9522,136.049,5580189
2020-01-27,134.0551,135.5738,133.6679,134.1713,4166562
2020-01-28,135.023,135.9619,134.2971,135.0714,3451557
2020-01-29,134.7036,135.1004,133.1791,133.2711,3054714
2020-01-30,132.3709,132.5742,130.6384,132.3806,5057906
2020-01-31,138.3139,139.427,136.2716,139.1173,18994560
2020-02-03,139.6206,142.5533,139.2818,141.5757,8887502
2020-02-04,143.0373,144.5859,142.1662,144.3246,5620966
2020-02-05,145.3893,152.3873,145.3312,151.3129,14386820
2020-02-06,151.7872,153.6552,150.4321,151.7291,8400545
2020-02-07,149.59,150.5482,148.0123,148.4866,6423429
2020-02-10,148.0607,149.4835,146.7153,149.4739,5239807
2020-02-11,150.1417,150.2385,147.8288,148.5544,3835112
2020-02-12,148.8157,150.6063,148.5931,150.3256,4438007
2020-02-13,149.4158,149.861,148.4866,149.3577,3820697
2020-02-14,149.4642,149.5997,144.9634,145.8636,6099244
2020-02-18,144.9828,146.5217,144.8376,146.2507,3343514
2020-02-19,146.6766,147.0154,145.4861,146.0184,2733277
2020-02-20,145.97,146.754,144.7118,146.3669,2880709
2020-02-21,146.1927,146.1927,144.0633,145.0312,3537258
2020-02-24,140.8401,143.2986,140.7143,141.7306,5452408
2020-02-25,141.808,142.3501,136.7275,137.1621,6211547
2020-02-26,138.3139,139.4367,135.1198,135.265,5409537
2020-02-27,132.8355,134.239,128.7413,128.8381,8421125
2020-02-28,125.8085,126.8829,122.3047,125.9731,13012230
