Date,Open,High,Low,Close,Volume
2020-01-10,276.49,276.50,273.8269,275.25,1127384
2020-01-13,276.33,277.849,274.83,276.04,1697645
2020-01-14,275.63,276.305,272.09,272.68,1216418
2020-01-15,273.82,276.08,272.61,273.00,1147275
2020-01-16,274.64,276.89,273.31,276.87,834723
2020-01-17,278.49,283.00,276.35,282.85,2172694
2020-01-21,281.81,285.26,281.54,285.01,1635982
2020-01-22,286.13,291.49,285.88,290.52,2611185
2020-01-23,289.73,292.675,288.3619,288.58,1659492
2020-01-24,290.00,293.00,287.26,288.08,1089872
2020-01-27,281.48,285.975,281.01,283.76,881215
2020-01-28,284.41,288.53,282.94,288.16,840913
2020-01-29,289.34,289.7363,283.89,285.92,858242
2020-01-30,284.19,286.84,282.45,286.63,785018
2020-01-31,285.80,286.48,279.75,280.38,1268822
2020-02-03,283.57,285.7682,281.4651,282.80,1042038
2020-02-04,287.16,292.80,284.45,290.92,1345944
2020-02-05,298.82,298.82,286.615,289.81,1060714
2020-02-06,291.85,294.335,289.81,294.21,1000690
2020-02-07,293.17,295.77,291.10,294.71,921683
2020-02-10,295.05,298.02,294.089,297.74,1139831
2020-02-11,299.90,299.96,296.50,296.92,903545
2020-02-12,297.00,298.87,294.63,298.65,792310
2020-02-13,297.29,300.55,296.85,297.84,721233
2020-02-14,298.56,304.44,297.46,304.29,855339
2020-02-18,303.95,304.83,302.02,303.57,888254
2020-02-19,305.50,306.8899,304.395,305.61,791673
2020-02-20,304.39,306.19,297.49,301.24,900984
2020-02-21,300.60,303.99,295.37,297.57,1173734
2020-02-24,288.44,292.6951,278.01,286.43,1996775
2020-02-25,297.55,301.64,283.57,284.80,3430555
2020-02-26,286.28,290.93,278.665,280.09,2449411
2020-02-27,274.26,278.59,268.40,268.77,2246687
2020-02-28,259.62,266.12,255.59,265.85,2899411
2020-03-02,266.72,281.33,263.73,281.18,2520507
2020-03-03,280.96,284.66,264.18,268.24,2015378
2020-03-04,274.22,286.52,270.52,285.55,2551248
2020-03-05,276.14,290.22,275.14,287.18,2418765
2020-03-06,276.45,281.81,268.14,276.18,1913953
2020-03-09,258.26,269.225,250.00,260.04,2138558
2020-03-10,270.11,270.11,257.97,269.66,2541533
2020-03-11,263.92,266.285,256.08,261.12,1848676
2020-03-12,245.09,257.98,235.96,237.94,3430282
2020-03-13,250.00,261.40,235.00,261.25,2399244
2020-03-16,232.00,244.99,222.38,223.43,2642653
2020-03-17,228.51,240.78,216.18,239.17,2901287
2020-03-18,226.04,232.27,215.07,225.07,2103296
2020-03-19,224.36,224.99,210.52,215.89,2340851
2020-03-20,217.73,219.225,199.39,201.84,3858422
2020-03-23,202.34,202.34,187.675,194.72,3415574
2020-03-24,206.16,235.56,204.34,233.82,3329643
2020-03-25,229.78,240.74,223.54,232.58,2505255
2020-03-26,234.55,249.67,228.51,248.39,2245842
2020-03-27,240.00,247.54,226.68,229.69,2143728
2020-03-30,236.99,240.4418,233.23,238.05,1321092
2020-03-31,236.29,238.42,229.62,230.00,1699255
2020-04-01,224.05,228.845,216.07,218.12,1646977
2020-04-02,216.10,228.34,215.55,225.22,1584448
2020-04-03,223.85,225.22,216.80,218.39,1553803
2020-04-06,231.73,241.69,227.17,240.12,2535593
2020-04-07,247.62,248.98,239.02,239.76,1466226
2020-04-08,241.46,247.86,240.38,245.93,1223245
2020-04-09,246.81,254.94,245.87,252.10,1646857
2020-04-13,250.71,252.77,244.56,250.09,1298871
2020-04-14,257.18,262.35,252.66,261.32,1817931
2020-04-15,256.95,257.47,250.73,251.96,1198795
2020-04-16,256.15,259.47,251.84,257.44,1087735
2020-04-17,264.73,267.33,259.01,265.36,1423658
2020-04-20,260.49,267.92,260.33,264.00,1297402
2020-04-21,259.48,260.88,246.42,249.15,1525759
2020-04-22,254.91,265.91,252.01,263.85,1258667
2020-04-23,263.03,267.80,256.98,258.06,1309228
2020-04-24,260.18,264.84,256.58,263.66,1069881
2020-04-27,267.43,273.08,265.22,271.83,941168
2020-04-28,273.34,276.98,265.78,266.31,1000036
2020-04-29,269.91,274.94,267.69,273.43,1132413
2020-04-30,272.76,275.10,268.22,269.81,1410864
2020-05-01,265.33,267.53,259.75,261.13,1193575
2020-05-04,259.00,268.01,258.3038,267.78,1366645
2020-05-05,270.08,277.84,269.54,274.48,1052743
2020-05-06,276.01,278.24,273.89,275.87,754522
2020-05-07,278.99,284.04,278.25,280.80,955230
2020-05-08,282.00,282.96,277.16,280.36,1209530
2020-05-11,280.47,289.28,279.635,287.84,882246
2020-05-12,288.99,289.77,280.73,281.68,933492
2020-05-13,281.58,286.17,273.55,277.16,957182
2020-05-14,274.94,280.555,270.91,280.27,912891
2020-05-15,277.24,285.08,276.59,284.39,849970
2020-05-18,290.87,295.37,286.41,290.37,1187835
2020-05-19,290.89,292.98,286.54,286.75,1318568
2020-05-20,288.63,293.63,288.63,290.49,1418290
2020-05-21,291.15,293.47,286.40,290.00,1358339
2020-05-22,286.18,289.6426,280.59,287.61,1770152
2020-05-26,291.461,291.94,280.97,282.20,1775709
2020-05-27,283.1449,283.1449,271.54,281.21,1479400
2020-05-28,282.00,290.24,281.38,283.87,1718150
2020-05-29,285.86,290.87,281.95,290.32,1689821
2020-06-01,289.11,291.72,288.075,289.95,1283840
2020-06-02,289.95,290.00,283.705,287.18,1133194
2020-06-03,288.56,290.72,285.65,290.10,1309657
2020-06-04,286.93,288.46,280.96,282.92,1316818
2020-06-05,280.77,289.00,275.63,288.11,1874044
2020-06-08,285.36,293.29,284.11,293.05,1067248
2020-06-09,292.63,295.25,290.60,291.25,1283043
2020-06-10,293.95,298.00,291.10,295.87,1072011
2020-06-11,293.90,294.98,277.72,277.87,1392750
2020-06-12,283.91,287.04,275.95,280.68,1173647
2020-06-15,275.00,285.14,274.19,283.14,943328
2020-06-16,289.98,293.40,285.42,288.58,1225682
2020-06-17,291.31,291.95,285.97,286.49,855534
2020-06-18,285.01,287.91,282.37,287.23,1126982
2020-06-19,289.53,291.99,285.27,286.32,2480585
2020-06-22,285.80,294.20,285.29,294.12,1179216
2020-06-23,294.98,296.49,292.44,293.83,1291546
2020-06-24,291.44,296.00,284.20,286.13,951035
2020-06-25,286.25,289.34,281.98,288.75,966589
2020-06-26,286.50,289.995,283.92,286.52,1376843
2020-06-29,285.81,289.78,281.75,287.92,965657
2020-06-30,289.15,297.92,288.00,296.19,1621878
2020-07-01,297.41,304.92,297.02,302.58,1653407
2020-07-02,304.85,307.78,303.11,305.30,1228650
2020-07-06,308.00,314.14,308.00,309.65,1162015
2020-07-07,309.18,314.725,307.19,307.93,1133343
2020-07-08,310.54,312.07,307.77,310.38,774541
2020-07-09,309.72,311.00,303.95,307.91,1027622
2020-07-10,307.78,308.64,302.995,307.55,762426
2020-07-13,309.00,311.23,296.98,297.64,1383120
2020-07-14,294.57,294.71,280.99,285.37,3106084
2020-07-15,288.03,290.8786,284.77,289.97,1526098
2020-07-16,287.93,288.41,281.19,285.70,1128509
2020-07-17,287.93,290.42,284.59,289.27,896496
2020-07-20,289.50,300.41,289.01,298.72,1019905
2020-07-21,299.42,300.705,296.85,297.88,1042442
2020-07-22,300.16,300.16,294.22,296.44,1145083
2020-07-23,295.94,298.88,290.20,291.55,1266090
2020-07-24,290.45,291.11,286.35,288.68,1193362
2020-07-27,290.47,297.43,290.46,296.145,1227911
2020-07-28,292.28,300.67,292.21,296.80,1050268
2020-07-29,298.87,305.22,298.02,302.18,1115551
