Date,Open,High,Low,Close,Volume
2020-01-10,201.8333,205.52,199.2966,199.5733,3848172
2020-01-13,200.1633,202.3066,199.6153,201.04,1845732
2020-01-14,200.9066,201.4336,199.1983,200.8966,1336026
2020-01-15,200.8966,201.83,198.6666,199.08,1296600
2020-01-16,200.53,201.2666,197.6866,199.43,1496730
2020-01-17,200.1833,200.2766,198.00,200.01,1777767
2020-01-21,199.43,200.8333,199.1185,200.55,1504083
2020-01-22,201.6666,204.8316,200.8366,203.4133,2031651
2020-01-23,203.95,205.00,202.1983,205.00,2941503
2020-01-24,201.60,201.6666,194.61,196.40,6267124
2020-01-27,190.6366,190.9966,186.42,189.1666,4479669
2020-01-28,190.11,191.1466,189.1666,189.91,2549982
2020-01-29,191.6666,192.57,189.3333,190.47,1694595
2020-01-30,189.55,191.58,186.06,190.28,2236620
2020-01-31,189.2833,190.07,185.0083,186.5933,2303586
2020-02-03,187.4333,188.7466,186.1966,188.54,2771571
2020-02-04,192.0566,194.9966,190.8866,191.3566,1844643
2020-02-05,193.7866,193.8333,190.9266,192.1866,1548405
2020-02-06,192.6666,194.5433,191.7733,193.85,1329972
2020-02-07,193.78,194.3366,192.781,193.1433,1806585
2020-02-10,192.9566,195.0333,192.231,194.9766,1208901
2020-02-11,196.2166,196.8666,195.2533,195.94,1292904
2020-02-12,197.19,198.3233,196.1266,197.6133,1397931
2020-02-13,199.6666,200.30,197.5033,200.1166,2262096
2020-02-14,200.3333,201.4466,198.1383,201.12,1911300
2020-02-18,200.4433,201.6666,199.9033,201.5566,1629123
2020-02-19,198.7133,206.19,198.7133,204.96,2213355
2020-02-20,203.6633,206.3333,202.5733,206.0966,1909929
2020-02-21,204.12,204.9766,202.2316,204.36,2202420
2020-02-24,196.8166,198.81,192.8433,193.39,2545380
2020-02-25,194.6466,195.0833,185.2933,186.1733,2651991
2020-02-26,188.3333,191.27,186.2733,186.51,2239281
2020-02-27,183.4633,186.83,181.3933,181.54,3200406
2020-02-28,175.97,178.95,172.8526,177.9866,5829706
2020-03-02,178.65,186.5266,177.4066,186.3566,2843415
2020-03-03,185.5733,191.6666,181.265,186.09,3081537
2020-03-04,189.3333,194.5733,187.665,194.30,2202144
2020-03-05,190.5966,192.2578,186.8431,189.4566,2871804
2020-03-06,183.3333,186.4933,179.36,185.0466,3102381
2020-03-09,171.7133,175.9666,167.00,170.22,3455454
2020-03-10,176.89,179.6466,168.52,179.1333,2936052
2020-03-11,173.3333,174.1866,167.5866,169.85,3015279
2020-03-12,162.0933,166.0667,152.02,152.51,5081995
2020-03-13,159.3433,160.7682,144.19,156.9933,5606272
2020-03-16,138.7733,149.17,134.08,134.7633,5371654
2020-03-17,137.6633,143.0133,123.3333,141.8267,5773237
2020-03-18,133.1667,136.12,122.6867,135.5667,6622150
2020-03-19,133.7533,144.63,124.00,136.0667,4805172
2020-03-20,138.9467,144.8033,130.43,131.3967,4265301
2020-03-23,127.3333,130.2633,120.1667,122.5833,4781238
2020-03-24,132.9733,144.545,132.3633,143.9667,5644150
2020-03-25,144.4333,161.3267,143.3333,153.4367,5216671
2020-03-26,154.21,168.20,154.21,167.1566,4961880
2020-03-27,159.5833,168.80,158.8937,163.47,4865604
2020-03-30,163.3333,168.96,161.4333,168.0733,2829783
2020-03-31,166.2833,169.80,164.0967,165.07,3420048
2020-04-01,153.42,158.3333,150.09,152.7533,4517502
2020-04-02,150.00,157.9883,150.00,155.9067,2672544
2020-04-03,154.7733,156.88,150.00,154.1567,3269415
2020-04-06,163.1633,167.80,159.01,166.7466,3802941
2020-04-07,173.3333,174.78,161.9617,163.33,4463673
2020-04-08,165.00,171.5566,162.01,170.1666,3145986
2020-04-09,170.5633,171.7333,163.5833,167.93,4174059
2020-04-13,165.4133,166.6833,162.7233,164.8433,2311611
2020-04-14,167.09,171.48,166.31,169.3133,3236130
2020-04-15,165.2033,171.095,163.6867,170.3333,2517621
2020-04-16,171.6266,171.98,165.1833,170.1466,2806800
2020-04-17,173.3666,176.0333,165.37,175.4433,4097058
2020-04-20,174.50,176.50,172.55,172.7766,2157654
2020-04-21,168.7266,170.4158,162.6667,165.5433,2728674
2020-04-22,167.92,171.4766,166.4367,170.71,2332266
2020-04-23,171.7066,174.6666,170.526,171.0733,2279958
