Date,Open,High,Low,Close,Volume
2020-01-10,17.99,18.00,17.66,17.70,4076256
2020-01-13,17.75,18.09,17.63,18.06,4165091
2020-01-14,18.07,18.14,17.89,17.90,4136579
2020-01-15,17.79,18.25,17.79,18.00,6787093
2020-01-16,18.11,18.27,18.06,18.26,4295030
2020-01-17,18.33,18.54,18.19,18.32,4701401
2020-01-21,18.23,18.49,18.13,18.31,4140615
2020-01-22,18.30,18.545,18.25,18.51,2963965
2020-01-23,18.33,18.53,18.10,18.47,3011753
2020-01-24,18.49,18.49,17.99,18.17,5422667
2020-01-27,17.67,17.82,17.53,17.70,4935810
2020-01-28,17.90,18.18,17.84,17.97,5822690
2020-01-29,17.76,18.09,17.36,17.63,6120771
2020-01-30,17.40,17.6985,17.185,17.63,6784073
2020-01-31,17.46,17.585,17.22,17.30,5048309
2020-02-03,17.42,17.75,17.28,17.28,4870258
2020-02-04,17.60,17.97,17.59,17.85,4381616
2020-02-05,18.13,18.46,18.11,18.39,4051674
2020-02-06,18.58,18.65,18.115,18.20,3315701
2020-02-07,18.01,18.275,17.93,18.22,2415736
2020-02-10,18.11,18.59,18.06,18.58,3639290
2020-02-11,18.65,18.93,18.65,18.89,4847548
2020-02-12,18.84,19.01,18.57,18.58,4476138
2020-02-13,18.43,18.50,18.01,18.01,3750922
2020-02-14,18.01,18.04,17.72,17.78,3149482
2020-02-18,17.85,18.09,17.57,17.62,4216303
2020-02-19,17.65,17.8288,17.62,17.69,2973930
2020-02-20,17.80,18.23,17.76,18.03,4437622
2020-02-21,17.89,17.92,17.37,17.48,6074282
2020-02-24,16.80,16.93,16.645,16.78,6245292
2020-02-25,16.84,16.84,15.80,15.86,6922104
2020-02-26,15.94,16.09,15.455,15.46,6745283
2020-02-27,15.06,15.40,14.545,14.60,7322274
2020-02-28,14.08,14.49,13.80,14.40,12772030
2020-03-02,14.47,14.81,14.02,14.78,9526492
2020-03-03,14.69,15.10,14.11,14.29,9125784
2020-03-04,14.53,14.63,13.93,14.62,5825973
2020-03-05,13.98,14.03,13.26,13.42,7676170
2020-03-06,12.75,13.495,12.64,13.12,7990333
2020-03-09,11.82,12.42,11.36,11.59,6696585
2020-03-10,12.31,12.47,11.475,12.47,7074415
2020-03-11,11.93,12.04,10.66,11.16,10178040
2020-03-12,10.16,10.18,9.17,9.45,9427708
2020-03-13,10.23,10.80,9.01,10.80,12335590
2020-03-16,8.84,9.345,8.25,8.75,9198491
2020-03-17,8.96,10.36,8.17,10.18,11688660
2020-03-18,9.14,11.155,8.95,9.83,12467500
2020-03-19,9.45,10.785,9.11,9.84,5468005
2020-03-20,9.96,9.96,8.53,8.55,10146780
2020-03-23,8.25,8.51,7.38,7.61,7097962
2020-03-24,8.34,8.64,7.89,8.52,8102088
2020-03-25,8.66,9.46,8.285,8.98,9023461
2020-03-26,9.05,10.00,8.92,9.81,10193140
2020-03-27,9.40,9.8735,8.88,9.37,9454478
2020-03-30,9.31,9.66,8.85,9.56,9442484
2020-03-31,9.57,9.64,8.90,9.08,7461920
2020-04-01,8.51,8.57,7.88,8.01,6953137
2020-04-02,8.02,8.55,7.88,8.22,7807366
2020-04-03,8.22,8.375,7.67,7.81,8812331
2020-04-06,8.46,9.06,8.30,8.96,7120154
2020-04-07,9.74,10.128,9.04,9.14,7434555
2020-04-08,9.28,9.6299,9.17,9.47,4516838
2020-04-09,9.85,10.36,9.58,9.86,8473149
2020-04-13,9.90,9.93,9.35,9.57,5865705
2020-04-14,9.84,9.97,9.45,9.81,5993181
2020-04-15,8.83,9.09,8.80,8.96,5318484
2020-04-16,8.92,8.92,8.5025,8.71,4788745
2020-04-17,9.15,9.32,8.905,9.07,7358515
2020-04-20,8.82,9.24,8.56,9.09,5052250
2020-04-21,8.72,9.20,8.64,8.93,4934844
2020-04-22,9.17,9.28,8.93,9.18,5242359
2020-04-23,8.67,8.87,7.2014,7.24,42380780
2020-04-24,7.40,7.85,7.30,7.80,20132980
2020-04-27,7.90,8.03,7.71,7.95,11866490
2020-04-28,8.14,8.57,8.12,8.51,8464428
2020-04-29,8.83,8.99,8.445,8.62,8772821
2020-04-30,8.40,8.685,8.183,8.62,7586066
2020-05-01,8.27,8.30,7.86,7.99,8259882
2020-05-04,7.82,8.14,7.61,8.09,9777188
