Date,Open,High,Low,Close,Volume
2020-01-10,145.75,146.18,144.90,145.06,5042668
2020-01-13,145.48,145.79,144.72,145.70,4593819
2020-01-14,145.05,146.61,144.73,146.52,7038779
2020-01-15,146.40,147.395,146.24,147.01,4960460
2020-01-16,147.42,148.84,146.20,148.20,6476379
2020-01-17,148.41,149.41,147.93,149.17,9083838
2020-01-21,148.58,150.17,148.50,149.27,9543905
2020-01-22,146.70,149.18,146.00,148.25,10305330
2020-01-23,148.04,148.77,146.755,148.53,8671988
2020-01-24,148.58,148.945,147.93,148.32,9051933
2020-01-27,147.52,149.46,147.00,148.75,7587103
2020-01-28,148.46,150.57,148.15,149.50,7336636
2020-01-29,149.45,151.19,149.13,150.54,6288760
2020-01-30,150.03,150.51,149.05,150.36,6470584
2020-01-31,149.75,150.00,148.64,148.87,8651930
2020-02-03,149.42,150.49,149.24,150.17,5765413
2020-02-04,151.49,152.75,151.20,151.60,6541584
2020-02-05,151.72,154.02,151.31,153.99,5980013
2020-02-06,154.25,154.50,152.74,153.53,6201257
2020-02-07,153.34,153.455,151.55,151.89,5700295
2020-02-10,151.68,151.91,150.8911,151.86,4836002
2020-02-11,152.29,152.38,151.54,151.99,3715389
2020-02-12,151.87,152.15,150.92,151.09,5167069
2020-02-13,150.16,151.045,149.88,150.09,5480225
2020-02-14,150.56,150.64,149.15,150.13,5716549
2020-02-18,150.47,150.74,149.06,149.14,7231010
2020-02-19,149.21,149.76,148.58,148.94,6115220
2020-02-20,148.61,149.38,147.4043,148.37,7465047
2020-02-21,148.09,150.24,147.54,149.93,7776835
2020-02-24,146.50,149.00,145.25,145.91,10589200
2020-02-25,145.99,146.75,143.83,144.65,10529370
2020-02-26,145.35,146.22,143.59,143.68,10094400
2020-02-27,142.56,144.77,138.95,139.12,12566710
2020-02-28,135.36,137.29,130.82,134.48,19825530
2020-03-02,134.78,140.13,134.0138,140.02,11508230
2020-03-03,140.00,140.99,133.10,135.59,13662450
2020-03-04,137.68,143.64,137.14,143.48,10560820
2020-03-05,140.80,142.68,139.84,142.01,11339190
2020-03-06,138.48,143.01,137.41,142.03,12239090
2020-03-09,136.33,139.6799,134.90,136.44,13848570
2020-03-10,139.97,141.95,134.23,141.64,12698070
2020-03-11,138.09,138.75,131.50,131.80,17768060
2020-03-12,127.31,133.765,124.50,125.41,21539200
2020-03-13,129.32,134.92,124.65,134.29,20084150
2020-03-16,123.57,133.76,122.43,127.13,18877920
2020-03-17,128.55,136.77,127.81,136.59,18911760
2020-03-18,131.02,135.6696,128.71,134.96,17521130
2020-03-19,134.99,134.99,126.15,127.05,18482340
2020-03-20,126.83,127.44,118.13,119.89,19785130
2020-03-23,117.00,118.56,109.16,111.14,20815230
2020-03-24,118.76,119.65,113.86,119.18,17604770
2020-03-25,118.91,123.96,116.7008,119.40,13986050
2020-03-26,120.57,127.10,120.38,126.57,15068650
2020-03-27,121.65,127.62,120.58,123.16,12133220
2020-03-30,128.46,133.99,127.50,133.01,21754030
2020-03-31,134.99,135.7097,130.05,131.13,15746120
2020-04-01,127.70,130.23,125.50,128.81,12606080
2020-04-02,129.12,134.00,127.22,133.15,11594460
2020-04-03,132.38,134.785,131.58,134.17,10071180
2020-04-06,137.01,140.97,135.54,139.76,14994420
2020-04-07,139.86,142.03,137.26,137.48,11567070
2020-04-08,137.75,144.13,137.30,143.26,10758180
2020-04-09,144.01,145.42,140.28,141.23,11127210
2020-04-13,140.00,141.4899,137.8404,139.77,8153228
2020-04-14,145.42,147.42,144.05,146.03,13838020
2020-04-15,145.55,147.91,143.54,147.66,11962260
2020-04-16,148.31,150.68,146.44,149.67,12181700
2020-04-17,151.99,152.30,149.60,152.02,10920020
2020-04-20,150.93,153.00,150.09,151.67,12226200
2020-04-21,150.12,151.64,148.57,149.68,9951106
2020-04-22,152.81,155.00,151.73,152.99,11518320
2020-04-23,154.25,157.00,153.6988,155.51,10665020
2020-04-24,155.57,156.30,153.64,154.86,8654126
2020-04-27,154.81,156.05,154.00,154.29,8924048
2020-04-28,151.25,153.10,150.70,151.39,8558719
2020-04-29,151.38,151.63,149.16,150.24,9285216
2020-04-30,148.46,150.43,147.16,150.04,14829600
2020-05-01,149.62,149.67,146.79,148.29,7308960
2020-05-04,148.77,149.08,147.09,148.27,7198409
2020-05-05,149.00,150.78,148.64,149.50,6562288
2020-05-06,150.00,150.32,148.04,148.08,6191594
2020-05-07,149.37,149.525,147.1301,147.59,5571034
2020-05-08,148.92,149.18,147.89,148.70,4712477
2020-05-11,148.45,150.10,148.12,149.11,5887489
2020-05-12,150.10,150.34,147.03,147.14,7039227
2020-05-13,146.08,148.95,146.01,147.13,6970457
2020-05-14,145.39,147.76,144.257,147.64,6871412
2020-05-15,147.87,150.48,145.66,150.44,10340400
2020-05-18,152.49,153.62,150.46,150.52,7389995
2020-05-19,150.10,151.10,148.40,149.02,6107256
2020-05-20,149.75,150.39,147.27,147.68,5713440
2020-05-21,148.50,148.50,145.82,146.71,6487343
2020-05-22,144.57,146.285,144.06,144.37,6140899
2020-05-26,146.19,146.44,144.30,144.56,7072258
2020-05-27,144.32,145.25,143.01,144.89,7950008
2020-05-28,146.02,148.11,145.81,146.97,6190582
2020-05-29,147.96,149.35,145.33,148.75,8505215
2020-06-01,147.29,148.34,146.01,147.19,6142580
2020-06-02,147.06,148.35,146.12,148.25,6078311
2020-06-03,148.52,149.14,146.449,148.65,6339468
2020-06-04,146.80,148.37,145.58,146.73,8170480
2020-06-05,147.69,149.64,146.60,147.30,9725441
2020-06-08,145.88,147.61,145.74,146.77,7555622
2020-06-09,148.25,149.33,145.65,145.96,8247233
2020-06-10,146.60,150.03,146.60,147.80,10137070
2020-06-11,148.58,149.17,140.75,140.87,11913270
2020-06-12,142.84,143.7067,140.28,142.15,8687356
2020-06-15,141.00,142.397,139.3914,141.25,8655014
2020-06-16,144.09,145.4219,142.77,144.46,7582631
2020-06-17,144.90,145.42,143.47,144.02,5100095
2020-06-18,142.52,144.115,141.87,143.41,4797449
2020-06-19,145.79,145.88,143.25,143.83,12194090
2020-06-22,143.47,143.66,142.03,143.39,5285631
2020-06-23,143.74,144.08,142.68,142.86,5921594
2020-06-24,141.49,142.19,138.72,139.82,8211239
2020-06-25,140.57,140.57,137.54,139.67,7421160
2020-06-26,139.53,139.60,137.02,137.81,12849740
2020-06-29,138.74,139.70,137.98,139.04,5309797
2020-06-30,139.40,141.02,137.84,140.63,7738296
2020-07-01,140.69,141.39,140.06,140.38,6175020
2020-07-02,141.25,141.8386,140.33,140.97,5152238
2020-07-06,142.17,143.77,141.88,142.98,6156354
2020-07-07,141.39,143.97,141.23,142.85,5622609
2020-07-08,142.87,143.39,141.70,143.27,6257537
2020-07-09,142.76,144.425,140.58,142.49,5738564
2020-07-10,142.75,142.87,141.425,142.37,4282406
2020-07-13,143.61,146.639,143.28,145.21,6951941
2020-07-14,145.32,148.39,145.26,147.92,7447125
2020-07-15,149.73,150.205,148.23,148.26,8512838
2020-07-16,148.68,149.34,146.68,149.25,9304669
2020-07-17,150.00,150.5776,148.69,149.35,7444124
2020-07-20,150.23,150.32,148.43,149.60,6191457
2020-07-21,149.60,151.6695,149.50,149.74,5579687
2020-07-22,149.93,150.405,147.85,150.01,5910193
2020-07-23,150.21,150.85,149.28,149.61,6566269
2020-07-24,150.50,150.60,147.03,148.12,5405867
2020-07-27,147.37,148.92,146.86,147.18,5675155
2020-07-28,147.40,147.99,146.75,146.83,4842184
2020-07-29,146.39,147.47,146.07,146.54,4489147
2020-07-30,147.44,147.50,146.14,146.84,5922481
2020-07-31,146.66,147.45,143.96,145.76,8257997
2020-08-03,146.39,147.79,146.15,147.35,4079755
2020-08-04,146.99,147.22,145.8247,147.22,4162154
2020-08-05,149.10,149.31,147.80,148.40,5493196
2020-08-06,148.40,149.25,146.50,147.55,4837865
2020-08-07,147.51,148.65,147.15,148.60,3635071
2020-08-10,148.86,149.01,147.72,148.03,4096620
2020-08-11,149.14,149.23,146.37,146.97,6388389
2020-08-12,147.54,150.24,147.49,149.66,5258127
2020-08-13,148.54,149.19,147.53,148.00,5155457
2020-08-14,147.61,149.34,147.58,148.24,4240189
2020-08-17,148.32,150.23,148.23,148.99,4306909
2020-08-18,149.26,150.10,148.57,150.09,4322567
2020-08-19,149.58,151.58,149.32,150.39,7816251
2020-08-20,149.75,151.58,149.5457,151.42,4874739
2020-08-21,151.78,153.65,150.5901,152.76,6722759
2020-08-24,152.74,152.90,150.35,152.15,5387937
2020-08-25,152.78,153.07,151.535,152.06,3863477
2020-08-26,151.86,152.65,150.64,152.30,8008292
2020-08-27,152.42,153.26,151.89,152.98,5575432
