Date,Open,High,Low,Close,Volume
2020-01-10,27.85,28.335,27.85,27.88,7271355
2020-01-13,27.83,27.955,27.75,27.80,3240409
2020-01-14,27.72,27.84,27.35,27.60,2660467
2020-01-15,27.62,28.18,27.60,27.86,2417708
2020-01-16,27.94,28.09,27.562,27.62,4704786
2020-01-17,27.62,27.94,27.60,27.67,4545493
2020-01-21,27.38,27.59,27.08,27.10,2973767
2020-01-22,27.16,28.11,27.16,28.03,8292947
2020-01-23,27.54,27.815,27.14,27.77,5988108
2020-01-24,27.85,28.13,27.63,28.04,4623278
2020-01-27,27.66,28.12,27.64,28.03,3130254
2020-01-28,28.05,28.57,28.01,28.54,3022569
2020-01-29,28.57,28.837,28.49,28.55,2287744
2020-01-30,28.51,28.81,28.46,28.66,2450422
2020-01-31,28.70,28.865,28.48,28.53,2895136
2020-02-03,28.48,28.795,28.44,28.68,1246577
2020-02-04,28.93,29.02,28.67,28.67,1261520
2020-02-05,28.80,28.96,28.63,28.69,905681
2020-02-06,28.76,28.97,28.43,28.56,1757902
2020-02-07,28.50,28.64,28.46,28.57,1676526
2020-02-10,28.50,28.75,28.45,28.71,2560699
2020-02-11,28.75,28.86,28.64,28.67,1377451
2020-02-12,28.66,28.76,28.47,28.64,1537028
2020-02-13,28.45,28.78,28.44,28.58,2146240
2020-02-14,28.65,28.98,28.58,28.87,1161509
2020-02-18,28.78,29.1741,28.78,28.87,3361244
2020-02-19,28.91,29.06,28.795,28.85,1469298
2020-02-20,28.83,29.33,28.80,29.30,1646360
2020-02-21,29.33,29.545,29.07,29.50,1481674
2020-02-24,29.20,29.42,28.98,29.14,1488679
2020-02-25,29.22,29.38,28.40,28.92,3449396
2020-02-26,29.06,29.42,28.495,28.73,3278465
2020-02-27,27.70,28.84,27.50,28.24,7680522
2020-02-28,27.84,28.00,26.77,27.88,4177679
2020-03-02,27.90,28.29,27.44,28.26,4619014
2020-03-03,28.26,28.51,27.495,27.55,5727005
2020-03-04,27.92,28.11,27.44,27.77,9166173
2020-03-05,27.11,27.27,26.50,27.00,23735740
2020-03-06,26.37,26.66,26.11,26.63,7347000
2020-03-09,25.74,26.09,21.38,24.45,7682461
2020-03-10,25.13,25.41,23.37,25.25,6805561
2020-03-11,24.72,25.08,24.05,24.51,5671092
2020-03-12,23.45,24.05,22.26,22.99,8118598
2020-03-13,23.75,24.06,22.55,23.47,6647840
2020-03-16,21.07,21.89,19.555,19.60,5986845
2020-03-17,20.02,20.43,19.03,20.32,8502439
2020-03-18,19.31,20.15,18.98,19.91,6961918
2020-03-19,19.90,24.635,19.90,24.32,7464056
2020-03-20,24.57,25.02,22.72,23.53,6202662
2020-03-23,23.28,23.74,22.81,23.18,4999538
2020-03-24,24.09,24.765,23.29,23.89,6757499
2020-03-25,23.95,25.70,23.64,25.00,4848542
2020-03-26,24.84,25.88,24.34,24.79,5624010
2020-03-27,24.06,24.79,23.86,24.38,2859392
2020-03-30,24.59,24.87,24.03,24.78,3701003
2020-03-31,24.41,24.76,24.185,24.27,2426900
2020-04-01,23.70,24.19,23.43,23.66,3029726
2020-04-02,23.35,23.96,23.29,23.86,4718179
2020-04-03,23.74,23.92,23.42,23.80,3994995
2020-04-06,24.37,24.74,24.21,24.59,2553192
2020-04-07,24.91,26.79,24.89,25.91,4683106
2020-04-08,25.97,26.79,25.63,26.61,1299686
2020-04-09,26.80,27.60,26.46,26.86,2353583
2020-04-13,26.66,26.86,26.22,26.33,1233364
2020-04-14,26.56,27.82,26.37,27.49,2299007
2020-04-15,27.05,27.37,26.73,26.84,1242458
2020-04-16,27.14,27.14,26.57,26.81,2851204
2020-04-17,27.15,27.31,25.95,26.15,4408295
2020-04-20,25.87,26.33,25.6761,26.02,1934236
2020-04-21,25.62,25.83,25.27,25.65,2723253
2020-04-22,25.83,26.70,25.8038,26.54,2399410
2020-04-23,26.48,26.59,26.06,26.17,1749985
2020-04-24,26.29,26.45,25.8996,26.29,2766459
2020-04-27,27.16,27.25,25.74,25.86,6376291
2020-04-28,28.00,28.00,26.88,27.11,5411033
2020-04-29,27.10,27.39,26.26,26.69,2875752
2020-04-30,26.62,26.77,26.155,26.46,2849496
2020-05-01,26.25,26.365,25.725,25.90,1449382
2020-05-04,25.55,26.06,25.55,26.02,1484045
2020-05-05,26.06,26.505,26.06,26.26,1485762
2020-05-06,26.51,27.01,26.46,26.72,2545172
2020-05-07,26.58,26.91,26.15,26.36,5159474
2020-05-08,26.66,26.77,26.29,26.34,2578839
2020-05-11,26.33,27.025,26.115,26.93,4815770
2020-05-12,27.20,27.24,26.52,26.59,3109755
2020-05-13,26.95,27.098,26.25,26.42,11308730
2020-05-14,25.98,26.40,25.91,26.37,3036805
2020-05-15,26.48,26.69,26.26,26.30,2256662
2020-05-18,26.76,27.015,26.60,26.96,4420388
2020-05-19,27.01,27.48,27.0066,27.22,4120783
2020-05-20,27.48,27.86,27.46,27.69,2507851
2020-05-21,26.88,27.18,26.74,26.88,9681417
2020-05-22,26.98,27.30,26.85,27.16,12958110
2020-05-26,27.52,27.58,26.915,26.93,6830306
2020-05-27,27.09,27.82,26.865,27.77,6696157
2020-05-28,28.00,28.45,27.77,27.78,5391728
2020-05-29,27.81,28.115,27.475,27.92,23927130
2020-06-01,28.18,28.49,28.07,28.36,4632484
2020-06-02,28.44,28.56,27.93,28.06,3107472
2020-06-03,28.23,28.92,28.18,28.47,5691777
2020-06-04,28.33,28.67,28.23,28.42,9260328
2020-06-05,28.61,29.22,28.50,28.69,11674070
2020-06-08,28.71,28.71,28.255,28.43,3689903
2020-06-09,28.22,28.565,27.955,28.33,5101634
2020-06-10,28.42,28.745,28.23,28.50,7828815
2020-06-11,28.89,29.24,28.22,28.34,3353864
2020-06-12,28.70,28.85,27.64,28.12,4435568
2020-06-15,27.81,28.60,27.65,28.58,2812425
2020-06-16,29.19,29.30,28.33,28.64,3619954
2020-06-17,28.63,29.095,28.57,28.74,1990607
2020-06-18,28.65,29.09,28.65,29.06,1618211
2020-06-19,29.32,29.46,28.70,28.71,3886037
2020-06-22,28.70,29.21,28.59,29.19,2603625
2020-06-23,29.29,29.58,29.02,29.03,2898334
2020-06-24,28.91,28.97,28.25,28.40,2162011
2020-06-25,28.37,28.60,28.175,28.40,5781383
2020-06-26,28.36,28.59,28.06,28.22,5824244
2020-06-29,28.34,28.48,27.92,28.30,2370913
2020-06-30,28.28,28.45,28.14,28.40,3112021
2020-07-01,28.36,28.77,28.32,28.67,2061588
2020-07-02,28.86,28.8625,28.445,28.53,2339105
2020-07-06,28.65,28.73,28.34,28.56,1844462
2020-07-07,28.63,29.50,28.57,29.12,3496201
2020-07-08,29.00,29.07,28.45,28.61,2688155
2020-07-09,29.26,29.90,29.00,29.00,4159112
2020-07-10,29.03,29.21,28.755,29.20,1842634
2020-07-13,29.32,29.42,28.88,28.92,1981754
2020-07-14,28.81,29.375,28.75,29.34,1370283
2020-07-15,29.54,29.60,29.2745,29.42,1544956
2020-07-16,29.45,29.655,29.32,29.56,1414779
2020-07-17,29.57,29.80,29.42,29.78,1981655
2020-07-20,29.78,29.95,29.685,29.77,2022480
2020-07-21,30.00,30.00,29.68,29.88,2326576
2020-07-22,30.03,30.37,29.835,30.30,1884949
2020-07-23,30.30,30.42,30.16,30.27,1435748
2020-07-24,30.16,30.37,30.045,30.34,999414
2020-07-27,30.54,30.97,30.49,30.96,1742866
2020-07-28,31.00,31.10,30.715,30.89,2406436
2020-07-29,31.18,31.47,30.955,31.26,2810105
2020-07-30,30.92,31.00,29.99,30.77,3639058
2020-07-31,31.19,31.25,30.415,30.59,3826215
2020-08-03,30.01,30.22,29.67,29.92,6314700
2020-08-04,29.81,30.13,29.78,29.95,2748491
2020-08-05,29.97,30.005,29.85,29.93,2773232
2020-08-06,29.98,29.98,29.7421,29.83,1803433
2020-08-07,29.92,29.99,29.55,29.63,2369086
2020-08-10,29.49,29.83,29.33,29.76,3145601
2020-08-11,29.77,29.94,29.48,29.57,2590554
2020-08-12,29.73,30.28,29.63,30.11,2832790
2020-08-13,30.16,30.54,30.09,30.16,2916622
2020-08-14,30.17,30.17,29.76,29.89,3783157
2020-08-17,29.90,30.15,29.73,29.75,1970683
2020-08-18,28.74,29.26,28.35,29.10,22699230
2020-08-19,29.16,29.64,29.145,29.34,13832880
2020-08-20,29.15,29.43,29.01,29.19,8387391
2020-08-21,29.20,29.20,28.85,28.93,5055681
2020-08-24,28.99,29.185,28.82,29.16,4020232
2020-08-25,29.17,29.315,29.08,29.30,1875156
2020-08-26,29.91,30.06,29.585,29.80,7864085
2020-08-27,29.92,30.23,29.81,29.93,4615293
2020-08-28,30.00,30.09,29.68,30.07,2795408
2020-08-31,30.10,30.18,29.83,29.83,2524002
2020-09-01,29.92,30.03,29.79,29.95,4106755
2020-09-02,30.00,30.475,29.97,30.40,4358383
2020-09-03,30.46,30.555,29.59,29.80,3799774
2020-09-04,29.84,29.99,29.05,29.54,3141480
2020-09-08,29.36,29.45,28.625,28.86,3700714
2020-09-09,29.03,29.69,28.93,29.52,4140474
2020-09-10,28.98,29.075,28.51,28.53,9679732
2020-09-11,28.60,28.99,28.47,28.83,5990677
2020-09-14,28.99,29.075,28.74,28.81,3960281
2020-09-15,28.93,29.12,28.75,28.80,3510666
2020-09-16,28.90,28.99,28.40,28.43,2987624
2020-09-17,28.15,28.545,28.12,28.31,3468175
2020-09-18,28.43,28.43,27.865,28.05,5806166
2020-09-21,27.76,27.94,27.43,27.865,6586535
2020-09-22,27.98,28.215,27.765,27.85,5465808
2020-09-23,27.93,28.06,27.16,27.19,2376220
2020-09-24,27.37,27.52,27.00,27.26,3197181
2020-09-25,27.14,27.95,27.10,27.875,4276586
2020-09-28,28.11,28.26,27.82,27.84,2813492
2020-09-29,27.98,27.98,27.09,27.11,4577037
2020-09-30,27.14,27.62,27.14,27.60,6646088
2020-10-01,27.59,28.195,27.38,28.01,4908157
2020-10-02,27.62,28.19,27.62,28.09,3902589
2020-10-05,28.30,28.39,27.61,27.665,6183116
2020-10-06,27.66,28.22,27.61,28.03,5120790
2020-10-07,28.22,28.68,28.11,28.60,3493716
2020-10-08,28.68,28.895,28.56,28.70,2891805
2020-10-09,28.82,29.30,28.65,29.25,5359322
2020-10-12,30.10,30.32,29.75,29.80,6856886
2020-10-13,29.61,30.015,29.54,29.83,4424218
2020-10-14,29.94,30.11,29.54,29.67,5586062
2020-10-15,29.41,29.71,29.31,29.44,4350371
2020-10-16,29.37,30.00,29.27,29.76,56689950
2020-10-19,29.70,30.14,29.11,29.20,6506442
2020-10-20,29.47,29.67,29.23,29.23,3726801
2020-10-21,29.00,29.33,28.80,29.16,3958546
2020-10-22,29.18,29.695,29.09,29.55,3770327
2020-10-23,29.80,29.89,29.125,29.21,4425355
2020-10-26,29.15,29.21,28.12,28.44,7958024
2020-10-27,28.50,28.76,28.295,28.60,6428542
2020-10-28,28.13,28.39,27.52,27.73,6262091
2020-10-29,27.39,27.88,27.175,27.19,5173104
2020-10-30,27.05,27.17,26.665,26.90,5757773
2020-11-02,27.30,27.55,26.715,27.04,4333533
2020-11-03,27.33,28.03,27.33,27.80,3558634
2020-11-04,28.80,28.88,28.04,28.23,5403587
2020-11-05,28.57,28.89,28.36,28.80,3796709
2020-11-06,29.02,29.02,28.53,28.66,2623039
2020-11-09,29.56,29.73,27.69,27.73,6770027
2020-11-10,27.25,28.48,27.115,28.38,6918655
2020-11-11,28.53,29.72,28.47,29.40,5090001
2020-11-12,29.51,29.54,28.79,29.05,3924070
2020-11-13,29.10,29.4746,29.095,29.30,2348880
2020-11-16,29.30,29.68,29.09,29.45,5977514
2020-11-17,28.30,29.31,28.245,29.19,29406730
2020-11-18,29.45,29.755,29.29,29.51,16248280
