Date,Open,High,Low,Close,Volume
2020-01-10,19.69,19.71,19.39,19.45,6898600
2020-01-13,19.49,19.52,19.3325,19.48,8704543
2020-01-14,19.50,19.68,19.42,19.50,10120340
2020-01-15,19.31,19.33,19.07,19.17,11297010
2020-01-16,19.31,19.47,19.22,19.41,7813994
2020-01-17,19.54,19.60,19.42,19.59,9686798
2020-01-21,19.48,19.6657,19.37,19.50,11608280
2020-01-22,19.57,19.6483,19.46,19.62,12092840
2020-01-23,19.76,20.07,19.375,19.83,14745270
2020-01-24,19.94,19.95,19.125,19.29,9356361
2020-01-27,18.83,19.01,18.71,18.84,10412230
2020-01-28,18.97,19.24,18.875,19.09,8932101
2020-01-29,19.11,19.28,18.875,18.88,8441608
2020-01-30,18.67,19.09,18.57,19.08,9626884
2020-01-31,18.83,18.90,18.63,18.71,16521840
2020-02-03,18.89,19.14,18.88,18.98,9474427
2020-02-04,19.34,19.53,19.31,19.35,10445870
2020-02-05,19.63,20.04,19.63,20.01,11465470
2020-02-06,20.16,20.24,19.60,19.61,9084681
2020-02-07,19.42,19.66,19.34,19.60,8710728
2020-02-10,19.50,19.65,19.48,19.52,8029274
2020-02-11,19.63,19.83,19.535,19.70,6421624
2020-02-12,19.82,19.985,19.67,19.71,5983045
2020-02-13,19.61,19.73,19.50,19.72,7548561
2020-02-14,19.70,19.79,19.59,19.73,6350455
2020-02-18,19.66,19.73,19.28,19.56,7611235
2020-02-19,19.63,19.83,19.55,19.73,6923033
2020-02-20,19.66,20.1155,19.66,20.02,8423798
2020-02-21,19.88,19.945,19.50,19.67,8108024
2020-02-24,19.00,19.12,18.835,18.98,7456070
2020-02-25,19.02,19.05,17.96,18.04,10468790
2020-02-26,18.20,18.31,17.66,17.67,10243510
2020-02-27,17.23,17.54,16.70,16.71,13973770
2020-02-28,16.10,16.46,15.84,16.35,21650390
2020-03-02,16.21,16.98,15.88,16.97,13350570
2020-03-03,16.86,17.33,15.94,16.21,22824530
2020-03-04,16.37,16.70,15.935,16.69,13861010
2020-03-05,16.03,16.20,15.78,15.98,15279320
2020-03-06,15.08,15.62,14.675,14.87,23797240
2020-03-09,13.33,13.41,12.15,12.16,15961350
2020-03-10,12.86,13.50,12.065,13.37,17303770
2020-03-11,12.88,13.005,12.09,12.25,29401680
2020-03-12,11.18,12.10,10.53,10.87,20950940
2020-03-13,11.93,12.74,11.34,12.73,17318450
2020-03-16,10.00,11.37,9.99,9.99,17925330
2020-03-17,10.28,10.33,9.315,10.24,20549190
2020-03-18,9.60,9.75,7.94,8.16,17912830
2020-03-19,7.96,9.78,7.45,9.35,13965810
2020-03-20,9.50,9.86,8.50,9.19,23725310
2020-03-23,9.05,9.27,8.32,8.56,16697590
2020-03-24,9.32,9.97,9.24,9.77,15627240
2020-03-25,10.02,10.425,9.61,9.82,20647110
2020-03-26,9.97,11.585,9.645,11.46,22500440
2020-03-27,10.72,11.685,10.70,11.20,20794800
2020-03-30,11.04,11.235,10.38,10.79,15175360
2020-03-31,10.68,10.855,10.12,10.37,15997050
2020-04-01,9.63,9.72,9.35,9.45,14533680
2020-04-02,9.41,10.02,9.145,9.48,14255210
2020-04-03,9.40,9.68,8.96,9.07,11898630
2020-04-06,9.80,10.09,9.4956,9.95,13435840
2020-04-07,10.81,11.035,10.305,10.45,19699310
