Date,Open,High,Low,Close,Volume
2020-01-10,17.641,17.743,17.195,17.301,8838440
2020-01-13,17.397,17.511,17.336,17.51,6624210
2020-01-14,17.591,17.822,17.407,17.748,12796400
2020-01-15,17.709,17.87,17.585,17.792,9228130
2020-01-16,17.95,18.183,17.901,18.091,11972680
2020-01-17,18.087,18.09,17.736,17.873,16047690
2020-01-21,17.765,18.089,17.7565,17.881,15713510
2020-01-22,18.00,18.278,17.987,18.013,10847230
2020-01-23,17.982,18.266,17.9115,18.255,10568770
2020-01-24,18.388,18.45,17.843,17.94,9610200
2020-01-27,17.477,17.523,16.985,17.031,15813850
2020-01-28,17.22,17.633,17.17,17.593,9381180
2020-01-29,17.635,17.694,17.166,17.172,10293840
2020-01-30,17.35,17.537,16.957,17.292,14479640
2020-01-31,17.138,17.275,16.525,16.574,15059710
2020-02-03,16.727,17.065,16.701,16.993,11816170
2020-02-04,17.433,17.88,17.384,17.88,17359120
2020-02-05,17.606,17.779,16.88,17.128,31131420
2020-02-06,17.143,17.339,17.015,17.174,13703350
2020-02-07,17.071,17.127,16.476,16.51,14927800
2020-02-10,16.41,16.901,16.408,16.892,16803420
2020-02-11,16.921,17.353,16.833,17.304,12689900
2020-02-12,17.40,17.646,17.385,17.597,9580160
2020-02-13,17.568,18.008,17.491,17.872,11580980
2020-02-14,17.912,17.976,17.489,17.628,8648660
2020-02-18,16.70,17.20,16.667,16.923,17784650
2020-02-19,17.221,17.482,17.10,17.298,10692650
2020-02-20,17.174,17.242,16.567,16.73,16645370
2020-02-21,16.567,16.625,16.081,16.112,19098940
2020-02-24,15.475,15.6863,15.29,15.373,26496050
2020-02-25,15.528,15.599,14.707,14.741,20468770
2020-02-26,14.90,15.0645,14.622,14.727,18795300
2020-02-27,14.281,14.8375,14.227,14.799,35896660
2020-02-28,14.209,15.393,14.209,15.371,36952320
2020-03-02,15.45,15.90,15.1705,15.874,27067410
2020-03-03,15.681,15.929,15.238,15.381,23975530
2020-03-04,15.709,16.071,15.466,16.071,14934540
2020-03-05,15.665,15.888,15.448,15.669,16970180
2020-03-06,15.205,15.614,15.1489,15.568,18583520
2020-03-09,14.498,15.049,14.4265,14.492,28157580
2020-03-10,14.851,15.476,14.558,15.457,24384940
2020-03-11,15.013,15.222,14.262,14.492,27306590
2020-03-12,13.524,13.90,12.525,12.536,26728980
2020-03-13,13.282,14.576,12.789,14.537,28046660
2020-03-16,12.869,14.048,12.6193,12.95,27523510
2020-03-17,13.187,15.044,12.5635,14.963,32135960
2020-03-18,13.225,14.313,12.736,13.202,26649000
2020-03-19,13.188,13.542,12.676,12.736,19551750
2020-03-20,12.971,13.255,11.308,11.402,26325730
2020-03-23,11.432,12.069,11.019,11.636,21249040
2020-03-24,12.17,13.655,12.00,13.636,27761480
2020-03-25,13.572,14.594,13.4385,13.747,17031640
2020-03-26,14.077,15.047,13.906,14.976,18705410
2020-03-27,14.504,14.717,14.132,14.224,22408850
2020-03-30,14.207,15.057,14.20,14.952,16237220
2020-03-31,15.084,15.084,14.153,14.374,29075160
2020-04-01,13.87,14.122,12.9659,13.161,16610890
2020-04-02,12.957,13.3795,12.931,13.244,13464030
2020-04-03,13.082,13.299,12.556,12.794,11439310
2020-04-06,13.521,14.921,13.293,14.85,18461030
2020-04-07,15.41,15.50,14.652,14.727,14541170
2020-04-08,14.959,15.315,14.691,15.237,13499970
2020-04-09,15.215,15.787,14.8485,15.012,13038060
2020-04-13,14.95,15.242,14.8176,15.209,8685690
2020-04-14,15.51,16.234,15.381,16.173,12747330
2020-04-15,15.818,15.83,15.111,15.322,12786650
2020-04-16,15.821,16.075,15.423,15.665,15629590
2020-04-17,16.093,16.229,15.779,16.121,9981150
2020-04-20,15.879,16.034,15.605,15.63,6348220
2020-04-21,15.344,15.418,14.746,14.859,12847030
2020-04-22,15.431,15.936,15.129,15.868,12077930
2020-04-23,15.844,16.084,15.701,15.945,14045750
2020-04-24,16.098,16.557,15.802,16.492,14925280
2020-04-27,16.704,16.924,16.464,16.606,10305460
2020-04-28,16.839,17.077,16.595,16.627,11989250
2020-04-29,16.993,17.717,16.821,17.589,15189780
2020-04-30,17.395,17.5312,16.397,16.409,12414250
2020-05-01,15.83,15.889,14.771,15.027,26927720
2020-05-04,14.968,15.287,14.754,15.1995,14732470
2020-05-05,15.646,16.0685,15.396,15.563,18689840
2020-05-06,16.341,16.913,15.846,16.381,24227300
2020-05-07,16.737,16.9685,16.357,16.384,16836330
2020-05-08,16.683,17.239,16.5681,17.15,12654440
2020-05-11,16.919,16.995,16.728,16.878,11457860
2020-05-12,17.022,17.1193,16.541,16.557,9654110
2020-05-13,16.537,16.861,16.0659,16.407,18051450
2020-05-14,16.255,17.696,15.889,17.675,26835390
2020-05-15,16.803,17.162,16.598,16.743,37099720
2020-05-18,17.181,17.347,16.878,17.231,14921170
2020-05-19,17.221,17.763,17.114,17.252,10748340
2020-05-20,17.55,18.021,17.4971,17.792,13026440
2020-05-21,17.613,17.725,17.1861,17.243,10017990
2020-05-22,17.377,17.397,17.04,17.30,6664450
2020-05-26,17.691,18.033,17.469,17.664,19113560
2020-05-27,17.812,17.89,16.824,17.673,16595670
2020-05-28,17.766,18.0218,17.34,17.461,12720360
2020-05-29,17.60,17.797,17.357,17.596,17921170
2020-06-01,17.50,17.84,17.345,17.596,10856070
2020-06-02,17.53,17.755,17.294,17.729,8926550
2020-06-03,17.884,18.695,17.838,18.605,16599610
2020-06-04,18.481,18.912,18.369,18.629,10686780
2020-06-05,19.022,19.625,18.933,19.248,15001640
2020-06-08,19.362,19.406,18.877,19.187,8165200
2020-06-09,19.054,19.255,18.865,19.103,7763890
2020-06-10,19.243,19.50,19.034,19.277,7796700
2020-06-11,19.132,19.132,17.984,18.058,14604540
2020-06-12,18.617,18.84,18.007,18.469,12531250
2020-06-15,17.824,18.8125,17.658,18.775,12708520
2020-06-16,19.3855,19.697,18.873,19.299,14825220
2020-06-17,19.317,19.63,19.217,19.389,12462310
2020-06-18,19.429,19.429,19.205,19.374,9379740
2020-06-19,19.643,19.75,19.205,19.31,33309820
2020-06-22,18.935,19.377,18.935,19.186,11793210
2020-06-23,19.516,19.516,19.229,19.321,10892640
2020-06-24,19.221,19.30,18.569,18.862,14866510
2020-06-25,19.091,19.271,18.742,19.235,11336820
2020-06-26,19.263,19.32,18.904,18.957,17135140
2020-06-29,19.054,19.175,18.6585,19.173,6776890
2020-06-30,19.103,19.586,19.103,19.448,12536180
2020-07-01,19.448,19.527,19.192,19.315,12620230
2020-07-02,19.456,19.821,19.427,19.651,12470450
2020-07-06,19.9385,20.651,19.822,20.359,13673670
2020-07-07,20.348,20.533,20.18,20.269,13113010
2020-07-08,20.3335,20.573,20.1175,20.451,7487490
2020-07-09,20.30,20.649,20.064,20.359,10837170
2020-07-10,20.36,20.42,19.823,20.226,9948730
2020-07-13,20.4965,20.778,19.908,19.957,11524800
2020-07-14,19.781,20.165,19.401,20.093,16120070
2020-07-15,20.186,20.417,19.431,19.604,14542530
2020-07-16,19.398,19.748,19.30,19.604,9895740
2020-07-17,19.802,19.838,19.502,19.72,8243200
2020-07-20,19.732,20.397,19.657,20.301,7566340
2020-07-21,20.387,20.468,20.079,20.351,9209520
2020-07-22,20.499,20.6865,20.321,20.594,9472470
2020-07-23,20.578,20.93,20.229,20.392,11561250
2020-07-24,19.639,19.726,18.714,18.821,24775690
2020-07-27,19.227,19.788,19.0185,19.707,18579030
2020-07-28,19.53,19.693,19.219,19.247,11519740
2020-07-29,19.15,19.572,19.034,19.513,14797810
2020-07-30,19.481,19.90,19.375,19.79,11669310
2020-07-31,20.00,20.00,19.504,19.983,11501870
2020-08-03,20.259,20.804,20.25,20.765,18099210
2020-08-04,20.0241,20.517,20.0154,20.49,17279010
2020-08-05,20.602,20.62,20.2365,20.399,8349020
2020-08-06,20.325,20.42,20.099,20.359,10366830
2020-08-07,20.186,20.6532,20.029,20.285,9909720
2020-08-10,20.14,20.336,19.825,20.309,10188750
2020-08-11,20.356,20.482,20.005,20.054,7452740
2020-08-12,20.156,20.876,20.111,20.80,8235510
2020-08-13,20.779,21.026,20.642,20.996,11527130
2020-08-14,21.008,21.52,20.95,21.151,12093980
2020-08-17,21.319,21.857,21.281,21.663,13204290
2020-08-18,21.771,21.79,21.1365,21.176,8427050
2020-08-19,21.271,21.2719,20.949,21.054,7343200
2020-08-20,20.66,20.8833,20.508,20.685,9152640
2020-08-21,20.675,20.687,20.2113,20.397,14258830
2020-08-24,20.75,20.867,20.53,20.836,9223890
2020-08-25,20.803,21.118,20.719,21.028,8696980
2020-08-26,20.977,21.266,20.9595,21.223,6151780
2020-08-27,21.378,21.414,20.35,20.445,11589660
2020-08-28,20.479,20.892,20.395,20.861,8288910
2020-08-31,20.778,20.811,20.398,20.514,9301300
2020-09-01,20.589,20.8485,20.451,20.795,7380710
2020-09-02,21.068,21.617,20.90,21.554,11718500
2020-09-03,21.361,21.404,20.025,20.141,18073580
2020-09-04,19.984,20.043,18.678,19.337,23806040
2020-09-08,18.119,18.267,17.3825,17.447,29194010
2020-09-09,17.8916,17.994,17.285,17.446,23145170
2020-09-10,17.603,17.735,17.262,17.313,24130870
2020-09-11,17.487,17.652,17.131,17.194,13188350
2020-09-14,17.656,17.851,17.499,17.808,12543650
2020-09-15,17.998,18.094,17.733,18.076,14414430
2020-09-16,18.24,18.519,18.061,18.081,16244840
2020-09-17,17.537,18.072,17.47,18.049,10901400
2020-09-18,18.123,18.455,17.664,17.896,17928470
2020-09-21,17.836,18.122,17.5612,18.11,10993290
2020-09-22,18.281,18.3623,17.754,18.33,8377220
2020-09-23,18.438,18.633,17.996,18.079,11365010
2020-09-24,17.808,18.756,17.808,18.454,11341490
2020-09-25,18.371,18.862,18.158,18.791,9068590
2020-09-28,18.814,19.368,18.68,19.325,13488160
2020-09-29,19.486,19.581,19.26,19.333,7667370
2020-09-30,19.267,19.646,19.105,19.374,10192550
2020-10-01,19.762,20.021,19.566,19.898,9152510
2020-10-02,19.209,19.632,19.08,19.196,10920770
2020-10-05,19.328,20.00,19.272,19.995,12423210
2020-10-06,19.989,20.584,19.868,19.983,12787510
2020-10-07,20.30,20.569,20.111,20.29,11648950
2020-10-08,20.549,20.695,20.447,20.669,6860080
2020-10-09,20.998,21.211,20.879,21.104,12001450
2020-10-12,21.396,21.59,21.26,21.455,12889850
2020-10-13,21.59,22.166,21.409,21.994,9442610
2020-10-14,22.009,22.354,21.511,21.60,13990050
2020-10-15,20.939,21.386,20.8111,21.309,11685270
2020-10-16,21.443,21.484,20.76,20.84,12259550
2020-10-19,21.234,21.234,20.60,20.681,9945630
2020-10-20,20.884,20.93,20.506,20.572,6072400
2020-10-21,20.576,20.886,20.563,20.63,6070250
2020-10-22,20.53,20.595,20.152,20.331,8848540
2020-10-23,20.515,20.649,20.2195,20.317,8428740
2020-10-26,20.065,20.242,19.704,19.894,9426340
2020-10-27,20.001,20.049,19.713,19.859,7391780
2020-10-28,19.452,19.624,19.048,19.055,15547910
2020-10-29,19.04,20.408,19.0205,20.195,13515240
2020-10-30,19.85,20.10,19.534,19.718,10472890
2020-11-02,19.98,20.322,19.8821,20.223,8178870
2020-11-03,20.506,21.24,20.451,21.088,11882060
2020-11-04,21.431,22.178,21.0585,22.053,13567760
2020-11-05,22.286,22.893,22.286,22.81,12764810
2020-11-06,22.888,23.328,22.572,23.168,6959590
2020-11-09,23.771,24.2603,23.193,23.232,11350000
2020-11-10,23.00,23.227,22.313,22.373,10716200
2020-11-11,22.721,23.413,22.57,23.351,9948420
2020-11-12,23.513,23.6125,23.131,23.326,8953300
