Date,Open,High,Low,Close,Volume
2020-01-10,139.29,140.78,138.65,140.23,1269962
2020-01-13,140.27,141.58,140.10,140.90,1216114
2020-01-14,140.81,141.05,140.16,140.99,2187496
2020-01-15,141.17,142.45,141.17,142.16,1245146
2020-01-16,142.46,143.43,142.22,143.43,1610829
2020-01-17,143.52,144.74,143.41,144.50,1639985
2020-01-21,144.60,144.84,143.06,144.59,1493775
2020-01-22,144.89,145.815,144.34,144.39,2088466
2020-01-23,140.11,149.23,138.30,144.65,3703315
2020-01-24,145.51,146.60,143.12,143.42,2107602
2020-01-27,142.87,145.08,142.11,143.96,2425927
2020-01-28,144.13,145.46,143.97,144.89,1203256
2020-01-29,144.84,145.17,143.00,143.20,1107837
2020-01-30,143.39,144.83,142.88,144.63,990284
2020-01-31,145.15,147.66,143.1971,143.24,1711996
2020-02-03,143.70,144.56,143.1355,143.78,1240154
2020-02-04,144.21,145.465,143.11,143.38,1334598
2020-02-05,143.54,145.09,143.24,145.07,1214254
2020-02-06,145.16,146.08,144.51,144.53,1063429
2020-02-07,144.73,145.23,144.43,144.82,1005215
2020-02-10,145.07,146.53,145.0146,146.21,1241745
2020-02-11,146.06,146.65,144.86,145.25,1070703
2020-02-12,144.54,145.23,143.90,144.29,954154
2020-02-13,144.49,145.5907,144.18,144.74,1100066
2020-02-14,144.88,145.63,144.26,145.56,941424
2020-02-18,144.97,145.08,143.516,143.84,1381776
2020-02-19,143.88,144.99,143.38,143.77,1047843
2020-02-20,143.37,143.85,141.82,142.17,1364279
2020-02-21,141.64,142.61,141.12,141.35,1562244
2020-02-24,140.73,142.00,139.68,140.12,2669818
2020-02-25,139.95,141.39,138.64,138.98,1387545
2020-02-26,139.25,141.37,137.87,138.26,1703251
2020-02-27,137.65,139.26,133.95,134.01,2804293
2020-02-28,131.11,132.635,126.861,131.19,4069246
2020-03-02,132.13,141.18,132.13,141.10,3094770
2020-03-03,141.66,143.74,138.21,140.79,2939611
2020-03-04,143.33,149.10,142.93,148.25,3070505
2020-03-05,144.56,146.98,141.85,143.31,2588309
2020-03-06,139.14,147.34,138.64,146.46,3375692
2020-03-09,139.60,147.53,138.95,141.32,3688060
2020-03-10,143.42,144.23,134.53,141.02,3858246
2020-03-11,138.00,139.29,131.84,134.16,2985716
2020-03-12,127.08,131.64,121.78,122.31,3817425
2020-03-13,127.92,134.95,125.23,134.18,4477427
