Date,Open,High,Low,Close,Volume
2020-01-10,101.47,101.63,100.93,101.02,533764
2020-01-13,101.41,101.82,100.83,101.15,869729
2020-01-14,101.45,101.57,100.73,100.79,604538
2020-01-15,101.12,102.42,100.76,102.14,898766
2020-01-16,102.61,102.68,101.56,102.29,592790
2020-01-17,102.41,103.47,102.11,103.39,683105
2020-01-21,102.93,103.69,102.85,103.27,631285
2020-01-22,104.01,104.36,102.1511,102.47,932566
2020-01-23,102.55,102.83,101.57,102.63,791030
2020-01-24,102.79,102.9483,101.18,101.62,625313
2020-01-27,100.15,101.369,99.30,100.77,604092
2020-01-28,101.27,102.81,100.96,102.31,511652
2020-01-29,102.65,102.87,101.68,101.83,546888
2020-01-30,101.27,102.70,100.53,102.58,531368
2020-01-31,102.57,102.74,100.38,100.47,900807
2020-02-03,101.67,103.29,101.23,102.46,928523
2020-02-04,103.19,106.245,103.19,105.31,915177
2020-02-05,105.54,106.75,104.92,106.63,822095
2020-02-06,113.20,113.20,109.72,109.96,1168366
2020-02-07,109.47,110.96,109.11,110.11,985213
2020-02-10,110.02,111.04,109.845,110.60,805236
2020-02-11,111.03,112.41,110.955,112.14,715022
2020-02-12,112.12,112.32,110.09,111.00,1075172
2020-02-13,110.48,113.16,110.48,113.10,879150
2020-02-14,113.65,113.75,112.34,112.81,1151325
2020-02-18,116.90,125.84,116.89,123.22,2205775
2020-02-19,124.00,124.35,119.71,120.33,1593216
2020-02-20,120.48,122.25,118.21,119.27,1077564
2020-02-21,118.79,118.95,115.51,117.22,1136079
2020-02-24,114.11,115.36,112.60,113.83,1229516
2020-02-25,113.93,114.47,109.00,109.15,1291146
2020-02-26,110.00,111.83,109.31,110.82,1233090
2020-02-27,108.68,108.97,105.03,105.11,1761088
2020-02-28,103.04,103.30,100.14,102.65,1684808
2020-03-02,104.28,110.07,102.93,110.06,1437643
2020-03-03,112.63,113.71,108.98,109.33,1741709
2020-03-04,111.15,112.80,108.42,112.33,1027504
2020-03-05,109.67,111.00,106.70,107.57,885682
2020-03-06,103.74,106.37,101.7037,105.68,1250793
2020-03-09,98.58,102.57,96.47,97.53,1810398
2020-03-10,100.41,102.84,94.91,102.79,1469790
2020-03-11,99.72,100.3186,95.34,97.97,1432857
2020-03-12,90.87,94.93,85.41,85.80,1762945
2020-03-13,90.14,90.78,80.00,90.31,1866266
2020-03-16,78.80,86.66,76.31,78.00,2061662
2020-03-17,79.57,84.295,77.32,81.38,2556104
