Date,Open,High,Low,Close,Volume
2020-01-10,149.643,152.052,149.4466,151.6932,729589
2020-01-13,151.9238,153.2052,151.6419,153.0941,727964
2020-01-14,152.8378,154.9948,151.9409,154.0936,996856
2020-01-15,154.0338,155.0332,151.9751,152.2484,790279
2020-01-16,152.9574,153.8928,150.95,151.8299,1123378
2020-01-17,151.753,152.2399,149.9634,151.1977,1029177
2020-01-21,151.0696,153.7262,150.8091,153.4443,647600
2020-01-22,153.8885,154.0679,153.0599,153.3846,592627
2020-01-23,153.1454,153.6066,151.753,153.5639,566042
2020-01-24,153.9313,154.0765,151.108,151.3515,556970
2020-01-27,149.5576,152.0776,149.1647,151.6163,677814
2020-01-28,152.2655,154.3925,151.6248,154.2559,713076
2020-01-29,154.5207,155.2297,153.5554,153.7433,495226
2020-01-30,153.0087,154.4352,150.0531,152.9404,514838
2020-01-31,151.8042,152.1203,149.0963,149.831,529060
2020-02-03,150.8133,153.4358,150.7792,152.5474,681122
2020-02-04,153.9313,156.2718,153.786,155.9045,797928
2020-02-05,156.6135,157.9205,156.6135,157.4507,496931
2020-02-06,158.4586,158.4586,156.417,157.0748,483544
2020-02-07,156.9552,157.2029,155.4689,155.7508,449004
2020-02-10,155.4603,157.0406,155.4603,156.81,443873
2020-02-11,157.4763,159.8339,156.6989,158.9883,518661
2020-02-12,159.2445,160.7651,158.638,160.1756,747106
2020-02-13,161.0128,167.7355,160.8163,166.3431,1629608
2020-02-14,165.7025,167.0607,163.5413,166.813,649497
2020-02-18,165.5573,166.0869,161.5424,163.1056,791626
2020-02-19,163.4302,163.9684,161.8115,162.2172,564484
2020-02-20,161.6705,163.4302,160.9871,161.2861,641419
2020-02-21,160.5686,162.2172,160.3209,161.9268,445030
2020-02-24,158.7918,161.6962,158.5697,160.2098,875015
2020-02-25,161.2178,161.7645,156.0156,157.613,939518
2020-02-26,158.7235,160.7651,156.2206,156.8356,584671
2020-02-27,155.1186,160.039,153.5725,155.9729,922485
2020-02-28,152.4705,154.4096,146.1493,150.0787,1776213
2020-03-02,150.856,160.953,150.856,160.56,1390849
2020-03-03,159.9108,161.4633,153.974,154.6488,959584
2020-03-04,158.6295,164.1136,158.6295,163.3534,1780790
2020-03-05,159.9706,166.1979,157.8692,159.7656,1734318
2020-03-06,156.1864,156.9638,149.4979,153.5127,1551000
2020-03-09,153.6237,153.6237,144.5092,150.4204,1780022
2020-03-10,153.9142,154.4651,142.0234,145.8247,1455769
2020-03-11,142.8349,143.2534,131.9691,135.8132,1892374
2020-03-12,127.7066,128.7743,116.6273,116.9348,1912981
2020-03-13,124.657,129.1485,114.5771,129.005,2088780
2020-03-16,120.4286,121.5989,103.8481,104.1385,1827888
2020-03-17,107.675,108.8795,96.9886,106.2912,1782711
2020-03-18,99.5684,102.1012,86.4988,92.0512,1563262
2020-03-19,90.9237,100.8839,83.7311,97.8172,1187434
2020-03-20,99.893,103.6943,90.9322,91.607,1672868
2020-03-23,91.103,92.6748,85.7043,89.1127,1119076
2020-03-24,94.3662,101.3281,92.7773,100.602,1299938
2020-03-25,101.4135,108.4096,99.389,104.9159,1129760
2020-03-26,105.5992,118.2588,105.1892,117.0715,1589925
2020-03-27,112.6466,113.8639,107.9398,109.9472,1058667
2020-03-30,109.3407,113.2531,105.3686,112.7149,971513
2020-03-31,111.6899,112.1341,105.1209,107.9654,1273727
2020-04-01,102.3446,102.823,97.6464,99.2353,1361470
2020-04-02,99.0046,101.4477,95.4938,99.0986,897345
2020-04-03,98.3298,98.9107,94.3043,96.7922,931755
2020-04-06,102.8315,109.2809,101.6869,107.9825,918387
2020-04-07,114.2525,120.9838,111.2286,113.9963,1705611
2020-04-08,115.6107,124.0334,114.9701,120.5823,1130251
2020-04-09,123.5807,127.8432,121.2999,125.4002,1515889
2020-04-13,126.3483,126.5887,118.7543,119.9758,537759
2020-04-14,122.0943,123.8626,120.766,123.5892,630061
2020-04-15,120.4457,121.7996,118.2337,120.8557,655787
2020-04-16,121.6843,121.6843,116.4991,118.3357,915167
2020-04-17,121.7782,127.2795,120.719,126.8694,1394923
2020-04-20,124.1103,126.5491,122.2213,124.3836,961267
2020-04-21,130.6963,130.6963,124.3836,126.579,1921972
2020-04-22,136.1976,136.2146,128.6804,131.6616,2124359
2020-04-23,132.8319,139.5861,132.8319,136.394,1822390
2020-04-24,137.9573,141.451,133.968,139.8536,1799706
2020-04-27,148.1994,153.8018,145.3036,152.4705,2519492
2020-04-28,158.0401,160.3379,149.192,150.3093,1909537
2020-04-29,140.947,153.581,135.6594,148.1909,2232610
2020-04-30,144.082,145.6624,140.3064,140.4772,1681744
2020-05-01,137.3166,137.8291,131.3114,135.8473,1479114
2020-05-04,133.9851,135.8046,132.943,134.6685,1036182
2020-05-05,136.4111,140.8702,136.1378,139.025,871474
2020-05-06,139.922,140.836,135.7021,135.9071,612157
2020-05-07,137.2055,138.7602,136.2317,136.8297,518785
2020-05-08,138.7261,143.0143,137.1885,142.8776,665216
2020-05-11,140.947,145.2139,139.6016,144.2529,931917
2020-05-12,145.799,147.2897,139.5162,139.5205,1246254
2020-05-13,142.7922,142.7922,133.6263,135.5569,1353125
2020-05-14,133.1992,140.0928,132.568,139.8793,1131834
2020-05-15,140.7335,144.1632,139.3155,143.0228,923251
2020-05-18,146.6533,147.5673,142.7238,142.7324,956972
2020-05-19,141.8184,144.5433,140.1868,142.664,628711
2020-05-20,145.7051,148.5753,144.9277,145.6624,819029
2020-05-21,145.9528,148.729,144.8508,147.20,586349
2020-05-22,147.516,147.7894,144.6458,145.3548,544948
2020-05-26,149.7285,149.7285,143.6378,143.9966,831584
2020-05-27,145.6965,149.4893,142.4505,149.3697,859791
2020-05-28,150.5229,153.0514,147.9859,150.0531,811867
2020-05-29,150.0531,151.7957,147.0633,149.7626,1135061
2020-06-01,148.6949,153.0087,148.6949,151.2148,527006
2020-06-02,152.2143,153.9142,150.9329,153.6066,1012068
2020-06-03,155.896,156.4683,152.9147,153.0685,569923
2020-06-04,153.0343,156.5452,152.0562,154.3071,1030840
2020-06-05,157.0577,158.732,153.0002,153.5383,667634
2020-06-08,153.5041,157.6471,153.1027,155.8447,768432
2020-06-09,155.4689,156.81,152.5474,152.8549,565619
2020-06-10,152.6585,153.7084,149.186,149.5747,659152
2020-06-11,145.3805,145.987,139.5803,139.7084,975898
2020-06-12,145.3634,145.3634,138.8499,143.2791,766697
2020-06-15,139.2898,146.7002,138.8371,145.6538,616128
2020-06-16,149.5662,149.9933,144.5049,148.3959,775437
2020-06-17,149.2074,149.2074,145.0943,145.4061,579182
2020-06-18,144.3639,145.1584,143.1424,143.877,515021
2020-06-19,147.1573,147.1573,138.6833,138.6833,1782121
2020-06-22,138.7261,141.4852,137.8889,141.0325,990032
2020-06-23,142.4419,142.4419,138.4356,138.615,836050
2020-06-24,136.9578,138.2562,132.9584,134.1901,971176
2020-06-25,134.1816,137.9316,133.0198,137.8035,1019121
2020-06-26,137.5729,139.7853,136.9706,138.3502,1088625
2020-06-29,139.2386,139.3411,136.0267,138.41,593206
2020-06-30,138.615,142.553,137.4276,141.8952,904508
2020-07-01,141.7842,143.5439,139.4521,142.6811,749494
2020-07-02,144.5092,146.2261,143.7318,145.4488,1071452
2020-07-06,147.4562,148.618,146.0724,147.4306,675541
2020-07-07,146.8156,149.0707,146.7088,147.8833,991966
2020-07-08,147.8833,149.2928,146.8796,149.028,763375
2020-07-09,148.4813,149.1647,145.483,147.8833,622038
2020-07-10,148.1225,149.0878,145.9015,147.5075,562482
2020-07-13,152.052,156.2761,149.9847,152.2741,1222521
2020-07-14,155.0332,160.5686,153.0087,160.4575,1279158
2020-07-15,162.3027,163.0458,159.031,161.2349,865973
2020-07-16,160.8078,165.7196,159.9621,162.6871,548107
2020-07-17,163.7378,166.42,163.7378,165.4206,673893
2020-07-20,165.7196,167.6757,164.3443,166.9838,585867
2020-07-21,167.3255,168.9912,167.0949,168.1199,580144
2020-07-22,168.752,171.4258,168.3292,170.9047,801738
2020-07-23,170.2469,172.4508,168.4274,169.7857,680612
2020-07-24,169.1279,170.1615,165.7879,169.7686,811332
2020-07-27,169.0852,172.2416,168.3676,171.9554,903266
2020-07-28,173.4247,176.6024,166.6079,167.8893,1436702
2020-07-29,169.3073,170.4178,165.8733,166.2406,1036266
2020-07-30,165.1985,166.8557,163.5584,166.4371,750325
2020-07-31,166.1894,166.6507,161.9268,164.797,640071
2020-08-03,164.3784,169.1749,164.2503,167.4451,523421
2020-08-04,166.7361,167.7611,164.8568,166.3773,469996
