Date,Open,High,Low,Close,Volume
2020-01-10,29.911,30.1282,29.295,29.434,14051990
2020-01-13,29.438,29.733,29.2505,29.729,13999310
2020-01-14,30.014,30.437,29.674,30.076,17322440
2020-01-15,29.928,30.055,29.672,29.834,10829480
2020-01-16,30.182,30.7258,30.0952,30.595,16069600
2020-01-17,30.705,30.849,30.216,30.80,19299170
2020-01-21,30.819,31.1907,30.731,30.868,15001590
2020-01-22,31.10,31.536,31.075,31.134,15039920
2020-01-23,31.20,31.268,30.755,31.242,15565870
2020-01-24,31.589,31.673,30.371,30.654,16325880
2020-01-27,29.703,29.8678,29.269,29.379,19112640
2020-01-28,29.878,30.325,29.3355,30.169,18149540
2020-01-29,30.223,30.399,29.591,29.822,18157610
2020-01-30,31.84,31.90,30.576,31.095,39431280
2020-01-31,30.80,30.897,29.727,29.821,24364570
2020-02-03,30.00,30.958,30.00,30.844,19477580
2020-02-04,31.656,32.682,31.612,32.54,25310480
2020-02-05,33.123,33.2534,32.37,32.562,21571940
2020-02-06,32.60,32.685,32.30,32.352,12624970
2020-02-07,32.063,32.128,31.472,31.54,16028880
2020-02-10,31.398,31.989,31.30,31.983,10886970
2020-02-11,32.287,32.683,32.287,32.567,15207400
2020-02-12,32.80,33.518,32.80,33.462,16871660
2020-02-13,33.505,34.432,33.362,34.158,21105090
2020-02-14,34.149,34.421,33.676,33.93,11099350
2020-02-18,32.324,33.20,32.30,32.534,27538420
2020-02-19,33.118,33.541,33.03,33.385,15395600
2020-02-20,33.195,33.404,32.402,32.849,18878010
2020-02-21,32.622,32.704,31.524,31.68,21613960
2020-02-24,29.92,30.5307,29.512,30.046,31022460
2020-02-25,30.582,30.69,28.939,29.222,25498290
2020-02-26,29.624,30.463,29.462,29.66,23799770
2020-02-27,28.564,29.3755,28.201,28.57,28721750
2020-02-28,27.582,29.445,27.366,29.343,31992370
2020-03-02,29.664,30.055,28.4015,30.033,23472510
2020-03-03,30.03,30.83,28.859,29.146,25102940
2020-03-04,29.887,30.63,29.38,30.624,19169620
2020-03-05,29.785,30.965,29.60,29.913,20370020
2020-03-06,29.077,29.867,28.525,29.441,20488840
2020-03-09,27.30,28.3258,26.723,26.76,26494950
2020-03-10,27.568,28.786,26.744,28.757,23724820
2020-03-11,27.854,28.449,27.2583,27.663,31447690
2020-03-12,25.707,26.559,23.745,23.785,36844360
2020-03-13,25.40,26.294,24.263,26.178,26920380
2020-03-16,22.382,24.577,21.308,21.354,30960410
2020-03-17,21.707,23.7825,20.373,22.93,36696550
2020-03-18,20.344,21.534,18.138,19.414,36072020
2020-03-19,19.052,20.1396,18.702,19.501,33438820
2020-03-20,20.001,22.414,18.711,18.789,39045320
2020-03-23,19.068,19.995,18.584,19.285,30271670
2020-03-24,20.949,23.263,20.7365,23.064,29215180
2020-03-25,23.182,25.011,22.831,23.355,28374300
2020-03-26,24.018,26.098,23.50,26.034,31684140
2020-03-27,25.335,26.288,24.04,24.122,32033000
2020-03-30,24.646,25.7933,24.124,25.53,21297520
2020-03-31,25.225,25.499,23.809,24.00,27875190
2020-04-01,22.895,23.7195,22.021,22.333,24655180
2020-04-02,21.958,22.636,21.5921,22.057,18914060
2020-04-03,22.306,22.444,21.329,21.815,14906450
2020-04-06,23.162,25.24,22.9075,25.075,33271540
2020-04-07,26.418,26.50,25.144,25.622,25778100
2020-04-08,25.989,27.227,25.7331,26.675,18922620
2020-04-09,27.17,27.742,25.576,25.828,26206220
2020-04-13,25.621,25.93,25.024,25.878,14107480
2020-04-14,26.62,27.449,26.359,27.251,16269920
2020-04-15,26.60,26.64,25.855,26.281,15427880
2020-04-16,27.001,27.494,26.329,27.071,20778160
2020-04-17,27.8155,28.022,27.147,27.902,18319320
2020-04-20,27.303,27.492,26.634,26.673,17822900
2020-04-21,26.242,26.341,24.257,24.363,29990110
2020-04-22,25.5455,27.337,25.5455,27.178,35809800
2020-04-23,26.885,27.647,26.279,26.396,26248990
2020-04-24,26.853,26.868,25.811,26.667,15290360
2020-04-27,27.02,27.4427,26.288,26.441,21362570
2020-04-28,27.023,27.149,25.947,26.185,17316220
2020-04-29,26.80,28.195,26.517,27.999,21558480
2020-04-30,27.50,27.569,25.471,25.528,38871490
2020-05-01,24.673,24.70,22.969,23.502,57151190
2020-05-04,23.398,23.4982,23.138,23.452,26312920
2020-05-05,24.0614,25.204,23.99,24.281,22685940
2020-05-06,24.935,25.449,24.401,24.456,23507630
2020-05-07,25.00,25.376,24.71,24.763,15454840
2020-05-08,25.2904,26.637,25.2055,26.54,28397540
2020-05-11,26.247,26.519,25.91,26.223,17626190
2020-05-12,26.5274,26.691,25.571,25.598,17644820
2020-05-13,25.596,25.724,24.178,24.819,25459320
2020-05-14,24.356,26.999,24.034,26.90,35759740
2020-05-15,25.275,25.809,24.881,25.184,36818630
2020-05-18,25.9488,26.299,25.346,25.747,26606850
2020-05-19,25.785,26.82,25.6409,26.166,19014550
2020-05-20,26.80,27.3416,26.712,27.117,20598350
2020-05-21,27.025,27.1289,26.00,26.07,17726610
2020-05-22,26.236,26.383,25.763,26.114,17562020
2020-05-26,26.95,27.205,26.584,26.636,19098750
2020-05-27,26.832,27.646,25.821,27.611,24586790
2020-05-28,27.30,27.9805,26.5365,26.682,22892380
2020-05-29,27.051,27.58,26.609,27.367,27951930
2020-06-01,27.06,27.6269,26.986,27.097,13799100
2020-06-02,27.241,27.349,26.71,27.146,16977230
2020-06-03,27.851,29.00,27.555,28.689,24279620
2020-06-04,28.553,29.36,28.316,29.184,20593880
2020-06-05,29.989,31.00,29.938,30.492,24995810
2020-06-08,30.685,30.803,29.621,29.759,16893870
2020-06-09,29.565,30.577,29.311,30.233,16323600
2020-06-10,30.141,30.467,29.945,30.13,16072830
2020-06-11,29.229,29.863,28.188,28.243,20624830
2020-06-12,29.2803,29.44,27.666,28.452,21637560
2020-06-15,27.585,29.1739,27.451,29.114,21102630
2020-06-16,30.348,30.875,29.967,30.548,25536880
2020-06-17,31.059,31.444,30.762,31.378,18442190
2020-06-18,31.401,31.7725,31.253,31.48,12740430
2020-06-19,32.03,32.5115,31.354,31.525,26101690
2020-06-22,31.20,31.484,30.7062,31.23,15409850
2020-06-23,31.502,31.906,31.25,31.598,17647270
2020-06-24,31.104,31.663,30.397,30.578,17908890
2020-06-25,30.817,31.338,30.0606,31.26,15934900
2020-06-26,31.24,31.269,30.036,30.252,42336810
2020-06-29,30.375,30.90,30.061,30.846,14761500
2020-06-30,31.119,32.58,30.893,32.346,27895730
2020-07-01,32.215,32.277,31.612,31.748,15273010
2020-07-02,32.286,32.7449,31.864,32.37,17112410
2020-07-06,33.001,33.699,32.898,33.496,14150670
2020-07-07,33.213,33.727,32.75,32.789,12765000
2020-07-08,33.279,33.54,32.939,33.38,9896710
2020-07-09,33.736,33.8928,33.105,33.576,16598980
2020-07-10,33.509,34.029,33.065,33.998,14327590
2020-07-13,34.30,35.024,33.685,33.714,21604270
2020-07-14,33.607,34.751,33.14,34.606,20187970
2020-07-15,34.707,34.88,33.561,34.322,16370140
2020-07-16,34.027,34.671,33.889,34.488,11832270
2020-07-17,34.786,34.833,34.115,34.627,11289900
2020-07-20,34.627,35.594,34.201,35.375,12483460
2020-07-21,35.737,36.22,35.234,35.702,17436700
2020-07-22,35.997,36.30,35.65,36.196,10367030
2020-07-23,35.885,36.756,35.091,35.482,17248600
2020-07-24,34.421,34.80,33.628,34.572,20030520
2020-07-27,34.744,36.0077,34.6675,35.808,17522600
2020-07-28,35.461,35.893,34.86,34.893,13323990
2020-07-29,35.21,36.184,34.90,36.083,21673230
2020-07-30,36.7775,38.148,36.708,37.854,25678440
